date,close,peTTM,pbMRQ
2015-01-05,38.7700,40.795858,7.773807
2015-01-06,39.5900,41.658706,7.938226
2015-01-07,39.1900,41.237805,7.858021
2015-01-08,39.4700,41.532436,7.914164
2015-01-09,39.1900,41.237805,7.858021
2015-01-12,40.2000,42.300581,8.060537
2015-01-13,40.2400,42.342671,8.068558
2015-01-14,39.1600,41.234265,7.857347
2015-01-15,38.9900,41.055261,7.823237
2015-01-16,38.9100,40.971023,7.807185
2015-01-19,39.0000,41.065790,7.825243
2015-01-20,39.3900,41.476448,7.903496
2015-01-21,40.7700,42.929545,8.180389
2015-01-22,41.9700,44.193108,8.421165
2015-01-23,41.8600,44.077282,8.399094
2015-01-26,42.4400,44.688004,8.515470
2015-01-27,42.1400,44.372113,8.455276
2015-01-28,41.1500,43.329674,8.256635
2015-01-29,40.7900,42.950605,8.184402
2015-01-30,40.7100,42.866367,8.168350
2015-02-02,42.0100,44.235227,8.429191
2015-02-03,41.4200,43.613975,8.310809
2015-02-04,40.7800,42.940075,8.182395
2015-02-05,40.1200,42.245116,8.049968
2015-02-06,40.2000,42.329353,8.066020
2015-02-09,40.8400,43.003253,8.194434
2015-02-10,40.8500,43.013783,8.196441
2015-02-11,41.1900,43.371792,8.264661
2015-02-12,41.3300,43.519208,8.292751
2015-02-13,40.5600,42.708422,8.138253
2015-02-16,41.2100,43.392852,8.268674
2015-02-17,41.3600,43.550797,8.298771
2015-02-25,40.6700,42.824248,8.160324
2015-02-26,40.8000,42.961134,8.186408
2015-02-27,40.3600,42.497828,8.098123
2015-03-02,40.0000,42.118759,8.025890
2015-03-03,40.1000,42.224056,8.045955
2015-03-04,41.8400,44.056222,8.395081
2015-03-05,42.8100,45.077602,8.589709
2015-03-06,42.3300,44.572177,8.493398
2015-03-09,42.5400,44.793300,8.535534
2015-03-10,43.0400,45.319785,8.635858
2015-03-11,43.6100,45.919977,8.750227
2015-03-12,42.9800,45.256607,8.623819
2015-03-13,42.8500,45.119721,8.597735
2015-03-16,42.9800,45.256607,8.623819
2015-03-17,42.3800,44.624825,8.503431
2015-03-18,43.0000,45.277666,8.627832
2015-03-19,42.2700,44.508999,8.481360
2015-03-20,44.0900,46.425402,8.846538
2015-03-23,44.2100,46.551759,8.870615
2015-03-24,43.7100,46.025274,8.770292
2015-03-25,45.1900,47.583668,9.067250
2015-03-26,45.2200,47.615257,9.073269
2015-03-27,44.4800,46.836060,8.924790
2015-03-30,45.1400,47.531020,9.057217
2015-03-31,46.1000,45.779001,8.744366
2015-04-01,48.4700,48.132499,9.193914
2015-04-02,48.4400,48.102708,9.188224
2015-04-03,48.7600,48.420479,9.248922
2015-04-07,49.1000,48.758112,9.313414
2015-04-08,49.2800,48.936859,9.347557
2015-04-09,49.3700,49.026232,9.364628
2015-04-10,51.1900,50.833559,9.709851
2015-04-13,53.5500,53.177126,10.157501
2015-04-14,53.0400,52.670677,10.060763
2015-04-15,54.5600,54.180093,10.349081
2015-04-16,55.1000,54.716333,10.451509
2015-04-17,54.4900,54.110581,10.335803
2015-04-20,53.7700,48.382877,9.515476
2015-04-21,56.5600,50.893352,10.009212
2015-04-22,58.1900,52.360045,10.297667
2015-04-23,57.5200,51.757171,10.179100
2015-04-24,56.9600,51.253277,10.079999
2015-04-27,57.2200,51.487228,10.126010
2015-04-28,55.5200,49.957548,9.825167
2015-04-29,56.6500,50.974335,10.025139
2015-04-30,57.0100,51.298268,10.088847
2015-05-04,55.8200,50.227492,9.878257
2015-05-05,56.9200,51.217284,10.072920
2015-05-06,57.6300,51.856151,10.198566
2015-05-07,56.4600,50.803371,9.991516
2015-05-08,56.7000,51.019326,10.033987
2015-05-11,58.1000,52.279062,10.281740
2015-05-12,59.1600,53.232863,10.469324
2015-05-13,58.2200,52.387040,10.302976
2015-05-14,57.7500,51.964128,10.219802
2015-05-15,56.0600,50.443446,9.920729
2015-05-18,55.8200,50.227492,9.878257
2015-05-19,56.7000,51.019326,10.033987
2015-05-20,57.5600,51.793164,10.186178
2015-05-21,59.6200,53.646776,10.550729
2015-05-22,59.8500,53.853733,10.591431
2015-05-25,60.3100,54.267646,10.672836
2015-05-26,63.9300,57.524965,11.313454
2015-05-27,67.2500,60.511676,11.900851
2015-05-28,60.8300,54.734948,10.764740
2015-05-29,62.7500,56.462568,11.104512
2015-06-01,65.4200,58.865039,11.577006
2015-06-02,64.1100,57.686298,11.345183
2015-06-03,61.6500,55.472786,10.909851
2015-06-04,59.3200,53.376247,10.497524
2015-06-05,60.9700,54.860921,10.789515
2015-06-08,59.3800,53.430236,10.508142
2015-06-09,59.4100,53.457230,10.513451
2015-06-10,61.1800,55.049879,10.826678
2015-06-11,62.4900,56.228619,11.058501
2015-06-12,62.4700,56.210623,11.054962
2015-06-15,45.9600,53.761363,10.573265
2015-06-16,43.7100,51.129442,10.055644
2015-06-17,44.5200,52.076934,10.241987
2015-06-18,42.8300,50.100069,9.853197
2015-06-19,41.8900,49.000511,9.636946
2015-06-23,45.2700,52.954240,10.414528
2015-06-24,45.1600,52.825569,10.389222
2015-06-25,42.5300,49.749146,9.784181
2015-06-26,40.0500,46.848185,9.213648
2015-06-29,41.1400,48.123204,9.464406
2015-06-30,44.5400,52.100328,10.246589
2015-07-01,44.7600,52.357672,10.297200
2015-07-02,44.1300,51.620734,10.152267
2015-07-03,41.6500,48.719773,9.581734
2015-07-06,43.5400,50.930586,10.016535
2015-07-07,41.6300,48.696378,9.577133
2015-07-08,37.4700,43.830249,8.620109
2015-07-09,41.2200,48.216783,9.482811
2015-07-10,45.3400,53.036122,10.430631
2015-07-13,47.9000,56.030663,11.019569
2015-07-14,45.9100,53.702876,10.561762
2015-07-15,42.1300,49.281249,9.692159
2015-07-16,44.1700,51.667524,10.161469
2015-07-17,46.3300,54.194167,10.658385
2015-07-20,45.7700,53.539112,10.529555
2015-07-21,45.3400,53.036122,10.430631
2015-07-22,45.9300,53.726270,10.566363
2015-07-23,46.1200,53.948521,10.610073
2015-07-24,44.5800,52.147118,10.255791
2015-07-27,40.4800,47.351174,9.312571
2015-07-28,43.3300,50.684940,9.968224
2015-07-29,44.9900,52.626712,10.350113
2015-07-30,42.8100,50.076674,9.848596
2015-07-31,44.9300,52.556528,10.336309
2015-08-03,47.4200,55.469187,10.909143
2015-08-04,47.9000,56.030663,11.019569
2015-08-05,46.8700,54.825828,10.782614
2015-08-06,46.6600,54.580182,10.734302
2015-08-07,46.7700,54.708854,10.759608
2015-08-10,49.8700,58.335056,11.472774
2015-08-11,48.4200,56.638929,11.139197
2015-08-12,46.9600,54.931105,10.803318
2015-08-13,47.0000,54.977895,10.812520
2015-08-14,46.8600,54.814131,10.780313
2015-08-17,47.4400,55.492581,10.913744
2015-08-18,46.3700,54.240957,10.667587
2015-08-19,47.6400,55.726530,10.959755
2015-08-20,45.8500,53.632691,10.547959
2015-08-21,43.6900,51.106047,10.051043
2015-08-24,39.6300,46.356893,9.117025
2015-08-25,39.9800,43.053812,8.803368
2015-08-26,42.7800,46.069086,9.419912
2015-08-27,43.6200,46.973668,9.604875
2015-08-28,44.4500,47.867482,9.787636
2015-08-31,44.4000,47.813638,9.776626
2015-09-01,42.5100,45.778327,9.360459
2015-09-02,41.9100,45.132197,9.228343
2015-09-07,44.2100,47.609030,9.734790
2015-09-08,48.0300,51.722726,10.575932
2015-09-09,46.1600,49.708953,10.164168
2015-09-10,46.8000,50.398159,10.305093
2015-09-11,45.6100,49.116667,10.043062
2015-09-14,46.4200,49.988943,10.221419
2015-09-15,44.3500,47.759793,9.765617
