股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
601696,2025-12-31,按行业分类,证券经纪业务,2238948138.88,0.660447,977036134.3,0.464579,1261912004.58,0.980514,0.563618
601696,2025-12-31,按行业分类,资产管理业务,490550874.34,0.144703,226566350.94,0.107732,263984523.4,0.205118,0.538139
601696,2025-12-31,按行业分类,期货业务,194563694.4,0.057393,127425761.53,0.060591,67137932.87,0.052167,0.345069
601696,2025-12-31,按行业分类,证券自营业务,184650544.02,0.054468,27774819.06,0.013207,156875724.96,0.121893,0.849582
601696,2025-12-31,按行业分类,投资银行业务,156067730.87,0.046037,186239915.23,0.088557,-30172184.36,-0.023444,-0.193328
601696,2025-12-31,按行业分类,私募股权投资业务,77641202.06,0.022903,20653233.02,0.009821,56987969.04,0.04428,0.733991
601696,2025-12-31,按行业分类,其他,47626833.63,0.014049,537362078.57,0.255515,-489735244.94,-0.380527,-10.282759
601696,2025-12-31,按产品分类,证券经纪业务,2238948138.88,0.660447,977036134.3,0.464579,1261912004.58,0.980514,0.563618
601696,2025-12-31,按产品分类,资产管理业务,490550874.34,0.144703,226566350.94,0.107732,263984523.4,0.205118,0.538139
601696,2025-12-31,按产品分类,期货业务,194563694.4,0.057393,127425761.53,0.060591,67137932.87,0.052167,0.345069
601696,2025-12-31,按产品分类,证券自营业务,184650544.02,0.054468,27774819.06,0.013207,156875724.96,0.121893,0.849582
601696,2025-12-31,按产品分类,投资银行业务,156067730.87,0.046037,186239915.23,0.088557,-30172184.36,-0.023444,-0.193328
601696,2025-12-31,按产品分类,私募股权投资业务,77641202.06,0.022903,20653233.02,0.009821,56987969.04,0.04428,0.733991
601696,2025-12-31,按产品分类,其他,47626833.63,0.014049,537362078.57,0.255515,-489735244.94,-0.380527,-10.282759
601696,2025-12-31,按地区分类,公司总部及子公司,1189230547.5,0.3508,1394564395.87,0.663113,-205333848.37,-0.159546,-0.172661
601696,2025-12-31,按地区分类,广东省,430228636.19,0.126909,128904717.82,0.061294,301323918.37,0.234131,0.700381
601696,2025-12-31,按地区分类,上海市,250615993.14,0.073927,75946256.92,0.036112,174669736.22,0.135719,0.696962
601696,2025-12-31,按地区分类,北京市,209849864.6,0.061902,61481146.87,0.029234,148368717.73,0.115283,0.707023
601696,2025-12-31,按地区分类,湖北省,167418238.56,0.049385,48592834.72,0.023106,118825403.84,0.092328,0.709752
601696,2025-12-31,按地区分类,浙江省,117971783.99,0.034799,34834554.39,0.016564,83137229.6,0.064598,0.704721
601696,2025-12-31,按地区分类,江苏省,96000592.03,0.028318,34330918.98,0.016324,61669673.05,0.047918,0.642388
601696,2025-12-31,按地区分类,黑龙江省,89742157.03,0.026472,32708352.48,0.015553,57033804.55,0.044316,0.63553
601696,2025-12-31,按地区分类,河北省,89232791.8,0.026322,42756283.99,0.020331,46476507.81,0.036113,0.520846
601696,2025-12-31,按地区分类,辽宁省,88610704.81,0.026138,27966518.93,0.013298,60644185.88,0.047121,0.684389
601696,2025-12-31,按地区分类,海南省,87141846.41,0.025705,21439506.15,0.010194,65702340.26,0.051051,0.75397
601696,2025-12-31,按地区分类,河南省,84663362.85,0.024974,28358171.83,0.013484,56305191.02,0.043749,0.665048
601696,2025-12-31,按地区分类,重庆市,78367984.43,0.023117,26109022.19,0.012415,52258962.24,0.040606,0.666841
601696,2025-12-31,按地区分类,福建省,66671892.89,0.019667,19447854.32,0.009247,47224038.57,0.036693,0.708305
601696,2025-12-31,按地区分类,四川省,58506590.28,0.017258,17961833.48,0.008541,40544756.8,0.031504,0.692995
601696,2025-12-31,按地区分类,陕西省,52221357.42,0.015404,15663917.66,0.007448,36557439.76,0.028405,0.700048
601696,2025-12-31,按地区分类,山东省,45220298.67,0.013339,13986184.45,0.00665,31234114.22,0.024269,0.69071
601696,2025-12-31,按地区分类,湖南省,28075825.23,0.008282,10631027.88,0.005055,17444797.35,0.013555,0.621346
601696,2025-12-31,按地区分类,安徽省,25008475.47,0.007377,9322154.57,0.004433,15686320.9,0.012188,0.62724
601696,2025-12-31,按地区分类,天津市,24946401.91,0.007359,10422550.05,0.004956,14523851.86,0.011285,0.582202
601696,2025-12-31,按地区分类,江西省,23668217.38,0.006982,7843641.2,0.00373,15824576.18,0.012296,0.6686
601696,2025-12-31,按地区分类,云南省,19396325.97,0.005722,7721099.39,0.003671,11675226.58,0.009072,0.60193
601696,2025-12-31,按地区分类,内蒙古自治区,16228972.37,0.004787,8581977.12,0.004081,7646995.25,0.005942,0.471194
601696,2025-12-31,按地区分类,广西壮族自治区,12847516.33,0.00379,4417170.74,0.0021,8430345.59,0.00655,0.656185
601696,2025-12-31,按地区分类,吉林省,12279980.03,0.003622,4759276.15,0.002263,7520703.88,0.005844,0.612436
601696,2025-12-31,按地区分类,山西省,9279802.76,0.002737,4129147.18,0.001963,5150655.58,0.004002,0.555039
601696,2025-12-31,按地区分类,新疆维吾尔自治区,7213218.85,0.002128,3828351.72,0.00182,3384867.13,0.00263,0.469259
601696,2025-12-31,按地区分类,贵州省,7077805.52,0.002088,3875282.34,0.001843,3202523.18,0.002488,0.452474
601696,2025-12-31,按地区分类,甘肃省,2331833.78,0.000688,2474143.26,0.001176,-142309.48,-0.000111,-0.061029
601696,2025-06-30,按行业分类,证券经纪业务,965121424.11,0.641246,414661571.55,0.510461,550459852.56,0.794607,0.570353
601696,2025-06-30,按行业分类,资产管理业务,247721377.67,0.164591,106146943.14,0.13067,141574434.53,0.204368,0.571507
601696,2025-06-30,按行业分类,投资银行业务,97488047.51,0.064773,92614287.11,0.114011,4873760.4,0.007035,0.049993
601696,2025-06-30,按行业分类,期货业务,84333815.35,0.056033,52717929.13,0.064897,31615886.22,0.045639,0.37489
601696,2025-06-30,按行业分类,证券自营业务,64650246.68,0.042955,13315000.9,0.016391,51335245.78,0.074104,0.794046
601696,2025-06-30,按行业分类,其他,26228677.31,0.017427,123694278.21,0.152271,-97465600.9,-0.140695,-3.715994
601696,2025-06-30,按行业分类,私募股权投资业务,19528313.9,0.012975,9177529.35,0.011298,10350784.55,0.014942,0.53004
601696,2025-06-30,按产品分类,证券经纪业务,965121424.11,0.641246,414661571.55,0.510461,550459852.56,0.794607,0.570353
601696,2025-06-30,按产品分类,资产管理业务,247721377.67,0.164591,106146943.14,0.13067,141574434.53,0.204368,0.571507
601696,2025-06-30,按产品分类,投资银行业务,97488047.51,0.064773,92614287.11,0.114011,4873760.4,0.007035,0.049993
601696,2025-06-30,按产品分类,期货业务,84333815.35,0.056033,52717929.13,0.064897,31615886.22,0.045639,0.37489
601696,2025-06-30,按产品分类,证券自营业务,64650246.68,0.042955,13315000.9,0.016391,51335245.78,0.074104,0.794046
601696,2025-06-30,按产品分类,其他,26228677.31,0.017427,123694278.21,0.152271,-97465600.9,-0.140695,-3.715994
601696,2025-06-30,按产品分类,私募股权投资业务,19528313.9,0.012975,9177529.35,0.011298,10350784.55,0.014942,0.53004
601696,2024-12-31,按行业分类,证券经纪业务,1734097086.74,0.600472,840766934.43,0.454903,893330152.31,0.859257,0.515156
601696,2024-12-31,按行业分类,资产管理业务,507680062.25,0.175796,215550484.91,0.116625,292129577.34,0.280987,0.575421
601696,2024-12-31,按行业分类,证券自营业务,255136430.93,0.088347,28383295.39,0.015357,226753135.54,0.218104,0.888752
601696,2024-12-31,按行业分类,期货业务,216050830.08,0.074813,132367298.41,0.071618,83683531.67,0.080492,0.387333
601696,2024-12-31,按行业分类,投资银行业务,121449411.23,0.042055,194964892.88,0.105487,-73515481.65,-0.070711,-0.605318
601696,2024-12-31,按行业分类,其他,33645436.36,0.011651,421932789.1,0.22829,-388287352.74,-0.373477,-11.540565
601696,2024-12-31,按行业分类,私募股权投资业务,19830689.99,0.006867,14269649.78,0.007721,5561040.21,0.005349,0.280426
601696,2024-12-31,按产品分类,证券经纪业务,1734097086.74,0.600472,840766934.43,0.454903,893330152.31,0.859257,0.515156
601696,2024-12-31,按产品分类,资产管理业务,507680062.25,0.175796,215550484.91,0.116625,292129577.34,0.280987,0.575421
601696,2024-12-31,按产品分类,证券自营业务,255136430.93,0.088347,28383295.39,0.015357,226753135.54,0.218104,0.888752
601696,2024-12-31,按产品分类,期货业务,216050830.08,0.074813,132367298.41,0.071618,83683531.67,0.080492,0.387333
601696,2024-12-31,按产品分类,投资银行业务,121449411.23,0.042055,194964892.88,0.105487,-73515481.65,-0.070711,-0.605318
601696,2024-12-31,按产品分类,其他,33645436.36,0.011651,421932789.1,0.22829,-388287352.74,-0.373477,-11.540565
601696,2024-12-31,按产品分类,私募股权投资业务,19830689.99,0.006867,14269649.78,0.007721,5561040.21,0.005349,0.280426
601696,2024-12-31,按地区分类,公司总部及子公司,1188826148.3,0.411659,1255515822.13,0.679305,-66689673.83,-0.064146,-0.056097
601696,2024-12-31,按地区分类,广东省,305625363.76,0.10583,96555881.56,0.052242,209069482.2,0.201095,0.684071
601696,2024-12-31,按地区分类,上海市,200268897.35,0.069348,72656293.07,0.039311,127612604.28,0.122745,0.637206
601696,2024-12-31,按地区分类,北京市,185323464.44,0.064173,55673212.36,0.030122,129650252.08,0.124705,0.699589
601696,2024-12-31,按地区分类,湖北省,125304720.57,0.04339,38316069.51,0.020731,86988651.06,0.083671,0.694217
601696,2024-12-31,按地区分类,浙江省,86307474.88,0.029886,27704389.87,0.01499,58603085.01,0.056368,0.679004
601696,2024-12-31,按地区分类,江苏省,74729750.75,0.025877,27763288.36,0.015022,46966462.39,0.045175,0.628484
601696,2024-12-31,按地区分类,海南省,73930389.83,0.0256,19388682.46,0.01049,54541707.37,0.052461,0.737744
601696,2024-12-31,按地区分类,辽宁省,73665828.45,0.025509,25675237.57,0.013892,47990590.88,0.04616,0.651463
601696,2024-12-31,按地区分类,黑龙江省,67541746.33,0.023388,25391157.81,0.013738,42150588.52,0.040543,0.624067
601696,2024-12-31,按地区分类,河北省,66042348.6,0.022869,32600402.86,0.017639,33441945.74,0.032166,0.506371
601696,2024-12-31,按地区分类,河南省,64263293.96,0.022253,23577210.99,0.012757,40686082.97,0.039134,0.633115
601696,2024-12-31,按地区分类,重庆市,59837688.14,0.02072,21453085.27,0.011607,38384602.87,0.036921,0.641479
601696,2024-12-31,按地区分类,福建省,58544282.26,0.020272,16879925.38,0.009133,41664356.88,0.040075,0.711673
601696,2024-12-31,按地区分类,陕西省,44738003.99,0.015492,13894787.85,0.007518,30843216.14,0.029667,0.689419
601696,2024-12-31,按地区分类,四川省,44565665.86,0.015432,15331534.59,0.008295,29234131.27,0.028119,0.655979
601696,2024-12-31,按地区分类,山东省,34033283.32,0.011785,14245019.82,0.007707,19788263.5,0.019033,0.581439
601696,2024-12-31,按地区分类,湖南省,21423005.34,0.007418,9488081.81,0.005134,11934923.53,0.01148,0.557108
601696,2024-12-31,按地区分类,安徽省,18170481.22,0.006292,7968494.26,0.004311,10201986.96,0.009813,0.561459
601696,2024-12-31,按地区分类,天津市,17939928.85,0.006212,8853091.92,0.00479,9086836.93,0.00874,0.506515
601696,2024-12-31,按地区分类,江西省,15636313.86,0.005414,6385277.75,0.003455,9251036.11,0.008898,0.591638
601696,2024-12-31,按地区分类,云南省,13332683.53,0.004617,6278528.02,0.003397,7054155.51,0.006785,0.529087
601696,2024-12-31,按地区分类,内蒙古自治区,11003241.39,0.00381,5364193.31,0.002902,5639048.08,0.005424,0.51249
601696,2024-12-31,按地区分类,吉林省,9933270.83,0.00344,4535946.0,0.002454,5397324.83,0.005191,0.543358
601696,2024-12-31,按地区分类,广西壮族自治区,9588863.64,0.00332,3716933.1,0.002011,5871930.54,0.005648,0.61237
601696,2024-12-31,按地区分类,山西省,5944833.56,0.002059,3614238.87,0.001956,2330594.69,0.002242,0.392037
601696,2024-12-31,按地区分类,贵州省,5660101.87,0.00196,3612750.99,0.001955,2047350.88,0.001969,0.361716
601696,2024-12-31,按地区分类,新疆维吾尔自治区,4241074.99,0.001469,3228915.8,0.001747,1012159.19,0.000974,0.238656
601696,2024-12-31,按地区分类,甘肃省,1467797.71,0.000508,2566891.61,0.001389,-1099093.9,-0.001057,-0.748805
601696,2024-06-30,按产品分类,证券经纪业务,733620951.04,0.588762,390576968.68,0.51203,343043982.36,0.709883,0.467604
601696,2024-06-30,按产品分类,资产管理业务,268557922.17,0.215529,105769755.62,0.13866,162788166.55,0.336868,0.606157
601696,2024-06-30,按产品分类,期货业务,93955733.63,0.075403,52196214.53,0.068427,41759519.1,0.086416,0.44446
601696,2024-06-30,按产品分类,证券自营业务,87541177.03,0.070256,12561995.48,0.016468,74979181.55,0.155159,0.856502
601696,2024-06-30,按产品分类,投资银行业务,30772160.76,0.024696,92477507.64,0.121234,-61705346.88,-0.127691,-2.005233
601696,2024-06-30,按产品分类,其他业务,18253794.61,0.014649,102794766.88,0.13476,-84540972.27,-0.174946,-4.631419
601696,2024-06-30,按产品分类,私募股权投资业务,13338324.78,0.010705,6422992.92,0.00842,6915331.86,0.01431,0.518456
601696,2023-12-31,按行业分类,证券经纪,1681618671.14,0.571888,823715674.73,0.42868,857902996.41,0.841949,0.510165
601696,2023-12-31,按行业分类,资产管理,530125050.43,0.180286,244555098.97,0.127272,285569951.46,0.280259,0.538684
601696,2023-12-31,按行业分类,投资银行,254761744.48,0.08664,202677428.61,0.105478,52084315.87,0.051116,0.204443
601696,2023-12-31,按行业分类,期货,190829969.13,0.064898,118625096.27,0.061735,72204872.86,0.070862,0.378373
601696,2023-12-31,按行业分类,其他,149312222.07,0.050778,491286399.16,0.255676,-341974177.09,-0.335615,-2.290329
601696,2023-12-31,按行业分类,证券自营,89759377.49,0.030526,28955976.16,0.015069,60803401.33,0.059673,0.677404
601696,2023-12-31,按行业分类,私募股权投资,44059603.99,0.014984,11701745.47,0.00609,32357858.52,0.031756,0.734411
601696,2023-12-31,按产品分类,证券经纪业务,1681618671.14,0.571888,823715674.73,0.42868,857902996.41,0.841949,0.510165
601696,2023-12-31,按产品分类,资产管理业务,530125050.43,0.180286,244555098.97,0.127272,285569951.46,0.280259,0.538684
601696,2023-12-31,按产品分类,投资银行业务,254761744.48,0.08664,202677428.61,0.105478,52084315.87,0.051116,0.204443
601696,2023-12-31,按产品分类,期货业务,190829969.13,0.064898,118625096.27,0.061735,72204872.86,0.070862,0.378373
601696,2023-12-31,按产品分类,其他业务,149312222.07,0.050778,491286399.16,0.255676,-341974177.09,-0.335615,-2.290329
601696,2023-12-31,按产品分类,证券自营业务,89759377.49,0.030526,28955976.16,0.015069,60803401.33,0.059673,0.677404
601696,2023-12-31,按产品分类,私募股权投资业务,44059603.99,0.014984,11701745.47,0.00609,32357858.52,0.031756,0.734411
601696,2023-12-31,按地区分类,公司总部及子公司,1299191943.1,0.441832,1338452837.03,0.69656,-39260893.93,-0.038531,-0.030219
601696,2023-12-31,按地区分类,广东省,279833655.3,0.095166,92104562.66,0.047933,187729092.64,0.184238,0.67086
601696,2023-12-31,按地区分类,上海市,205424402.33,0.069861,66061002.04,0.03438,139363400.29,0.136772,0.678417
601696,2023-12-31,按地区分类,北京市,191020204.57,0.064963,54455802.1,0.02834,136564402.47,0.134025,0.714921
601696,2023-12-31,按地区分类,湖北省,106850498.18,0.036338,34173474.55,0.017785,72677023.63,0.071325,0.680175
601696,2023-12-31,按地区分类,重庆市,85818239.79,0.029185,21674449.63,0.01128,64143790.16,0.062951,0.747438
601696,2023-12-31,按地区分类,浙江省,75890661.16,0.025809,27229210.79,0.014171,48661450.37,0.047757,0.641205
601696,2023-12-31,按地区分类,河北省,73209750.06,0.024897,36033219.57,0.018752,37176530.49,0.036485,0.507808
601696,2023-12-31,按地区分类,海南省,69798431.88,0.023737,19612696.57,0.010207,50185735.31,0.049252,0.719009
601696,2023-12-31,按地区分类,辽宁省,69443024.53,0.023616,25741392.27,0.013396,43701632.26,0.042889,0.629316
601696,2023-12-31,按地区分类,江苏省,67814334.83,0.023062,26769456.14,0.013931,41044878.69,0.040282,0.605254
601696,2023-12-31,按地区分类,黑龙江省,63199320.98,0.021493,26150321.88,0.013609,37048999.1,0.03636,0.586225
601696,2023-12-31,按地区分类,河南省,60852956.05,0.020695,23947992.31,0.012463,36904963.74,0.036219,0.606461
601696,2023-12-31,按地区分类,福建省,55460490.11,0.018861,16798101.26,0.008742,38662388.85,0.037943,0.697116
601696,2023-12-31,按地区分类,陕西省,41843109.58,0.01423,12947714.31,0.006738,28895395.27,0.028358,0.690565
601696,2023-12-31,按地区分类,四川省,39445197.25,0.013415,14280289.95,0.007432,25164907.3,0.024697,0.637971
601696,2023-12-31,按地区分类,山东省,35601042.34,0.012107,15912002.86,0.008281,19689039.48,0.019323,0.553047
601696,2023-12-31,按地区分类,湖南省,18295702.35,0.006222,9642352.06,0.005018,8653350.29,0.008492,0.472972
601696,2023-12-31,按地区分类,安徽省,17285993.38,0.005879,8737515.39,0.004547,8548477.99,0.00839,0.494532
601696,2023-12-31,按地区分类,天津市,16862006.03,0.005734,9618426.87,0.005006,7243579.16,0.007109,0.42958
601696,2023-12-31,按地区分类,江西省,13331551.2,0.004534,6705804.49,0.00349,6625746.71,0.006503,0.496997
601696,2023-12-31,按地区分类,内蒙古自治区,11417590.25,0.003883,5539126.13,0.002883,5878464.12,0.005769,0.51486
601696,2023-12-31,按地区分类,云南省,10480516.28,0.003564,6440667.17,0.003352,4039849.11,0.003965,0.385463
601696,2023-12-31,按地区分类,吉林省,9324978.39,0.003171,4984605.99,0.002594,4340372.4,0.00426,0.465457
601696,2023-12-31,按地区分类,广西壮族自治区,8952027.47,0.003044,4162027.31,0.002166,4790000.16,0.004701,0.535074
601696,2023-12-31,按地区分类,山西省,5143716.13,0.001749,3579765.91,0.001863,1563950.22,0.001535,0.304051
601696,2023-12-31,按地区分类,新疆维吾尔自治区,3839969.45,0.001306,3555081.65,0.00185,284887.8,0.00028,0.07419
601696,2023-12-31,按地区分类,贵州省,3567792.91,0.001213,3325372.71,0.001731,242420.2,0.000238,0.067947
601696,2023-12-31,按地区分类,甘肃省,1267532.85,0.000431,2882147.77,0.0015,-1614614.92,-0.001585,-1.273825
601696,2023-06-30,按产品分类,证券经纪业务,831873355.74,0.522469,405621195.2,0.490021,426252160.54,0.557606,0.5124
601696,2023-06-30,按产品分类,资产管理业务,285624711.86,0.17939,126431951.88,0.152739,159192759.98,0.20825,0.557349
601696,2023-06-30,按产品分类,投资银行业务,145821270.27,0.091585,100610283.85,0.121545,45210986.42,0.059143,0.310044
601696,2023-06-30,按产品分类,其他,129032061.21,0.08104,121339783.08,0.146588,7692278.13,0.010063,0.059615
601696,2023-06-30,按产品分类,期货业务,91665653.04,0.057572,53213296.87,0.064286,38452356.17,0.050302,0.419485
601696,2023-06-30,按产品分类,证券自营业务,76823797.62,0.04825,15121609.69,0.018268,61702187.93,0.080716,0.803165
601696,2023-06-30,按产品分类,私募股权投资业务,31354581.67,0.019693,5425365.29,0.006554,25929216.38,0.03392,0.826967
601696,2022-12-31,按行业分类,证券经纪业务,1698406612.75,0.573927,867147544.6,0.421654,831259068.15,0.920821,0.489435
601696,2022-12-31,按行业分类,资产管理业务,766378573.97,0.258975,332691073.82,0.161773,433687500.15,0.480414,0.565892
601696,2022-12-31,按行业分类,期货业务,199293566.94,0.067345,119748767.92,0.058228,79544799.02,0.088115,0.399134
601696,2022-12-31,按行业分类,其他,143813432.63,0.048598,498796536.57,0.242542,-354983103.94,-0.39323,-2.468358
601696,2022-12-31,按行业分类,投资银行业务,111522625.62,0.037686,201432558.88,0.097948,-89909933.26,-0.099597,-0.806204
601696,2022-12-31,按行业分类,证券投资业务,57387701.69,0.019393,26916426.23,0.013088,30471275.46,0.033754,0.530972
601696,2022-12-31,按行业分类,私募股权投资业务,-17529977.03,-0.005924,9803030.05,0.004767,-27333007.08,-0.030278,
601696,2022-12-31,按产品分类,证券经纪业务,1698406612.75,0.573927,867147544.6,0.421654,831259068.15,0.920821,0.489435
601696,2022-12-31,按产品分类,资产管理业务,766378573.97,0.258975,332691073.82,0.161773,433687500.15,0.480414,0.565892
601696,2022-12-31,按产品分类,期货业务,199293566.94,0.067345,119748767.92,0.058228,79544799.02,0.088115,0.399134
601696,2022-12-31,按产品分类,其他业务,143813432.63,0.048598,498796536.57,0.242542,-354983103.94,-0.39323,-2.468358
601696,2022-12-31,按产品分类,投资银行业务,111522625.62,0.037686,201432558.88,0.097948,-89909933.26,-0.099597,-0.806204
601696,2022-12-31,按产品分类,证券自营业务,57387701.69,0.019393,26916426.23,0.013088,30471275.46,0.033754,0.530972
601696,2022-12-31,按产品分类,私募股权投资业务,-17529977.03,-0.005924,9803030.05,0.004767,-27333007.08,-0.030278,
601696,2022-12-31,按地区分类,公司总部及子公司,1345182219.4,0.454565,1451702090.69,0.705897,-106519871.29,-0.117997,-0.079186
601696,2022-12-31,按地区分类,广东省,276354468.37,0.093386,90457039.97,0.043985,185897428.4,0.205927,0.672677
601696,2022-12-31,按地区分类,上海市,193478049.56,0.06538,67697073.99,0.032918,125780975.57,0.139333,0.650105
601696,2022-12-31,按地区分类,北京市,190916099.78,0.064515,56666071.59,0.027554,134250028.19,0.148715,0.703189
601696,2022-12-31,按地区分类,湖北省,106661906.24,0.036043,37601585.91,0.018284,69060320.33,0.076501,0.647469
601696,2022-12-31,按地区分类,海南省,81964665.92,0.027698,21739670.98,0.010571,60224994.94,0.066714,0.734768
601696,2022-12-31,按地区分类,河北省,80590349.07,0.027233,41491365.62,0.020175,39098983.45,0.043312,0.485157
601696,2022-12-31,按地区分类,辽宁省,74543719.37,0.02519,26310347.15,0.012794,48233372.22,0.05343,0.647048
601696,2022-12-31,按地区分类,浙江省,74202989.72,0.025075,26941061.68,0.0131,47261928.04,0.052354,0.636928
601696,2022-12-31,按地区分类,黑龙江省,64187435.49,0.02169,27591417.1,0.013416,36596018.39,0.040539,0.570143
601696,2022-12-31,按地区分类,河南省,62340521.82,0.021066,23310655.5,0.011335,39029866.32,0.043235,0.626075
601696,2022-12-31,按地区分类,江苏省,62265453.05,0.021041,27295493.12,0.013273,34969959.93,0.038738,0.561627
601696,2022-12-31,按地区分类,重庆市,55794139.54,0.018854,21904302.7,0.010651,33889836.84,0.037541,0.607409
601696,2022-12-31,按地区分类,福建省,55054605.94,0.018604,17199540.77,0.008363,37855065.17,0.041934,0.687591
601696,2022-12-31,按地区分类,陕西省,41086516.44,0.013884,14390111.51,0.006997,26696404.93,0.029573,0.649761
601696,2022-12-31,按地区分类,四川省,39660964.72,0.013402,14261301.56,0.006935,25399663.16,0.028136,0.64042
601696,2022-12-31,按地区分类,山东省,35819211.93,0.012104,17729022.23,0.008621,18090189.7,0.020039,0.505042
601696,2022-12-31,按地区分类,湖南省,20546519.79,0.006943,10400230.48,0.005057,10146289.31,0.011239,0.49382
601696,2022-12-31,按地区分类,天津市,18153125.94,0.006134,9491564.76,0.004615,8661561.18,0.009595,0.477139
601696,2022-12-31,按地区分类,安徽省,17064845.5,0.005767,9379387.47,0.004561,7685458.03,0.008514,0.450368
601696,2022-12-31,按地区分类,江西省,13560930.1,0.004583,8083822.75,0.003931,5477107.35,0.006067,0.403889
601696,2022-12-31,按地区分类,吉林省,9842661.12,0.003326,5241084.8,0.002549,4601576.32,0.005097,0.467513
601696,2022-12-31,按地区分类,云南省,9798248.47,0.003311,7077201.46,0.003441,2721047.01,0.003014,0.277707
601696,2022-12-31,按地区分类,内蒙古自治区,9359635.68,0.003163,5858087.69,0.002849,3501547.99,0.003879,0.374112
601696,2022-12-31,按地区分类,广西壮族自治区,8973492.43,0.003032,4284481.72,0.002083,4689010.71,0.005194,0.52254
601696,2022-12-31,按地区分类,山西省,4970802.83,0.00168,3321171.97,0.001615,1649630.86,0.001827,0.331864
601696,2022-12-31,按地区分类,新疆维吾尔自治区,3656387.59,0.001236,3911476.45,0.001902,-255088.86,-0.000283,-0.069765
601696,2022-12-31,按地区分类,贵州省,1887783.36,0.000638,2353882.38,0.001145,-466099.02,-0.000516,-0.246903
601696,2022-12-31,按地区分类,甘肃省,1354787.4,0.000458,2845394.07,0.001384,-1490606.67,-0.001651,-1.100251
