报告日期,投行收入亿,投行占比pct,公司
2023-06-30,26.2376912904,19.4863,中信建投
2023-09-30,38.97,21.1978,中信建投
2023-12-31,48.0260223465,20.662300000000002,中信建投
2024-03-31,4.48,10.4332,中信建投
2024-06-30,10.0192289511,10.5153,中信建投
2024-09-30,14.97,10.4576,中信建投
2024-12-31,24.905049519000002,11.7873,中信建投
2025-03-31,3.58,7.2779,中信建投
2025-06-30,11.2305200018,10.4568,中信建投
2025-09-30,18.47,10.6831,中信建投
2025-12-31,31.321748616500003,13.4303,中信建投
2023-06-30,37.978141934499995,12.056600000000001,中信证券
2023-12-31,62.463535747899996,10.3988,中信证券
2024-06-30,17.2339712765,5.7097,中信证券
2024-12-31,40.3348689588,6.323099999999999,中信证券
2025-06-30,20.5359817752,6.2156,中信证券
2025-12-31,60.55217321399999,8.089300000000001,中信证券
2023-12-31,32.42335675,14.1031,中金公司
2024-06-30,5.78513856,6.4925,中金公司
2024-12-31,25.83137478,12.1084,中金公司
2025-06-30,14.44558952,11.261000000000001,中金公司
2025-12-31,45.96594072,16.1391,中金公司
2023-12-31,2.5476174447999997,8.664,中银证券
2024-12-31,1.2144941123000002,4.2055,中银证券
2025-06-30,0.9748804751000001,6.4773,中银证券
2025-12-31,1.5606773087,4.6037,中银证券
