score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,ad_line_signal,close,date,fwd_5d,fwd_10d,fwd_20d
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,20.45655717102143,56.34893382200193,39.47981507969723,0,0,0,0,37.89,2026-01-09,-0.02375296912114011,-0.05410398522037474,-0.02111375032990226
-1,14,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,20.17262373521006,41.80154684177864,22.359069512632747,0,0,0,0,36.99,2026-01-16,-0.031089483644228144,-0.04568802379021375,-0.03649635036496357
-4,14,0,2,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.64733796004683,30.132937869441704,-23.661113865006843,0,0,0,0,35.84,2026-01-23,-0.015066964285714413,0.034877232142857206,-0.005301339285714413
-4,14,0,2,0,0,[],2.5,阶段2.5-得分触底未共振,22.794520401697536,36.81037253519911,-40.69417893480188,0,0,0,0,35.3,2026-01-30,0.05070821529745051,0.009631728045325971,0.056940509915014204
0,14,0,1,2,0,[],2.5,阶段2.5-得分触底未共振,22.127332560933763,53.1093158523625,-10.135628550860295,0,0,0,0,37.09,2026-02-06,-0.03909409544351583,-0.038824480992181276,0.038285252089511834
-2,14,0,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.007675336377297,42.19443461530072,-11.762598914630386,0,0,0,0,35.64,2026-02-13,0.0002805836139168072,0.04685746352413034,0.01823793490460157
-1,14,0,1,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,14.832408467087507,45.68007809962329,-21.833562179403238,0,0,0,0,35.96,2026-02-27,0.02947719688542838,0.05088987764182429,0.10400444938820907
1,14,0,1,3,1,['trend_break'],2.5,阶段2.5-得分触底未共振,13.491616851139232,56.050581247954675,-14.38178185189928,0,0,1,1,37.02,2026-03-06,0.020799567801188523,0.0224203133441383,0.12614802809292258
1,14,0,1,3,0,[],2.5,阶段2.5-得分触底未共振,18.567046862464647,60.654893475347066,28.830532660976537,0,0,0,0,37.79,2026-03-13,0.001587721619476179,0.050542471553321144,0.08467848637205622
4,14,0,0,4,0,[],2.5,阶段2.5-得分触底未共振,25.363615676498895,56.105084348874676,44.9159043934119,0,0,1,-1,37.85,2026-03-20,0.04887714663143994,0.10145310435931298,0.06446499339498013
8,14,1,0,6,0,[],2.0,动能衰减期,20.91162913261947,65.23398161702185,22.6527302607091,0,0,1,1,39.7,2026-03-27,0.05012594458438269,0.032493702770780786,0.0037783375314861534
10,14,2,0,6,0,[],1.0,强动能期,30.210682358516898,69.65656607704662,54.62473189180385,0,0,1,0,41.69,2026-04-03,-0.016790597265531226,-0.033581194531062564,-0.07100023986567527
7,14,1,0,5,0,[],2.0,动能衰减期,33.00287986352971,66.00870329915188,49.89932010308404,0,0,1,0,41.35,2026-04-10,-0.03409915356711013,-0.03458282950423219,-0.0873035066505441
2,14,0,1,4,0,[],2.5,阶段2.5-得分触底未共振,29.611317740750476,52.14307396017285,26.94456489442699,0,0,1,0,39.94,2026-04-17,-0.0005007511266899023,-0.03004506760140202,-0.10165247871807703
6,14,1,0,4,0,[],2.0,动能衰减期,22.97199638355557,51.10982939755689,-0.47764933999113734,0,0,1,0,39.92,2026-04-24,-0.029559118236472948,-0.05460921843687372,-0.1019539078156313
-2,14,0,1,0,0,[],2.5,阶段2.5-得分触底未共振,19.64861087489418,37.42640393237515,-41.19740864048674,0,0,-1,0,38.18,2026-05-08,-0.03588266107909899,-0.07569408067050809,-0.10869565217391297
-2,14,0,1,0,0,[],2.5,阶段2.5-得分触底未共振,23.407234305040745,27.8826168629344,-56.10398411958737,0,0,-1,0,36.81,2026-05-15,-0.04129312686769904,-0.02417821244227114,-0.03477315946753601
-2,14,0,1,0,2,"['momentum_reversal', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,30.955797974108105,20.224363113294274,-67.11231433613798,0,0,-1,0,35.29,2026-05-22,0.017852082742986664,-0.03570416548597333,-0.06375743836780956
-2,14,0,1,0,0,[],2.5,阶段2.5-得分触底未共振,33.36499848768462,35.81933248187471,-57.718240496527635,0,0,-1,1,35.92,2026-05-29,-0.05261692650334082,-0.010857461024498916,-0.051224944320712784
-4,14,0,2,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,36.62064793090389,26.698400804050735,-63.40031664072822,0,0,0,0,34.03,2026-06-05,0.044078754040552504,-0.029091977666764635,0.00969732588892147
2,14,0,0,2,0,[],2.5,阶段2.5-得分触底未共振,32.5290813601658,45.647606367699936,-39.00616091924903,0,0,0,0,35.53,2026-06-12,-0.07008162116521255,-0.04081058260624837,-0.03180410920349008
0,14,0,0,0,0,[],2.5,阶段2.5-得分触底未共振,27.493264359836076,38.284542541954885,-37.53058155728628,0,0,0,0,32.98,2026-06-26,0.03123104912067931,0.022437841115827917,0.08702243784111596
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,20.79301652996696,47.015105038843345,-30.62434522156349,0,0,1,0,34.01,2026-07-03,-0.00852690385180832,0.05851220229344323,0.13025580711555418
3,14,1,0,1,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,16.07506373302569,45.774737742486515,-25.022548139244762,0,0,0,0,33.72,2026-07-10,0.06761565836298944,0.06316725978647697,0.08007117437722422
8,14,2,0,4,1,['trend_break'],2.0,动能衰减期,16.839780715672372,59.70600771783489,28.33663125868748,0,0,1,0,36.0,2026-07-17,-0.004166666666666652,0.06777777777777771,
6,14,2,0,2,1,['volume_divergence'],2.0,动能衰减期,22.78122921557335,54.69988908615021,41.872184223220614,0,0,0,0,35.85,2026-07-24,0.07224546722454672,0.01589958158995808,
9,14,2,0,5,0,[],2.0,动能衰减期,29.829613574365826,67.28820074504088,55.73189795027118,0,0,0,0,38.44,2026-07-31,-0.05254942767950044,,
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,30.29716512277892,51.042175903013906,32.73669962292316,0,0,0,0,36.42,2026-08-07,,,
