score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,close,date,fwd_5d,fwd_10d,fwd_20d
6,11,1,0,4,0,[],2.0,动能衰减期,35.8657423284496,62.70537697607339,56.845019445857965,0,48.81,2026-01-09,-0.026429010448678514,-0.063101823396845,-0.0274533906986274
5,11,1,0,3,1,['volume_divergence'],2.0,动能衰减期,38.23269293947289,50.66340372038339,48.34219477810464,0,47.52,2026-01-16,-0.03766835016835035,0.04629629629629628,-0.0027356902356903134
2,11,0,0,2,0,[],2.5,阶段2.5-得分触底未共振,32.219151435599315,42.236215434833625,6.790034860440909,0,45.73,2026-01-23,0.0872512573802755,0.03804942051169924,-0.04679641373277921
5,11,1,0,3,0,[],2.0,动能衰减期,28.596253827384498,59.45375099761138,20.533981514901882,0,49.72,2026-01-30,-0.04525341914722447,-0.046862429605792455,-0.1512469831053901
3,11,0,0,3,0,[],2.5,阶段2.5-得分触底未共振,22.74067052132706,47.95632233105584,5.555864596710909,0,47.47,2026-02-06,-0.0016852749104697695,-0.08173583315778377,-0.11291341900147456
-1,11,0,1,1,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,19.970821728803116,46.5318443829912,5.997871336231655,0,47.39,2026-02-13,-0.08018569318421598,-0.10951677569107399,-0.16817894070479
-2,11,0,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.342369153004995,34.64350087619452,-38.6501899779729,0,44.48,2026-02-27,-0.04024280575539563,-0.05732913669064743,-0.16097122302158262
-2,11,0,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,23.253209063134634,30.903025663081237,-57.035993495684146,0,42.69,2026-03-06,-0.017802764113375447,-0.02272194893417656,-0.15460295151089232
-2,11,0,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,27.480959452559198,30.068416545891253,-54.508026000422966,0,41.93,2026-03-13,-0.005008347245408995,-0.10994514667302646,-0.10517529215358923
-2,11,0,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,27.925731801807558,33.401972240421074,-44.30269375231373,0,41.72,2026-03-20,-0.10546500479386378,-0.134947267497603,-0.09803451581975064
-2,11,0,1,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,36.39382822170809,20.86772419940897,-70.21552876097515,0,37.32,2026-03-27,-0.03295819935691313,0.005359056806002238,-0.017416934619506885
2,11,1,0,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,44.34674418757601,22.291478424587794,-69.1182140171472,0,36.09,2026-04-03,0.039623164311443526,0.042671100027708464,0.03740648379052347
1,11,0,0,1,0,[],2.5,阶段2.5-得分触底未共振,41.928287491581486,39.818996308838315,-51.9663792755338,0,37.77,2026-04-10,-0.006619009796134501,-0.026211278792692694,-0.03415409054805418
-2,11,0,1,0,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,32.53299283078876,39.5403058649871,-27.10849809239403,0,37.52,2026-04-17,-0.019722814498933983,-0.02292110874200448,-0.07942430703624748
-1,11,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,26.526980553222444,35.64007672995329,-37.50004080448852,0,36.78,2026-04-24,-0.0032626427406200476,-0.008156606851549841,-0.09026644915715065
1,11,0,0,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,21.981844635289654,44.15758055451297,-22.733676280674462,0,37.31,2026-05-08,-0.052264808362369464,-0.09354060573572776,-0.12034307156258384
-4,11,0,2,0,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,19.3680564551107,31.580836628905942,-30.949730765345723,0,35.36,2026-05-15,-0.04355203619909498,-0.04326923076923084,0.01272624434389158
-4,11,0,2,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,18.84479580512221,24.021515271151344,-55.69640771278707,0,33.82,2026-05-22,0.0002956830277940359,-0.029568302779420463,0.07746895328208159
-4,11,0,2,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,17.933125073329798,29.382944041497865,-57.76807142499529,0,33.83,2026-05-29,-0.029855158143659466,0.058527933786580055,0.056458764410286744
-4,11,0,2,0,3,"['trend_break', 'momentum_reversal', 'volatility_drop']",3.0,动能结束期,17.627196382328393,27.252762526552715,-53.63944577473104,0,32.82,2026-06-05,0.09110298598415612,0.11029859841560019,0.18159658744667895
0,11,0,1,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.578817631697408,59.76229580396472,-18.241245694604928,0,35.81,2026-06-12,0.017592851158894085,-0.0019547612398771452,0.05361630829377262
5,11,1,0,3,0,[],2.0,动能衰减期,20.726769670246814,49.14878746593258,26.164406977605058,0,35.04,2026-06-26,0.1033105022831049,0.06792237442922389,0.15039954337899553
9,11,2,0,5,0,[],1.0,强动能期,24.40033118267162,62.47229607041945,45.96398389953925,0,38.66,2026-07-03,-0.032074495602689934,0.010087946197620212,0.022245214692188542
4,11,1,0,2,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,24.876272564732012,55.27394805052846,34.07381234744292,0,37.42,2026-07-10,0.043559593800106766,0.07723142704436126,0.030732228754676516
9,11,2,0,5,0,[],1.0,强动能期,28.23918260217654,59.01264417482441,49.202067266827335,0,39.05,2026-07-17,0.0322663252240718,0.012035851472471437,
9,11,2,0,5,0,[],1.0,强动能期,34.08814646282111,59.03264515007166,61.82540122787656,0,40.31,2026-07-24,-0.019598114611758866,-0.043165467625899345,
5,11,1,0,3,0,[],2.0,动能衰减期,31.387627882342567,54.007132369024895,30.67737805587987,0,39.52,2026-07-31,-0.024038461538461564,,
4,11,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,23.202940866246767,49.89199505200629,-8.15642426608494,0,38.57,2026-08-07,,,
