signal,period,n,alpha20,alpha60,win20,t20,p20
alpha_engine_v21,all,5904,0.0014,-0.00135,0.4312,0.673,0.5013
candlestick,all,15648,0.00227,0.00142,0.4342,1.856,0.0634
ml_strategy,all,29278,-0.00145,-0.00166,0.425,-1.612,0.1071
chanlun,all,10716,-0.01607,-0.02617,0.3967,-11.999,0.0
technical_basic,all,18636,0.00312,0.00652,0.4364,2.242,0.025
ichimoku,all,473,-0.0087,-0.00749,0.4271,-0.994,0.3205
smc,all,0,,,,,
alpha_zoo,all,21506,0.00642,0.01445,0.455,4.676,0.0
factor_research,all,0,,,,,
multi_factor,all,0,,,,,
volatility,all,12315,-0.00822,-0.02285,0.4073,-6.779,0.0
harmonic,all,27574,-0.0026,-0.01352,0.4283,-2.497,0.0125
pair_trading,all,0,,,,,
turnover_anomaly,all,65,-0.04466,-0.01501,0.2923,-2.197,0.0316
sector_relative,all,0,,,,,
ad_line,all,10898,0.00287,-0.00121,0.4322,1.898,0.0578
end_count,all,44312,-0.00273,-0.00906,0.4205,-3.998,0.0001
alpha_engine_v21,2025,3612,0.00041,0.0004,0.42,0.171,0.8644
candlestick,2025,8964,-0.00035,-0.0019,0.4163,-0.233,0.8155
ml_strategy,2025,18529,-0.00097,-0.00172,0.4247,-0.887,0.3749
chanlun,2025,5980,-0.01774,-0.02642,0.3712,-11.915,0.0
technical_basic,2025,11387,0.00122,-0.00759,0.4193,0.748,0.4548
ichimoku,2025,337,-0.00745,-0.02623,0.4184,-0.809,0.4188
smc,2025,0,,,,,
alpha_zoo,2025,11921,0.0077,0.00668,0.4438,4.473,0.0
factor_research,2025,0,,,,,
multi_factor,2025,0,,,,,
volatility,2025,8944,-0.00732,-0.02003,0.4041,-5.744,0.0
harmonic,2025,12498,-0.00178,-0.01401,0.4153,-1.317,0.1878
pair_trading,2025,0,,,,,
turnover_anomaly,2025,23,0.06113,0.01341,0.5652,1.644,0.1145
sector_relative,2025,0,,,,,
ad_line,2025,6856,0.00112,-0.00305,0.4174,0.658,0.5109
end_count,2025,28251,-0.00051,-0.00186,0.4172,-0.672,0.5014
alpha_engine_v21,2026,1792,0.0029,-0.01049,0.4509,0.628,0.5302
candlestick,2026,4413,0.00787,0.01048,0.4691,2.767,0.0057
ml_strategy,2026,5485,-0.0038,-0.00775,0.439,-1.42,0.1556
chanlun,2026,4508,-0.01608,-0.03358,0.4248,-6.543,0.0
technical_basic,2026,5646,0.01299,0.05183,0.489,4.228,0.0
ichimoku,2026,136,-0.01179,0.05445,0.4485,-0.584,0.5603
smc,2026,0,,,,,
alpha_zoo,2026,7419,0.01229,0.03672,0.4951,4.486,0.0
factor_research,2026,0,,,,,
multi_factor,2026,0,,,,,
volatility,2026,3371,-0.01061,-0.03343,0.4159,-3.707,0.0002
harmonic,2026,15075,-0.00327,-0.01289,0.439,-2.128,0.0334
pair_trading,2026,0,,,,,
turnover_anomaly,2026,39,-0.09805,-0.12312,0.1538,-4.856,0.0
sector_relative,2026,0,,,,,
ad_line,2026,3195,0.00815,0.01054,0.4638,2.31,0.021
end_count,2026,14040,-0.00801,-0.03431,0.4246,-5.442,0.0
