signal,pos_all,neg_all,pos_2025,neg_2025,pos_2026,neg_2026
end_count,0.52,0.0,0.58431,0.0,0.55832,0.0
harmonic,0.33828,0.25123,0.2585,0.26164,0.60744,0.33682
ml_strategy,0.329,0.35981,0.38323,0.29895,0.19574,0.57468
alpha_zoo,0.24295,0.18613,0.24656,0.1363,0.26278,0.31893
technical_basic,0.20942,0.08148,0.23552,0.05111,0.19774,0.15663
candlestick,0.18201,0.13029,0.1854,0.13444,0.17374,0.1257
volatility,0.14017,0.17479,0.18499,0.13082,0.12391,0.31839
chanlun,0.1352,0.16341,0.12368,0.18358,0.20161,0.18521
ad_line,0.12802,0.17558,0.1418,0.19452,0.12896,0.16417
alpha_engine_v21,0.0686,0.06868,0.07471,0.07318,0.06962,0.0681
ichimoku,0.00531,0.00513,0.00697,0.00527,0.00475,0.00699
turnover_anomaly,0.00086,0.00282,0.00048,0.00358,0.00173,0.00231
multi_factor,0.0,0.0,0.0,0.0,0.0,0.0
smc,0.0,0.0,0.0,0.0,0.0,0.0
pair_trading,0.0,0.0,0.0,0.0,0.0,0.0
sector_relative,0.0,0.0,0.0,0.0,0.0,0.0
factor_research,0.0,0.0,0.0,0.0,0.0,0.0
