score,period,thr,n,n_per_stock_y,alpha20,alpha60,win20,t20,p20
score_w,all,1,45619,114.05,0.0017,0.0042,0.434,2.12,0.0343
score_w,all,2,17558,43.9,0.0076,0.0115,0.456,5.16,0.0
score_w,all,3,3342,8.36,0.0143,0.0151,0.461,4.05,0.0001
score_w,all,4,169,0.42,0.0194,0.0134,0.485,1.3,0.1949
score_b,all,1,28248,70.62,0.0033,0.0101,0.44,2.87,0.0041
score_b,all,2,21506,53.77,0.0064,0.0145,0.455,4.68,0.0
score_b,all,3,11894,29.73,0.0087,0.0124,0.461,4.61,0.0
score_w,2025,1,26867,134.34,0.001,-0.0012,0.419,1.05,0.2938
score_w,2025,2,10238,51.19,0.0059,-0.0001,0.439,3.35,0.0008
score_w,2025,3,1930,9.65,0.0105,-0.0044,0.445,2.41,0.0161
score_w,2025,4,93,0.47,0.0218,-0.0178,0.462,1.07,0.2896
score_b,2025,1,16583,82.92,0.0034,0.0004,0.425,2.48,0.013
score_b,2025,2,11921,59.6,0.0077,0.0067,0.444,4.47,0.0
score_b,2025,3,6725,33.62,0.0072,-0.0019,0.448,3.13,0.0017
score_w,2026,1,13627,68.14,0.0066,0.0242,0.472,3.62,0.0003
score_w,2026,2,5835,29.18,0.0169,0.0449,0.501,5.51,0.0
score_w,2026,3,1143,5.71,0.0309,0.0644,0.516,4.45,0.0
score_w,2026,4,68,0.34,0.0242,0.0976,0.515,1.01,0.314
score_b,2026,1,8758,43.79,0.0097,0.0405,0.486,3.95,0.0001
score_b,2026,2,7419,37.09,0.0123,0.0367,0.495,4.49,0.0
score_b,2026,3,4307,21.54,0.0184,0.0489,0.505,5.02,0.0
