signal,period,n,freq_per_stock_y,alpha20,alpha60,win20,t20,p20
alpha_engine_v21,2025,3612,18.06,0.0004,0.0004,0.42,0.17,0.8644
alpha_engine_v21,2026,1792,8.96,0.0029,-0.0105,0.451,0.63,0.5302
alpha_engine_v21,all,5904,14.76,0.0014,-0.0013,0.431,0.67,0.5013
candlestick,2025,8964,44.82,-0.0003,-0.0019,0.416,-0.23,0.8155
candlestick,2026,4413,22.07,0.0079,0.0105,0.469,2.77,0.0057
candlestick,all,15648,39.12,0.0023,0.0014,0.434,1.86,0.0634
ml_strategy,2025,18529,92.64,-0.001,-0.0017,0.425,-0.89,0.3749
ml_strategy,2026,5485,27.43,-0.0038,-0.0077,0.439,-1.42,0.1556
ml_strategy,all,29278,73.19,-0.0015,-0.0017,0.425,-1.61,0.1071
chanlun,2025,5980,29.9,-0.0177,-0.0264,0.371,-11.91,0.0
chanlun,2026,4508,22.54,-0.0161,-0.0336,0.425,-6.54,0.0
chanlun,all,10716,26.79,-0.0161,-0.0262,0.397,-12.0,0.0
technical_basic,2025,11387,56.94,0.0012,-0.0076,0.419,0.75,0.4548
technical_basic,2026,5646,28.23,0.013,0.0518,0.489,4.23,0.0
technical_basic,all,18636,46.59,0.0031,0.0065,0.436,2.24,0.025
ichimoku,2025,337,1.69,-0.0075,-0.0262,0.418,-0.81,0.4188
ichimoku,2026,136,0.68,-0.0118,0.0544,0.449,-0.58,0.5603
ichimoku,all,473,1.18,-0.0087,-0.0075,0.427,-0.99,0.3205
alpha_zoo,2025,11921,59.6,0.0077,0.0067,0.444,4.47,0.0
alpha_zoo,2026,7419,37.09,0.0123,0.0367,0.495,4.49,0.0
alpha_zoo,all,21506,53.77,0.0064,0.0145,0.455,4.68,0.0
volatility,2025,8944,44.72,-0.0073,-0.02,0.404,-5.74,0.0
volatility,2026,3371,16.86,-0.0106,-0.0334,0.416,-3.71,0.0002
volatility,all,12315,30.79,-0.0082,-0.0228,0.407,-6.78,0.0
harmonic,2025,12498,62.49,-0.0018,-0.014,0.415,-1.32,0.1878
harmonic,2026,15075,75.38,-0.0033,-0.0129,0.439,-2.13,0.0334
harmonic,all,27574,68.94,-0.0026,-0.0135,0.428,-2.5,0.0125
turnover_anomaly,2025,23,0.12,0.0611,0.0134,0.565,1.64,0.1145
turnover_anomaly,2026,39,0.2,-0.0981,-0.1231,0.154,-4.86,0.0
turnover_anomaly,all,65,0.16,-0.0447,-0.015,0.292,-2.2,0.0316
ad_line,2025,6856,34.28,0.0011,-0.0031,0.417,0.66,0.5109
ad_line,2026,3195,15.97,0.0082,0.0105,0.464,2.31,0.021
ad_line,all,10898,27.25,0.0029,-0.0012,0.432,1.9,0.0578
