weight,period,thr,n,per_stock_mo,alpha20,alpha60,win20,t20,p20
W_A,2025,1,26867,11.19,0.001,-0.0012,0.419,1.05,0.2938
W_A,2025,2,10238,4.27,0.0059,-0.0001,0.439,3.35,0.0008
W_A,2025,3,1930,0.8,0.0105,-0.0044,0.445,2.41,0.0161
W_A,2025,4,93,0.04,0.0218,-0.0178,0.462,1.07,0.2896
W_A,2026,1,13627,5.68,0.0066,0.0242,0.472,3.62,0.0003
W_A,2026,2,5835,2.43,0.0169,0.0449,0.501,5.51,0.0
W_A,2026,3,1143,0.48,0.0309,0.0644,0.516,4.45,0.0
W_A,2026,4,68,0.03,0.0242,0.0976,0.515,1.01,0.314
W_A,all,1,45619,9.5,0.0017,0.0042,0.434,2.12,0.0343
W_A,all,2,17558,3.66,0.0076,0.0115,0.456,5.16,0.0
W_A,all,3,3342,0.7,0.0143,0.0151,0.461,4.05,0.0001
W_A,all,4,169,0.04,0.0194,0.0134,0.485,1.3,0.1949
W_B,2025,1,26867,11.19,0.001,-0.0012,0.419,1.05,0.2938
W_B,2025,2,17433,7.26,0.0034,0.0002,0.426,2.58,0.0099
W_B,2025,3,9388,3.91,0.0061,0.0001,0.439,3.26,0.0011
W_B,2025,4,6915,2.88,0.0073,-0.0013,0.448,3.23,0.0012
W_B,2025,5,1740,0.72,0.0105,-0.0069,0.444,2.24,0.0249
W_B,2025,6,93,0.04,0.0218,-0.0178,0.462,1.07,0.2896
W_B,2026,1,13627,5.68,0.0066,0.0242,0.472,3.62,0.0003
W_B,2026,2,9169,3.82,0.0098,0.04,0.486,4.12,0.0
W_B,2026,3,5424,2.26,0.0173,0.0459,0.503,5.36,0.0
W_B,2026,4,4370,1.82,0.0185,0.048,0.505,5.09,0.0
W_B,2026,5,1080,0.45,0.0314,0.0689,0.515,4.33,0.0
W_B,2026,6,68,0.03,0.0242,0.0976,0.515,1.01,0.314
W_B,all,1,45619,9.5,0.0017,0.0042,0.434,2.12,0.0343
W_B,all,2,29647,6.18,0.0035,0.0097,0.441,3.14,0.0017
W_B,all,3,16159,3.37,0.0077,0.0122,0.455,4.88,0.0
W_B,all,4,12174,2.54,0.0088,0.0126,0.461,4.72,0.0
W_B,all,5,3062,0.64,0.0145,0.0146,0.461,3.85,0.0001
W_B,all,6,169,0.04,0.0194,0.0134,0.485,1.3,0.1949
W_C,2025,1,11387,4.74,0.0012,-0.0076,0.419,0.75,0.4548
W_C,2025,2,11387,4.74,0.0012,-0.0076,0.419,0.75,0.4548
W_C,2025,3,11387,4.74,0.0012,-0.0076,0.419,0.75,0.4548
W_C,2026,1,5646,2.35,0.013,0.0518,0.489,4.23,0.0
W_C,2026,2,5646,2.35,0.013,0.0518,0.489,4.23,0.0
W_C,2026,3,5646,2.35,0.013,0.0518,0.489,4.23,0.0
W_C,all,1,18636,3.88,0.0031,0.0065,0.436,2.24,0.025
W_C,all,2,18636,3.88,0.0031,0.0065,0.436,2.24,0.025
W_C,all,3,18636,3.88,0.0031,0.0065,0.436,2.24,0.025
