horizon,factor_neutralized,full_sw_alpha,neutral_sw_alpha,delta,note
20,f1_sig,-0.00369,-0.00404,-0.00035,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
20,f2_fund,-0.00369,-0.0017,0.00199,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
20,f3_val,-0.00369,-0.00343,0.00026,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
20,f4_vol,-0.00369,-0.00518,-0.00149,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
20,f5_liq,-0.00369,-0.00339,0.0003,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
20,f6_trend,-0.00369,-0.00467,-0.00098,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
20,f7_regime,-0.00369,-0.00385,-0.00016,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
60,f1_sig,-0.00638,-0.00729,-0.00091,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
60,f2_fund,-0.00638,-0.0038,0.00258,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
60,f3_val,-0.00638,-0.00493,0.00145,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
60,f4_vol,-0.00638,-0.005,0.00138,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
60,f5_liq,-0.00638,-0.00744,-0.00106,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
60,f6_trend,-0.00638,-0.00743,-0.00105,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
60,f7_regime,-0.00638,-0.00139,0.00499,delta<0 => factor ADDS value (neutralizing lowers sw-alpha)
