variant,hold,n_trades,ann_sharpe,max_dd,total_ret,nav_end
V0_uniform_0pct,20,289,,0.0,0.0,1.0
V1_uniform_50pct,20,289,0.469,-0.247,0.6641,1.6641
V2_uniform_100pct,20,289,0.48,-0.2679,0.7266,1.7266
V4_conf_8f_ge4,20,289,0.435,-0.2494,0.5548,1.5548
V6_conf_2f_ge4,20,289,0.529,-0.2471,0.811,1.811
V3_conf_8f_ge3,20,348,0.727,-0.2921,1.215,2.215
V5_uniform_50pct_ge3,20,348,0.839,-0.2434,1.6629,2.6629
V0_uniform_0pct,60,289,,0.0,0.0,1.0
V1_uniform_50pct,60,289,0.508,-0.4196,0.7984,1.7984
V2_uniform_100pct,60,289,0.504,-0.4196,0.7875,1.7875
V4_conf_8f_ge4,60,289,0.491,-0.4205,0.7382,1.7382
V6_conf_2f_ge4,60,289,0.531,-0.4245,0.8661,1.8661
V3_conf_8f_ge3,60,348,0.386,-0.4356,0.5124,1.5124
V5_uniform_50pct_ge3,60,348,0.405,-0.4321,0.5336,1.5336
