n,mean_alpha,median_alpha,mean_ret,win_rate,std_alpha,t,p,variant,horizon
289,-0.00533957640662387,-0.0191936024071342,-0.0005934744922941052,0.4463667820069204,0.1560238500447579,-0.582,0.5612,V0_uniform_0pct,20
289,-0.00533957640662387,-0.0191936024071342,-0.0005934744922941052,0.4463667820069204,0.1560238500447579,-0.582,0.5612,V1_uniform_50pct,20
289,-0.00533957640662387,-0.0191936024071342,-0.0005934744922941052,0.4463667820069204,0.1560238500447579,-0.582,0.5612,V2_uniform_100pct,20
289,-0.00533957640662387,-0.0191936024071342,-0.0005934744922941052,0.4463667820069204,0.1560238500447579,-0.582,0.5612,V4_conf_8f_ge4,20
289,-0.00533957640662387,-0.0191936024071342,-0.0005934744922941052,0.4463667820069204,0.1560238500447579,-0.582,0.5612,V6_conf_2f_ge4,20
348,0.008937894904017363,-0.022470044672377183,0.02513872999804834,0.4367816091954023,0.18602189617102352,0.896,0.3707,V3_conf_8f_ge3,20
348,0.008937894904017363,-0.022470044672377183,0.02513872999804834,0.4367816091954023,0.18602189617102352,0.896,0.3707,V5_uniform_50pct_ge3,20
289,-0.0020046615973208703,-0.05412820446026591,0.009800859023331776,0.4013840830449827,0.2697017259775159,-0.126,0.8995,V0_uniform_0pct,60
289,-0.0020046615973208703,-0.05412820446026591,0.009800859023331776,0.4013840830449827,0.2697017259775159,-0.126,0.8995,V1_uniform_50pct,60
289,-0.0020046615973208703,-0.05412820446026591,0.009800859023331776,0.4013840830449827,0.2697017259775159,-0.126,0.8995,V2_uniform_100pct,60
289,-0.0020046615973208703,-0.05412820446026591,0.009800859023331776,0.4013840830449827,0.2697017259775159,-0.126,0.8995,V4_conf_8f_ge4,60
289,-0.0020046615973208703,-0.05412820446026591,0.009800859023331776,0.4013840830449827,0.2697017259775159,-0.126,0.8995,V6_conf_2f_ge4,60
348,0.002532098813325617,-0.03190965475102662,0.031903035166530924,0.4425287356321839,0.2631377318767773,0.18,0.8576,V3_conf_8f_ge3,60
348,0.002532098813325617,-0.03190965475102662,0.031903035166530924,0.4425287356321839,0.2631377318767773,0.18,0.8576,V5_uniform_50pct_ge3,60
