variant,horizon,n,size_weighted_alpha,equal_weight_alpha,delta
V1_uniform_50pct,20,289,-0.00534,-0.00534,0.0
V2_uniform_100pct,20,289,-0.00534,-0.00534,0.0
V4_conf_8f_ge4,20,289,-0.00369,-0.00534,0.00165
V6_conf_2f_ge4,20,289,-0.00354,-0.00534,0.0018
V3_conf_8f_ge3,20,348,0.00925,0.00894,0.00031
V5_uniform_50pct_ge3,20,348,0.00894,0.00894,0.0
V1_uniform_50pct,60,289,-0.002,-0.002,0.0
V2_uniform_100pct,60,289,-0.002,-0.002,0.0
V4_conf_8f_ge4,60,289,-0.00638,-0.002,-0.00438
V6_conf_2f_ge4,60,289,0.00077,-0.002,0.00277
V3_conf_8f_ge3,60,348,0.00773,0.00253,0.0052
V5_uniform_50pct_ge3,60,348,0.00253,0.00253,0.0
