ann_sharpe,max_dd,total_ret,n_days,variant,thr,exit,n_episodes,avg_n_pos
0.517,-0.2897,0.2148,452,V1_uniform_50pct,4,score_only,3136,34.22345132743363
0.598,-0.2484,0.2579,452,V4_conf_8f,4,score_only,3136,34.22345132743363
0.546,-0.2969,0.2346,452,V6_conf_2f,4,score_only,3136,34.22345132743363
0.546,-0.2969,0.2346,452,V6b_nocap_2f,4,score_only,3136,34.22345132743363
0.546,-0.2965,0.2345,452,V6b_cap15_2f,4,score_only,3136,34.22345132743363
0.546,-0.2969,0.2346,452,V6b_flo20_2f,4,score_only,3136,34.22345132743363
0.889,-0.2943,0.4413,452,V1_uniform_50pct,4,sticky,4112,58.04867256637168
0.726,-0.2577,0.3207,452,V4_conf_8f,4,sticky,4112,58.04867256637168
0.791,-0.2899,0.3805,452,V6_conf_2f,4,sticky,4112,58.04867256637168
0.791,-0.2899,0.3805,452,V6b_nocap_2f,4,sticky,4112,58.04867256637168
0.792,-0.29,0.3808,452,V6b_cap15_2f,4,sticky,4112,58.04867256637168
0.791,-0.2899,0.3805,452,V6b_flo20_2f,4,sticky,4112,58.04867256637168
