ann_sharpe,max_dd,total_ret,n_days,variant,conv,exit,thr,n_episodes,avg_n_pos,max_n_pos,ret_2025,sharpe_2025,ret_2026,sharpe_2026
1.776,-0.1604,0.9811,452,V1_uniform_50pct,A,both,4,3243,22.873893805309734,88,0.6057,3.261,0.2168,1.255
2.082,-0.1192,1.1112,452,V4_conf_8f,A,both,4,3243,22.873893805309734,88,0.5943,3.422,0.2656,1.703
1.828,-0.1646,1.0392,452,V6_conf_2f,A,both,4,3243,22.873893805309734,88,0.6162,3.271,0.2297,1.317
1.828,-0.1646,1.0392,452,V6b_nocap_2f,A,both,4,3243,22.873893805309734,88,0.6162,3.271,0.2297,1.317
1.826,-0.1646,1.0375,452,V6b_cap15_2f,A,both,4,3243,22.873893805309734,88,0.6155,3.267,0.2295,1.316
1.828,-0.1646,1.0392,452,V6b_flo20_2f,A,both,4,3243,22.873893805309734,88,0.6162,3.271,0.2297,1.317
0.38,-0.2901,0.1276,452,V1_uniform_50pct,B,both,4,3243,30.033185840707965,100,0.322,1.355,0.0104,0.051
0.536,-0.2341,0.2114,452,V4_conf_8f,B,both,4,3243,30.033185840707965,100,0.3015,1.318,0.0706,0.369
0.415,-0.2938,0.1485,452,V6_conf_2f,B,both,4,3243,30.033185840707965,100,0.3343,1.4,0.0139,0.067
0.415,-0.2938,0.1485,452,V6b_nocap_2f,B,both,4,3243,30.033185840707965,100,0.3343,1.4,0.0139,0.067
0.415,-0.2934,0.1486,452,V6b_cap15_2f,B,both,4,3243,30.033185840707965,100,0.334,1.399,0.0141,0.068
0.415,-0.2938,0.1485,452,V6b_flo20_2f,B,both,4,3243,30.033185840707965,100,0.3343,1.4,0.0139,0.067
