hold,cost_per_side,ann_sharpe,total_ret
5,0.0005,-0.2683,-0.2012
5,0.001,-0.3968,-0.2546
5,0.0015,-0.5253,-0.3045
5,0.002,-0.6537,-0.351
5,0.00275,-0.8462,-0.415
5,0.004,-1.1666,-0.508
5,0.006,-1.6775,-0.6271
5,0.008,-2.1857,-0.7174
5,0.01,-2.6905,-0.7859
5,0.015,-3.9327,-0.8931
5,0.02,-5.1387,-0.9467
5,0.03,-7.409,-0.9868
5,0.0,-0.1397,-0.144
10,0.0005,0.4942,0.2004
10,0.001,0.4134,0.1507
10,0.0015,0.3325,0.103
10,0.002,0.2516,0.0573
10,0.00275,0.13,-0.0077
10,0.004,-0.0727,-0.1073
10,0.006,-0.3975,-0.2464
10,0.008,-0.7225,-0.3639
10,0.01,-1.0475,-0.4631
10,0.015,-1.8574,-0.6487
10,0.02,-2.6602,-0.7703
10,0.03,-4.226,-0.9019
10,0.0,0.575,0.2523
20,0.0005,1.0958,0.6357
20,0.001,1.0469,0.5947
20,0.0015,0.998,0.5548
20,0.002,0.949,0.5158
20,0.00275,0.8755,0.4592
20,0.004,0.7528,0.3695
20,0.006,0.5561,0.2372
20,0.008,0.359,0.1177
20,0.01,0.1618,0.0097
20,0.015,-0.3316,-0.2171
20,0.02,-0.8239,-0.393
20,0.03,-1.798,-0.6355
20,0.0,1.1447,0.6777
30,0.0005,1.2145,0.7597
30,0.001,1.1821,0.7296
30,0.0015,1.1496,0.6999
30,0.002,1.117,0.6708
30,0.00275,1.0682,0.628
30,0.004,0.9868,0.5591
30,0.006,0.8562,0.4549
30,0.008,0.7254,0.3576
30,0.01,0.5945,0.2668
30,0.015,0.2667,0.0653
30,0.02,-0.0609,-0.1043
30,0.03,-0.7129,-0.3671
30,0.0,1.247,0.7904
