hold,year,n,mean_alpha,median_alpha,win_rate,mean_ret,t,p
5,2024,171,-0.0068,-0.0125,0.398,-0.0422,-1.42,0.1584
5,2025,590,-0.0024,-0.0132,0.385,0.0099,-0.69,0.4878
5,2026,271,-0.004,-0.013,0.413,-0.0017,-0.57,0.5677
5,0,1032,-0.0035,-0.0131,0.394,-0.0018,-1.27,0.2056
10,2024,171,-0.0,-0.0145,0.415,-0.0473,-0.01,0.9948
10,2025,590,0.0007,-0.0194,0.402,0.0255,0.14,0.8901
10,2026,265,0.0092,-0.0028,0.487,0.006,0.88,0.3777
10,0,1026,0.0028,-0.0157,0.426,0.0083,0.68,0.4987
20,2024,171,-0.0035,-0.0196,0.392,-0.0124,-0.42,0.6725
20,2025,590,0.0083,-0.0227,0.436,0.0609,1.17,0.2413
20,2026,260,0.0139,-0.0037,0.488,-0.0153,1.02,0.3076
20,0,1021,0.0078,-0.0191,0.442,0.0292,1.4,0.1616
30,2024,171,-0.0081,-0.0319,0.392,-0.0525,-0.81,0.4208
30,2025,590,0.0076,-0.0344,0.41,0.0762,0.88,0.3792
30,2026,245,0.0125,-0.0118,0.482,-0.0336,0.74,0.46
30,0,1006,0.0061,-0.0319,0.424,0.0276,0.91,0.3639
40,2024,171,-0.0215,-0.0482,0.392,-0.1227,-1.89,0.06
40,2025,590,0.0047,-0.038,0.408,0.0862,0.49,0.6241
40,2026,233,0.0226,-0.0288,0.455,-0.0449,1.19,0.2345
40,0,994,0.0044,-0.0371,0.416,0.0195,0.59,0.5569
60,2024,171,-0.0079,-0.0323,0.427,-0.011,-0.59,0.5557
60,2025,590,0.0008,-0.0415,0.425,0.1329,0.07,0.9408
60,2026,219,0.0192,-0.065,0.425,-0.1158,0.78,0.4383
60,0,980,0.0034,-0.0415,0.426,0.0522,0.39,0.7002
