code,date,score,year,tier,cluster
600030,2024-11-13,4,2024,ge3,td60
600030,2025-05-14,3,2025,ge3,td60
600030,2025-08-20,3,2025,ge3,td60
600030,2026-01-09,4,2026,ge3,td60
600030,2026-04-27,4,2026,ge3,td60
600030,2024-11-13,4,2024,ge4,td60
600030,2025-07-21,4,2025,ge4,td60
600030,2026-01-09,4,2026,ge4,td60
600030,2026-04-27,4,2026,ge4,td60
601788,2024-11-15,4,2024,ge3,td60
601788,2025-06-09,3,2025,ge3,td60
601788,2026-07-06,3,2026,ge3,td60
601788,2024-11-15,4,2024,ge4,td60
601788,2025-06-24,4,2025,ge4,td60
601696,2025-06-25,3,2025,ge3,td60
601696,2025-12-15,3,2025,ge3,td60
601696,2026-06-16,3,2026,ge3,td60
601696,2025-07-22,4,2025,ge4,td60
601696,2025-12-16,4,2025,ge4,td60
601696,2026-06-22,5,2026,ge4,td60
601688,2024-11-07,3,2024,ge3,td60
601688,2025-05-14,4,2025,ge3,td60
601688,2025-08-07,5,2025,ge3,td60
601688,2025-12-19,4,2025,ge3,td60
601688,2026-05-11,3,2026,ge3,td60
601688,2025-05-14,4,2025,ge4,td60
601688,2025-08-07,5,2025,ge4,td60
601688,2025-12-19,4,2025,ge4,td60
601688,2026-06-22,5,2026,ge4,td60
601995,2024-11-13,3,2024,ge3,td60
601995,2025-02-28,4,2025,ge3,td60
601995,2025-07-02,3,2025,ge3,td60
601995,2026-04-29,3,2026,ge3,td60
601995,2026-07-29,3,2026,ge3,td60
601995,2025-02-28,4,2025,ge4,td60
601995,2026-07-06,4,2026,ge4,td60
601990,2024-12-19,3,2024,ge3,td60
601990,2025-07-10,4,2025,ge3,td60
601990,2025-07-10,4,2025,ge4,td60
601901,2025-07-15,3,2025,ge3,td60
601901,2026-01-22,3,2026,ge3,td60
601901,2026-05-13,3,2026,ge3,td60
601901,2026-07-01,4,2026,ge4,td60
600643,2024-11-07,3,2024,ge3,td60
600643,2025-06-16,4,2025,ge3,td60
600643,2026-03-19,5,2026,ge3,td60
600643,2024-11-13,4,2024,ge4,td60
600643,2025-06-16,4,2025,ge4,td60
600643,2026-03-19,5,2026,ge4,td60
600050,2024-11-18,3,2024,ge3,td60
600050,2025-02-19,4,2025,ge3,td60
600050,2025-08-28,3,2025,ge3,td60
600050,2026-07-28,5,2026,ge3,td60
600050,2025-02-13,4,2025,ge4,td60
600050,2025-09-08,4,2025,ge4,td60
600050,2026-07-28,5,2026,ge4,td60
601633,2025-03-28,3,2025,ge3,td60
601633,2025-07-23,3,2025,ge3,td60
601633,2025-08-25,4,2025,ge4,td60
601919,2024-12-27,4,2024,ge3,td60
601919,2025-05-13,3,2025,ge3,td60
601919,2026-03-11,4,2026,ge3,td60
601919,2026-07-23,4,2026,ge3,td60
601919,2024-12-27,4,2024,ge4,td60
601919,2025-05-16,4,2025,ge4,td60
601919,2026-03-11,4,2026,ge4,td60
601919,2026-07-23,4,2026,ge4,td60
002601,2025-08-01,3,2025,ge3,td60
002601,2026-01-07,4,2026,ge3,td60
002601,2026-06-24,3,2026,ge3,td60
002601,2025-08-20,4,2025,ge4,td60
002601,2026-01-07,4,2026,ge4,td60
300003,2025-02-14,5,2025,ge3,td60
300003,2025-06-04,3,2025,ge3,td60
300003,2025-08-27,4,2025,ge3,td60
300003,2026-01-05,3,2026,ge3,td60
300003,2026-07-15,3,2026,ge3,td60
300003,2025-02-14,5,2025,ge4,td60
300003,2025-06-09,5,2025,ge4,td60
300003,2025-09-01,5,2025,ge4,td60
