tier,hold,cost_per_side,entry_lag,exit_rule,n_trades,ann_sharpe,max_dd,total_ret,avg_positions,turnover_ann,tag
ge3,5,0.0,0,fixed,1051,-0.1397,-0.3894,-0.144,11.37,73.77,
ge3,5,0.00275,0,fixed,1051,-0.8462,-0.4447,-0.415,11.37,73.77,net
ge3,5,0.00275,1,fixed,1047,-0.6211,-0.3864,-0.3346,11.35,73.66,net_t1
ge3,10,0.0,0,fixed,1051,0.575,-0.3537,0.2523,22.6,45.1,
ge3,10,0.00275,0,fixed,1051,0.13,-0.3709,-0.0077,22.6,45.1,net
ge3,10,0.00275,1,fixed,1047,0.5652,-0.3398,0.2456,22.55,45.07,net_t1
ge3,20,0.0,0,fixed,1051,1.1447,-0.3718,0.6777,44.99,27.05,
ge3,20,0.00275,0,fixed,1051,0.8755,-0.3819,0.4592,44.99,27.05,net
ge3,20,0.00275,1,fixed,1047,1.0521,-0.3954,0.6081,44.96,27.02,net_t1
ge3,30,0.0,0,fixed,1051,1.247,-0.3931,0.7904,67.19,18.43,
ge3,30,0.00275,0,fixed,1051,1.0682,-0.3991,0.628,67.19,18.43,net
ge3,30,0.00275,1,fixed,1047,1.2256,-0.3903,0.7747,67.1,18.39,net_t1
ge3,40,0.0,0,fixed,1051,1.1258,-0.3821,0.6859,89.03,14.74,
ge3,40,0.00275,0,fixed,1051,0.9843,-0.3865,0.5625,89.03,14.74,net
ge3,40,0.00275,1,fixed,1047,1.1654,-0.3836,0.7236,88.92,14.72,net_t1
ge3,60,0.0,0,fixed,1051,1.1405,-0.3635,0.6736,109.64,11.07,
ge3,60,0.00275,0,fixed,1051,1.031,-0.3661,0.5806,109.64,11.07,net
ge3,60,0.00275,1,fixed,1047,1.1166,-0.3708,0.6528,109.51,11.04,net_t1
ge4,5,0.0,0,fixed,838,1.1967,-0.4689,0.9555,9.09,73.34,
ge4,5,0.00275,0,fixed,838,0.6233,-0.492,0.3394,9.09,73.34,net
ge4,5,0.00275,1,fixed,834,0.7609,-0.4383,0.4649,9.08,73.12,net_t1
ge4,10,0.0,0,fixed,838,1.0568,-0.3464,0.6775,18.1,42.9,
ge4,10,0.00275,0,fixed,838,0.674,-0.3667,0.3444,18.1,42.9,net
ge4,10,0.00275,1,fixed,834,1.2959,-0.2952,0.9189,18.1,42.75,net_t1
ge4,20,0.0,0,fixed,838,1.4682,-0.3014,1.0346,36.21,25.07,
ge4,20,0.00275,0,fixed,838,1.2286,-0.3105,0.7878,36.21,25.07,net
ge4,20,0.00275,1,fixed,834,1.4895,-0.3216,1.0464,36.18,24.95,net_t1
ge4,30,0.0,0,fixed,838,1.5509,-0.2987,1.0944,54.07,17.56,
ge4,30,0.00275,0,fixed,838,1.3786,-0.3053,0.9131,54.07,17.56,net
ge4,30,0.00275,1,fixed,834,1.5779,-0.2954,1.1106,54.03,17.47,net_t1
ge4,40,0.0,0,fixed,838,1.3405,-0.3526,0.9076,71.82,13.76,
ge4,40,0.00275,0,fixed,838,1.2101,-0.3578,0.7769,71.82,13.76,net
ge4,40,0.00275,1,fixed,834,1.3808,-0.351,0.9427,71.77,13.68,net_t1
ge4,60,0.0,0,fixed,838,1.2952,-0.3911,0.8669,93.98,9.76,
ge4,60,0.00275,0,fixed,838,1.204,-0.3932,0.7752,93.98,9.76,net
ge4,60,0.00275,1,fixed,834,1.3151,-0.3929,0.8814,93.9,9.68,net_t1
