tier,hold,cost_per_side,entry_lag,exit_rule,n_trades,ann_sharpe,max_dd,total_ret,avg_positions,turnover_ann,tag,year
ge3,5,0.0,0,fixed,171,-0.3125,-0.1408,-0.072,1.86,8.04,gross,2024
ge3,5,0.00275,0,fixed,171,-0.5145,-0.1553,-0.1097,1.86,8.04,net,2024
ge3,20,0.0,0,fixed,171,-0.5026,-0.1442,-0.0961,7.45,4.8,gross,2024
ge3,20,0.00275,0,fixed,171,-0.6363,-0.1488,-0.1182,7.45,4.8,net,2024
ge3,60,0.0,0,fixed,171,0.34,-0.1551,0.0627,22.39,4.08,gross,2024
ge3,60,0.00275,0,fixed,171,0.2434,-0.1567,0.0405,22.39,4.08,net,2024
ge3,5,0.0,0,fixed,590,0.9132,-0.1869,0.2761,7.45,46.83,gross,2025
ge3,5,0.00275,0,fixed,590,0.2041,-0.2339,0.0331,7.45,46.83,net,2025
ge3,20,0.0,0,fixed,590,2.768,-0.1549,1.3733,29.72,17.63,gross,2025
ge3,20,0.00275,0,fixed,590,2.5309,-0.1585,1.1919,29.72,17.63,net,2025
ge3,60,0.0,0,fixed,590,1.7462,-0.1928,0.8077,76.3,9.57,gross,2025
ge3,60,0.00275,0,fixed,590,1.6285,-0.1994,0.7313,76.3,9.57,net,2025
ge3,5,0.0,0,fixed,290,-0.9723,-0.3894,-0.2295,9.03,77.26,gross,2026
ge3,5,0.00275,0,fixed,290,-1.5568,-0.4447,-0.3245,9.03,77.26,net,2026
ge3,20,0.0,0,fixed,290,0.426,-0.3718,0.0552,34.86,29.82,gross,2026
ge3,20,0.00275,0,fixed,290,0.1973,-0.3819,0.0046,34.86,29.82,net,2026
ge3,60,0.0,0,fixed,290,0.6161,-0.3536,0.0993,88.21,15.81,gross,2026
ge3,60,0.00275,0,fixed,290,0.5016,-0.3564,0.0724,88.21,15.81,net,2026
