date,801010_农林牧渔,801030_基础化工,801040_钢铁,801050_有色金属,801080_电子,801110_家用电器,801120_食品饮料,801130_纺织服饰,801140_轻工制造,801150_医药生物,801160_公用事业,801170_交通运输,801180_房地产,801200_商贸零售,801210_社会服务,801230_综合,801710_建筑材料,801720_建筑装饰,801730_电力设备,801740_国防军工,801750_计算机,801760_传媒,801770_通信,801780_银行,801790_非银金融,801880_汽车,801890_机械设备,801950_煤炭,801960_石油石化,801970_环保,801980_美容护理
1999-12-30,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,
2000-01-04,1027.66,1025.03,1022.21,1029.82,1043.81,1033.04,1024.64,1024.9,1025.14,1026.71,1024.38,1026.69,1032.15,1037.24,1023.37,1029.81,,,,,,,,,,,,,,,
2000-01-05,1028.87,1034.06,1022.25,1032.6,1047.01,1022.01,1029.26,1029.68,1032.21,1029.57,1028.22,1031.12,1034.17,1049.97,1031.92,1047.65,,,,,,,,,,,,,,,
2000-01-06,1065.67,1081.01,1056.28,1071.66,1095.48,1080.93,1068.67,1058.86,1069.82,1067.96,1070.19,1066.99,1069.96,1087.33,1068.37,1083.61,,,,,,,,,,,,,,,
2000-01-07,1106.19,1114.65,1102.06,1116.23,1128.03,1147.08,1110.33,1101.92,1107.35,1108.28,1104.79,1109.21,1107.52,1142.12,1103.45,1132.7,,,,,,,,,,,,,,,
2000-01-10,1130.06,1128.31,1107.3,1178.55,1144.21,1163.55,1128.06,1133.9,1126.33,1129.94,1126.27,1126.38,1133.78,1174.94,1128.08,1164.68,,,,,,,,,,,,,,,
2000-01-11,1104.18,1074.06,1057.53,1115.6,1102.85,1095.61,1100.37,1078.49,1094.73,1086.76,1076.1,1078.71,1083.97,1134.88,1077.84,1115.26,,,,,,,,,,,,,,,
2000-01-12,1080.4,1042.69,1032.39,1083.88,1059.7,1064.93,1077.06,1047.47,1059.84,1053.34,1045.81,1050.72,1058.68,1108.82,1042.32,1088.57,,,,,,,,,,,,,,,
2000-01-13,1066.57,1034.76,1045.07,1074.29,1052.12,1051.97,1065.91,1038.99,1045.29,1048.31,1039.79,1041.98,1051.14,1083.83,1035.9,1075.84,,,,,,,,,,,,,,,
2000-01-14,1062.16,1022.44,1027.91,1060.16,1037.85,1035.04,1050.7,1026.18,1042.81,1036.22,1033.03,1030.26,1038.64,1081.99,1030.25,1063.67,,,,,,,,,,,,,,,
2000-01-17,1085.92,1038.64,1039.32,1088.92,1056.25,1056.72,1067.68,1042.91,1055.99,1057.05,1052.99,1050.78,1057.72,1116.49,1049.38,1087.63,,,,,,,,,,,,,,,
2000-01-18,1076.92,1041.23,1040.98,1083.01,1053.13,1047.28,1060.86,1043.68,1059.99,1055.75,1063.16,1048.31,1053.7,1103.0,1045.66,1081.08,,,,,,,,,,,,,,,
2000-01-19,1110.19,1051.28,1067.94,1089.33,1068.37,1059.81,1080.1,1057.25,1066.55,1071.83,1068.01,1057.63,1062.14,1113.65,1052.51,1099.02,,,,,,,,,,,,,,,
2000-01-20,1149.22,1064.11,1068.96,1119.08,1093.45,1076.99,1101.26,1070.17,1088.12,1093.7,1079.78,1069.98,1082.54,1144.86,1077.26,1119.25,,,,,,,,,,,,,,,
2000-01-21,1148.63,1056.18,1055.93,1111.1,1109.01,1082.81,1095.67,1066.12,1081.67,1088.86,1082.78,1071.66,1080.92,1150.31,1074.77,1129.79,,,,,,,,,,,,,,,
2000-01-24,1172.99,1054.27,1069.07,1126.48,1138.13,1095.5,1114.25,1095.26,1085.43,1113.7,1101.43,1079.28,1092.06,1181.01,1093.15,1144.44,,,,,,,,,,,,,,,
2000-01-25,1196.05,1060.84,1079.05,1131.02,1143.11,1099.64,1106.62,1093.56,1083.77,1109.4,1094.52,1077.57,1093.5,1174.23,1097.23,1137.18,,,,,,,,,,,,,,,
2000-01-26,1200.14,1061.37,1090.39,1134.4,1139.56,1096.63,1119.97,1097.7,1088.15,1113.5,1097.6,1083.72,1102.74,1177.57,1099.85,1140.3,,,,,,,,,,,,,,,
2000-01-27,1210.27,1066.38,1077.36,1149.17,1199.35,1109.53,1122.66,1098.8,1104.65,1134.28,1115.67,1087.26,1119.8,1203.78,1121.62,1184.59,,,,,,,,,,,,,,,
2000-01-28,1216.79,1082.05,1083.06,1168.21,1234.92,1130.98,1145.8,1119.34,1120.25,1150.49,1135.44,1100.44,1146.88,1247.55,1166.6,1220.55,,,,,,,,,,,,,,,
2000-02-14,1328.78,1177.35,1175.3,1274.65,1352.56,1238.34,1244.34,1216.7,1225.67,1252.47,1241.66,1201.02,1250.26,1366.71,1278.0,1334.41,,,,,,,,,,,,,,,
2000-02-15,1356.6,1158.1,1131.53,1273.18,1385.69,1222.6,1219.03,1196.63,1220.77,1239.96,1268.06,1208.12,1248.13,1409.16,1298.58,1378.31,,,,,,,,,,,,,,,
2000-02-16,1404.39,1173.22,1128.89,1282.95,1427.97,1210.59,1222.73,1200.84,1233.59,1237.01,1293.63,1244.17,1281.06,1482.1,1325.12,1432.5,,,,,,,,,,,,,,,
2000-02-17,1369.7,1144.86,1139.81,1209.91,1325.86,1161.76,1172.03,1183.78,1218.85,1177.34,1238.69,1253.45,1250.23,1403.74,1257.92,1365.0,,,,,,,,,,,,,,,
