month,ipo_count,ipo_proceeds_wan
2010-01-31,32,3678563.6
2010-02-28,19,3901201.55
2010-03-31,32,3013492.8
2010-04-30,28,3494149.59095
2010-05-31,34,4279796.9
2010-06-30,18,1820874.9
2010-07-31,22,8538780.184
2010-08-31,25,4627382.7
2010-09-30,26,3481016.0
2010-10-31,23,2854454.25
2010-11-30,24,2961139.6
2010-12-31,34,4031959.6
2011-01-31,33,3307785.396
2011-02-28,26,2816094.104
2011-03-31,26,2685614.52
2011-04-30,20,1675019.5
2011-05-31,26,2594252.0
2011-06-30,26,1438128.8
2011-07-31,19,1127400.0
2011-08-31,22,2685402.0
2011-09-30,17,2713075.9
2011-10-31,13,913809.784
2011-11-30,15,1355250.6
2011-12-31,17,1759974.1
2012-01-31,5,205216.8
2012-02-29,17,1738915.887
2012-03-31,22,1431774.0
2012-04-30,15,1234223.482
2012-05-31,23,1645338.1099999999
2012-06-30,12,805600.6
2012-07-31,19,1197329.41
2012-08-31,11,643126.5
2012-09-30,10,563889.264
2012-10-31,1,3870.0
2014-01-31,39,2882142.936393
2014-02-28,3,136741.0099
2014-06-30,9,553346.64
2014-07-31,10,365861.53
2014-08-31,9,602543.3
2014-09-30,14,512827.93
2014-10-31,11,443081.83
2014-11-30,12,860885.67
2014-12-31,10,1119523.3
2015-01-31,21,1178879.6
2015-02-28,24,1466752.54
2015-03-31,22,2089447.4799999997
2015-04-30,29,1543167.4032
2015-05-31,44,1906674.02
2015-06-30,46,6328847.5514
2015-11-30,1,59855.159999999996
2015-12-31,24,901544.7975999999
2016-01-31,6,332131.15
2016-02-29,6,269081.8
2016-03-31,13,608548.48
2016-04-30,15,762877.58
2016-05-31,14,678653.43
2016-06-30,14,637115.72
2016-07-31,15,1637239.06
2016-08-31,26,2157164.272
2016-09-30,26,1325541.552806
2016-10-31,21,1410202.3797839999
2016-11-30,39,3617358.574875
2016-12-31,51,2934448.4703430003
2017-01-31,53,2379712.5513
2017-02-28,23,1224692.3996000001
2017-03-31,50,2769536.94257
2017-04-30,36,1802964.958145
2017-05-31,35,1655550.9
2017-06-30,36,1713250.1264159998
2017-07-31,35,1828336.517371
2017-08-31,33,1656503.5262
2017-09-30,34,1639059.8216
2017-10-31,30,1687411.805911
2017-11-30,30,2020220.757888
2017-12-31,17,1270581.0196
2018-01-31,18,2383514.783216
2018-02-28,8,1119098.2195000001
2018-03-31,8,429186.392
2018-04-30,8,716156.823553
2018-05-31,9,3644104.7858329997
2018-06-30,9,918403.836915
2018-07-31,4,338985.69221
2018-08-31,8,577305.077435
2018-09-30,10,1808801.748198
2018-10-31,5,447586.73821599997
2018-11-30,7,903581.3811
2018-12-31,7,452542.911146
2019-01-31,14,1265500.826476
2019-02-28,5,395690.42725999997
2019-03-31,10,877727.008099
2019-04-30,14,1746376.463792
2019-05-31,9,532198.677815
2019-06-30,12,1307575.6803110002
2019-07-31,42,5099116.344723
2019-08-31,10,1753633.0339
2019-09-30,10,1020244.4624
2019-10-31,29,3450138.378678
2019-11-30,28,6141595.341192001
2019-12-31,18,1293105.033867
2020-01-31,21,4712106.759031
2020-02-29,15,1924448.8694860002
2020-03-31,17,1268964.33436
2020-04-30,23,1834454.2498
2020-05-31,22,2520068.47459
2020-06-30,28,1903746.1222
2020-07-31,84,11237420.897306
2020-08-31,63,6470069.677854
2020-09-30,57,6013284.8756099995
2020-10-31,25,3210119.977955
2020-11-30,33,2699414.565168
2020-12-31,53,3678942.918536
2021-01-31,44,3343883.966672
2021-02-28,25,1796243.468162
2021-03-31,49,2981453.039124
2021-04-30,52,4074874.650204
2021-05-31,43,6137646.909204
2021-06-30,52,3259138.9489100003
2021-07-31,52,3828497.23557
2021-08-31,43,9739556.356758
2021-09-30,36,2505221.226129
2021-10-31,40,3997278.482984
2021-11-30,41,4518776.754291
2021-12-31,42,13390032.005814
2022-01-31,26,5179695.168137
2022-02-28,19,1944244.232836
2022-03-31,42,6137463.934712
2022-04-30,28,6266585.447972001
2022-05-31,27,2104038.423099
2022-06-30,34,3906224.868687
2022-07-31,31,4195650.477681
2022-08-31,50,7281999.515424
2022-09-30,50,6110929.921018
2022-10-31,24,2140719.517571
2022-11-30,41,3250372.451406
2022-12-31,44,3200943.20501
2023-01-31,18,2168496.676947
2023-02-28,27,1923524.711474
2023-03-31,41,5494629.247905
2023-04-30,26,4375695.783505
2023-05-31,35,4061116.71744
2023-06-30,37,3567561.1992430002
2023-07-31,37,6471247.475757
2023-08-31,28,2777867.446867
2023-09-30,18,1651176.776496
2023-10-31,14,751926.230844
2023-11-30,16,1033269.748395
2023-12-31,17,1282081.990326
2024-01-31,16,1365213.202202
2024-02-29,3,211757.44470000002
2024-03-31,12,642049.415605
2024-04-30,3,113495.268416
2024-05-31,4,245883.8
2024-06-30,5,429551.37559
2024-07-31,6,470793.265
2024-08-31,10,535962.934286
2024-09-30,10,513468.372996
2024-10-31,11,485486.427901
2024-11-30,10,654330.87092
2024-12-31,12,858976.2315560001
2025-01-31,8,475119.365526
2025-02-28,5,387905.665372
2025-03-31,14,778219.122076
2025-04-30,7,643726.756536
2025-05-31,8,977008.8725500001
2025-06-30,6,512253.78476
2025-07-31,9,2076820.437052
2025-08-31,7,272075.592299
2025-09-30,12,1169212.253154
2025-10-31,11,1529207.056524
2025-11-30,10,2048439.697422
2025-12-31,15,1908481.663683
2026-01-31,12,1150145.642418
2026-02-28,8,423484.779826
2026-03-31,15,1404029.969299
2026-04-30,17,1789328.120047
2026-05-31,12,1018682.240598
2026-06-30,11,3320298.4272529995
2026-07-31,17,7235363.957010001
2026-08-31,19,2147236.451864
2026-09-30,12,1282971.0841150002
