observation_date,DEXINUS
1990-01-02,16.9600
1990-01-03,16.9900
1990-01-04,16.9400
1990-01-05,16.9300
1990-01-08,16.9300
1990-01-09,16.9300
1990-01-10,16.9200
1990-01-11,16.9300
1990-01-12,16.9400
1990-01-15,
1990-01-16,16.9700
1990-01-17,16.9700
1990-01-18,16.9800
1990-01-19,16.9700
1990-01-22,17.0300
1990-01-23,17.0000
1990-01-24,16.9800
1990-01-25,16.9900
1990-01-26,16.9700
1990-01-29,16.9700
1990-01-30,16.9600
1990-01-31,16.9700
1990-02-01,16.9600
1990-02-02,16.9600
1990-02-05,16.9500
1990-02-06,16.9500
1990-02-07,16.9500
1990-02-08,16.9600
1990-02-09,16.9600
1990-02-12,16.9900
1990-02-13,16.9800
1990-02-14,16.9700
1990-02-15,16.9700
1990-02-16,16.9600
1990-02-19,
1990-02-20,17.0000
1990-02-21,17.0300
1990-02-22,17.0000
1990-02-23,17.0200
1990-02-26,17.0500
1990-02-27,17.0700
1990-02-28,17.0700
1990-03-01,17.0700
1990-03-02,17.0800
1990-03-05,17.0500
1990-03-06,17.0700
1990-03-07,17.0500
1990-03-08,17.0600
1990-03-09,17.1000
1990-03-12,17.0900
1990-03-13,17.1000
1990-03-14,17.0900
1990-03-15,17.0700
1990-03-16,17.0800
1990-03-19,17.1100
1990-03-20,17.0900
1990-03-21,17.1300
1990-03-22,17.1600
1990-03-23,17.1600
1990-03-26,17.2200
1990-03-27,17.2100
1990-03-28,17.1800
1990-03-29,17.1700
1990-03-30,17.2200
1990-04-02,17.2300
1990-04-03,17.2400
1990-04-04,17.2300
1990-04-05,17.2400
1990-04-06,17.2400
1990-04-09,17.2400
1990-04-10,17.2800
1990-04-11,17.2500
1990-04-12,17.2500
1990-04-13,17.2500
1990-04-16,17.2500
1990-04-17,17.3300
1990-04-18,17.3000
1990-04-19,17.2900
1990-04-20,17.3400
1990-04-23,17.3600
1990-04-24,17.3500
1990-04-25,17.3400
1990-04-26,17.3900
1990-04-27,17.3900
1990-04-30,17.3900
1990-05-01,17.3800
1990-05-02,17.3900
1990-05-03,17.3700
1990-05-04,17.3300
1990-05-07,17.3300
1990-05-08,17.3500
1990-05-09,17.3200
1990-05-10,17.3000
1990-05-11,17.2900
1990-05-14,17.3100
1990-05-15,17.3100
1990-05-16,17.3100
1990-05-17,17.3300
1990-05-18,17.2500
1990-05-21,17.2900
1990-05-22,17.3000
1990-05-23,17.2900
1990-05-24,17.3100
1990-05-25,17.3000
1990-05-28,
1990-05-29,17.3700
1990-05-30,17.3500
1990-05-31,17.3600
1990-06-01,17.3800
1990-06-04,17.4400
1990-06-05,17.4200
1990-06-06,17.4000
1990-06-07,17.3800
1990-06-08,17.4400
1990-06-11,17.4600
1990-06-12,17.4200
1990-06-13,17.3800
1990-06-14,17.4200
1990-06-15,17.4300
1990-06-18,17.4200
1990-06-19,17.4200
1990-06-20,17.4200
1990-06-21,17.4200
1990-06-22,17.4500
1990-06-25,17.4400
1990-06-26,17.4000
1990-06-27,17.4200
1990-06-28,17.4500
1990-06-29,17.4300
1990-07-02,17.4500
1990-07-03,17.4500
1990-07-04,
1990-07-05,17.4200
1990-07-06,17.4200
1990-07-09,17.3800
1990-07-10,17.3600
1990-07-11,17.3900
