observation_date,DEXNOUS
1990-01-02,6.6375
1990-01-03,6.6575
1990-01-04,6.5700
1990-01-05,6.5500
1990-01-08,6.5070
1990-01-09,6.5220
1990-01-10,6.5100
1990-01-11,6.5160
1990-01-12,6.4920
1990-01-15,
1990-01-16,6.5320
1990-01-17,6.5270
1990-01-18,6.5740
1990-01-19,6.5850
1990-01-22,6.6185
1990-01-23,6.5580
1990-01-24,6.5250
1990-01-25,6.5375
1990-01-26,6.5400
1990-01-29,6.4925
1990-01-30,6.5050
1990-01-31,6.5130
1990-02-01,6.4950
1990-02-02,6.5080
1990-02-05,6.4580
1990-02-06,6.4450
1990-02-07,6.4300
1990-02-08,6.4730
1990-02-09,6.4715
1990-02-12,6.4495
1990-02-13,6.4700
1990-02-14,6.4700
1990-02-15,6.4865
1990-02-16,6.4805
1990-02-19,
1990-02-20,6.4790
1990-02-21,6.4540
1990-02-22,6.4525
1990-02-23,6.4700
1990-02-26,6.5150
1990-02-27,6.5075
1990-02-28,6.5290
1990-03-01,6.5850
1990-03-02,6.6050
1990-03-05,6.5775
1990-03-06,6.5750
1990-03-07,6.5825
1990-03-08,6.5725
1990-03-09,6.6010
1990-03-12,6.6200
1990-03-13,6.6500
1990-03-14,6.6230
1990-03-15,6.5975
1990-03-16,6.5720
1990-03-19,6.5575
1990-03-20,6.5940
1990-03-21,6.6250
1990-03-22,6.6135
1990-03-23,6.6200
1990-03-26,6.6190
1990-03-27,6.6120
1990-03-28,6.6050
1990-03-29,6.5850
1990-03-30,6.5455
1990-04-02,6.6020
1990-04-03,6.5850
1990-04-04,6.5750
1990-04-05,6.5800
1990-04-06,6.5630
1990-04-09,6.5545
1990-04-10,6.5600
1990-04-11,6.5170
1990-04-12,6.5150
1990-04-13,6.5250
1990-04-16,6.5325
1990-04-17,6.5290
1990-04-18,6.5200
1990-04-19,6.5125
1990-04-20,6.5595
1990-04-23,6.5630
1990-04-24,6.5575
1990-04-25,6.5340
1990-04-26,6.5305
1990-04-27,6.5145
1990-04-30,6.5300
1990-05-01,6.5320
1990-05-02,6.5220
1990-05-03,6.5200
1990-05-04,6.4800
1990-05-07,6.4500
1990-05-08,6.4480
1990-05-09,6.3960
1990-05-10,6.4050
1990-05-11,6.3755
1990-05-14,6.4005
1990-05-15,6.4110
1990-05-16,6.3995
1990-05-17,6.4000
1990-05-18,6.4085
1990-05-21,6.4450
1990-05-22,6.4495
1990-05-23,6.4505
1990-05-24,6.4600
1990-05-25,6.4775
1990-05-28,
1990-05-29,6.4430
1990-05-30,6.4650
1990-05-31,6.5100
1990-06-01,6.5050
1990-06-04,6.5140
1990-06-05,6.5170
1990-06-06,6.4915
1990-06-07,6.5020
1990-06-08,6.5175
1990-06-11,6.5050
1990-06-12,6.5025
1990-06-13,6.4925
1990-06-14,6.4950
1990-06-15,6.5100
1990-06-18,6.4130
1990-06-19,6.4390
1990-06-20,6.4580
1990-06-21,6.4630
1990-06-22,6.4390
1990-06-25,6.4540
1990-06-26,6.4175
1990-06-27,6.4050
1990-06-28,6.4200
1990-06-29,6.4090
1990-07-02,6.3720
1990-07-03,6.3520
1990-07-04,
1990-07-05,6.3400
1990-07-06,6.3510
1990-07-09,6.3300
1990-07-10,6.3110
1990-07-11,6.3310
1990-07-12,6.3000
1990-07-13,6.3100
1990-07-16,6.3380
1990-07-17,6.3190
1990-07-18,6.3030
1990-07-19,6.2965
1990-07-20,6.2990
1990-07-23,6.2500
1990-07-24,6.2410
1990-07-25,6.2535
1990-07-26,6.2625
1990-07-27,6.2275
1990-07-30,6.2080
1990-07-31,6.1465
1990-08-01,6.1640
1990-08-02,6.1675
1990-08-03,6.1615
1990-08-06,6.1090
1990-08-07,6.1125
1990-08-08,6.1560
1990-08-09,6.1500
1990-08-10,6.1400
1990-08-13,6.1100
1990-08-14,6.0840
1990-08-15,6.0625
1990-08-16,6.0655
1990-08-17,6.0290
1990-08-20,6.0450
1990-08-21,6.0500
1990-08-22,6.0360
1990-08-23,6.0030
1990-08-24,6.0250
1990-08-27,6.0055
1990-08-28,6.0090
1990-08-29,6.0260
1990-08-30,6.0610
1990-08-31,6.0900
1990-09-03,
