observation_date,DEXSIUS
1990-01-02,1.9030
1990-01-03,1.9085
1990-01-04,1.9000
1990-01-05,1.9090
1990-01-08,1.8960
1990-01-09,1.9005
1990-01-10,1.8955
1990-01-11,1.8955
1990-01-12,1.8935
1990-01-15,
1990-01-16,1.8935
1990-01-17,1.8890
1990-01-18,1.8900
1990-01-19,1.8770
1990-01-22,1.8795
1990-01-23,1.8820
1990-01-24,1.8760
1990-01-25,1.8775
1990-01-26,1.8720
1990-01-29,1.8690
1990-01-30,1.8615
1990-01-31,1.8640
1990-02-01,1.8650
1990-02-02,1.8675
1990-02-05,1.8660
1990-02-06,1.8570
1990-02-07,1.8595
1990-02-08,1.8630
1990-02-09,1.8645
1990-02-12,1.8635
1990-02-13,1.8660
1990-02-14,1.8635
1990-02-15,1.8650
1990-02-16,1.8690
1990-02-19,
1990-02-20,1.8600
1990-02-21,1.8610
1990-02-22,1.8640
1990-02-23,1.8660
1990-02-26,1.8650
1990-02-27,1.8655
1990-02-28,1.8670
1990-03-01,1.8750
1990-03-02,1.8750
1990-03-05,1.8725
1990-03-06,1.8730
1990-03-07,1.8745
1990-03-08,1.8740
1990-03-09,1.8725
1990-03-12,1.8740
1990-03-13,1.8775
1990-03-14,1.8750
1990-03-15,1.8750
1990-03-16,1.8740
1990-03-19,1.8740
1990-03-20,1.8745
1990-03-21,1.8795
1990-03-22,1.8820
1990-03-23,1.8805
1990-03-26,1.8835
1990-03-27,1.8840
1990-03-28,1.8875
1990-03-29,1.8865
1990-03-30,1.8855
1990-04-02,1.8860
1990-04-03,1.8845
1990-04-04,1.8800
1990-04-05,1.8780
1990-04-06,1.8755
1990-04-09,1.8770
1990-04-10,1.8800
1990-04-11,1.8775
1990-04-12,1.8770
1990-04-13,1.8770
1990-04-16,1.8770
1990-04-17,1.8790
1990-04-18,1.8795
1990-04-19,1.8750
1990-04-20,1.8750
1990-04-23,1.8775
1990-04-24,1.8795
1990-04-25,1.8775
1990-04-26,1.8775
1990-04-27,1.8775
1990-04-30,1.8770
1990-05-01,1.8760
1990-05-02,1.8750
1990-05-03,1.8775
1990-05-04,1.8760
1990-05-07,1.8760
1990-05-08,1.8695
1990-05-09,1.8670
1990-05-10,1.8630
1990-05-11,1.8510
1990-05-14,1.8505
1990-05-15,1.8495
1990-05-16,1.8540
1990-05-17,1.8535
1990-05-18,1.8538
1990-05-21,1.8542
1990-05-22,1.8544
1990-05-23,1.8500
1990-05-24,1.8480
1990-05-25,1.8480
1990-05-28,
1990-05-29,1.8460
1990-05-30,1.8485
1990-05-31,1.8540
1990-06-01,1.8540
1990-06-04,1.8540
1990-06-05,1.8510
1990-06-06,1.8490
1990-06-07,1.8494
1990-06-08,1.8495
1990-06-11,1.8520
1990-06-12,1.8490
1990-06-13,1.8485
1990-06-14,1.8485
1990-06-15,1.8500
1990-06-18,1.8490
1990-06-19,1.8425
1990-06-20,1.8425
1990-06-21,1.8425
1990-06-22,1.8425
