observation_date,DEXTHUS
1990-01-02,25.7100
1990-01-03,
1990-01-04,25.8000
1990-01-05,25.7100
1990-01-08,25.7400
1990-01-09,25.7100
1990-01-10,25.7400
1990-01-11,25.7400
1990-01-12,25.7400
1990-01-15,
1990-01-16,25.7500
1990-01-17,25.7500
1990-01-18,25.7500
1990-01-19,25.7900
1990-01-22,25.8000
1990-01-23,25.8000
1990-01-24,25.7600
1990-01-25,25.7500
1990-01-26,
1990-01-29,25.6900
1990-01-30,25.6900
1990-01-31,25.7300
1990-02-01,25.7200
1990-02-02,25.7200
1990-02-05,25.7400
1990-02-06,25.7100
1990-02-07,25.7100
1990-02-08,25.7300
1990-02-09,25.7300
1990-02-12,25.7100
1990-02-13,25.7200
1990-02-14,25.7100
1990-02-15,25.7200
1990-02-16,25.7300
1990-02-19,
1990-02-20,25.7000
1990-02-21,25.7200
1990-02-22,25.7200
1990-02-23,25.7300
1990-02-26,25.7800
1990-02-27,25.8000
1990-02-28,25.8200
1990-03-01,25.8500
1990-03-02,25.8700
1990-03-05,25.8700
1990-03-06,25.8200
1990-03-07,25.8600
1990-03-08,25.8500
1990-03-09,25.8800
1990-03-12,25.8800
1990-03-13,25.9300
1990-03-14,25.9100
1990-03-15,25.9200
1990-03-16,25.9000
1990-03-19,25.9100
1990-03-20,25.9100
1990-03-21,25.9100
1990-03-22,26.0000
1990-03-23,25.9900
1990-03-26,25.9900
1990-03-27,26.0300
1990-03-28,26.0600
1990-03-29,26.0200
1990-03-30,26.0000
1990-04-02,26.0700
1990-04-03,26.0500
1990-04-04,26.0500
1990-04-05,26.0200
1990-04-06,26.0200
1990-04-09,25.9900
1990-04-10,26.0300
1990-04-11,26.0300
1990-04-12,26.0300
1990-04-13,
1990-04-16,26.0300
1990-04-17,26.0500
1990-04-18,26.0500
1990-04-19,26.0100
1990-04-20,25.9800
1990-04-23,25.9900
1990-04-24,26.0200
1990-04-25,
1990-04-26,26.0100
1990-04-27,26.0300
1990-04-30,26.0000
1990-05-01,
1990-05-02,26.0200
1990-05-03,26.0100
1990-05-04,26.0200
1990-05-07,26.0100
1990-05-08,26.0200
1990-05-09,25.9700
1990-05-10,25.9300
1990-05-11,25.9000
1990-05-14,26.4250
1990-05-15,25.8300
1990-05-16,25.8400
1990-05-17,25.8400
1990-05-18,25.8600
1990-05-21,25.8700
1990-05-22,25.8800
1990-05-23,25.8500
1990-05-24,25.8500
1990-05-25,25.8400
1990-05-28,
1990-05-29,25.8100
1990-05-30,25.8500
1990-05-31,25.8600
1990-06-01,25.8900
1990-06-04,25.9000
1990-06-05,25.8900
1990-06-06,25.8900
1990-06-07,25.8900
1990-06-08,25.8900
1990-06-11,25.9200
1990-06-12,25.9100
1990-06-13,25.9000
1990-06-14,25.8700
1990-06-15,25.8900
1990-06-18,25.8700
1990-06-19,25.8500
1990-06-20,25.8500
1990-06-21,25.8600
1990-06-22,25.8700
1990-06-25,25.8800
1990-06-26,25.8800
1990-06-27,25.8400
1990-06-28,25.8400
1990-06-29,25.8100
1990-07-02,25.7800
1990-07-03,25.7600
