observation_date,EXGEUS
1971-01-01,3.6370
1971-02-01,3.6313
1971-03-01,3.6313
1971-04-01,3.6343
1971-05-01,3.5535
1971-06-01,3.5121
1971-07-01,3.4810
1971-08-01,3.4159
1971-09-01,3.3567
1971-10-01,3.3262
1971-11-01,3.3329
1971-12-01,3.2688
1972-01-01,3.2306
1972-02-01,3.1858
1972-03-01,3.1746
1972-04-01,3.1778
1972-05-01,3.1793
1972-06-01,3.1686
1972-07-01,3.1612
1972-08-01,3.1865
1972-09-01,3.1931
1972-10-01,3.2068
1972-11-01,3.2036
1972-12-01,3.1988
1973-01-01,3.1962
1973-02-01,3.0055
1973-03-01,2.8132
1973-04-01,2.8368
1973-05-01,2.7909
1973-06-01,2.5796
1973-07-01,2.3360
1973-08-01,2.4270
1973-09-01,2.4246
1973-10-01,2.4139
1973-11-01,2.5811
1973-12-01,2.6577
1974-01-01,2.8151
1974-02-01,2.7146
1974-03-01,2.6182
1974-04-01,2.5262
1974-05-01,2.4616
1974-06-01,2.5253
1974-07-01,2.5528
1974-08-01,2.6184
1974-09-01,2.6610
1974-10-01,2.5928
1974-11-01,2.5110
1974-12-01,2.4503
1975-01-01,2.3649
1975-02-01,2.3271
1975-03-01,2.3193
1975-04-01,2.3758
1975-05-01,2.3505
1975-06-01,2.3405
1975-07-01,2.4727
1975-08-01,2.5736
1975-09-01,2.6189
1975-10-01,2.5817
1975-11-01,2.5896
1975-12-01,2.6217
1976-01-01,2.6025
1976-02-01,2.5619
1976-03-01,2.5600
1976-04-01,2.5380
1976-05-01,2.5619
1976-06-01,2.5775
1976-07-01,2.5745
1976-08-01,2.5293
1976-09-01,2.4898
1976-10-01,2.4294
1976-11-01,2.4130
1976-12-01,2.3831
1977-01-01,2.3931
1977-02-01,2.4050
1977-03-01,2.3916
1977-04-01,2.3743
1977-05-01,2.3588
1977-06-01,2.3556
1977-07-01,2.2820
1977-08-01,2.3166
1977-09-01,2.3238
1977-10-01,2.2778
1977-11-01,2.2406
1977-12-01,2.1510
1978-01-01,2.1180
1978-02-01,2.0777
1978-03-01,2.0334
1978-04-01,2.0427
1978-05-01,2.1056
1978-06-01,2.0840
1978-07-01,2.0557
1978-08-01,1.9970
1978-09-01,1.9696
1978-10-01,1.8391
1978-11-01,1.9048
1978-12-01,1.8798
1979-01-01,1.8500
1979-02-01,1.8567
1979-03-01,1.8603
1979-04-01,1.8959
1979-05-01,1.9077
1979-06-01,1.8843
1979-07-01,1.8243
1979-08-01,1.8293
1979-09-01,1.7939
1979-10-01,1.7897
1979-11-01,1.7711
1979-12-01,1.7341
1980-01-01,1.7246
1980-02-01,1.7482
1980-03-01,1.8519
1980-04-01,1.8776
1980-05-01,1.7913
1980-06-01,1.7673
1980-07-01,1.7470
1980-08-01,1.7900
1980-09-01,1.7896
1980-10-01,1.8429
1980-11-01,1.9191
1980-12-01,1.9700
1981-01-01,2.0105
1981-02-01,2.1392
1981-03-01,2.1057
1981-04-01,2.1640
1981-05-01,2.2941
1981-06-01,2.3781
1981-07-01,2.4405
1981-08-01,2.5012
1981-09-01,2.3522
1981-10-01,2.2543
1981-11-01,2.2292
1981-12-01,2.2579
1982-01-01,2.2938
1982-02-01,2.3660
1982-03-01,2.3800
1982-04-01,2.3970
1982-05-01,2.3128
1982-06-01,2.4293
1982-07-01,2.4662
1982-08-01,2.4813
1982-09-01,2.5055
1982-10-01,2.5320
1982-11-01,2.5543
1982-12-01,2.4193
1983-01-01,2.3893
1983-02-01,2.4280
1983-03-01,2.4110
1983-04-01,2.4397
1983-05-01,2.4665
1983-06-01,2.5490
1983-07-01,2.5914
1983-08-01,2.6736
1983-09-01,2.6679
1983-10-01,2.6032
1983-11-01,2.6846
1983-12-01,2.7500
1984-01-01,2.8110
1984-02-01,2.6984
1984-03-01,2.5973
1984-04-01,2.6474
1984-05-01,2.7484
1984-06-01,2.7397
1984-07-01,2.8492
1984-08-01,2.8856
1984-09-01,3.0314
1984-10-01,3.0678
1984-11-01,2.9985
1984-12-01,3.1044
1985-01-01,3.1706
1985-02-01,3.3025
1985-03-01,3.2982
1985-04-01,3.0946
1985-05-01,3.1093
1985-06-01,3.0636
1985-07-01,2.9084
1985-08-01,2.7937
1985-09-01,2.8381
1985-10-01,2.6446
1985-11-01,2.5954
1985-12-01,2.5122
1986-01-01,2.4384
1986-02-01,2.3317
1986-03-01,2.2752
1986-04-01,2.2732
1986-05-01,2.2277
1986-06-01,2.2337
1986-07-01,2.1517
1986-08-01,2.0621
1986-09-01,2.0415
1986-10-01,2.0055
1986-11-01,2.0243
1986-12-01,1.9880
1987-01-01,1.8596
1987-02-01,1.8239
1987-03-01,1.8355
1987-04-01,1.8118
1987-05-01,1.7881
1987-06-01,1.8189
1987-07-01,1.8482
1987-08-01,1.8553
1987-09-01,1.8134
1987-10-01,1.8006
1987-11-01,1.6821
1987-12-01,1.6335
1988-01-01,1.6537
1988-02-01,1.6965
1988-03-01,1.6770
1988-04-01,1.6710
1988-05-01,1.6935
1988-06-01,1.7579
1988-07-01,1.8466
1988-08-01,1.8880
1988-09-01,1.8668
1988-10-01,1.8165
1988-11-01,1.7491
1988-12-01,1.7564
1989-01-01,1.8357
1989-02-01,1.8505
1989-03-01,1.8686
1989-04-01,1.8697
1989-05-01,1.9461
1989-06-01,1.9789
1989-07-01,1.8901
1989-08-01,1.9268
1989-09-01,1.9502
1989-10-01,1.8662
1989-11-01,1.8300
1989-12-01,1.7378
1990-01-01,1.6914
1990-02-01,1.6758
1990-03-01,1.7053
1990-04-01,1.6863
1990-05-01,1.6630
1990-06-01,1.6832
1990-07-01,1.6375
1990-08-01,1.5702
1990-09-01,1.5701
1990-10-01,1.5238
1990-11-01,1.4857
1990-12-01,1.4982
1991-01-01,1.5091
1991-02-01,1.4805
1991-03-01,1.6122
1991-04-01,1.7027
1991-05-01,1.7199
1991-06-01,1.7828
1991-07-01,1.7852
1991-08-01,1.7435
1991-09-01,1.6933
1991-10-01,1.6893
1991-11-01,1.6208
1991-12-01,1.5630
1992-01-01,1.5788
1992-02-01,1.6186
1992-03-01,1.6616
1992-04-01,1.6493
1992-05-01,1.6225
1992-06-01,1.5726
1992-07-01,1.4914
1992-08-01,1.4475
1992-09-01,1.4514
1992-10-01,1.4851
1992-11-01,1.5875
1992-12-01,1.5822
1993-01-01,1.6144
1993-02-01,1.6414
1993-03-01,1.6466
1993-04-01,1.5964
1993-05-01,1.6071
1993-06-01,1.6547
1993-07-01,1.7157
1993-08-01,1.6944
1993-09-01,1.6219
1993-10-01,1.6405
1993-11-01,1.7005
1993-12-01,1.7105
1994-01-01,1.7426
1994-02-01,1.7355
1994-03-01,1.6909
1994-04-01,1.6984
1994-05-01,1.6565
1994-06-01,1.6271
1994-07-01,1.5674
1994-08-01,1.5646
1994-09-01,1.5491
1994-10-01,1.5195
1994-11-01,1.5396
1994-12-01,1.5716
1995-01-01,1.5302
1995-02-01,1.5022
1995-03-01,1.4061
1995-04-01,1.3812
1995-05-01,1.4096
1995-06-01,1.4012
1995-07-01,1.3886
1995-08-01,1.4456
1995-09-01,1.4601
1995-10-01,1.4143
1995-11-01,1.4173
1995-12-01,1.4406
1996-01-01,1.4635
1996-02-01,1.4669
1996-03-01,1.4776
1996-04-01,1.5044
1996-05-01,1.5324
1996-06-01,1.5282
1996-07-01,1.5025
1996-08-01,1.4826
1996-09-01,1.5080
1996-10-01,1.5277
1996-11-01,1.5118
1996-12-01,1.5525
1997-01-01,1.6047
1997-02-01,1.6747
1997-03-01,1.6946
1997-04-01,1.7119
1997-05-01,1.7048
1997-06-01,1.7277
1997-07-01,1.7939
