observation_date,EXITUS
1971-01-01,623.26
1971-02-01,623.60
1971-03-01,622.56
1971-04-01,622.28
1971-05-01,622.72
1971-06-01,624.65
1971-07-01,623.16
1971-08-01,618.95
1971-09-01,613.81
1971-10-01,612.31
1971-11-01,612.59
1971-12-01,600.57
1972-01-01,590.94
1972-02-01,586.99
1972-03-01,582.73
1972-04-01,583.50
1972-05-01,582.24
1972-06-01,583.44
1972-07-01,581.11
1972-08-01,581.31
1972-09-01,581.44
1972-10-01,583.28
1972-11-01,584.50
1972-12-01,583.23
1973-01-01,585.43
1973-02-01,574.07
1973-03-01,568.17
1973-04-01,589.24
1973-05-01,589.62
1973-06-01,595.70
1973-07-01,581.43
1973-08-01,574.01
1973-09-01,565.26
1973-10-01,566.40
1973-11-01,591.80
1973-12-01,607.60
1974-01-01,648.57
1974-02-01,654.71
1974-03-01,637.66
1974-04-01,636.15
1974-05-01,632.67
1974-06-01,650.29
1974-07-01,644.24
1974-08-01,654.95
1974-09-01,662.12
1974-10-01,667.04
1974-11-01,666.87
1974-12-01,658.87
1975-01-01,645.02
1975-02-01,637.90
1975-03-01,631.23
1975-04-01,634.25
1975-05-01,627.50
1975-06-01,625.69
1975-07-01,650.07
1975-08-01,668.30
1975-09-01,678.54
1975-10-01,678.20
1975-11-01,679.34
1975-12-01,682.85
1976-01-01,702.95
1976-02-01,768.20
1976-03-01,826.50
1976-04-01,879.74
1976-05-01,857.16
1976-06-01,848.97
1976-07-01,837.29
1976-08-01,837.81
1976-09-01,844.87
1976-10-01,856.11
1976-11-01,865.53
1976-12-01,867.97
1977-01-01,879.37
1977-02-01,882.86
1977-03-01,886.84
1977-04-01,887.76
1977-05-01,886.60
1977-06-01,885.32
1977-07-01,882.61
1977-08-01,882.48
1977-09-01,883.56
1977-10-01,880.85
1977-11-01,878.10
1977-12-01,875.98
1978-01-01,871.90
1978-02-01,860.69
1978-03-01,855.32
1978-04-01,858.89
1978-05-01,870.51
1978-06-01,859.57
1978-07-01,847.17
1978-08-01,836.73
1978-09-01,829.93
1978-10-01,811.97
1978-11-01,843.48
1978-12-01,843.04
1979-01-01,836.51
1979-02-01,840.43
1979-03-01,841.19
1979-04-01,843.31
1979-05-01,851.55
1979-06-01,845.58
1979-07-01,820.27
1979-08-01,818.40
1979-09-01,811.31
1979-10-01,825.77
1979-11-01,825.64
1979-12-01,811.09
1980-01-01,804.74
1980-02-01,810.01
1980-03-01,860.13
1980-04-01,876.41
1980-05-01,843.23
1980-06-01,835.20
1980-07-01,831.55
1980-08-01,847.46
1980-09-01,851.66
1980-10-01,874.30
1980-11-01,909.13
1980-12-01,934.41
1981-01-01,954.94
1981-02-01,1019.78
1981-03-01,1031.30
1981-04-01,1077.74
1981-05-01,1141.08
1981-06-01,1185.50
1981-07-01,1214.63
1981-08-01,1244.19
1981-09-01,1187.61
1981-10-01,1194.31
1981-11-01,1191.59
1981-12-01,1206.36
1982-01-01,1228.22
1982-02-01,1263.18
1982-03-01,1293.29
1982-04-01,1321.60
1982-05-01,1283.38
1982-06-01,1358.43
1982-07-01,1382.26
1982-08-01,1392.60
1982-09-01,1411.19
1982-10-01,1439.94
1982-11-01,1468.84
1982-12-01,1398.74
1983-01-01,1374.71
1983-02-01,1399.78
1983-03-01,1429.72
1983-04-01,1452.36
1983-05-01,1467.76
1983-06-01,1510.98
1983-07-01,1533.41
1983-08-01,1589.74
1983-09-01,1602.62
1983-10-01,1582.81
1983-11-01,1625.79
1983-12-01,1666.88
1984-01-01,1706.63
1984-02-01,1666.39
1984-03-01,1614.17
1984-04-01,1638.48
1984-05-01,1696.32
1984-06-01,1694.80
1984-07-01,1751.18
1984-08-01,1780.47
1984-09-01,1870.79
1984-10-01,1898.98
1984-11-01,1863.05
1984-12-01,1912.53
1985-01-01,1948.76
1985-02-01,2042.00
1985-03-01,2078.50
1985-04-01,1975.89
1985-05-01,1984.45
1985-06-01,1953.93
1985-07-01,1900.33
1985-08-01,1873.51
1985-09-01,1903.43
1985-10-01,1785.43
1985-11-01,1753.72
1985-12-01,1713.50
1986-01-01,1663.14
1986-02-01,1588.21
1986-03-01,1548.43
1986-04-01,1559.45
1986-05-01,1528.50
1986-06-01,1533.10
1986-07-01,1478.31
1986-08-01,1420.33
1986-09-01,1410.23
1986-10-01,1387.67
1986-11-01,1401.08
1986-12-01,1379.44
1987-01-01,1317.18
1987-02-01,1297.74
1987-03-01,1305.90
1987-04-01,1292.69
1987-05-01,1290.80
1987-06-01,1316.50
1987-07-01,1337.96
1987-08-01,1344.18
1987-09-01,1310.86
1987-10-01,1302.58
1987-11-01,1238.89
1987-12-01,1203.74
1988-01-01,1216.88
1988-02-01,1249.63
1988-03-01,1240.67
1988-04-01,1240.99
1988-05-01,1258.81
1988-06-01,1305.56
1988-07-01,1367.26
1988-08-01,1397.93
1988-09-01,1393.15
1988-10-01,1353.36
1988-11-01,1300.22
1988-12-01,1295.61
1989-01-01,1345.12
1989-02-01,1355.28
1989-03-01,1372.50
1989-04-01,1371.80
1989-05-01,1415.83
1989-06-01,1434.40
1989-07-01,1367.39
1989-08-01,1384.24
1989-09-01,1404.18
1989-10-01,1369.24
1989-11-01,1343.83
1989-12-01,1291.93
1990-01-01,1261.87
1990-02-01,1243.68
1990-03-01,1257.67
1990-04-01,1238.38
1990-05-01,1221.93
1990-06-01,1235.60
1990-07-01,1199.65
1990-08-01,1157.07
1990-09-01,1172.87
1990-10-01,1141.62
1990-11-01,1117.04
1990-12-01,1129.26
1991-01-01,1134.38
1991-02-01,1111.19
1991-03-01,1201.96
1991-04-01,1261.57
1991-05-01,1275.67
1991-06-01,1325.09
1991-07-01,1329.55
1991-08-01,1303.31
1991-09-01,1266.25
1991-10-01,1263.20
1991-11-01,1221.04
1991-12-01,1182.21
1992-01-01,1189.76
1992-02-01,1215.92
1992-03-01,1248.28
1992-04-01,1241.55
1992-05-01,1220.95
1992-06-01,1189.52
1992-07-01,1129.83
1992-08-01,1100.00
1992-09-01,1176.21
1992-10-01,1309.64
1992-11-01,1364.45
1992-12-01,1412.38
1993-01-01,1491.07
1993-02-01,1550.43
1993-03-01,1591.35
1993-04-01,1536.14
1993-05-01,1475.66
1993-06-01,1505.05
1993-07-01,1586.02
1993-08-01,1603.75
1993-09-01,1569.10
1993-10-01,1600.93
1993-11-01,1666.31
1993-12-01,1687.17
1994-01-01,1699.45
1994-02-01,1685.96
1994-03-01,1666.63
1994-04-01,1626.07
1994-05-01,1594.56
1994-06-01,1592.22
1994-07-01,1562.31
1994-08-01,1582.15
1994-09-01,1565.79
1994-10-01,1548.29
1994-11-01,1583.81
1994-12-01,1633.71
1995-01-01,1611.53
1995-02-01,1620.58
1995-03-01,1688.99
1995-04-01,1710.89
1995-05-01,1652.78
1995-06-01,1639.75
1995-07-01,1609.71
1995-08-01,1607.18
1995-09-01,1613.41
1995-10-01,1605.69
1995-11-01,1592.67
1995-12-01,1593.88
1996-01-01,1584.87
1996-02-01,1570.00
1996-03-01,1562.43
1996-04-01,1565.60
1996-05-01,1556.71
1996-06-01,1542.30
1996-07-01,1526.82
1996-08-01,1516.62
1996-09-01,1520.48
1996-10-01,1523.82
1996-11-01,1513.66
1996-12-01,1528.44
1997-01-01,1567.91
1997-02-01,1655.00
1997-03-01,1691.21
1997-04-01,1694.52
1997-05-01,1684.33
1997-06-01,1694.54
1997-07-01,1745.91
1997-08-01,1797.12
1997-09-01,1743.22
1997-10-01,1721.09
1997-11-01,1697.08
1997-12-01,1743.86
1998-01-01,1787.87
1998-02-01,1788.28
1998-03-01,1799.07
1998-04-01,1791.24
1998-05-01,1750.79
1998-06-01,1766.32
1998-07-01,1772.42
1998-08-01,1763.01
1998-09-01,1678.92
1998-10-01,1620.96
1998-11-01,1664.91
1998-12-01,1653.23
1999-01-01,1670.49
1999-02-01,1728.35
1999-03-01,1778.68
1999-04-01,1809.43
1999-05-01,1821.51
1999-06-01,1865.92
1999-07-01,1867.18
1999-08-01,1825.81
1999-09-01,1844.59
1999-10-01,1808.58
1999-11-01,1874.78
1999-12-01,1915.20
2000-01-01,1911.23
2000-02-01,1968.95
2000-03-01,2007.95
2000-04-01,2049.18
2000-05-01,2137.40
2000-06-01,2037.11
2000-07-01,2062.93
2000-08-01,2140.71
2000-09-01,2226.88
2000-10-01,2271.28
2000-11-01,2264.11
2000-12-01,2155.48
