observation_date,EXSZUS
1971-01-01,4.3053
1971-02-01,4.2981
1971-03-01,4.3003
1971-04-01,4.2987
1971-05-01,4.1242
1971-06-01,4.0938
1971-07-01,4.0946
1971-08-01,4.0306
1971-09-01,3.9812
1971-10-01,3.9750
1971-11-01,3.9834
1971-12-01,3.9041
1972-01-01,3.8922
1972-02-01,3.8611
1972-03-01,3.8567
1972-04-01,3.8509
1972-05-01,3.8605
1972-06-01,3.7998
1972-07-01,3.7650
1972-08-01,3.7808
1972-09-01,3.7874
1972-10-01,3.7977
1972-11-01,3.7956
1972-12-01,3.7700
1973-01-01,3.7293
1973-02-01,3.4170
1973-03-01,3.2171
1973-04-01,3.2406
1973-05-01,3.1728
1973-06-01,3.0532
1973-07-01,2.8233
1973-08-01,2.9733
1973-09-01,3.0170
1973-10-01,3.0288
1973-11-01,3.1647
1973-12-01,3.2000
1974-01-01,3.3644
1974-02-01,3.1763
1974-03-01,3.0788
1974-04-01,3.0270
1974-05-01,2.9173
1974-06-01,2.9899
1974-07-01,2.9642
1974-08-01,2.9846
1974-09-01,2.9967
1974-10-01,2.8966
1974-11-01,2.7503
1974-12-01,2.6028
1975-01-01,2.5278
1975-02-01,2.4731
1975-03-01,2.4835
1975-04-01,2.5589
1975-05-01,2.5096
1975-06-01,2.4946
1975-07-01,2.6142
1975-08-01,2.6787
1975-09-01,2.7099
1975-10-01,2.6631
1975-11-01,2.6538
1975-12-01,2.6337
1976-01-01,2.6030
1976-02-01,2.5700
1976-03-01,2.5656
1976-04-01,2.5296
1976-05-01,2.4873
1976-06-01,2.4704
1976-07-01,2.4850
1976-08-01,2.4813
1976-09-01,2.4733
1976-10-01,2.4465
1976-11-01,2.4415
1976-12-01,2.4496
1977-01-01,2.4924
1977-02-01,2.5209
1977-03-01,2.5505
1977-04-01,2.5264
1977-05-01,2.5193
1977-06-01,2.4895
1977-07-01,2.4105
1977-08-01,2.4084
1977-09-01,2.3745
1977-10-01,2.2780
1977-11-01,2.1977
1977-12-01,2.0772
1978-01-01,1.9863
1978-02-01,1.9095
1978-03-01,1.8985
1978-04-01,1.9052
1978-05-01,1.9652
1978-06-01,1.8854
1978-07-01,1.8040
1978-08-01,1.6672
1978-09-01,1.5697
1978-10-01,1.5365
1978-11-01,1.6750
1978-12-01,1.6757
1979-01-01,1.6714
1979-02-01,1.6752
1979-03-01,1.6815
1979-04-01,1.7177
1979-05-01,1.7273
1979-06-01,1.6990
1979-07-01,1.6489
1979-08-01,1.6570
1979-09-01,1.6113
1979-10-01,1.6309
1979-11-01,1.6429
1979-12-01,1.5990
1980-01-01,1.5953
1980-02-01,1.6406
1980-03-01,1.7643
1980-04-01,1.7614
1980-05-01,1.6631
1980-06-01,1.6339
1980-07-01,1.6078
1980-08-01,1.6522
1980-09-01,1.6391
1980-10-01,1.6619
1980-11-01,1.7260
1980-12-01,1.7854
1981-01-01,1.8224
1981-02-01,1.9422
1981-03-01,1.9219
1981-04-01,1.9740
1981-05-01,2.0662
1981-06-01,2.0742
1981-07-01,2.0981
1981-08-01,2.1698
1981-09-01,2.0223
1981-10-01,1.8845
1981-11-01,1.7859
1981-12-01,1.8152
1982-01-01,1.8442
1982-02-01,1.8909
1982-03-01,1.8886
1982-04-01,1.9624
1982-05-01,1.9500
1982-06-01,2.0789
1982-07-01,2.0960
1982-08-01,2.1119
1982-09-01,2.1418
1982-10-01,2.1737
1982-11-01,2.1931
1982-12-01,2.0501
1983-01-01,1.9679
1983-02-01,2.0180
1983-03-01,2.0663
1983-04-01,2.0587
1983-05-01,2.0572
1983-06-01,2.1123
1983-07-01,2.1184
1983-08-01,2.1632
1983-09-01,2.1623
1983-10-01,2.1122
1983-11-01,2.1701
1983-12-01,2.1983
1984-01-01,2.2380
1984-02-01,2.2050
1984-03-01,2.1490
1984-04-01,2.1913
1984-05-01,2.2680
1984-06-01,2.2832
1984-07-01,2.4115
1984-08-01,2.4150
1984-09-01,2.5049
1984-10-01,2.5245
1984-11-01,2.4700
1984-12-01,2.5602
1985-01-01,2.6590
1985-02-01,2.8045
1985-03-01,2.8033
1985-04-01,2.5948
1985-05-01,2.6150
1985-06-01,2.5721
1985-07-01,2.4060
1985-08-01,2.2962
1985-09-01,2.3359
1985-10-01,2.1692
1985-11-01,2.1306
1985-12-01,2.1042
1986-01-01,2.0660
1986-02-01,1.9547
1986-03-01,1.9150
1986-04-01,1.9016
1986-05-01,1.8538
1986-06-01,1.8406
1986-07-01,1.7445
1986-08-01,1.6616
1986-09-01,1.6537
1986-10-01,1.6433
1986-11-01,1.6858
1986-12-01,1.6647
1987-01-01,1.5616
1987-02-01,1.5403
1987-03-01,1.5391
1987-04-01,1.4959
1987-05-01,1.4705
1987-06-01,1.5085
1987-07-01,1.5365
1987-08-01,1.5364
1987-09-01,1.5029
1987-10-01,1.4940
1987-11-01,1.3825
1987-12-01,1.3304
1988-01-01,1.3466
1988-02-01,1.3916
1988-03-01,1.3863
1988-04-01,1.3823
1988-05-01,1.4111
1988-06-01,1.4629
1988-07-01,1.5343
1988-08-01,1.5837
1988-09-01,1.5764
1988-10-01,1.5372
1988-11-01,1.4675
1988-12-01,1.4799
1989-01-01,1.5619
1989-02-01,1.5740
1989-03-01,1.6110
1989-04-01,1.6469
1989-05-01,1.7290
1989-06-01,1.7089
1989-07-01,1.6281
1989-08-01,1.6605
1989-09-01,1.6866
1989-10-01,1.6302
1989-11-01,1.6189
1989-12-01,1.5686
1990-01-01,1.5175
1990-02-01,1.4879
1990-03-01,1.5133
1990-04-01,1.4866
1990-05-01,1.4198
1990-06-01,1.4250
1990-07-01,1.3924
1990-08-01,1.3076
1990-09-01,1.3069
1990-10-01,1.2818
1990-11-01,1.2569
1990-12-01,1.2814
1991-01-01,1.2714
1991-02-01,1.2685
1991-03-01,1.3918
1991-04-01,1.4399
1991-05-01,1.4574
1991-06-01,1.5297
1991-07-01,1.5481
1991-08-01,1.5201
1991-09-01,1.4803
1991-10-01,1.4781
1991-11-01,1.4348
1991-12-01,1.3855
1992-01-01,1.4039
1992-02-01,1.4561
1992-03-01,1.5094
1992-04-01,1.5194
1992-05-01,1.4907
1992-06-01,1.4250
1992-07-01,1.3347
1992-08-01,1.2966
1992-09-01,1.2780
1992-10-01,1.3176
1992-11-01,1.4291
1992-12-01,1.4219
1993-01-01,1.4774
1993-02-01,1.5178
1993-03-01,1.5206
1993-04-01,1.4599
1993-05-01,1.4504
1993-06-01,1.4769
1993-07-01,1.5147
1993-08-01,1.4966
1993-09-01,1.4182
1993-10-01,1.4432
1993-11-01,1.4969
1993-12-01,1.4634
1994-01-01,1.4716
1994-02-01,1.4565
1994-03-01,1.4292
1994-04-01,1.4383
1994-05-01,1.4125
1994-06-01,1.3727
1994-07-01,1.3239
1994-08-01,1.3184
1994-09-01,1.2892
1994-10-01,1.2648
1994-11-01,1.2956
1994-12-01,1.3289
1995-01-01,1.2863
1995-02-01,1.2715
1995-03-01,1.1709
1995-04-01,1.1384
1995-05-01,1.1693
1995-06-01,1.1588
1995-07-01,1.1556
1995-08-01,1.1962
1995-09-01,1.1868
1995-10-01,1.1453
1995-11-01,1.1437
1995-12-01,1.1631
1996-01-01,1.1818
1996-02-01,1.1967
1996-03-01,1.1959
1996-04-01,1.2180
1996-05-01,1.2539
1996-06-01,1.2579
1996-07-01,1.2320
1996-08-01,1.2029
1996-09-01,1.2343
1996-10-01,1.2586
1996-11-01,1.2752
1996-12-01,1.3290
1997-01-01,1.3913
1997-02-01,1.4541
1997-03-01,1.4634
1997-04-01,1.4618
1997-05-01,1.4331
1997-06-01,1.4424
1997-07-01,1.4824
1997-08-01,1.5128
1997-09-01,1.4702
1997-10-01,1.4516
1997-11-01,1.4069
1997-12-01,1.4393
1998-01-01,1.4748
1998-02-01,1.4631
1998-03-01,1.4901
1998-04-01,1.5051
1998-05-01,1.4790
1998-06-01,1.4949
1998-07-01,1.5136
1998-08-01,1.4933
1998-09-01,1.4000
1998-10-01,1.3373
1998-11-01,1.3852
1998-12-01,1.3604
1999-01-01,1.3856
1999-02-01,1.4272
1999-03-01,1.4660
1999-04-01,1.4971
1999-05-01,1.5078
1999-06-01,1.5374
1999-07-01,1.5474
1999-08-01,1.5093
1999-09-01,1.5262
1999-10-01,1.4896
1999-11-01,1.5543
1999-12-01,1.5841
2000-01-01,1.5903
2000-02-01,1.6348
2000-03-01,1.6636
2000-04-01,1.6657
2000-05-01,1.7190
2000-06-01,1.6420
2000-07-01,1.6519
2000-08-01,1.7149
2000-09-01,1.7586
2000-10-01,1.7745
2000-11-01,1.7779
2000-12-01,1.6855
2001-01-01,1.6305
2001-02-01,1.6686
2001-03-01,1.6908
2001-04-01,1.7131
2001-05-01,1.7528
2001-06-01,1.7856
2001-07-01,1.7570
2001-08-01,1.6808
2001-09-01,1.6338
2001-10-01,1.6357
2001-11-01,1.6509
2001-12-01,1.6566
2002-01-01,1.6709
2002-02-01,1.6970
2002-03-01,1.6743
2002-04-01,1.6542
2002-05-01,1.5889
2002-06-01,1.5399
2002-07-01,1.4718
2002-08-01,1.4972
2002-09-01,1.4931
2002-10-01,1.4932
2002-11-01,1.4658
2002-12-01,1.4388
2003-01-01,1.3765
2003-02-01,1.3602
2003-03-01,1.3614
2003-04-01,1.3783
2003-05-01,1.3111
2003-06-01,1.3196
2003-07-01,1.3611
2003-08-01,1.3811
2003-09-01,1.3743
2003-10-01,1.3222
2003-11-01,1.3318
2003-12-01,1.2643
2004-01-01,1.2391
2004-02-01,1.2448
2004-03-01,1.2778
2004-04-01,1.2969
2004-05-01,1.2839
2004-06-01,1.2503
2004-07-01,1.2452
2004-08-01,1.2623
2004-09-01,1.2629
2004-10-01,1.2330
2004-11-01,1.1711
2004-12-01,1.1465
2005-01-01,1.1792
2005-02-01,1.1918
2005-03-01,1.1756
2005-04-01,1.1954
2005-05-01,1.2172
2005-06-01,1.2665
2005-07-01,1.2945
2005-08-01,1.2629
2005-09-01,1.2671
2005-10-01,1.2880
2005-11-01,1.3110
2005-12-01,1.3053
2006-01-01,1.2773
2006-02-01,1.3052
2006-03-01,1.3050
2006-04-01,1.2830
2006-05-01,1.2190
2006-06-01,1.2321
2006-07-01,1.2376
2006-08-01,1.2318
2006-09-01,1.2455
2006-10-01,1.2602
2006-11-01,1.2356
2006-12-01,1.2099
2007-01-01,1.2431
2007-02-01,1.2393
2007-03-01,1.2178
2007-04-01,1.2124
2007-05-01,1.2211
2007-06-01,1.2330
2007-07-01,1.2069
2007-08-01,1.2027
2007-09-01,1.1852
2007-10-01,1.1741
2007-11-01,1.1233
2007-12-01,1.1402
2008-01-01,1.1006
2008-02-01,1.0890
2008-03-01,1.0126
2008-04-01,1.0138
2008-05-01,1.0448
2008-06-01,1.0371
2008-07-01,1.0283
2008-08-01,1.0841
2008-09-01,1.1102
2008-10-01,1.1429
2008-11-01,1.1910
2008-12-01,1.1404
2009-01-01,1.1267
2009-02-01,1.1639
2009-03-01,1.1555
2009-04-01,1.1481
2009-05-01,1.1076
2009-06-01,1.0809
2009-07-01,1.0780
2009-08-01,1.0683
2009-09-01,1.0391
2009-10-01,1.0213
2009-11-01,1.0131
2009-12-01,1.0301
2010-01-01,1.0345
2010-02-01,1.0722
2010-03-01,1.0666
2010-04-01,1.0690
2010-05-01,1.1295
2010-06-01,1.1255
2010-07-01,1.0530
2010-08-01,1.0388
2010-09-01,1.0002
2010-10-01,0.9686
2010-11-01,0.9847
2010-12-01,0.9689
2011-01-01,0.9565
2011-02-01,0.9500
2011-03-01,0.9185
2011-04-01,0.8972
2011-05-01,0.8740
2011-06-01,0.8401
2011-07-01,0.8214
2011-08-01,0.7800
2011-09-01,0.8767
2011-10-01,0.8958
2011-11-01,0.9079
2011-12-01,0.9334
2012-01-01,0.9376
2012-02-01,0.9118
2012-03-01,0.9131
2012-04-01,0.9133
2012-05-01,0.9383
2012-06-01,0.9576
2012-07-01,0.9783
2012-08-01,0.9681
2012-09-01,0.9386
2012-10-01,0.9323
2012-11-01,0.9388
2012-12-01,0.9213
2013-01-01,0.9234
2013-02-01,0.9212
2013-03-01,0.9466
2013-04-01,0.9366
2013-05-01,0.9557
2013-06-01,0.9331
2013-07-01,0.9449
2013-08-01,0.9261
2013-09-01,0.9231
2013-10-01,0.9025
2013-11-01,0.9129
2013-12-01,0.8933
2014-01-01,0.9038
2014-02-01,0.8937
2014-03-01,0.8805
2014-04-01,0.8828
2014-05-01,0.8883
2014-06-01,0.8958
2014-07-01,0.8978
2014-08-01,0.9098
2014-09-01,0.9370
2014-10-01,0.9528
2014-11-01,0.9642
2014-12-01,0.9753
2015-01-01,0.9443
2015-02-01,0.9361
2015-03-01,0.9798
2015-04-01,0.9595
2015-05-01,0.9316
2015-06-01,0.9321
2015-07-01,0.9547
2015-08-01,0.9685
2015-09-01,0.9725
2015-10-01,0.9687
2015-11-01,1.0098
2015-12-01,0.9951
