observation_date,FGDEF
1947-01-01,2.499
1947-04-01,2.113
1947-07-01,-0.379
1947-10-01,5.620
1948-01-01,5.132
1948-04-01,2.591
1948-07-01,-1.124
1948-10-01,-2.702
1949-01-01,-5.980
1949-04-01,-9.098
1949-07-01,-9.392
1949-10-01,-9.420
1950-01-01,-11.537
1950-04-01,-0.562
1950-07-01,9.599
1950-10-01,10.033
1951-01-01,12.710
1951-04-01,5.077
1951-07-01,-0.509
1951-10-01,0.727
1952-01-01,1.187
1952-04-01,-2.421
1952-07-01,-4.776
1952-10-01,-2.466
1953-01-01,-1.479
1953-04-01,-3.318
1953-07-01,-2.593
1953-10-01,-9.248
1954-01-01,-9.744
1954-04-01,-8.359
1954-07-01,-7.573
1954-10-01,-6.299
1955-01-01,-2.943
1955-04-01,-0.534
1955-07-01,-0.709
1955-10-01,1.911
1956-01-01,2.284
1956-04-01,0.737
1956-07-01,1.204
1956-10-01,1.399
1957-01-01,0.358
1957-04-01,-1.551
1957-07-01,-1.593
1957-10-01,-7.713
1958-01-01,-10.206
1958-04-01,-14.990
1958-07-01,-12.463
1958-10-01,-10.577
1959-01-01,-4.566
1959-04-01,-1.847
1959-07-01,-4.258
1959-10-01,-4.956
1960-01-01,4.694
1960-04-01,1.245
1960-07-01,-0.397
1960-10-01,-4.916
1961-01-01,-4.685
1961-04-01,-6.399
1961-07-01,-4.917
1961-10-01,-2.927
1962-01-01,-5.387
1962-04-01,-5.691
1962-07-01,-4.876
1962-10-01,-5.527
1963-01-01,-3.466
1963-04-01,-1.119
1963-07-01,-1.689
1963-10-01,-2.369
1964-01-01,-5.547
1964-04-01,-10.185
1964-07-01,-6.729
1964-10-01,-5.109
1965-01-01,-0.974
1965-04-01,-2.039
1965-07-01,-9.417
1965-10-01,-9.632
1966-01-01,-4.095
1966-04-01,-5.658
1966-07-01,-7.860
1966-10-01,-10.336
1967-01-01,-19.306
1967-04-01,-20.497
1967-07-01,-18.839
1967-10-01,-19.462
1968-01-01,-17.002
1968-04-01,-18.652
1968-07-01,-10.090
1968-10-01,-9.325
1969-01-01,2.215
1969-04-01,-1.560
1969-07-01,-8.658
1969-10-01,-12.594
1970-01-01,-22.290
1970-04-01,-32.682
1970-07-01,-39.552
1970-10-01,-44.743
1971-01-01,-45.585
1971-04-01,-52.495
1971-07-01,-51.781
1971-10-01,-53.719
1972-01-01,-45.756
1972-04-01,-51.089
1972-07-01,-40.864
1972-10-01,-58.334
1973-01-01,-40.520
1973-04-01,-40.838
1973-07-01,-37.341
1973-10-01,-34.537
1974-01-01,-36.126
1974-04-01,-38.070
1974-07-01,-36.986
1974-10-01,-54.210
1975-01-01,-76.229
1975-04-01,-132.883
1975-07-01,-90.864
1975-10-01,-91.724
1976-01-01,-81.920
1976-04-01,-76.750
1976-07-01,-80.758
1976-10-01,-84.155
1977-01-01,-73.529
1977-04-01,-67.558
1977-07-01,-75.050
1977-10-01,-77.650
1978-01-01,-81.595
1978-04-01,-62.266
1978-07-01,-55.999
1978-10-01,-48.299
1979-01-01,-45.062
1979-04-01,-42.558
1979-07-01,-48.532
1979-10-01,-53.304
1980-01-01,-66.167
1980-04-01,-93.282
1980-07-01,-104.062
1980-10-01,-91.532
1981-01-01,-74.324
1981-04-01,-78.727
1981-07-01,-86.802
1981-10-01,-112.440
1982-01-01,-136.662
1982-04-01,-143.280
1982-07-01,-179.313
1982-10-01,-210.158
1983-01-01,-208.643
1983-04-01,-203.223
1983-07-01,-219.788
1983-10-01,-197.054
1984-01-01,-182.276
1984-04-01,-191.031
1984-07-01,-199.647
1984-10-01,-213.113
1985-01-01,-171.046
1985-04-01,-221.402
1985-07-01,-200.612
1985-10-01,-203.917
1986-01-01,-206.504
1986-04-01,-227.964
1986-07-01,-232.345
1986-10-01,-196.945
1987-01-01,-197.561
1987-04-01,-144.000
1987-07-01,-155.627
1987-10-01,-165.757
1988-01-01,-166.622
1988-04-01,-158.664
1988-07-01,-153.276
1988-10-01,-161.267
1989-01-01,-140.083
1989-04-01,-161.513
1989-07-01,-165.570
1989-10-01,-170.290
1990-01-01,-198.634
1990-04-01,-207.997
1990-07-01,-199.571
1990-10-01,-206.898
1991-01-01,-185.764
1991-04-01,-244.638
1991-07-01,-273.257
1991-10-01,-289.968
1992-01-01,-325.638
1992-04-01,-328.664
1992-07-01,-344.177
1992-10-01,-339.535
1993-01-01,-337.490
1993-04-01,-308.776
1993-07-01,-318.868
1993-10-01,-289.012
1994-01-01,-269.091
1994-04-01,-238.564
1994-07-01,-256.801
1994-10-01,-258.039
1995-01-01,-254.439
1995-04-01,-243.004
1995-07-01,-246.999
1995-10-01,-223.996
1996-01-01,-224.795
1996-04-01,-180.155
1996-07-01,-170.635
1996-10-01,-141.945
1997-01-01,-121.468
1997-04-01,-104.023
1997-07-01,-68.547
1997-10-01,-73.815
1998-01-01,-24.521
1998-04-01,-10.363
1998-07-01,19.908
1998-10-01,20.567
1999-01-01,48.014
1999-04-01,68.222
1999-07-01,71.658
1999-10-01,88.602
2000-01-01,175.456
2000-04-01,147.634
2000-07-01,157.652
2000-10-01,157.999
2001-01-01,128.432
2001-04-01,94.778
2001-07-01,-130.023
2001-10-01,-33.029
2002-01-01,-225.832
2002-04-01,-262.154
2002-07-01,-278.668
2002-10-01,-304.599
2003-01-01,-330.445
2003-04-01,-387.255
2003-07-01,-469.436
2003-10-01,-402.384
2004-01-01,-428.974
2004-04-01,-396.917
2004-07-01,-365.981
2004-10-01,-382.090
2005-01-01,-305.229
2005-04-01,-306.677
2005-07-01,-300.591
2005-10-01,-262.532
2006-01-01,-245.289
2006-04-01,-230.580
2006-07-01,-212.851
2006-10-01,-199.056
2007-01-01,-209.840
2007-04-01,-230.996
2007-07-01,-278.989
2007-10-01,-318.881
2008-01-01,-404.574
2008-04-01,-776.446
2008-07-01,-619.539
2008-10-01,-699.189
2009-01-01,-1100.323
2009-04-01,-1300.847
2009-07-01,-1307.402
2009-10-01,-1264.126
