observation_date,WPS0581
2001-01-01,83.5
2001-02-01,82.5
2001-03-01,79.6
2001-04-01,78.4
2001-05-01,75.1
2001-06-01,72.3
2001-07-01,76.4
2001-08-01,74.5
2001-09-01,74.3
2001-10-01,74.9
2001-11-01,74.8
2001-12-01,75.6
2002-01-01,72.4
2002-02-01,71.2
2002-03-01,68.1
2002-04-01,73.2
2002-05-01,77.7
2002-06-01,79.2
2002-07-01,79.2
2002-08-01,80.5
2002-09-01,80.5
2002-10-01,79.1
2002-11-01,80.8
2002-12-01,72.3
2003-01-01,80.5
2003-02-01,88.3
2003-03-01,95.2
2003-04-01,90.8
2003-05-01,86.3
2003-06-01,83.7
2003-07-01,77.2
2003-08-01,79.6
2003-09-01,78.5
2003-10-01,76.5
2003-11-01,76.3
2003-12-01,78.7
2004-01-01,89.2
2004-02-01,77.8
2004-03-01,79.3
2004-04-01,76.7
2004-05-01,78.8
2004-06-01,82.8
2004-07-01,82.9
2004-08-01,82.5
2004-09-01,84.9
2004-10-01,87.9
2004-11-01,87.2
2004-12-01,93.0
2005-01-01,88.2
2005-02-01,91.5
2005-03-01,92.3
2005-04-01,93.4
2005-05-01,92.9
2005-06-01,90.7
2005-07-01,92.4
2005-08-01,94.4
2005-09-01,95.2
2005-10-01,100.7
2005-11-01,105.1
2005-12-01,107.8
2006-01-01,117.6
2006-02-01,113.2
2006-03-01,122.3
2006-04-01,128.4
2006-05-01,141.3
2006-06-01,141.8
2006-07-01,142.8
2006-08-01,149.9
2006-09-01,153.5
2006-10-01,148.4
2006-11-01,142.0
2006-12-01,137.4
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,192.7
2009-02-01,185.4
2009-03-01,185.4
2009-04-01,183.9
2009-05-01,181.2
2009-06-01,164.0
2009-07-01,172.0
2009-08-01,170.2
2009-09-01,168.5
2009-10-01,177.4
2009-11-01,194.5
2009-12-01,217.6
2010-01-01,232.1
2010-02-01,248.4
2010-03-01,251.3
2010-04-01,247.5
2010-05-01,363.7
2010-06-01,353.3
2010-07-01,353.9
2010-08-01,354.1
2010-09-01,379.8
2010-10-01,403.5
2010-11-01,416.4
2010-12-01,394.3
2011-01-01,414.1
2011-02-01,421.5
2011-03-01,438.4
2011-04-01,419.5
2011-05-01,433.4
2011-06-01,441.1
2011-07-01,445.3
2011-08-01,441.7
2011-09-01,440.3
2011-10-01,411.5
2011-11-01,412.2
2011-12-01,501.0
2012-01-01,
2012-02-01,
2012-03-01,
2012-04-01,
2012-05-01,
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
