observation_date,WPU10210501
1985-06-01,100.000
1985-07-01,100.200
1985-08-01,100.200
1985-09-01,99.000
1985-10-01,99.300
1985-11-01,99.000
1985-12-01,97.500
1986-01-01,95.800
1986-02-01,99.700
1986-03-01,102.800
1986-04-01,100.900
1986-05-01,104.600
1986-06-01,102.800
1986-07-01,100.300
1986-08-01,107.300
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,110.500
1991-08-01,111.400
1991-09-01,107.600
1991-10-01,106.800
1991-11-01,108.500
1991-12-01,111.800
1992-01-01,108.600
1992-02-01,108.600
1992-03-01,109.100
1992-04-01,106.100
1992-05-01,104.600
1992-06-01,106.000
1992-07-01,106.100
1992-08-01,107.900
1992-09-01,107.300
1992-10-01,107.700
1992-11-01,105.400
1992-12-01,103.900
1993-01-01,102.900
1993-02-01,101.000
1993-03-01,101.000
1993-04-01,102.200
1993-05-01,105.600
1993-06-01,111.500
1993-07-01,114.300
1993-08-01,115.500
1993-09-01,110.600
1993-10-01,108.800
1993-11-01,111.500
1993-12-01,113.900
1994-01-01,115.000
1994-02-01,115.700
1994-03-01,114.800
1994-04-01,114.400
1994-05-01,114.100
1994-06-01,116.200
1994-07-01,119.200
1994-08-01,118.700
1994-09-01,119.100
1994-10-01,120.600
1994-11-01,119.700
1994-12-01,117.100
1995-01-01,116.300
1995-02-01,116.300
1995-03-01,116.900
1995-04-01,119.000
1995-05-01,120.500
1995-06-01,119.000
1995-07-01,118.900
1995-08-01,118.400
1995-09-01,117.800
1995-10-01,118.500
1995-11-01,118.700
1995-12-01,119.100
1996-01-01,120.800
1996-02-01,124.700
1996-03-01,122.000
1996-04-01,121.500
1996-05-01,120.600
1996-06-01,119.000
1996-07-01,118.000
1996-08-01,119.300
1996-09-01,118.200
1996-10-01,117.500
1996-11-01,117.600
1996-12-01,114.000
1997-01-01,110.700
1997-02-01,105.900
1997-03-01,109.100
1997-04-01,106.900
1997-05-01,107.800
1997-06-01,106.600
1997-07-01,99.300
1997-08-01,101.200
1997-09-01,100.000
1997-10-01,101.900
1997-11-01,97.200
1997-12-01,89.700
1998-01-01,88.100
1998-02-01,93.600
1998-03-01,92.800
1998-04-01,95.600
1998-05-01,93.600
1998-06-01,92.800
1998-07-01,92.300
1998-08-01,88.700
1998-09-01,89.800
1998-10-01,92.100
1998-11-01,91.700
1998-12-01,91.600
1999-01-01,89.900
1999-02-01,90.900
1999-03-01,90.700
1999-04-01,89.300
1999-05-01,88.700
1999-06-01,81.700
1999-07-01,81.500
1999-08-01,81.700
1999-09-01,80.700
1999-10-01,98.000
1999-11-01,89.300
1999-12-01,86.100
2000-01-01,86.700
2000-02-01,92.300
2000-03-01,88.800
2000-04-01,86.300
2000-05-01,85.300
2000-06-01,88.600
2000-07-01,86.700
