observation_date,GFDEBTN
1966-01-01,320999.000000000
1966-04-01,316097.000000000
1966-07-01,324748.000000000
1966-10-01,329319.000000000
1967-01-01,330947.000000000
1967-04-01,322893.000000000
1967-07-01,335896.000000000
1967-10-01,344663.000000000
1968-01-01,349473.000000000
1968-04-01,345369.000000000
1968-07-01,354743.000000000
1968-10-01,358029.000000000
1969-01-01,359546.000000000
1969-04-01,352895.000000000
1969-07-01,360685.000000000
1969-10-01,368226.000000000
1970-01-01,372007.000000000
1970-04-01,370094.000000000
1970-07-01,378678.000000000
1970-10-01,389158.000000000
1971-01-01,391668.000000000
1971-04-01,397305.000000000
1971-07-01,412268.000000000
1971-10-01,424131.000000000
1972-01-01,427344.000000000
1972-04-01,426435.000000000
1972-07-01,433946.000000000
1972-10-01,448473.000000000
1973-01-01,458606.000000000
1973-04-01,457317.000000000
1973-07-01,460614.000000000
1973-10-01,469073.000000000
1974-01-01,473675.000000000
1974-04-01,474235.000000000
1974-07-01,481466.000000000
1974-10-01,492664.000000000
