date,open,high,low,close,volume
2022-11-23,144.030,145.000,138.180,138.900,6792291
2022-11-24,139.000,141.380,138.610,139.450,3222730
2022-11-25,138.200,139.000,135.900,138.100,2684318
2022-11-28,131.210,134.130,129.200,133.600,5887838
2022-11-29,133.610,137.410,133.450,136.170,4284469
2022-11-30,135.900,136.060,133.550,134.160,3439151
2022-12-01,136.500,138.410,135.200,137.480,4382576
2022-12-02,136.500,136.680,133.000,133.210,4923772
2022-12-05,134.600,135.490,132.800,133.960,3960651
2022-12-06,133.000,136.500,132.500,134.340,4382767
2022-12-07,133.500,137.710,132.880,136.560,4622011
2022-12-08,136.500,137.330,134.610,135.740,3269102
2022-12-09,135.740,136.740,134.550,136.120,3550886
2022-12-12,135.590,138.000,135.310,135.550,3976327
2022-12-13,135.550,136.260,132.860,135.160,3318424
2022-12-14,135.510,137.500,133.810,135.080,2771921
2022-12-15,134.680,135.590,133.220,134.910,3285063
2022-12-16,133.860,134.360,130.950,131.100,4738599
2022-12-19,130.760,131.690,128.390,128.830,3351593
2022-12-20,127.980,128.910,126.110,128.000,2911339
2022-12-21,127.900,128.490,124.720,125.200,3318653
2022-12-22,125.790,133.420,125.360,129.520,5924373
2022-12-23,128.280,133.000,126.870,131.100,3931226
2022-12-26,131.600,132.660,130.540,131.750,2527486
2022-12-27,132.850,135.780,132.180,135.410,4808369
2022-12-28,134.300,141.480,134.140,138.620,7123243
2022-12-29,137.150,149.810,137.080,148.120,11618232
2022-12-30,147.090,149.700,147.000,148.000,6835617
2023-01-03,147.710,149.350,145.180,146.600,5148596
2023-01-04,146.530,151.000,146.530,148.990,5394826
2023-01-05,148.680,153.850,148.210,150.520,7369195
2023-01-06,148.260,150.400,147.170,148.290,4353031
2023-01-09,150.000,150.690,147.110,149.390,4638019
2023-01-10,149.050,152.000,147.800,149.890,4608242
2023-01-11,150.690,154.980,149.310,150.770,6985457
2023-01-12,150.770,153.230,150.180,151.200,4592070
2023-01-13,150.510,153.400,149.630,152.500,4576759
2023-01-16,155.500,167.750,155.000,167.750,9506882
2023-01-17,171.990,173.250,167.360,168.330,12668607
2023-01-18,168.500,169.450,162.680,163.900,6600795
2023-01-19,163.910,174.550,161.610,171.850,9416605
2023-01-20,171.850,173.360,168.570,169.000,4751842
2023-01-30,169.970,170.000,165.260,166.120,5629161
2023-01-31,167.000,171.920,158.660,159.600,8559761
2023-02-01,159.880,166.480,158.500,165.960,6573806
2023-02-02,165.700,173.500,165.010,168.020,5297534
2023-02-03,166.000,169.990,163.380,166.300,3996069
2023-02-06,163.850,165.690,158.100,160.000,5747289
2023-02-07,160.900,162.480,156.250,157.690,4784624
2023-02-08,158.600,160.850,156.930,157.000,3182719
2023-02-09,156.100,158.500,155.570,158.500,4602301
2023-02-10,157.700,158.090,154.600,156.050,4400507
2023-02-13,154.990,158.450,153.490,154.900,6451007
2023-02-14,154.920,156.000,152.090,153.000,4923128
2023-02-15,153.010,153.790,149.000,149.900,5953674
2023-02-16,150.000,152.770,146.300,147.220,6678841
2023-02-17,146.780,148.770,145.500,147.260,4467787
2023-02-20,148.000,149.310,143.860,148.900,5242153
2023-02-21,148.920,150.860,147.400,148.160,4512779
