日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-11-10,300725,3.9,4.97,4.97,3.9,22,34908.0,35.55,65.12,1.96,0.01
2017-11-13,300725,5.62,5.62,5.62,5.62,6,10758.0,0.0,13.08,0.65,0.0
2017-11-14,300725,6.32,6.32,6.32,6.32,12,23664.0,0.0,12.46,0.7,0.01
2017-11-15,300725,7.1,7.1,7.1,7.1,26,56394.0,0.0,12.34,0.78,0.01
2017-11-16,300725,7.96,7.96,7.96,7.96,34,81124.0,0.0,12.11,0.86,0.02
2017-11-17,300725,8.9,8.9,8.9,8.9,28,73500.0,0.0,11.81,0.94,0.02
2017-11-20,300725,9.94,9.94,9.94,9.94,71,205048.0,0.0,11.69,1.04,0.04
2017-11-21,300725,11.08,11.08,11.08,11.08,66,209682.0,0.0,11.47,1.14,0.04
2017-11-22,300725,12.33,12.33,12.33,12.33,195,681525.0,0.0,11.28,1.25,0.11
2017-11-23,300725,13.71,13.71,13.71,13.71,650,2499250.0,0.0,11.19,1.38,0.35
2017-11-24,300725,15.23,15.23,15.23,15.23,867,3667410.0,0.0,11.09,1.52,0.47
2017-11-27,300725,16.9,16.9,16.9,16.9,1223,5690619.0,0.0,10.97,1.67,0.67
2017-11-28,300725,18.73,18.73,18.73,18.73,2033,10405354.0,0.0,10.83,1.83,1.11
2017-11-29,300725,20.75,20.75,20.75,20.75,1118,6294452.0,0.0,10.78,2.02,0.61
2017-11-30,300725,22.97,22.97,22.97,22.97,1152,7134336.0,0.0,10.7,2.22,0.63
2017-12-01,300725,25.42,25.42,25.42,25.42,4807,32744534.0,0.0,10.67,2.45,2.62
2017-12-04,300725,28.1,25.25,28.1,24.98,130285,920287392.0,12.27,-0.67,-0.17,71.06
2017-12-05,300725,26.23,25.46,26.86,25.18,71668,496852608.0,6.65,0.83,0.21,39.09
2017-12-06,300725,26.63,28.15,28.15,26.4,74353,549222896.0,6.87,10.57,2.69,40.56
2017-12-07,300725,27.74,31.12,31.12,27.63,58869,462522624.0,12.4,10.55,2.97,32.11
2017-12-08,300725,32.07,34.37,34.37,32.07,37273,330214512.0,7.39,10.44,3.25,20.33
2017-12-11,300725,36.88,37.2,37.9,34.92,74977,718166176.0,8.67,8.23,2.83,40.9
2017-12-19,300725,34.84,35.86,36.72,33.71,56042,522708352.0,8.09,-3.6,-1.34,30.57
2017-12-20,300725,36.1,39.59,39.59,36.06,48740,489795968.0,9.84,10.4,3.73,26.59
2017-12-21,300725,40.75,43.7,43.7,39.18,32000,348563712.0,11.42,10.38,4.11,17.45
2017-12-22,300725,45.92,45.09,48.22,45.09,59284,722633520.0,7.16,3.18,1.39,32.34
2017-12-25,300725,46.08,47.79,48.6,43.83,53529,649971024.0,10.58,5.99,2.7,29.2
2017-12-26,300725,47.25,46.41,49.39,45.92,50176,620568976.0,7.26,-2.89,-1.38,27.37
2017-12-27,300725,45.09,47.15,49.79,44.73,53705,662134448.0,10.9,1.59,0.74,29.29
2017-12-28,300725,47.47,45.14,51.93,44.97,63093,802360688.0,14.76,-4.26,-2.01,34.41
2017-12-29,300725,45.15,43.63,46.39,43.12,44692,522144368.0,7.24,-3.35,-1.51,24.38
2018-01-02,300725,43.75,44.21,45.21,42.02,35595,410048736.0,7.31,1.33,0.58,19.42
2018-01-03,300725,44.3,42.39,44.3,42.33,31514,355463968.0,4.46,-4.12,-1.82,17.19
2018-01-04,300725,41.68,45.6,46.47,41.36,45378,524357568.0,12.05,7.57,3.21,24.75
2018-01-05,300725,44.65,47.41,48.62,44.33,40713,498511904.0,9.41,3.97,1.81,22.21
2018-01-08,300725,46.67,46.67,50.41,45.88,39866,502959152.0,9.55,-1.56,-0.74,21.75
2018-01-09,300725,46.87,51.48,51.48,46.87,43476,559241248.0,9.88,10.31,4.81,23.71
2018-01-10,300725,50.22,52.43,53.81,49.24,43624,582793168.0,8.88,1.85,0.95,23.79
2018-01-11,300725,51.4,51.21,53.53,50.88,31399,425117712.0,5.05,-2.33,-1.22,17.13
2018-01-12,300725,51.44,52.31,54.47,51.44,32752,451723696.0,5.92,2.15,1.1,17.86
2018-01-15,300725,51.4,49.83,53.64,49.74,31390,422998288.0,7.46,-4.74,-2.48,17.12
2018-01-16,300725,51.8,54.93,54.95,51.21,49752,700515104.0,7.51,10.23,5.1,27.14
2018-01-17,300725,53.77,51.01,54.54,49.43,37183,503392544.0,9.3,-7.14,-3.92,20.28
2018-01-18,300725,51.75,51.92,52.94,50.61,22160,299979664.0,4.57,1.78,0.91,12.09
2018-01-19,300725,51.76,50.85,53.37,49.63,28135,375627648.0,7.2,-2.06,-1.07,15.35
2018-01-22,300725,50.61,45.62,50.61,45.62,26502,330435456.0,9.81,-10.29,-5.23,14.46
2018-01-23,300725,44.65,45.35,47.32,43.12,29737,351203376.0,9.21,-0.59,-0.27,16.22
2018-01-24,300725,44.54,46.08,46.2,43.76,22643,267640228.0,5.38,1.61,0.73,12.35
