date,code,open,close,high,low,volume
2022-11-23,601788,15.46,15.36,15.64,15.2,60671050
2022-11-24,601788,15.99,15.47,15.99,15.39,72672409
2022-11-25,601788,15.37,15.71,15.88,15.34,85926354
2022-11-28,601788,15.15,15.37,15.44,15.0,69053138
2022-11-29,601788,15.4,16.35,16.76,15.4,164392307
2022-11-30,601788,16.38,16.17,16.75,16.03,123255377
2022-12-01,601788,16.52,16.1,16.95,16.1,134792220
2022-12-02,601788,16.02,15.89,16.35,15.8,73066191
2022-12-05,601788,16.16,16.44,16.5,16.06,120496464
2022-12-06,601788,16.2,16.24,16.55,16.13,75921582
2022-12-07,601788,16.13,16.01,16.27,15.83,67368652
2022-12-08,601788,16.01,15.87,16.03,15.75,42541465
2022-12-09,601788,15.85,16.06,16.11,15.61,69893277
2022-12-12,601788,15.9,15.52,15.92,15.51,59180640
2022-12-13,601788,15.46,15.5,15.65,15.46,33203797
2022-12-14,601788,15.61,15.62,15.72,15.38,48703180
2022-12-15,601788,15.52,15.42,15.62,15.34,36421822
2022-12-16,601788,15.3,15.55,15.75,15.28,42906122
2022-12-19,601788,15.55,15.12,15.72,15.0,49955910
2022-12-20,601788,15.02,15.16,15.28,14.98,33613377
2022-12-21,601788,15.18,15.07,15.24,14.9,29269113
2022-12-22,601788,15.2,14.88,15.29,14.8,38611754
2022-12-23,601788,14.76,15.04,15.18,14.72,34015855
2022-12-26,601788,14.99,15.07,15.11,14.8,31665974
2022-12-27,601788,15.16,15.28,15.44,15.07,47385908
2022-12-28,601788,15.15,14.95,15.18,14.95,36469333
2022-12-29,601788,14.85,14.83,15.01,14.77,34224447
2022-12-30,601788,14.9,14.87,15.03,14.86,23975636
2023-01-03,601788,14.68,14.81,14.86,14.18,54013722
2023-01-04,601788,14.74,14.86,15.09,14.69,41822914
2023-01-05,601788,15.08,15.25,15.46,15.0,83273338
2023-01-06,601788,15.12,15.13,15.29,15.1,41388756
2023-01-09,601788,15.16,15.46,15.79,15.16,95027372
2023-01-10,601788,15.44,15.26,15.7,15.23,63079372
2023-01-11,601788,15.2,15.05,15.32,15.03,42840017
2023-01-12,601788,15.09,15.36,15.38,15.08,45448909
2023-01-13,601788,15.59,15.69,15.69,15.31,70459322
2023-01-16,601788,15.68,16.22,16.88,15.65,145774544
2023-01-17,601788,16.2,16.33,16.36,16.01,79157362
2023-01-18,601788,16.2,16.14,16.3,16.05,46789183
2023-01-19,601788,16.05,16.48,16.54,16.01,67811615
2023-01-20,601788,16.59,16.28,16.64,16.17,64163880
2023-01-30,601788,16.52,16.09,16.57,16.06,67859173
2023-01-31,601788,16.09,15.9,16.22,15.86,50509993
2023-02-01,601788,15.97,16.38,16.39,15.9,69612678
2023-02-02,601788,16.58,16.03,16.66,15.98,99826667
2023-02-03,601788,15.88,15.91,16.06,15.78,52299493
2023-02-06,601788,15.8,15.63,15.87,15.61,42407289
2023-02-07,601788,15.74,15.69,15.84,15.65,36479780
2023-02-08,601788,15.72,15.39,15.75,15.39,46006611
2023-02-09,601788,15.35,15.63,15.65,15.32,37649733
2023-02-10,601788,15.58,15.51,15.66,15.47,25943601
2023-02-13,601788,15.41,15.58,15.64,15.38,27994501
2023-02-14,601788,15.61,15.67,15.67,15.43,32758434
2023-02-15,601788,15.63,15.43,15.65,15.4,34700296
2023-02-16,601788,15.4,15.22,15.79,15.1,73529330
2023-02-17,601788,15.18,15.02,15.29,15.0,41404733
2023-02-20,601788,15.24,15.66,15.73,15.21,76752885
2023-02-21,601788,15.59,15.71,15.73,15.52,51056509
2023-02-22,601788,15.63,15.61,15.84,15.58,37098983
2023-02-23,601788,15.65,16.1,16.44,15.65,111302400
2023-02-24,601788,16.0,15.81,16.07,15.78,56244333
2023-02-27,601788,15.6,15.49,15.68,15.46,37874949
2023-02-28,601788,15.53,15.64,15.64,15.38,30490347
2023-03-01,601788,15.64,15.95,15.99,15.54,56766534
2023-03-02,601788,15.86,15.88,15.95,15.8,36166737
2023-03-03,601788,15.98,16.02,16.06,15.73,51786032
2023-03-06,601788,16.03,15.74,16.1,15.72,42354868
2023-03-07,601788,15.68,15.3,15.88,15.3,52330247
2023-03-08,601788,15.22,15.45,15.45,15.19,28986174
2023-03-09,601788,15.45,15.38,15.45,15.27,22549805
2023-03-10,601788,15.22,15.21,15.4,15.19,25619222
2023-03-13,601788,15.15,15.3,15.33,15.11,25011722
2023-03-14,601788,15.24,15.01,15.25,14.75,39668798
2023-03-15,601788,15.12,15.09,15.23,15.07,25887236
2023-03-16,601788,14.93,14.79,15.07,14.75,28207477
2023-03-17,601788,14.93,15.12,15.25,14.92,41313083
2023-03-20,601788,15.09,14.96,15.27,14.95,32563553
2023-03-21,601788,15.0,15.11,15.15,14.95,20980596
2023-03-22,601788,15.18,15.08,15.19,14.95,25581128
2023-03-23,601788,15.03,15.24,15.25,14.97,31057400
2023-03-24,601788,15.26,15.18,15.34,15.11,25248026
2023-03-27,601788,15.11,15.28,15.31,15.05,36124703
2023-03-28,601788,15.26,15.27,15.34,15.15,28654656
2023-03-29,601788,15.26,15.17,15.29,15.03,25617172
2023-03-30,601788,15.15,15.29,15.38,14.94,34734976
2023-03-31,601788,15.2,15.24,15.32,15.17,21828679
2023-04-03,601788,15.25,15.69,15.89,15.24,85821001
2023-04-04,601788,15.7,15.74,15.79,15.59,48341105
2023-04-06,601788,15.64,15.58,15.68,15.5,34361783
2023-04-07,601788,15.54,15.68,15.8,15.44,44648824
2023-04-10,601788,15.98,15.48,16.03,15.46,49824600
