日期,股票代码,开盘,收盘,最高,最低,成交量
2022-11-09,688041,47.0,49.39,50.37,46.97,25901582.0
2022-11-10,688041,48.7,46.25,49.3,46.09,19736091.0
2022-11-11,688041,47.88,46.6,47.9,46.01,14390587.0
2022-11-14,688041,46.68,45.6,46.8,44.54,11937612.0
2022-11-15,688041,45.6,47.56,48.55,45.13,13827590.0
2022-11-16,688041,47.95,45.77,47.95,45.56,11987054.0
2022-11-17,688041,45.46,46.89,47.38,44.7,11383354.0
2022-11-18,688041,46.51,45.75,47.38,45.42,9000789.0
2022-11-21,688041,45.11,45.74,46.39,45.11,6045714.0
2022-11-22,688041,45.68,45.53,46.98,45.0,9095430.0
2022-11-23,688041,45.58,43.6,45.91,41.99,14601665.0
2022-11-24,688041,43.56,43.98,44.67,43.42,7556608.0
2022-11-25,688041,43.6,43.46,45.15,43.02,7923905.0
2022-11-28,688041,42.7,41.91,43.59,41.66,9961786.0
2022-11-29,688041,41.85,42.12,42.72,41.58,8446791.0
2022-11-30,688041,42.18,41.44,42.3,41.06,8475504.0
2022-12-01,688041,42.09,42.71,43.5,41.96,10637205.0
2022-12-02,688041,42.4,43.25,44.5,42.31,9510821.0
2022-12-05,688041,43.88,43.65,44.17,42.92,6706085.0
2022-12-06,688041,43.15,45.07,46.5,43.15,13244351.0
2022-12-07,688041,45.0,45.2,45.74,44.58,6987422.0
2022-12-08,688041,45.0,45.28,46.15,44.6,7556530.0
2022-12-09,688041,45.14,45.75,46.77,45.04,12336370.0
2022-12-12,688041,45.36,46.21,47.35,44.95,8902193.0
2022-12-13,688041,46.03,44.89,46.33,44.8,6796636.0
2022-12-14,688041,46.42,44.61,46.65,44.6,6806794.0
2022-12-15,688041,44.26,44.24,45.63,44.12,6114217.0
2022-12-16,688041,44.26,43.11,44.26,42.85,6226726.0
2022-12-19,688041,43.05,41.84,43.28,41.6,4817118.0
2022-12-20,688041,41.96,41.83,42.42,41.43,3675107.0
2022-12-21,688041,41.83,40.51,41.84,40.2,4578371.0
2022-12-22,688041,40.8,39.76,40.96,39.7,3739417.0
2022-12-23,688041,39.6,40.08,40.38,39.25,4174819.0
2022-12-26,688041,40.08,41.2,41.56,40.06,4632977.0
2022-12-27,688041,41.22,41.33,41.7,40.55,4279635.0
2022-12-28,688041,41.3,40.48,41.3,40.32,2904206.0
2022-12-29,688041,40.6,40.6,41.13,40.08,3400797.0
2022-12-30,688041,40.84,40.12,41.18,40.08,3035871.0
