score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,close,date,fwd_5d,fwd_10d,fwd_20d
8,14,2,0,4,0,[],2.0,动能衰减期,27.224918521247837,63.606505865393466,65.06338107231063,0,0,0,497.5,2026-01-09,0.05302512562814066,0.025869346733668364,-0.05079396984924622
7,14,1,0,5,0,[],2.0,动能衰减期,27.49999645949433,68.76709322696121,60.846197195162155,0,0,0,523.88,2026-01-16,-0.025788348476750378,-0.09286477819347938,-0.07207757501717948
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,25.654105102046707,60.04874014137962,48.64380844612436,0,0,0,510.37,2026-01-23,-0.06885200932656699,-0.0747300977722044,-0.08732880067402082
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,20.779427909124387,44.6816918358306,1.957982430190042,0,0,0,475.23,2026-01-30,-0.00631273278202138,0.02291521999873747,-0.04753487784862076
2,14,1,0,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,21.56396069544281,45.18927192687536,-25.079055729816897,0,0,0,472.23,2026-02-06,0.029413633187218124,-0.01361624632064884,-0.037100565402452323
4,14,1,0,2,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,18.349090639562192,52.327703889243956,-12.63369036863905,0,0,0,486.12,2026-02-13,-0.0418003785073644,-0.06887188348555917,-0.08584300172796844
3,14,1,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,15.975662069634183,44.7042256039143,-1.964130767950319,0,0,0,471.88,2026-02-27,-0.013774688480122088,-0.029668559803339822,-0.04005255573450872
1,14,0,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.395915310373052,45.383057904846126,-29.249841568579246,0,0,0,465.38,2026-03-06,-0.016115862306072426,0.007176930680304228,-0.08365206927672009
3,14,1,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,18.34103693829996,43.61498737921599,-36.39343990455658,0,0,0,457.88,2026-03-13,0.023674325150694564,-0.01070149384118102,0.03192976325674857
4,14,1,0,2,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,17.252465689044303,51.1007909146599,-18.49682125230792,0,0,0,468.72,2026-03-20,-0.033580815838880396,-0.09018177163338459,0.0053550093872674065
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,16.595374344570086,46.19138919906137,-34.088104212998346,0,0,0,452.98,2026-03-27,-0.05856770718354021,0.043092410260938685,0.13967504084065507
0,14,1,1,0,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,15.706765981512026,38.5523183373296,-43.083193166155326,0,0,0,426.45,2026-04-03,0.10798452339078435,0.10500644858717334,0.2947356079258998
4,14,1,0,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,16.11871098284154,56.735494137585725,-14.242328905778699,0,0,0,476.89,2026-04-10,-0.014636498982993906,-0.008786093229046554,0.2183103021661179
1,14,0,0,1,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,15.352007347521957,52.99974115142308,10.804010711189745,0,0,0,469.91,2026-04-17,0.0059373071439210445,0.16054138026430587,0.39601200229831246
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,12.15783426088975,53.08557636373649,11.327267197335473,0,0,0,472.7,2026-04-24,0.15369155912841137,0.22910937169452095,0.38517029828643956
9,14,2,0,5,0,[],2.0,动能衰减期,22.688346083848895,66.28263025234446,58.20571486215714,0,0,0,540.79,2026-05-08,0.09469479835056127,0.23707908800088773,0.11570110394053157
9,14,2,0,5,0,[],2.0,动能衰减期,30.094534583002815,71.27075727071886,63.8443503067826,0,0,0,592.0,2026-05-15,0.13006756756756754,0.06396959459459461,0.12701013513513515
9,14,2,0,5,0,[],2.0,动能衰减期,36.87527803915806,81.05443986567326,73.09813735864626,0,0,0,669.0,2026-05-22,-0.05849028400597911,-0.09811659192825106,0.11360239162929742
6,14,1,0,4,1,['volume_divergence'],2.0,动能衰减期,41.49150390351159,59.71285314438138,59.723350034684486,0,0,0,629.87,2026-05-29,-0.042088049915061876,0.05925032149491183,0.3656627558067538
6,14,1,0,4,0,[],2.0,动能衰减期,34.729781883636115,51.79887114122526,21.455531771957663,0,0,0,603.36,2026-06-05,0.10579090426942472,0.23475205515778308,0.331874834261469
6,14,1,0,4,0,[],2.0,动能衰减期,29.81835288353401,63.17634146757348,23.96328135963619,0,0,0,667.19,2026-06-12,0.11662345059128576,0.28927292075720556,0.14555074266700618
9,14,2,0,5,0,[],2.0,动能衰减期,36.86900005801457,79.0855710910335,64.94390255278182,0,0,0,813.37,2026-06-26,0.0032334607866038034,-0.015208330771973366,-0.06930425267713336
8,14,2,0,4,0,[],2.0,动能衰减期,43.24351467084534,61.40011708963134,64.94245410950245,0,0,0,816.0,2026-07-03,-0.018382352941176516,-0.1703431372549019,-0.15808823529411764
6,14,1,0,4,0,[],2.0,动能衰减期,38.85098230738902,55.0829575264163,47.92551684921505,0,0,0,801.0,2026-07-10,-0.15480649188514362,-0.05493133583021226,-0.06118601747815233
-1,14,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,30.11847808407925,40.63860580987577,-3.288603901437918,0,0,0,677.0,2026-07-17,0.1181683899556869,0.01477104874446078,
0,14,0,1,2,0,[],2.5,阶段2.5-得分触底未共振,23.9627075978276,51.36101805069447,-7.843533477170354,0,0,0,757.0,2026-07-24,-0.09247027741083225,-0.006618229854689517,
-4,14,0,2,0,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,19.104465237486444,43.52833376135761,-27.206691366203373,0,0,0,687.0,2026-07-31,0.09459970887918479,,
2,14,1,1,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,15.67425181734211,53.17252430766566,-15.787665551534143,0,0,0,751.99,2026-08-07,,,
