score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,close,date,fwd_5d,fwd_10d,fwd_20d
3,14,1,0,1,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,11.232352524977044,45.53506918445988,0.6161613580628869,0,0,0,11.46,2026-01-09,-0.023560209424083878,-0.041012216404886614,-0.035776614310645716
-4,14,0,2,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,10.752478475623503,33.593757354744014,-36.28100569891866,0,0,0,11.19,2026-01-16,-0.01787310098302053,-0.03217158176943691,-0.02502234137622872
-4,14,0,2,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,17.206656426455236,28.154124502915238,-57.020313431177414,0,0,0,10.99,2026-01-23,-0.0145586897179254,0.005459508644221955,-0.01273885350318471
-4,14,0,2,0,0,[],2.5,阶段2.5-得分触底未共振,27.262065219137448,29.00199489924141,-61.64864173393367,0,0,0,10.83,2026-01-30,0.02031394275161591,0.007386888273314796,-0.006463527239150557
0,14,0,1,2,0,[],2.5,阶段2.5-得分触底未共振,29.50449476804432,45.06815401938326,-40.49456148044032,0,0,0,11.05,2026-02-06,-0.012669683257918618,-0.018099547511312264,-0.01176470588235301
1,14,0,0,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,26.797951232861557,38.206331320857004,-25.22976085566742,0,0,0,10.91,2026-02-13,-0.005499541704858002,-0.013748854262144894,-0.0421631530705775
3,14,1,0,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,29.549135880592218,39.28340714787865,-40.14719337583836,0,0,0,10.9,2026-02-27,-0.007339449541284404,0.0027522935779815683,0.011009174311926495
3,14,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,33.234767421754036,39.881542372218235,-49.78587517285456,0,0,0,10.82,2026-03-06,0.010166358595194103,-0.004621072088724643,0.02772643253234741
3,14,1,0,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,31.32586550551357,49.191293536049365,-23.6647043711449,0,0,0,10.93,2026-03-13,-0.014638609332113472,0.008234217749313766,0.012808783165599413
3,14,1,0,1,2,"['volume_divergence', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,24.144283603153742,40.098790461344194,-3.9755299334011833,0,0,0,10.77,2026-03-20,0.0232126276694522,0.03249767873723308,0.026926648096564643
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,21.140850695775377,54.520561480873646,-4.74075973212183,0,0,0,11.02,2026-03-27,0.00907441016333932,0.00453720508166966,0.03266787658802195
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.124442325427285,55.80097259052567,31.024268292045072,0,0,0,11.12,2026-04-03,-0.004496402877697703,-0.0053956834532372655,0.02248201438848918
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,15.163657302332062,53.15129141635389,29.798144332704855,0,0,0,11.09,2026-04-10,-0.007213706041478862,-0.008115419296663595,0.004508566275924331
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,12.975892584034069,48.66303565347571,24.26062128251493,0,0,0,11.01,2026-04-17,-0.0009082652134423386,0.031789282470481295,-0.021798365122615793
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,10.784661380759548,48.160506384893736,-8.404090351310641,0,0,0,11.0,2026-04-24,0.032727272727272716,0.012727272727272698,-0.021818181818181848
3,14,1,0,1,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,19.76194036304857,55.33240477138307,33.395011870382746,0,0,0,11.3,2026-05-08,-0.02743362831858409,-0.05486725663716818,-0.02831858407079646
-1,14,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,16.161750011283818,41.14971117217392,-4.383274305627178,0,0,0,10.99,2026-05-15,-0.02820746132848051,-0.005459508644222066,0.022747952684258443
-2,14,0,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.641015894253673,30.546709591280162,-38.956322489840716,0,0,0,10.68,2026-05-22,0.023408239700374533,0.028089887640449396,-0.002808988764044895
0,14,0,1,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.363620709661685,48.681096932695354,-39.657424679554794,0,0,0,10.93,2026-05-29,0.0045745654162854255,0.02836230558096986,-0.0631290027447392
-1,14,0,1,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,14.305162633311715,50.75241869315841,-11.126743274086753,0,0,0,10.98,2026-06-05,0.023679417122040025,-0.030054644808743203,-0.04371584699453557
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,14.698098244830053,58.50253626588096,22.997307074059755,0,0,0,11.24,2026-06-12,-0.052491103202847,-0.08896797153024916,-0.062277580071174454
0,14,1,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.910381047532184,31.03685749541205,-37.620123537304586,0,0,0,10.23,2026-06-26,0.00586510263929596,0.021505376344086002,0.08504398826979465
0,14,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,25.170032255574252,37.95801342712421,-47.88778985284843,0,0,0,10.29,2026-07-03,0.01554907677356665,0.04761904761904767,0.1302235179786202
-1,14,0,1,1,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,20.72330166089658,44.836601892692244,-21.176652710856374,0,0,0,10.45,2026-07-10,0.03157894736842115,0.062200956937799035,0.07081339712918666
4,14,1,0,2,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.076160881662197,55.398935931733185,19.110387749627165,0,0,0,10.78,2026-07-17,0.029684601113172615,0.07884972170686466,
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,23.915760326002253,62.72044139731786,42.261466072449814,0,0,0,11.1,2026-07-24,0.047747747747747926,0.008108108108108025,
9,14,2,0,5,0,[],2.0,动能衰减期,30.72633046680559,74.54687523448685,56.5912625992345,0,0,0,11.63,2026-07-31,-0.03783319002579544,,
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,29.815642138551183,54.51012280467025,41.283086088382355,0,0,0,11.19,2026-08-07,,,
