score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,ad_line_signal,close,date,fwd_5d,fwd_10d,fwd_20d
10,14,2,0,6,0,[],1.0,强动能期,23.511026654064615,76.39513413397043,61.65197346006533,0,0,1,0,43.07,2026-01-09,0.021128395635012787,0.014395170652426126,-0.052008358486185347
10,14,2,0,6,0,[],1.0,强动能期,38.93867774377582,62.04927228699745,78.61776174789254,0,0,1,-1,43.98,2026-01-16,-0.006593906321055054,-0.06912232833105958,-0.08003638017280579
7,14,1,0,5,0,[],2.0,动能衰减期,37.01396177543432,59.46290694071365,39.537624279616935,0,0,1,0,43.69,2026-01-23,-0.06294346532387274,-0.06546120393682764,-0.13275349050125884
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,31.739535452148242,46.645916645294726,3.0742901987802007,0,0,1,0,40.94,2026-01-30,-0.0026868588177820785,-0.011724474841230959,-0.10576453346360526
-2,14,0,1,0,0,[],2.5,阶段2.5-得分触底未共振,26.266551973141517,47.14385287997827,-16.56048383431189,0,0,0,0,40.83,2026-02-06,-0.009061964241978915,-0.07200587803085956,-0.09037472446730344
0,14,0,0,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,21.93514941425167,44.8949344916747,-15.412287642162111,0,0,0,-1,40.46,2026-02-13,-0.06351952545724171,-0.09515570934256057,-0.18882847256549684
-2,14,0,1,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,18.059219961692367,42.87239212377602,-40.024202414979236,0,0,0,0,39.89,2026-02-27,-0.06793682627224873,-0.06668337929305601,-0.11105540235648026
0,14,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,25.526690979882048,35.933083694999425,-67.32087017225544,0,0,-1,0,37.18,2026-03-06,0.0013448090371166455,-0.055137170521785794,-0.009682625067240491
2,14,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,25.841039303254576,39.18291058338448,-52.20089607857066,0,0,0,0,37.23,2026-03-13,-0.0564061240934729,-0.04754230459306996,0.006983615363953977
-4,14,0,2,0,0,[],2.5,阶段2.5-得分触底未共振,25.42375267127727,30.56716629418817,-52.75354618688391,0,0,-1,0,35.13,2026-03-20,0.009393680614859123,0.04810703102761171,0.09308283518360372
1,14,1,1,1,0,[],2.5,阶段2.5-得分触底未共振,32.37174130517027,42.693439998537265,-65.61230815772869,0,0,-1,1,35.46,2026-03-27,0.0383530738860689,0.05724760293288211,0.08403835307388596
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,24.932040483561714,49.39382299841917,-15.300307275580343,0,0,0,-1,36.82,2026-04-03,0.018196632265073287,0.042911461162411735,0.06979902227050516
3,14,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,20.050982209301992,53.957052466268095,5.496457880059223,0,0,0,0,37.71,2026-04-10,0.0018562715460090917,0.004773269689737569,0.05091487669053296
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.8394160667676,52.598324742993604,22.47078764481963,0,0,0,0,37.78,2026-04-17,0.0029115934356802597,0.05373213340391736,-0.015352038115404976
5,14,1,0,3,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,19.202008352227445,51.736140991119534,25.94690196932185,0,0,1,-1,37.89,2026-04-24,0.05067300079176573,0.04592240696753769,-0.046714172604909066
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,23.9384272986799,51.71269463208589,45.29587556929667,0,0,1,0,38.62,2026-05-08,-0.023303987571206553,-0.032625582599689285,-0.14655618850336605
3,14,1,0,1,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,22.574507450775414,45.88938975019924,25.79553399159039,0,0,0,-1,37.72,2026-05-15,-0.009544008483563071,-0.07184517497348886,-0.1503181336161188
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.70809655807557,45.01177921914108,-9.784844221682905,0,0,0,0,37.36,2026-05-22,-0.06290149892933627,-0.11777301927194861,-0.09662740899357602
-2,14,0,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.211977150553494,32.81392402074172,-36.676270920605134,0,0,-1,0,35.01,2026-05-29,-0.05855469865752638,-0.08454727220794067,0.033419023136246784
-2,14,0,1,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,23.464205967700206,25.601244971231992,-54.50345444815069,0,0,0,0,32.96,2026-06-05,-0.02760922330097093,0.02396844660194164,0.13622572815533984
-2,14,0,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,31.62787719371488,31.56024047684369,-61.67658960703736,0,0,-1,1,32.05,2026-06-12,0.05304212168486755,0.12886115444617796,0.20124804992199707
-1,14,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,25.89756754138327,45.35639806769917,-4.922408461329543,0,0,-1,0,33.51,2026-06-26,0.11399582214264403,0.14234556848701896,0.11787526111608493
4,14,0,0,4,0,[],2.5,阶段2.5-得分触底未共振,27.799678924266843,60.808879011225926,31.015726270731882,0,0,0,0,37.33,2026-07-03,0.025448700776855127,-0.011786766675595972,-0.01901955531743904
8,14,1,0,6,0,[],2.0,动能衰减期,27.80447469042843,61.925435821505296,33.18412237255371,0,0,1,-1,38.28,2026-07-10,-0.036311389759665635,-0.0214211076280042,0.24085684430512022
6,14,1,0,4,0,[],2.0,动能衰减期,31.176512580309375,49.84834772634356,53.31283397005723,0,0,0,-1,36.89,2026-07-17,0.015451341827053433,-0.007319056654920164,
6,14,1,0,4,0,[],2.0,动能衰减期,27.749823577928503,50.10489914386106,32.30284823922453,0,0,0,0,37.46,2026-07-24,-0.022423918846769975,0.26801922050186855,
3,14,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,22.15070140578836,47.36842849244067,-4.616646136158565,0,0,-1,0,36.62,2026-07-31,0.29710540688148557,,
10,14,2,0,6,0,[],1.0,强动能期,24.05932454172189,70.90583926236084,29.934349564422458,0,0,1,0,47.5,2026-08-07,,,
