score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,ad_line_signal,close,date,fwd_5d,fwd_10d,fwd_20d
6,14,1,0,4,1,['volatility_drop'],2.0,动能衰减期,34.07859816640934,55.3024503184538,42.2301770099773,0,0,0,1,605.25,2026-01-06,-0.032201569599339175,-0.03345724907063197,-0.02569186286658398
5,14,1,0,3,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,28.564427891203707,49.893300261544546,6.4259745828735495,0,0,0,1,585.76,2026-01-13,-0.0012974597104615793,0.050942365473914286,-0.05130087407812067
5,14,1,0,3,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,24.771484985186422,48.294763253587824,9.17723702251112,0,0,0,-1,585.0,2026-01-20,0.05230769230769239,0.008034188034188094,-0.03235897435897428
5,14,1,0,3,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,21.580851765522986,54.727666191624316,-0.9192976634832258,0,0,0,1,615.6,2026-01-27,-0.04207277452891489,-0.09728719948018194,-0.12443144899285252
5,14,1,0,3,2,"['volume_divergence', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,21.117681706490238,47.99830022318956,16.73367503036659,0,0,0,-1,589.7,2026-02-03,-0.05763947770052569,-0.0400712226555876,-0.059386128539935745
2,14,1,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,19.463052538167883,43.77846445841942,-22.194885993334044,0,0,0,0,555.71,2026-02-10,0.018642817296791625,-0.03006964063990214,0.04370984866207195
2,14,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,20.70050050860306,45.70057189882936,-35.92123572351092,0,0,0,0,554.0,2026-02-24,0.017689530685920385,-0.012635379061371799,0.08879061371841157
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.003966577931617,48.73055610219243,-16.40996697256017,0,0,0,0,563.8,2026-03-03,-0.02979780063852422,-0.03689251507626812,0.009950336998935772
3,14,1,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.041897570786723,47.008063376845215,-28.28016846976441,0,0,0,0,547.0,2026-03-10,-0.007312614259597838,0.10272394881170022,0.25802559414990855
3,14,1,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,12.9911318564715,46.900026857543665,-13.313318985816286,0,0,0,-1,543.0,2026-03-17,0.11084714548802954,0.048637200736648234,0.4364272559852671
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,12.364450064105986,57.49144352142188,28.75377916029002,0,0,0,0,603.19,2026-03-24,-0.05600225467928854,0.14083456290720986,0.469885110827434
3,14,1,0,1,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,12.320298075578304,48.14411629039988,24.010544671703933,0,0,0,-1,569.41,2026-03-31,0.2085140759733759,0.36980383203666967,0.48574840624506077
6,14,1,0,4,1,['volatility_drop'],2.0,动能衰减期,11.634473496845715,57.31868757983962,30.92200551643327,0,0,0,1,619.53,2026-04-07,0.24772004584120233,0.39599373718786834,0.43011637854502616
9,14,2,0,5,0,[],2.0,动能衰减期,21.6056730099884,75.19149559772688,68.6664020579405,0,0,0,0,773.0,2026-04-14,0.11883570504527818,0.06727037516170764,0.35817593790426905
9,14,2,0,5,0,[],2.0,动能衰减期,33.89658122985429,81.68268477548827,75.29429891304486,0,0,0,0,864.86,2026-04-21,-0.04608838424716144,0.024443262493351492,0.20017112596258357
6,14,1,0,4,1,['volume_divergence'],2.0,动能衰减期,40.9784396345158,64.25332288591662,63.5118092879336,0,0,0,-1,825.0,2026-04-28,0.07393939393939397,0.2725696969696969,0.40746666666666687
9,14,2,0,5,1,['volatility_drop'],2.0,动能衰减期,44.408279084966686,81.7815501769102,63.27700217282798,0,0,0,0,1017.99,2026-05-12,0.011797758327684926,0.08350769653925871,0.15914694643365856
8,14,2,0,4,2,"['volume_divergence', 'volatility_drop']",2.0,动能衰减期,51.06240806597048,73.54382318417574,69.8291553529335,0,0,0,0,1030.0,2026-05-19,0.07087378640776709,0.1570970873786408,0.21173786407766992
9,14,2,0,5,1,['volatility_drop'],2.0,动能衰减期,50.41216093311357,74.08930914702509,63.030719506348255,0,0,0,1,1103.0,2026-05-26,0.08051677243880317,0.06980961015412501,0.18964641885766098
9,14,2,0,5,0,[],2.0,动能衰减期,52.261182610544786,72.02098932579992,68.24483638336116,0,0,0,0,1191.81,2026-06-02,-0.009909297622943236,0.04722229214388207,0.02631291900554622
8,14,2,0,4,0,[],2.0,动能衰减期,49.019313095264,61.61083621591598,56.76589996264473,0,0,0,0,1180.0,2026-06-09,0.05770338983050838,0.11201694915254246,-0.04377118644067801
7,14,1,0,5,0,[],2.0,动能衰减期,42.46356616485182,64.98167444805975,45.10815565822857,0,0,0,1,1248.09,2026-06-16,0.051350463508240685,-0.01996650882548523,-0.06312044804461214
9,14,2,0,5,0,[],2.0,动能衰减期,42.20297783893705,63.794898443657395,64.15424947825747,0,0,0,0,1310.01,2026-06-23,-0.03054175158968253,-0.1435943237074525,-0.1324112029679163
6,14,1,0,4,0,[],2.0,动能衰减期,34.735065736154226,57.103006751669795,37.17821871885225,0,0,0,1,1270.0,2026-06-30,-0.11661417322834644,-0.06767716535433077,-0.28503937007874014
