score_v221,max_score,event_pos,event_neg,trend_pos,end_count,end_signals,stage,stage_name,adx,rsi,wt1,smc_signal,turnover_signal,sector_relative_signal,ad_line_signal,close,date,fwd_5d,fwd_10d,fwd_20d
-4,14,0,2,0,3,"['trend_break', 'momentum_reversal', 'volatility_drop']",3.0,动能结束期,15.452989255323258,28.345663707167404,-59.138625382036075,0,0,-1,0,30.65,2025-01-06,-0.05905383360522021,-0.004567699836867778,0.22414355628058735
-4,14,0,2,0,2,"['momentum_reversal', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,26.02829149154054,25.026155761529765,-68.13386440997691,0,0,-1,0,28.84,2025-01-13,0.05790568654646333,0.06380027739251037,0.3703190013869626
-1,14,0,1,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,26.90530958731555,40.16121205787828,-48.33357765556898,0,0,-1,0,30.51,2025-01-20,0.005571943625040987,0.22976073418551302,0.3228449688626678
3,14,1,0,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,24.14924528184436,44.17566639371082,-24.34205779631444,0,0,-1,-1,30.68,2025-01-27,0.2229465449804433,0.2881355932203391,0.2783572359843547
8,14,1,0,6,0,[],2.0,动能衰减期,25.404908240899633,74.83156244049586,28.44962435419608,0,0,1,0,38.06,2025-02-10,0.10509721492380453,0.06778770362585385,0.024960588544403528
8,14,1,0,6,0,[],2.0,动能衰减期,35.6913255668978,77.39483229115552,55.61876928772453,0,0,1,-1,42.06,2025-02-17,-0.03376129339039469,-0.08202567760342372,-0.1179267712791251
7,14,1,0,5,0,[],2.0,动能衰减期,40.16437148278844,65.39932166418119,53.09441479521769,0,0,1,0,40.64,2025-02-24,-0.04995078740157488,-0.04010826771653553,-0.14000984251968496
7,14,1,0,5,0,[],2.0,动能衰减期,37.86860785432191,54.862329379509625,30.828070359811427,0,0,1,0,38.61,2025-03-03,0.01036001036001033,-0.03910903910903907,-0.09945609945609934
1,14,0,1,3,0,[],2.5,阶段2.5-得分触底未共振,33.05052441590596,55.1430858522256,16.69997532801011,0,0,0,0,39.01,2025-03-10,-0.04896180466547029,-0.10407587798000506,-0.2496795693411945
-1,14,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,24.742714206985575,46.91124443424197,-21.892328709273308,0,0,-1,0,37.1,2025-03-17,-0.05795148247978432,-0.06280323450134762,-0.18005390835579516
-2,14,0,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,20.30008739168659,37.94973941256379,-42.86021976549829,0,0,-1,0,34.95,2025-03-24,-0.0051502145922747156,-0.16251788268955658,-0.1290414878397711
-2,14,0,1,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,17.86813327772812,38.79733193861335,-49.99234587470971,0,0,-1,0,34.77,2025-03-31,-0.15818234109864837,-0.12510785159620363,-0.09577221742881803
-2,14,0,1,0,3,"['trend_break', 'momentum_reversal', 'volume_divergence']",3.0,动能结束期,17.843523150245947,24.6052102876548,-47.63416394768662,0,0,-1,-1,28.33,2025-04-07,0.08400988351570793,0.059654076950229395,0.1242499117543241
1,14,0,0,1,0,[],2.5,阶段2.5-得分触底未共振,23.609172316041043,36.096935062762334,-60.73735458012447,0,0,-1,0,30.71,2025-04-14,-0.022468251383914062,0.016606968414197176,0.02572451970042322
2,14,1,0,0,0,[],2.5,阶段2.5-得分触底未共振,27.940118571758603,36.259642132257476,-55.524760755669526,0,0,-1,0,30.02,2025-04-21,0.03997335109926703,0.0609593604263825,0.06895403064623595
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,25.430682877457205,43.79840356951434,-26.792963988150568,0,0,-1,-1,31.22,2025-04-28,0.020179372197309586,0.008968609865470878,0.0819987187700193
3,14,1,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.538926341963133,49.245087540758014,5.501745945873089,0,0,0,0,31.87,2025-05-12,-0.026043300909946665,-0.0009413241292751673,0.13115782867900827
3,14,1,0,1,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,13.012677108248297,43.06340271321588,-1.6689771338186743,0,0,0,-1,31.04,2025-05-19,0.02577319587628879,0.13240979381443307,0.12951030927835072
4,14,1,0,2,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,13.261620959000629,48.95852765815413,31.178893648117732,0,0,0,-1,31.84,2025-05-26,0.10395728643216073,0.13222361809045213,0.08731155778894473
8,14,1,0,6,0,[],2.0,动能衰减期,22.170428921437725,65.4557998740415,59.94281410363298,0,0,1,0,36.01,2025-06-09,-0.011663426825881507,-0.0569286309358511,0.03665648430991397
7,14,1,0,5,0,[],2.0,动能衰减期,26.462868828661666,59.20836012412023,52.48753096848225,0,0,1,-1,35.59,2025-06-16,-0.04579938184883403,0.07951671817926376,0.08822703006462462
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,21.603186405484315,49.957348792537445,12.008470109633585,0,0,0,0,33.96,2025-06-23,0.13133097762073032,0.09923439340400453,0.2108362779740871
8,14,1,0,6,0,[],2.0,动能衰减期,22.097223846824434,68.80859423138062,31.792333139754092,0,0,1,0,38.42,2025-06-30,-0.028370640291514926,0.008068714211348027,0.15642894325871937
6,14,1,0,4,0,[],2.0,动能衰减期,26.666928907600994,60.31420925532424,48.33593595559794,0,0,1,0,37.33,2025-07-07,0.03750334851326009,0.10152692204661129,0.2828824002143049
7,14,1,0,5,0,[],2.0,动能衰减期,31.978004399049556,63.650567551638424,54.637664582062136,0,0,1,0,38.73,2025-07-14,0.061709269300284086,0.14717273431448508,0.18280402788536043
8,14,1,0,6,0,[],2.0,动能衰减期,37.15347759300698,69.32936895850963,62.55575491970016,0,0,1,1,41.12,2025-07-21,0.0804961089494165,0.16464007782101175,0.2071984435797667
7,14,1,0,5,1,['volatility_drop'],2.0,动能衰减期,46.104088701734945,78.79864557141022,70.17214921100324,0,0,0,0,44.43,2025-07-28,0.07787530947557952,0.03106009453072245,0.051991897366644224
8,14,1,0,6,1,['volume_divergence'],2.0,动能衰减期,54.983951409735425,66.09667124889478,75.38591637175925,0,0,1,-1,47.89,2025-08-04,-0.04343286698684479,0.03654207558989353,-0.05867613280434336
7,14,1,0,5,0,[],2.0,动能衰减期,52.1481413504019,57.64927245986551,43.67499644302076,0,0,1,0,45.81,2025-08-11,0.08360619951975545,0.02030124426981006,-0.03492687186203891
8,14,1,0,6,0,[],2.0,动能衰减期,50.367429310453225,66.76613043937564,45.44748963506921,0,0,1,0,49.64,2025-08-18,-0.05842062852538277,-0.09186140209508464,-0.08058017727639
5,14,1,0,3,0,[],2.5,阶段2.5-得分触底未共振,44.61181777688311,55.265703663508305,21.30573809022153,0,0,0,0,46.74,2025-08-25,-0.0355156183140779,-0.05412922550278132,-0.11360718870346598
0,14,0,1,2,0,[],2.5,阶段2.5-得分触底未共振,33.18660501832642,50.63246200546034,-15.891502279707002,0,0,-1,0,45.08,2025-09-01,-0.01929902395740901,0.012422360248447228,-0.10692102928127778
-1,14,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,25.437731871540354,48.91522709308063,-28.49362060470126,0,0,-1,0,44.21,2025-09-08,0.03234562316218059,-0.06288170097263068,-0.12010857272110387
2,14,0,0,2,0,[],2.5,阶段2.5-得分触底未共振,22.473403081432878,54.43689479398281,-24.298759567469556,0,0,-1,0,45.64,2025-09-15,-0.09224364592462753,-0.11787905346187555,-0.11722173531989488
-2,14,0,1,0,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,19.53995225826864,41.45404216203193,-26.020815736148055,0,0,-1,-1,41.43,2025-09-22,-0.02824040550325857,-0.061066859763456494,-0.028723147477673128
0,14,0,0,0,0,[],2.5,阶段2.5-得分触底未共振,21.32528055020272,39.44524212301939,-44.35082415361825,0,0,-1,1,40.26,2025-09-29,-0.03378042722305019,0.0007451564828613311,0.022106308991554968
2,14,1,0,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,21.2876023088296,39.56090176705432,-43.265221729151904,0,0,0,1,39.96,2025-10-13,0.0005005005005003227,0.013513513513513598,0.008508508508508372
0,14,0,0,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,20.676656087575992,42.61044869118311,-42.32648328848083,0,0,0,0,39.98,2025-10-20,0.013006503251626,0.05977988994497241,-0.01325662831415697
3,14,1,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,19.69171263623827,46.977053264658025,-32.69955064376684,0,0,0,-1,40.5,2025-10-27,0.04617283950617268,-0.004938271604938316,-0.07061728395061728
5,14,1,0,3,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,15.830207012173581,55.37913394891002,13.709594870305136,0,0,1,0,42.37,2025-11-03,-0.04885532216190702,-0.06891668633467063,-0.1000708048147273
4,14,1,0,2,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,14.237971117462976,46.03207333763023,-6.408011942906849,0,0,1,0,40.3,2025-11-10,-0.02109181141439187,-0.06600496277915624,-0.06129032258064515
2,14,1,0,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,15.20804215351998,42.22371444773246,-19.119540617086997,0,0,0,0,39.45,2025-11-17,-0.0458808618504436,-0.033460076045627396,-0.048922686945500615
-2,14,0,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,22.343868197556738,38.222007717696,-56.131408021855606,0,0,0,0,37.64,2025-11-24,0.013018065887353991,0.005047821466524827,0.016471838469712896
-2,14,0,1,0,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,25.326707401215188,41.98211235171783,-48.10706932454957,0,0,-1,0,38.13,2025-12-01,-0.007867820613690069,-0.01599790191450301,0.010490427484920017
-1,14,0,1,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,27.170364870454,42.49314269688786,-46.23867798877721,0,0,0,0,37.83,2025-12-08,-0.008194554586307023,0.011366640232619574,0.052603753634681505
3,14,1,0,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,20.146138229033475,41.61197642555558,-17.95110047621945,0,0,0,-1,37.52,2025-12-15,0.01972281449893387,0.026918976545842188,0.2646588486140724
3,14,1,0,1,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.68461901080877,49.44722616621441,-13.855004800518966,0,0,0,1,38.26,2025-12-22,0.007056978567694827,0.040773653946680755,0.1155253528489284
3,14,1,0,1,3,"['trend_break', 'volume_divergence', 'volatility_drop']",3.0,动能结束期,15.293631696456242,51.1477115413139,19.23010924385648,0,0,0,0,38.53,2025-12-29,0.033480404879314696,0.2315079159096809,0.06280820140150545
2,14,1,1,2,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,16.094334160324337,61.13079131956784,29.806331485416663,0,-1,1,0,39.78,2026-01-05,0.13725490196078427,0.07214680744092505,0.002262443438914019
10,14,2,0,6,0,[],1.0,强动能期,27.310308177635548,81.69997537404467,73.67627863151539,0,0,1,0,45.24,2026-01-12,-0.057250221043324556,-0.06277630415561453,-0.08819628647214861
7,14,1,0,5,0,[],2.0,动能衰减期,38.71841405657649,55.64680815517649,69.45825604884402,0,0,1,-1,42.65,2026-01-19,-0.0058616647127783805,-0.0651817116060962,-0.06424384525205162
6,14,1,0,4,0,[],2.0,动能衰减期,36.54870644634649,52.9688010065554,34.354926498807,0,0,1,0,42.4,2026-01-26,-0.05966981132075477,-0.027122641509433887,-0.14127358490566044
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,30.41415412608708,42.26136108019885,-4.406250892973089,0,0,1,0,39.87,2026-02-02,0.034612490594432055,0.0010032605969401143,-0.0591923752194633
-1,14,0,1,1,0,[],2.5,阶段2.5-得分触底未共振,25.163141494552413,49.442633991116715,-16.571247313338336,0,0,0,0,41.25,2026-02-09,-0.03248484848484856,-0.1173333333333334,-0.10448484848484851
-4,14,0,2,0,2,"['trend_break', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,19.07764013337905,33.625305828083526,-48.483373554485425,0,0,-1,0,37.89,2026-03-02,-0.03378200052784375,-0.019794140934283444,-0.05120084455001317
0,14,1,1,0,0,[],2.5,阶段2.5-得分触底未共振,26.47802569121421,33.73237502239351,-67.39980987907012,0,0,-1,0,36.61,2026-03-09,0.014476918874624545,-0.10352362742420107,0.005736137667303964
2,14,1,0,0,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,25.960755826031146,38.729006363058964,-51.18055822086796,0,0,-1,0,37.14,2026-03-16,-0.11631663974151862,-0.032040926225094135,0.03688745288099082
-4,14,0,2,0,1,['momentum_reversal'],2.5,阶段2.5-得分触底未共振,27.438766395490887,23.57677054778432,-63.8810340794525,0,0,-1,0,32.82,2026-03-23,0.0953686776355882,0.12187690432663012,0.1486898232784888
4,14,1,0,2,0,[],2.5,阶段2.5-得分触底未共振,31.81658808001389,45.380129114871416,-57.400103553501495,0,0,0,0,35.95,2026-03-30,0.02420027816411685,0.0712100139082057,0.12433936022253134
3,14,1,0,1,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.971044495631162,52.61298933103526,7.502920354014712,0,0,0,0,37.49,2026-04-13,0.024273139503867558,0.025340090690850747,-0.002400640170712287
5,14,1,0,3,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.94488986572252,56.09528597074583,24.05698841897146,0,0,1,0,38.4,2026-04-20,0.0010416666666666075,0.02578125000000009,-0.02734374999999989
4,14,1,0,2,2,"['trend_break', 'volume_divergence']",2.5,阶段2.5-得分触底未共振,18.790371088203116,54.912386681647995,24.01988747724688,0,0,1,-1,38.44,2026-04-27,0.024713839750260203,-0.027055150884495283,-0.06451612903225801
5,14,2,1,3,1,['volume_divergence'],2.5,阶段2.5-得分触底未共振,24.518094896672075,60.52432760342098,42.999417414241286,0,-1,1,0,40.43,2026-05-11,-0.08607469700717285,-0.09176354192431369,-0.22433836260202822
3,14,1,0,1,0,[],2.5,阶段2.5-得分触底未共振,21.913803007434467,42.50767864240538,12.502090440724626,0,0,0,0,36.95,2026-05-18,-0.0062246278755075934,-0.0557510148849798,-0.13125845737483088
2,14,1,0,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,17.85438307624515,41.49091166662392,-15.32482734445312,0,0,0,0,36.72,2026-05-25,-0.049836601307189476,-0.14596949891067534,-0.06808278867102402
-2,14,0,1,0,1,['trend_break'],2.5,阶段2.5-得分触底未共振,18.761067693733594,32.27170432429229,-40.93538853398831,0,0,0,0,34.89,2026-06-01,-0.10117512181140731,-0.07996560619088566,0.049011177987962284
-4,14,0,2,0,2,"['momentum_reversal', 'volatility_drop']",2.5,阶段2.5-得分触底未共振,25.749460251819347,20.790100927639415,-59.45885408048865,0,0,-1,0,31.36,2026-06-08,0.023596938775510168,0.09119897959183665,0.16422193877551017
-1,14,0,1,1,1,['volatility_drop'],2.5,阶段2.5-得分触底未共振,32.53242092479977,32.00123066334247,-59.121627974849154,0,0,-1,1,32.1,2026-06-15,0.06604361370716494,0.14018691588785037,0.27725856697819307
0,14,0,1,2,0,[],2.5,阶段2.5-得分触底未共振,31.54681828035493,46.57674181059983,-41.81363436794334,0,0,-1,0,33.75,2026-06-22,0.07200000000000006,0.10962962962962974,0.13629629629629636
0,14,0,1,2,0,[],2.5,阶段2.5-得分触底未共振,25.697016386245753,58.817233125501325,2.6184339936981798,0,0,0,0,36.18,2026-06-29,0.035102266445550034,0.0641238253178551,0.07241569928137093
6,14,1,0,4,0,[],2.0,动能衰减期,28.69986712441475,61.26191119724966,34.9392232321342,0,0,0,0,37.45,2026-07-06,0.028037383177569986,0.024032042723631575,-0.03337783711615483
8,14,1,0,6,0,[],2.0,动能衰减期,27.994335633454977,62.670692474950066,39.978467724560005,0,0,1,-1,38.5,2026-07-13,-0.003896103896103842,0.007792207792207684,0.2987012987012987
