trade_date,open,high,low,close,volume
2024-01-02,1580.661,1583.851,1543.761,1550.671,32156.0
2024-01-03,1546.771,1560.881,1541.991,1559.661,20229.0
2024-01-04,1558.661,1558.661,1528.591,1534.661,21551.0
2024-01-05,1526.991,1544.321,1517.771,1529.021,20243.0
2024-01-08,1526.661,1527.661,1505.671,1509.651,25586.0
2024-01-09,1506.671,1517.981,1500.731,1506.661,24412.0
2024-01-10,1506.761,1525.121,1503.661,1507.161,17351.0
2024-01-11,1505.761,1523.601,1503.721,1512.231,16441.0
2024-01-12,1505.631,1516.921,1505.061,1508.721,11603.0
2024-01-15,1500.661,1520.631,1500.111,1505.661,17854.0
2024-01-16,1504.161,1512.661,1490.601,1505.091,25903.0
2024-01-17,1495.661,1501.141,1442.661,1442.661,51633.0
2024-01-18,1439.661,1478.461,1421.211,1476.531,60440.0
2024-01-19,1474.531,1503.671,1466.541,1500.661,46378.0
2024-01-22,1494.661,1508.661,1484.541,1507.661,46946.0
2024-01-23,1497.671,1505.611,1474.661,1484.661,34835.0
2024-01-24,1494.661,1499.501,1469.221,1491.661,33216.0
2024-01-25,1492.481,1506.661,1487.661,1503.661,31206.0
2024-01-26,1496.021,1509.761,1488.661,1502.981,26955.0
2024-01-29,1505.961,1526.241,1505.951,1515.661,31421.0
2024-01-30,1515.641,1515.641,1475.661,1478.661,30866.0
2024-01-31,1478.661,1485.631,1463.791,1470.571,29649.0
2024-02-01,1471.161,1489.551,1466.661,1475.691,26485.0
2024-02-02,1480.661,1493.441,1446.661,1461.661,39382.0
2024-02-05,1461.661,1503.101,1460.911,1495.671,53130.0
2024-02-06,1495.671,1551.141,1491.761,1541.661,52472.0
2024-02-07,1546.691,1580.251,1527.271,1576.651,52601.0
2024-02-08,1585.671,1590.661,1550.661,1571.661,46757.0
2024-02-19,1603.531,1603.591,1553.661,1561.091,36977.0
2024-02-20,1563.021,1563.021,1522.221,1535.661,34470.0
2024-02-21,1531.681,1596.661,1527.661,1583.321,46154.0
2024-02-22,1573.161,1588.671,1566.191,1584.041,22794.0
2024-02-23,1576.771,1590.041,1565.681,1579.751,27306.0
2024-02-26,1573.661,1574.401,1550.681,1560.641,27318.0
2024-02-27,1548.661,1558.581,1543.661,1555.161,22080.0
2024-02-28,1554.581,1562.231,1539.671,1547.211,31867.0
2024-02-29,1547.211,1562.161,1544.861,1560.661,24758.0
2024-03-01,1555.661,1560.631,1542.341,1550.721,26868.0
2024-03-04,1544.661,1546.651,1535.711,1541.961,26485.0
2024-03-05,1536.471,1562.661,1532.341,1560.761,36238.0
2024-03-06,1556.661,1560.661,1543.681,1546.211,22142.0
2024-03-07,1545.661,1555.461,1543.661,1549.291,21599.0
2024-03-08,1546.221,1552.341,1535.711,1537.091,22156.0
2024-03-11,1540.661,1564.541,1538.841,1560.151,29895.0
2024-03-12,1559.601,1614.761,1556.161,1610.661,54227.0
2024-03-13,1605.631,1613.661,1585.761,1593.111,26500.0
2024-03-14,1584.661,1600.501,1577.161,1582.291,19405.0
2024-03-15,1578.161,1598.061,1577.661,1583.151,17834.0
2024-03-18,1580.661,1585.511,1564.661,1573.921,26055.0
2024-03-19,1568.661,1585.601,1558.771,1573.681,23948.0
2024-03-20,1569.021,1579.341,1565.891,1575.261,15249.0
2024-03-21,1573.761,1584.661,1570.161,1574.661,16596.0
2024-03-22,1570.691,1574.651,1553.661,1567.011,25456.0
2024-03-25,1564.201,1564.431,1546.241,1554.671,24473.0
2024-03-26,1553.121,1578.461,1553.121,1574.951,28069.0
2024-03-27,1570.661,1577.661,1564.661,1566.661,18113.0
2024-03-28,1560.661,1583.661,1558.861,1567.301,24642.0
2024-03-29,1567.301,1576.651,1563.761,1568.561,13457.0
2024-04-01,1575.651,1599.661,1574.361,1586.991,27131.0
2024-04-02,1587.661,1590.651,1570.711,1579.651,25449.0
