selection_date,rebalance_month,n_held,n_sold,n_bought,sells,buys,sells_labeled,buys_labeled,buys_industries,return_pct,traded_count,cum_nav_after
2010-04-01,2010-05-01,10,0,10,,600701-CN|002081-CN|600099-CN|000966-CN|000598-CN|002241-CN|600510-CN|600553-CN|600525-CN|600081-CN,,"600701-CN(?), 002081-CN(金螳螂), 600099-CN(林海股份), 000966-CN(长源电力), 000598-CN(兴蓉环境), 002241-CN(歌尔股份), 600510-CN(黑牡丹), 600553-CN(?), 600525-CN(长园集团), 600081-CN(东风科技)","?, 公用事业, 建筑装饰, 房地产, 汽车, 环保, 电力设备, 电子",-8.23,10,0.9177
2010-05-01,2010-06-01,10,9,9,600701-CN|002081-CN|600099-CN|000598-CN|002241-CN|600510-CN|600553-CN|600525-CN|600081-CN,002262-CN|002273-CN|600572-CN|600238-CN|600713-CN|600199-CN|600175-CN|603157-CN|002250-CN,"600701-CN(?), 002081-CN(金螳螂), 600099-CN(林海股份), 000598-CN(兴蓉环境), 002241-CN(歌尔股份), 600510-CN(黑牡丹), 600553-CN(?), 600525-CN(长园集团), 600081-CN(东风科技)","002262-CN(恩华药业), 002273-CN(水晶光电), 600572-CN(康恩贝), 600238-CN(海南椰岛), 600713-CN(南京医药), 600199-CN(金种子酒), 600175-CN(退市美都), 603157-CN(?), 002250-CN(联化科技)","?, 医药生物, 基础化工, 电子, 食品饮料",-13.86,9,0.79050678
2010-06-01,2010-07-01,10,8,8,002262-CN|600572-CN|600238-CN|000966-CN|600713-CN|600199-CN|600175-CN|603157-CN,002241-CN|600789-CN|000661-CN|600594-CN|002091-CN|600811-CN|600311-CN|000559-CN,"002262-CN(恩华药业), 600572-CN(康恩贝), 600238-CN(海南椰岛), 000966-CN(长源电力), 600713-CN(南京医药), 600199-CN(金种子酒), 600175-CN(退市美都), 603157-CN(?)","002241-CN(歌尔股份), 600789-CN(鲁抗医药), 000661-CN(长春高新), 600594-CN(益佰制药), 002091-CN(江苏国泰), 600811-CN(东方集团), 600311-CN(*ST荣华), 000559-CN(万向钱潮)","?, 医药生物, 商贸零售, 汽车, 电子",8.24,8,0.855644538672
2010-07-01,2010-08-01,10,8,8,600789-CN|002273-CN|000661-CN|600594-CN|002091-CN|600811-CN|600311-CN|000559-CN,002223-CN|000598-CN|002353-CN|601101-CN|600458-CN|002294-CN|600747-CN|002063-CN,"600789-CN(鲁抗医药), 002273-CN(水晶光电), 000661-CN(长春高新), 600594-CN(益佰制药), 002091-CN(江苏国泰), 600811-CN(东方集团), 600311-CN(*ST荣华), 000559-CN(万向钱潮)","002223-CN(鱼跃医疗), 000598-CN(兴蓉环境), 002353-CN(杰瑞股份), 601101-CN(昊华能源), 600458-CN(时代新材), 002294-CN(信立泰), 600747-CN(退市大控), 002063-CN(远光软件)","?, 医药生物, 机械设备, 煤炭, 环保, 计算机",7.32,8,0.9182777189027903
2010-08-01,2010-09-01,10,6,6,000598-CN|002241-CN|601101-CN|002294-CN|002250-CN|600747-CN,002880-CN|002081-CN|000596-CN|600468-CN|600990-CN|600809-CN,"000598-CN(兴蓉环境), 002241-CN(歌尔股份), 601101-CN(昊华能源), 002294-CN(信立泰), 002250-CN(联化科技), 600747-CN(退市大控)","002880-CN(卫光生物), 002081-CN(金螳螂), 000596-CN(古井贡酒), 600468-CN(百利电气), 600990-CN(四创电子), 600809-CN(山西汾酒)","医药生物, 国防军工, 建筑装饰, 电力设备, 食品饮料",20.95,6,1.1106569010129248
2010-09-01,2010-10-01,10,5,5,002081-CN|000596-CN|600468-CN|600990-CN|600809-CN,600354-CN|600815-CN|002250-CN|600705-CN|600723-CN,"002081-CN(金螳螂), 000596-CN(古井贡酒), 600468-CN(百利电气), 600990-CN(四创电子), 600809-CN(山西汾酒)","600354-CN(敦煌种业), 600815-CN(厦工股份), 002250-CN(联化科技), 600705-CN(中航产融), 600723-CN(首商股份)","?, 农林牧渔, 基础化工, 机械设备",8.63,5,1.2065065915703403
2010-10-01,2010-11-01,10,7,7,002880-CN|002223-CN|002063-CN|600815-CN|600458-CN|600705-CN|600723-CN,600462-CN|600773-CN|002241-CN|600990-CN|600363-CN|600980-CN|600199-CN,"002880-CN(卫光生物), 002223-CN(鱼跃医疗), 002063-CN(远光软件), 600815-CN(厦工股份), 600458-CN(时代新材), 600705-CN(中航产融), 600723-CN(首商股份)","600462-CN(ST九有), 600773-CN(西藏城投), 002241-CN(歌尔股份), 600990-CN(四创电子), 600363-CN(联创光电), 600980-CN(北矿科技), 600199-CN(金种子酒)","?, 国防军工, 房地产, 机械设备, 电子, 食品饮料",0.58,7,1.2135043298014483
2010-11-01,2010-12-01,10,8,8,002353-CN|600462-CN|002250-CN|600990-CN|600363-CN|600980-CN|600199-CN|600354-CN,002078-CN|600760-CN|600995-CN|600459-CN|600367-CN|000050-CN|600458-CN|002064-CN,"002353-CN(杰瑞股份), 600462-CN(ST九有), 002250-CN(联化科技), 600990-CN(四创电子), 600363-CN(联创光电), 600980-CN(北矿科技), 600199-CN(金种子酒), 600354-CN(敦煌种业)","002078-CN(太阳纸业), 600760-CN(中航沈飞), 600995-CN(文山电力), 600459-CN(贵研铂业), 600367-CN(红星发展), 000050-CN(深天马A), 600458-CN(时代新材), 002064-CN(华峰化学)","公用事业, 国防军工, 基础化工, 有色金属, 机械设备, 电子, 轻工制造",5.09,8,1.275271700188342
2010-12-01,2011-01-01,10,10,10,002241-CN|002078-CN|600760-CN|600995-CN|600459-CN|600773-CN|600367-CN|000050-CN|600458-CN|002064-CN,600360-CN|002236-CN|600131-CN|002223-CN|600719-CN|600238-CN|600587-CN|600712-CN|600560-CN|600257-CN,"002241-CN(歌尔股份), 002078-CN(太阳纸业), 600760-CN(中航沈飞), 600995-CN(文山电力), 600459-CN(贵研铂业), 600773-CN(西藏城投), 600367-CN(红星发展), 000050-CN(深天马A), 600458-CN(时代新材), 002064-CN(华峰化学)","600360-CN(华微电子), 002236-CN(大华股份), 600131-CN(国网信通), 002223-CN(鱼跃医疗), 600719-CN(ST热电), 600238-CN(海南椰岛), 600587-CN(新华医疗), 600712-CN(南宁百货), 600560-CN(金自天正), 600257-CN(大湖股份)","公用事业, 农林牧渔, 医药生物, 商贸零售, 机械设备, 电子, 计算机, 食品饮料",-7.98,10,1.1735050185133122
2011-01-01,2011-02-01,10,10,10,600360-CN|002236-CN|600131-CN|002223-CN|600719-CN|600238-CN|600587-CN|600712-CN|600560-CN|600257-CN,600530-CN|600080-CN|600561-CN|600310-CN|600439-CN|600871-CN|002414-CN|002353-CN|600979-CN|600387-CN,"600360-CN(华微电子), 002236-CN(大华股份), 600131-CN(国网信通), 002223-CN(鱼跃医疗), 600719-CN(ST热电), 600238-CN(海南椰岛), 600587-CN(新华医疗), 600712-CN(南宁百货), 600560-CN(金自天正), 600257-CN(大湖股份)","600530-CN(交大昂立), 600080-CN(ST金花), 600561-CN(江西长运), 600310-CN(桂东电力), 600439-CN(瑞贝卡), 600871-CN(石化油服), 002414-CN(高德红外), 002353-CN(杰瑞股份), 600979-CN(广安爱众), 600387-CN(ST海越)","?, 交通运输, 公用事业, 医药生物, 国防军工, 机械设备, 石油石化, 纺织服饰, 食品饮料",8.75,10,1.276186707633227
