date,code,open,close,high,low,volume
2022-11-23,000001,11.78,11.82,12.05,11.72,124765653
2022-11-24,000001,11.92,11.77,11.99,11.69,79671882
2022-11-25,000001,11.79,12.17,12.23,11.77,176072817
2022-11-28,000001,11.9,11.81,11.92,11.69,133156295
2022-11-29,000001,12.16,12.99,12.99,12.13,474927650
2022-11-30,000001,12.9,13.03,13.34,12.82,320962830
2022-12-01,000001,13.38,13.1,13.66,13.07,200268883
2022-12-02,000001,13.14,12.9,13.15,12.69,140420278
2022-12-05,000001,13.09,13.53,13.57,13.01,228762742
2022-12-06,000001,13.34,13.43,13.66,13.25,125257891
2022-12-07,000001,13.33,13.15,13.37,13.03,137737690
2022-12-08,000001,13.15,13.36,13.52,13.12,106572280
2022-12-09,000001,13.4,13.7,13.75,13.35,161583192
2022-12-12,000001,13.58,13.11,13.58,13.06,139258428
2022-12-13,000001,13.15,13.24,13.36,13.14,90228513
2022-12-14,000001,13.23,13.23,13.4,13.08,97406110
2022-12-15,000001,13.14,13.1,13.28,12.94,83534926
2022-12-16,000001,13.02,13.34,13.4,13.02,92425167
2022-12-19,000001,13.33,13.04,13.47,12.95,103086606
2022-12-20,000001,12.97,12.76,13.08,12.67,89621223
2022-12-21,000001,12.85,12.89,12.99,12.74,61458964
2022-12-22,000001,13.0,12.95,13.15,12.9,67239430
2022-12-23,000001,12.85,12.98,13.06,12.8,56442641
2022-12-26,000001,12.99,12.77,13.04,12.71,79711987
2022-12-27,000001,12.87,13.11,13.22,12.87,88600412
2022-12-28,000001,13.16,13.14,13.38,13.0,79119198
2022-12-29,000001,13.07,13.03,13.13,12.85,66689009
2022-12-30,000001,13.04,13.16,13.28,12.96,81803598
2023-01-03,000001,13.2,13.77,13.85,13.05,219412794
2023-01-04,000001,13.71,14.32,14.42,13.63,218968253
2023-01-05,000001,14.4,14.48,14.74,14.37,166542518
2023-01-06,000001,14.5,14.62,14.72,14.48,119574471
2023-01-09,000001,14.75,14.8,14.88,14.52,105765911
2023-01-10,000001,14.76,14.44,14.89,14.39,126942339
2023-01-11,000001,14.45,14.67,14.78,14.39,83056612
2023-01-12,000001,14.77,14.67,14.77,14.53,62569484
2023-01-13,000001,14.67,14.95,14.95,14.55,94908583
2023-01-16,000001,14.95,15.08,15.28,14.85,156003989
2023-01-17,000001,15.13,14.97,15.18,14.77,93583454
2023-01-18,000001,14.95,15.11,15.18,14.91,71843403
2023-01-19,000001,15.13,15.09,15.25,14.87,64187520
2023-01-20,000001,15.16,15.13,15.24,15.0,60859008
2023-01-30,000001,15.6,15.15,15.74,14.89,137431750
2023-01-31,000001,15.24,14.99,15.51,14.96,103049784
2023-02-01,000001,15.03,14.7,15.08,14.51,165342148
2023-02-02,000001,14.74,14.6,14.78,14.27,157790039
2023-02-03,000001,14.45,14.32,14.55,14.16,124638298
2023-02-06,000001,14.1,14.0,14.13,13.86,131761010
2023-02-07,000001,14.06,14.21,14.32,14.03,86946046
2023-02-08,000001,14.24,14.04,14.32,14.03,65789257
2023-02-09,000001,14.01,14.13,14.3,13.96,83035002
2023-02-10,000001,14.1,13.98,14.12,13.86,84728366
2023-02-13,000001,13.94,13.82,13.94,13.6,180005416
2023-02-14,000001,13.85,13.96,13.98,13.8,90993709
