date,code,open,close,high,low,volume
2022-11-23,000333,46.23,46.28,46.54,46.02,14255219
2022-11-24,000333,46.75,45.91,47.2,45.78,21379992
2022-11-25,000333,45.91,46.69,47.09,45.83,24697464
2022-11-28,000333,45.68,46.29,46.45,45.23,22655140
2022-11-29,000333,48.0,48.42,48.78,46.92,38928672
2022-11-30,000333,48.18,47.87,48.98,47.49,27287554
2022-12-01,000333,48.81,48.31,49.33,48.27,27604487
2022-12-02,000333,48.04,48.04,48.6,47.76,17015014
2022-12-05,000333,48.49,49.7,50.0,48.4,36106842
2022-12-06,000333,49.69,50.0,50.66,49.02,32526956
2022-12-07,000333,50.0,51.25,51.68,49.5,43656379
2022-12-08,000333,51.35,51.75,52.48,50.84,39078018
2022-12-09,000333,51.96,54.3,54.33,51.81,69940581
2022-12-12,000333,53.7,54.43,54.97,53.3,46663287
2022-12-13,000333,54.21,53.95,54.4,53.65,30619330
2022-12-14,000333,53.45,54.89,55.06,53.45,26085029
2022-12-15,000333,54.9,53.63,55.8,53.25,27804272
2022-12-16,000333,53.28,54.0,54.15,52.77,19744959
2022-12-19,000333,54.0,53.68,54.38,53.28,16076366
2022-12-20,000333,53.0,51.57,53.09,51.55,27245386
2022-12-21,000333,51.29,51.68,52.49,51.29,13074160
2022-12-22,000333,51.94,52.2,53.28,51.77,22812320
2022-12-23,000333,51.98,52.38,53.15,51.43,16343914
2022-12-26,000333,52.68,51.5,52.88,51.36,15387918
2022-12-27,000333,51.79,52.94,53.03,51.41,17339127
2022-12-28,000333,52.43,52.05,52.75,51.9,16322911
2022-12-29,000333,51.62,51.73,52.19,51.02,11995050
2022-12-30,000333,51.8,51.8,52.5,51.7,12773275
2023-01-03,000333,52.0,51.88,52.23,51.23,16362802
2023-01-04,000333,51.69,53.75,53.83,51.65,26134113
2023-01-05,000333,54.0,54.91,54.99,53.95,29421668
2023-01-06,000333,54.97,54.01,55.16,53.91,19500149
2023-01-09,000333,54.1,54.11,54.45,53.4,20427678
2023-01-10,000333,53.99,53.5,54.4,53.43,15434014
2023-01-11,000333,53.45,54.5,55.18,53.4,21461041
2023-01-12,000333,54.3,54.77,55.0,54.01,14581825
2023-01-13,000333,54.87,55.95,56.0,54.5,26580330
2023-01-16,000333,56.03,57.7,58.36,56.02,33018079
2023-01-17,000333,57.69,58.0,58.18,57.15,18811356
2023-01-18,000333,58.0,57.6,58.5,57.37,13035753
2023-01-19,000333,57.46,57.38,57.55,56.7,19467945
2023-01-20,000333,57.46,57.08,57.84,56.96,10860828
2023-01-30,000333,57.44,55.65,58.08,55.59,25619569
2023-01-31,000333,55.4,55.2,56.15,55.0,23259835
2023-02-01,000333,55.29,55.5,55.99,54.45,26724709
2023-02-02,000333,55.45,53.96,55.6,53.62,36767804
2023-02-03,000333,53.7,53.31,53.95,52.86,20830020
2023-02-06,000333,52.81,51.25,52.81,51.08,42185653
2023-02-07,000333,51.36,51.5,51.7,51.1,20900869
2023-02-08,000333,51.39,51.01,51.5,50.86,19101762
2023-02-09,000333,50.8,51.53,51.73,50.49,22738253
2023-02-10,000333,51.35,51.62,51.75,51.29,13988866
2023-02-13,000333,51.5,52.44,52.58,51.03,30639111
2023-02-14,000333,52.45,52.21,52.65,51.81,21437513
2023-02-15,000333,52.2,51.35,52.21,51.18,17948800
2023-02-16,000333,51.1,51.28,51.75,50.8,21698675
2023-02-17,000333,51.05,51.38,51.5,51.02,15806609
2023-02-20,000333,51.5,53.3,53.69,51.11,38313606
2023-02-21,000333,53.3,53.54,53.8,52.73,25649338
2023-02-22,000333,53.0,52.78,53.18,52.41,22911545
2023-02-23,000333,52.79,53.37,53.88,52.79,24010720
2023-02-24,000333,53.18,52.98,53.39,52.82,16927779
2023-02-27,000333,52.6,52.4,52.98,51.86,16947143
2023-02-28,000333,52.02,52.46,53.14,52.02,19404536
2023-03-01,000333,52.51,54.62,54.99,52.51,43297470
2023-03-02,000333,54.6,54.85,55.68,54.15,25548979
2023-03-03,000333,55.25,55.2,55.84,54.66,19741500
2023-03-06,000333,54.84,53.83,55.0,53.81,25935684
2023-03-07,000333,53.84,52.86,54.37,52.7,19473791
2023-03-08,000333,52.65,52.29,52.8,52.07,14494798
2023-03-09,000333,52.29,52.7,53.25,52.27,13013102
2023-03-10,000333,52.24,51.15,52.5,51.02,19213389
2023-03-13,000333,51.01,52.06,52.24,51.0,19483658
2023-03-14,000333,51.72,51.15,51.91,50.7,16501073
2023-03-15,000333,51.5,50.46,51.63,50.4,20945617
2023-03-16,000333,50.08,50.04,50.39,49.65,12181953
2023-03-17,000333,50.5,50.33,51.18,50.06,20123077
2023-03-20,000333,50.18,50.44,51.13,50.1,16301524
2023-03-21,000333,50.55,52.1,52.14,50.55,23146646
2023-03-22,000333,52.2,51.7,52.27,51.3,13554248
2023-03-23,000333,51.48,51.82,52.0,51.39,12379007
2023-03-24,000333,51.82,52.09,52.17,51.64,13277563
2023-03-27,000333,52.09,51.85,52.46,51.7,12768345
2023-03-28,000333,51.7,51.09,52.08,51.06,12867893
2023-03-29,000333,51.38,51.4,51.57,51.1,12803042
2023-03-30,000333,51.35,54.47,54.8,51.3,57157412
2023-03-31,000333,54.11,53.81,54.62,53.36,27788750
2023-04-03,000333,55.0,54.69,55.4,54.2,37391478
2023-04-04,000333,54.5,54.63,54.72,53.75,17989125
2023-04-06,000333,54.42,54.02,55.0,53.75,15243479
2023-04-07,000333,53.91,54.68,55.27,53.91,15864067
2023-04-10,000333,54.4,54.76,55.06,54.01,15649255
2023-04-11,000333,54.41,55.84,56.37,54.4,32436552
2023-04-12,000333,55.84,55.5,56.75,55.4,22302460
2023-04-13,000333,55.05,54.14,55.29,54.14,18259494
2023-04-14,000333,54.18,53.94,54.65,53.83,14212447
2023-04-17,000333,53.91,55.42,55.58,53.89,26228048
2023-04-18,000333,55.2,56.78,57.4,55.17,38706349
2023-04-19,000333,56.78,56.08,57.25,56.05,19188658
2023-04-20,000333,56.18,57.04,58.04,56.18,36794925
2023-04-21,000333,57.4,56.85,58.6,56.75,39892402
2023-04-24,000333,56.2,57.03,58.75,56.01,33992120
2023-04-25,000333,57.0,57.65,58.04,55.65,42962096
2023-04-26,000333,57.02,56.7,57.35,55.97,23934184
2023-04-27,000333,56.17,57.26,57.75,56.17,15777059
2023-04-28,000333,57.25,56.78,57.35,56.21,15690551
2023-05-04,000333,57.22,56.58,58.45,55.85,26856562
2023-05-05,000333,56.4,55.33,56.4,54.08,34212287
2023-05-08,000333,55.33,55.01,55.99,54.47,20872170
2023-05-09,000333,54.8,54.8,55.56,54.01,18139372
2023-05-10,000333,54.5,55.4,56.0,53.88,17462598
2023-05-11,000333,55.55,55.45,56.72,55.34,12622453
2023-05-12,000333,55.33,55.82,57.49,55.31,16559010
2023-05-15,000333,55.86,56.59,56.74,55.01,14066647
2023-05-16,000333,56.59,55.35,57.24,55.11,13612588
2023-05-17,000333,55.22,55.02,56.4,54.81,9076272
2023-05-18,000333,55.15,55.0,55.42,54.55,11069523
2023-05-19,000333,54.66,55.8,56.86,54.66,20384343
2023-05-22,000333,55.8,56.71,56.95,55.8,15199783
2023-05-23,000333,56.69,55.95,56.95,55.88,15585136
2023-05-24,000333,55.82,53.6,55.89,53.5,26674242
2023-05-25,000333,53.4,54.01,54.49,52.68,17143391
2023-05-26,000333,54.01,54.26,54.45,53.48,11166052
2023-05-29,000333,54.27,53.45,54.69,53.08,17433449
2023-05-30,000333,53.45,52.33,53.66,51.79,32084604
2023-05-31,000333,52.59,51.33,52.7,51.1,28064959
2023-06-01,000333,49.02,48.89,49.8,48.53,34893493
2023-06-02,000333,50.0,51.8,52.1,49.99,49939227
2023-06-05,000333,52.51,53.94,54.15,51.59,39939970
2023-06-06,000333,53.94,54.21,55.31,53.05,34261827
2023-06-07,000333,55.5,55.25,55.77,54.49,36908674
2023-06-08,000333,55.7,56.89,57.11,55.2,47553147
2023-06-09,000333,57.5,56.11,57.76,55.77,41065187
2023-06-12,000333,56.12,57.35,57.82,55.7,39621001
2023-06-13,000333,57.26,56.61,57.77,56.26,24850143
2023-06-14,000333,57.23,57.08,57.98,56.62,36000680
2023-06-15,000333,57.26,58.0,58.58,57.01,31276544
2023-06-16,000333,58.4,58.35,58.99,57.4,30006082
2023-06-19,000333,58.0,56.81,58.14,56.7,28911037
2023-06-20,000333,56.92,57.58,58.92,56.8,24381022
2023-06-21,000333,58.0,58.28,59.6,57.4,45130347
