date,code,open,close,high,low,volume
2022-11-23,000538,56.3,56.07,56.45,55.6,5244810
2022-11-24,000538,56.18,56.18,56.42,55.67,5607785
2022-11-25,000538,55.87,56.91,56.98,55.25,7282760
2022-11-28,000538,56.48,56.04,57.0,55.82,4600425
2022-11-29,000538,56.04,56.91,57.0,55.85,5074722
2022-11-30,000538,56.97,56.58,57.3,56.34,4657874
2022-12-01,000538,56.99,57.26,57.57,56.61,7452174
2022-12-02,000538,56.9,56.83,57.2,56.68,4310112
2022-12-05,000538,57.0,57.6,57.85,57.0,6683373
2022-12-06,000538,57.55,57.75,58.38,57.25,7007127
2022-12-07,000538,57.43,58.47,58.5,57.31,8345010
2022-12-08,000538,58.48,58.9,60.49,58.46,11736320
2022-12-09,000538,58.9,58.99,59.36,58.5,6224269
2022-12-12,000538,59.51,59.82,60.46,59.1,10563572
2022-12-13,000538,59.79,59.0,59.79,58.3,7286074
2022-12-14,000538,58.99,58.94,59.4,58.02,6331199
2022-12-15,000538,58.58,58.22,59.3,58.15,4482741
2022-12-16,000538,58.09,59.03,59.44,58.0,5277207
2022-12-19,000538,58.97,56.56,59.35,56.39,7672969
2022-12-20,000538,56.53,55.8,56.9,55.58,4361198
2022-12-21,000538,55.99,55.77,56.33,55.58,2759076
2022-12-22,000538,55.77,55.32,56.39,55.16,4457436
2022-12-23,000538,55.02,55.3,55.65,54.95,2388159
2022-12-26,000538,55.0,55.0,55.56,54.3,4936437
2022-12-27,000538,54.87,53.97,55.04,53.61,6309483
2022-12-28,000538,53.85,54.24,54.55,53.77,3423574
2022-12-29,000538,54.0,54.25,54.56,53.83,2915059
2022-12-30,000538,54.53,54.36,54.58,54.0,2543733
2023-01-03,000538,54.37,54.62,55.13,54.37,3770657
2023-01-04,000538,54.63,54.86,54.98,54.42,4066885
2023-01-05,000538,55.03,55.28,55.61,54.9,6134764
2023-01-06,000538,55.29,55.04,55.47,54.8,3975756
2023-01-09,000538,55.06,55.14,55.35,54.91,3149371
2023-01-10,000538,55.0,55.02,55.55,54.81,4779267
2023-01-11,000538,55.06,54.86,55.45,54.84,5494871
2023-01-12,000538,54.88,55.17,55.34,54.66,4836656
2023-01-13,000538,55.07,56.76,56.77,54.98,9207466
2023-01-16,000538,57.77,57.27,57.97,56.8,11217996
2023-01-17,000538,57.48,57.06,57.65,56.7,5506202
2023-01-18,000538,57.06,57.31,57.32,56.62,5297947
2023-01-19,000538,57.2,57.88,57.9,56.88,5340191
2023-01-20,000538,57.99,58.25,58.4,57.72,6431684
2023-01-30,000538,58.55,58.14,58.71,58.0,8490167
2023-01-31,000538,58.03,57.46,58.1,57.45,5226680
2023-02-01,000538,57.46,57.6,57.93,56.99,6450236
2023-02-02,000538,57.6,57.48,58.06,57.2,6445233
2023-02-03,000538,57.37,56.7,57.5,56.45,6896601
2023-02-06,000538,56.69,55.91,56.69,55.85,5380050
2023-02-07,000538,56.03,56.09,56.45,55.89,4728609
2023-02-08,000538,56.12,56.04,56.39,55.94,3569365
2023-02-09,000538,56.04,56.27,56.32,55.8,3260809
2023-02-10,000538,56.38,56.08,56.38,55.91,3266580
2023-02-13,000538,56.2,56.45,56.55,55.88,6415342
2023-02-14,000538,56.6,56.48,56.68,56.17,5496869
2023-02-15,000538,56.4,56.55,56.79,56.15,5329999
2023-02-16,000538,56.66,56.63,57.66,56.2,10136087
2023-02-17,000538,56.62,56.8,57.48,56.39,8373124
2023-02-20,000538,57.02,57.5,57.52,55.89,9375637
2023-02-21,000538,57.43,57.8,57.9,57.33,6720589
2023-02-22,000538,57.51,57.78,58.09,57.46,6084915
2023-02-23,000538,57.59,57.42,58.14,57.24,7375261
2023-02-24,000538,57.4,57.05,57.46,56.71,5577850
2023-02-27,000538,57.01,56.5,57.44,56.38,4708444
2023-02-28,000538,56.5,56.9,57.09,56.46,6699062
2023-03-01,000538,57.69,57.48,57.75,56.9,6215168
2023-03-02,000538,57.47,57.17,57.48,57.03,3966437
2023-03-03,000538,57.2,57.32,57.69,57.11,4024988
2023-03-06,000538,57.33,57.77,58.15,57.09,8302915
2023-03-07,000538,56.9,54.72,56.92,54.55,23118058
2023-03-08,000538,54.61,54.42,54.98,53.8,7487886
2023-03-09,000538,54.47,54.54,54.8,54.38,4298178
2023-03-10,000538,54.48,53.95,54.48,53.88,5114994
2023-03-13,000538,53.81,54.3,54.34,53.72,4061672
2023-03-14,000538,54.31,53.62,54.57,53.53,5769895
2023-03-15,000538,53.85,54.02,54.47,53.79,5723035
2023-03-16,000538,53.9,54.22,54.79,53.6,6118811
2023-03-17,000538,54.4,54.06,54.66,53.82,5137526
2023-03-20,000538,54.05,52.54,54.05,52.5,9710017
2023-03-21,000538,52.55,53.12,53.28,52.55,4166577
2023-03-22,000538,53.2,53.5,53.61,53.14,3208014
2023-03-23,000538,53.48,53.76,53.79,53.09,3323021
2023-03-24,000538,53.75,53.24,53.96,53.16,3980869
2023-03-27,000538,53.35,53.57,53.99,53.0,4976684
2023-03-28,000538,53.7,54.27,54.32,53.55,5032499
2023-03-29,000538,54.26,53.9,54.26,53.61,4010865
2023-03-30,000538,53.81,53.92,54.04,53.45,2905788
2023-03-31,000538,54.55,54.7,55.26,54.29,8220278
2023-04-03,000538,54.73,54.92,55.24,54.48,5141498
2023-04-04,000538,55.0,55.57,55.6,54.75,8221183
2023-04-06,000538,55.6,55.5,56.2,55.3,7178954
2023-04-07,000538,55.49,55.91,56.0,55.17,5758030
2023-04-10,000538,55.91,55.26,56.0,55.07,6043783
2023-04-11,000538,55.49,56.0,56.46,55.05,6718141
2023-04-12,000538,55.98,55.37,56.49,55.27,6786173
2023-04-13,000538,55.21,55.82,56.16,55.1,6828908
2023-04-14,000538,55.83,55.8,56.12,55.52,3963569
2023-04-17,000538,55.58,55.79,55.86,55.34,6041322
2023-04-18,000538,55.74,55.47,55.94,55.42,4996539
2023-04-19,000538,55.4,54.48,55.47,54.36,7739466
2023-04-20,000538,54.72,55.05,55.26,54.58,5955039
2023-04-21,000538,55.05,54.97,55.75,54.66,5921829
2023-04-24,000538,54.95,54.09,55.29,53.98,6170258
2023-04-25,000538,53.82,53.86,54.2,53.22,4995486
2023-04-26,000538,53.66,53.56,53.82,53.28,5181107
2023-04-27,000538,55.05,57.59,57.88,55.05,29638184
2023-04-28,000538,57.54,58.19,58.42,57.04,17048038
2023-05-04,000538,57.8,59.16,59.9,57.7,17584734
2023-05-05,000538,58.92,58.65,59.08,58.31,8445324
2023-05-08,000538,59.01,59.15,59.86,58.5,10469990
2023-05-09,000538,59.1,57.61,59.1,57.6,9537763
2023-05-10,000538,57.69,57.4,57.97,57.11,6380667
2023-05-11,000538,57.56,56.93,58.05,56.82,5173670
2023-05-12,000538,56.76,57.29,58.08,56.66,6399932
2023-05-15,000538,57.66,57.73,58.15,56.75,6155072
2023-05-16,000538,57.7,57.8,58.29,57.59,6169231
2023-05-17,000538,57.8,57.46,57.95,57.02,4509113
2023-05-18,000538,57.51,57.11,57.75,56.83,5269742
2023-05-19,000538,55.41,55.28,55.97,54.56,6446308
2023-05-22,000538,55.55,55.97,56.39,55.28,6283718
2023-05-23,000538,56.08,55.71,56.25,55.67,4527880
2023-05-24,000538,55.58,54.56,55.58,54.56,6259034
2023-05-25,000538,54.5,54.01,54.64,53.63,6782060
2023-05-26,000538,54.0,55.04,55.99,53.91,8108788
2023-05-29,000538,55.11,55.05,55.95,54.67,6067507
2023-05-30,000538,55.0,54.25,55.0,53.8,5654100
2023-05-31,000538,54.41,53.85,54.48,53.5,7407437
2023-06-01,000538,53.73,53.12,53.73,52.92,8115346
2023-06-02,000538,53.3,53.43,53.49,53.12,5428189
2023-06-05,000538,53.4,53.36,53.5,53.1,4909824
2023-06-06,000538,53.35,52.58,53.35,52.44,7588898
2023-06-07,000538,52.52,52.64,52.81,52.39,4837466
2023-06-08,000538,52.41,52.76,52.8,51.9,7190534
2023-06-09,000538,52.68,52.55,52.88,52.46,5680347
2023-06-12,000538,52.7,52.75,52.88,52.18,5302131
2023-06-13,000538,52.75,53.05,53.33,52.7,5898547
2023-06-14,000538,53.02,53.23,53.44,52.92,5654218
2023-06-15,000538,53.25,53.41,53.45,52.92,5057497
2023-06-16,000538,53.48,53.36,53.72,53.3,5554034
2023-06-19,000538,53.41,52.93,53.47,52.92,4739527
2023-06-20,000538,52.8,52.71,53.07,52.58,4490601
