date,code,open,close,high,low,volume
2022-11-09,000630,2.93,2.9,2.95,2.87,175684055
2022-11-10,000630,2.89,2.87,2.89,2.84,102201480
2022-11-11,000630,2.99,2.96,3.05,2.95,275345336
2022-11-14,000630,2.99,2.94,3.0,2.93,139744052
2022-11-15,000630,2.92,2.95,2.96,2.9,136532990
2022-11-16,000630,2.95,2.95,2.97,2.92,102072967
2022-11-17,000630,2.92,2.91,2.93,2.88,95262508
2022-11-18,000630,2.9,2.88,2.91,2.86,86230783
2022-11-21,000630,2.85,2.84,2.85,2.81,74760429
2022-11-22,000630,2.84,2.87,2.9,2.83,72303104
2022-11-23,000630,2.87,2.89,2.92,2.85,71837453
2022-11-24,000630,2.9,2.88,2.91,2.87,44527440
2022-11-25,000630,2.88,2.93,2.94,2.86,97860039
2022-11-28,000630,2.9,2.88,2.9,2.85,88746962
2022-11-29,000630,2.88,2.94,2.94,2.87,91674864
2022-11-30,000630,2.93,2.93,2.96,2.91,90246388
2022-12-01,000630,3.0,2.94,3.02,2.94,107714680
2022-12-02,000630,2.95,2.91,2.96,2.89,70106079
2022-12-05,000630,2.93,3.03,3.07,2.92,258939360
2022-12-06,000630,3.02,3.06,3.06,2.99,136124213
2022-12-07,000630,3.05,3.01,3.07,3.0,89206087
2022-12-08,000630,3.02,3.07,3.08,3.01,134993033
2022-12-09,000630,3.14,3.27,3.28,3.11,527573703
2022-12-26,000630,2.94,3.09,3.19,2.94,433740846
2022-12-27,000630,3.06,3.05,3.11,3.0,212193507
2022-12-28,000630,3.02,3.1,3.16,3.0,226206736
2022-12-29,000630,3.08,3.08,3.12,3.05,100357506
2022-12-30,000630,3.09,3.12,3.14,3.08,99214205
2023-01-03,000630,3.11,3.16,3.19,3.05,142209642
2023-01-04,000630,3.16,3.09,3.16,3.08,104109573
2023-01-05,000630,3.08,3.05,3.1,3.05,104131712
2023-01-06,000630,3.05,3.04,3.08,3.02,83978800
2023-01-09,000630,3.07,3.19,3.2,3.06,260906074
2023-01-10,000630,3.19,3.19,3.22,3.15,126893942
2023-01-11,000630,3.21,3.29,3.35,3.2,243305144
2023-01-12,000630,3.34,3.32,3.38,3.27,194297854
2023-01-13,000630,3.32,3.34,3.38,3.29,134576031
2023-01-16,000630,3.34,3.34,3.36,3.27,162830173
2023-01-17,000630,3.34,3.42,3.42,3.33,180455883
2023-01-18,000630,3.47,3.5,3.58,3.46,205174570
2023-01-19,000630,3.48,3.53,3.54,3.42,135486740
2023-01-20,000630,3.51,3.52,3.58,3.49,158026281
2023-01-30,000630,3.56,3.43,3.59,3.42,193345331
2023-01-31,000630,3.42,3.49,3.5,3.38,143310438
2023-02-01,000630,3.5,3.59,3.63,3.49,240769253
2023-02-02,000630,3.58,3.56,3.6,3.47,184918218
2023-02-03,000630,3.5,3.5,3.52,3.44,137561230
2023-02-06,000630,3.44,3.42,3.45,3.39,129368383
2023-02-07,000630,3.43,3.43,3.46,3.4,80448741
2023-02-08,000630,3.43,3.37,3.45,3.37,110293281
2023-02-09,000630,3.37,3.4,3.4,3.36,76382270
2023-02-10,000630,3.39,3.34,3.39,3.32,120189805
2023-02-13,000630,3.34,3.37,3.4,3.31,141568898
2023-02-14,000630,3.42,3.41,3.5,3.4,189011070
2023-02-15,000630,3.42,3.4,3.5,3.38,153325302
2023-02-16,000630,3.36,3.28,3.39,3.24,195373904
2023-02-17,000630,3.33,3.33,3.4,3.32,116433563
2023-02-20,000630,3.35,3.46,3.47,3.34,196367300
2023-02-21,000630,3.49,3.5,3.56,3.46,202833396
2023-02-22,000630,3.51,3.46,3.52,3.44,106026802
2023-02-23,000630,3.44,3.43,3.47,3.41,89918015
2023-02-24,000630,3.4,3.4,3.43,3.38,89579079
2023-02-27,000630,3.36,3.36,3.41,3.35,94400212
2023-02-28,000630,3.36,3.38,3.4,3.35,70540844
2023-03-01,000630,3.39,3.45,3.46,3.37,93395436
2023-03-02,000630,3.5,3.45,3.5,3.43,107541994
2023-03-03,000630,3.43,3.42,3.45,3.37,96327156
2023-03-06,000630,3.41,3.35,3.41,3.33,152217791
2023-03-07,000630,3.35,3.34,3.44,3.32,139179324
2023-03-08,000630,3.31,3.33,3.34,3.28,95263450
2023-03-09,000630,3.34,3.32,3.37,3.29,70320584
