date,code,open,close,high,low,volume
2022-11-23,000776,15.34,15.38,15.63,15.17,58117457
2022-11-24,000776,15.54,15.35,15.64,15.3,31972736
2022-11-25,000776,15.31,15.58,15.78,15.28,56992270
2022-11-28,000776,15.11,15.31,15.36,14.92,71974394
2022-11-29,000776,15.39,16.03,16.35,15.34,126125510
2022-11-30,000776,16.0,16.01,16.37,15.91,67977149
2022-12-01,000776,16.5,16.29,16.78,16.28,119358129
2022-12-02,000776,16.31,16.02,16.4,15.92,59554141
2022-12-05,000776,16.27,16.9,17.03,16.27,116768047
2022-12-06,000776,16.72,16.8,17.0,16.64,65316454
2022-12-07,000776,16.72,16.4,16.85,16.3,76251051
2022-12-08,000776,16.4,16.46,16.47,16.18,46336569
2022-12-09,000776,16.44,16.36,16.52,16.09,64851407
2022-12-12,000776,16.27,15.89,16.28,15.81,63861117
2022-12-13,000776,15.92,15.8,15.96,15.73,43837397
2022-12-14,000776,15.86,15.94,16.05,15.76,49387908
2022-12-15,000776,15.84,15.76,15.93,15.67,35914846
2022-12-16,000776,15.65,15.82,15.93,15.61,38309303
2022-12-19,000776,15.83,15.42,16.02,15.33,54746302
2022-12-20,000776,15.42,15.39,15.54,15.27,25661416
2022-12-21,000776,15.45,15.42,15.53,15.3,22286479
2022-12-22,000776,15.55,15.33,15.6,15.17,38169192
2022-12-23,000776,15.2,15.29,15.46,15.15,27308173
2022-12-26,000776,15.3,15.2,15.33,14.93,37067516
2022-12-27,000776,15.29,15.6,15.75,15.2,52874469
2022-12-28,000776,15.52,15.48,15.65,15.36,34357328
2022-12-29,000776,15.39,15.39,15.48,15.24,34330182
2022-12-30,000776,15.46,15.49,15.66,15.39,30627612
2023-01-03,000776,15.2,15.16,15.26,14.33,88059396
2023-01-04,000776,15.09,15.18,15.39,15.01,52586022
2023-01-05,000776,15.27,15.63,15.84,15.27,85291710
2023-01-06,000776,15.58,15.66,15.81,15.48,47035125
2023-01-09,000776,15.76,16.28,16.69,15.74,118853583
2023-01-10,000776,16.22,16.25,16.69,16.16,78432670
2023-01-11,000776,16.01,15.47,16.12,15.28,174711787
2023-01-12,000776,15.45,15.63,15.79,15.4,97549308
2023-01-13,000776,15.73,16.42,16.47,15.73,152480065
2023-01-16,000776,16.5,17.72,18.06,16.5,304348352
2023-01-17,000776,17.4,17.78,17.89,17.32,135031401
2023-01-18,000776,17.8,17.81,17.97,17.59,86996221
2023-01-19,000776,17.78,18.16,18.25,17.65,90928303
2023-01-20,000776,18.02,17.8,18.12,17.7,91468216
2023-01-30,000776,18.08,17.65,18.2,17.59,83930785
2023-01-31,000776,17.63,17.4,17.75,17.3,62086389
2023-02-01,000776,17.45,17.88,17.91,17.3,83166830
2023-02-02,000776,18.12,17.32,18.13,17.23,120355750
2023-02-03,000776,17.2,17.13,17.31,16.9,82404637
2023-02-06,000776,16.95,16.67,16.98,16.48,101151213
2023-02-07,000776,16.7,16.7,16.8,16.58,49433136
2023-02-08,000776,16.65,16.5,16.72,16.46,42384409
2023-02-09,000776,16.5,16.74,16.77,16.45,69408800
2023-02-10,000776,16.66,16.64,16.7,16.55,38214505
2023-02-13,000776,16.6,16.77,16.83,16.51,49948000
2023-02-14,000776,16.8,16.7,16.82,16.56,43735804
2023-02-15,000776,16.7,16.52,16.71,16.41,41619655
2023-02-16,000776,16.5,16.22,16.79,15.8,98652708
2023-02-17,000776,16.15,15.94,16.3,15.9,57139126
2023-02-20,000776,16.11,16.57,16.58,15.93,94562138
2023-02-21,000776,16.51,16.6,16.7,16.4,62475393
2023-02-22,000776,16.48,16.43,16.6,16.34,49878611
2023-02-23,000776,16.5,16.52,16.78,16.43,59195238
2023-02-24,000776,16.53,16.29,16.55,16.2,45760391
2023-02-27,000776,16.15,16.17,16.27,16.09,32924583
2023-02-28,000776,16.35,16.33,16.37,16.14,33253744
2023-03-01,000776,16.29,16.58,16.63,16.11,63349086
2023-03-02,000776,16.5,16.55,16.65,16.47,38207767
2023-03-03,000776,16.6,16.71,16.77,16.45,60282462
2023-03-06,000776,16.7,16.46,16.73,16.4,48872954
2023-03-07,000776,16.4,16.0,16.61,15.9,98406910
2023-03-08,000776,15.92,16.0,16.03,15.83,35220709
2023-03-09,000776,16.0,15.91,16.05,15.85,26040974
2023-03-10,000776,15.78,15.61,15.86,15.6,44153465
2023-03-13,000776,15.61,15.72,15.76,15.51,36931720
2023-03-14,000776,15.63,15.52,15.66,15.29,43512169
2023-03-15,000776,15.63,15.62,15.75,15.61,33476169
2023-03-16,000776,15.51,15.43,15.62,15.4,27168898
2023-03-17,000776,15.56,15.65,15.84,15.56,49460394
2023-03-20,000776,15.65,15.56,15.83,15.49,40294183
2023-03-21,000776,15.6,15.71,15.77,15.6,29229359
2023-03-22,000776,15.76,15.66,15.81,15.45,50518187
2023-03-23,000776,15.58,15.79,15.79,15.55,49271749
2023-03-24,000776,15.8,15.71,15.9,15.56,49028430
2023-03-27,000776,15.68,15.71,15.85,15.55,47061605
2023-03-28,000776,15.78,15.59,15.79,15.53,33828757
2023-03-29,000776,15.59,15.47,15.64,15.42,33156848
2023-03-30,000776,15.48,15.55,15.6,15.22,40645681
2023-03-31,000776,15.59,15.77,15.86,15.55,57456769
2023-04-03,000776,15.79,16.24,16.33,15.76,105567309
2023-04-04,000776,16.28,16.39,16.45,16.23,81264729
2023-04-06,000776,16.32,16.26,16.42,16.23,46326141
2023-04-07,000776,16.23,16.45,16.52,16.23,55991483
2023-04-10,000776,16.63,16.4,16.8,16.34,79511839
2023-04-11,000776,16.5,16.63,16.94,16.49,89067051
2023-04-12,000776,16.6,16.59,16.75,16.52,50234906
2023-04-13,000776,16.5,16.39,16.56,16.3,38135596
2023-04-14,000776,16.44,16.39,16.5,16.16,44599485
2023-04-17,000776,16.45,16.97,17.0,16.31,113385591
2023-04-18,000776,16.56,16.53,16.66,16.4,111694205
2023-04-19,000776,16.45,15.93,16.45,15.8,113117456
2023-04-20,000776,15.84,15.89,15.94,15.66,64693986
2023-04-21,000776,15.89,15.35,15.9,15.32,72639892
2023-04-24,000776,15.3,15.06,15.44,14.96,75164825
2023-04-25,000776,15.03,14.97,15.13,14.77,62050985
2023-04-26,000776,14.91,14.98,15.07,14.85,40033287
2023-04-27,000776,14.91,14.96,15.07,14.86,47296625
2023-04-28,000776,15.04,15.34,15.43,15.01,69097402
2023-05-04,000776,15.24,15.42,15.45,15.12,64917322
2023-05-05,000776,15.45,15.88,16.35,15.43,143042262
2023-05-08,000776,15.88,16.27,16.48,15.77,113820252
2023-05-09,000776,16.28,16.46,17.08,16.21,205688936
2023-05-10,000776,16.35,16.06,16.49,15.96,91352111
2023-05-11,000776,16.1,15.95,16.24,15.9,42142292
2023-05-12,000776,15.92,15.74,16.04,15.74,42495176
2023-05-15,000776,15.74,15.9,16.0,15.43,57928618
2023-05-16,000776,15.94,15.72,16.09,15.68,38159907
2023-05-17,000776,15.68,15.66,15.78,15.59,28058717
2023-05-18,000776,15.68,15.59,15.78,15.52,36109184
2023-05-19,000776,15.56,15.37,15.58,15.35,42087477
2023-05-22,000776,15.36,15.29,15.43,15.21,34850783
2023-05-23,000776,15.3,15.12,15.36,15.12,33454601
2023-05-24,000776,15.11,14.91,15.11,14.9,52305786
2023-05-25,000776,14.91,15.02,15.03,14.85,41553134
2023-05-26,000776,15.02,15.19,15.2,14.93,34212790
2023-05-29,000776,15.19,15.0,15.2,14.95,43891084
2023-05-30,000776,14.98,14.97,15.01,14.76,52599241
2023-05-31,000776,14.93,14.9,14.94,14.8,32423338
2023-06-01,000776,14.84,14.91,15.08,14.8,37321224
2023-06-02,000776,14.99,15.03,15.04,14.96,30239462
2023-06-05,000776,15.02,14.99,15.06,14.95,23319556
2023-06-06,000776,15.01,14.84,15.07,14.78,36365141
2023-06-07,000776,14.85,14.87,14.96,14.78,21664678
2023-06-08,000776,14.86,14.96,15.03,14.72,35810551
2023-06-09,000776,14.92,14.94,14.97,14.85,23363092
2023-06-12,000776,14.9,14.86,14.92,14.8,24537716
2023-06-13,000776,14.85,14.9,14.93,14.81,26679654
2023-06-14,000776,14.92,14.94,15.1,14.91,39822252
2023-06-15,000776,15.0,15.09,15.13,14.92,49433169
