date,code,open,close,high,low,volume
2022-11-23,002129,43.34,44.9,45.36,43.1,37936892
2022-11-24,002129,45.0,44.22,45.26,44.18,27917195
2022-11-25,002129,44.01,43.09,44.16,42.55,27336823
2022-11-28,002129,41.45,41.51,42.48,40.31,49736288
2022-11-29,002129,41.97,41.8,42.68,41.4,38442339
2022-11-30,002129,41.8,41.57,42.15,41.0,34601582
2022-12-01,002129,42.0,42.04,42.55,41.65,32958753
2022-12-02,002129,41.74,41.87,42.96,41.73,29705034
2022-12-05,002129,41.85,40.94,41.85,40.35,48272021
2022-12-06,002129,40.88,40.75,41.53,40.58,40349741
2022-12-07,002129,40.7,40.48,41.2,40.3,33910552
2022-12-08,002129,40.46,40.03,41.0,39.98,40683287
2022-12-09,002129,40.03,40.3,40.32,39.69,49328337
2022-12-12,002129,40.0,39.77,40.19,39.34,29396912
2022-12-13,002129,39.88,38.59,39.92,38.33,43776332
2022-12-14,002129,38.66,38.38,39.33,38.0,29817429
2022-12-15,002129,38.07,39.05,39.19,38.06,31741583
2022-12-16,002129,38.71,37.98,38.95,37.7,32516507
2022-12-19,002129,37.83,37.58,38.57,37.35,22867350
2022-12-20,002129,37.58,37.53,37.7,37.0,21471329
2022-12-21,002129,37.53,36.56,37.62,36.21,26298001
2022-12-22,002129,36.69,34.94,36.89,34.5,66342242
2022-12-23,002129,34.99,34.93,35.25,33.7,51278728
2022-12-26,002129,34.6,37.39,37.75,34.6,66571515
2022-12-27,002129,37.39,38.04,38.33,37.2,40831573
2022-12-28,002129,37.81,37.8,38.21,37.5,31075774
2022-12-29,002129,38.0,37.76,38.08,37.3,22940633
2022-12-30,002129,37.98,37.66,38.41,37.61,21059515
2023-01-03,002129,37.58,38.03,38.09,36.88,27570719
2023-01-04,002129,38.03,36.81,38.09,36.5,33728031
2023-01-05,002129,36.8,37.41,37.77,36.08,30721971
2023-01-06,002129,37.5,39.19,40.1,37.41,59741245
2023-01-09,002129,39.21,39.25,39.57,38.49,35721460
2023-01-10,002129,41.37,40.84,42.03,39.99,73037452
2023-01-11,002129,40.65,39.94,41.2,39.84,40031332
2023-01-12,002129,40.33,40.48,41.09,39.71,39729302
2023-01-13,002129,40.41,40.13,40.77,39.8,27447788
2023-01-16,002129,39.9,40.68,41.27,39.53,33576963
2023-01-17,002129,40.67,40.75,40.96,40.4,19534946
2023-01-18,002129,40.77,41.12,41.58,40.68,37071241
2023-01-19,002129,41.1,40.9,41.11,40.42,23038359
2023-01-20,002129,40.9,41.65,41.65,40.68,39157502
2023-01-30,002129,42.19,41.25,42.2,41.0,45410699
2023-01-31,002129,41.14,42.44,42.44,41.01,45234113
2023-02-01,002129,42.98,42.7,43.24,41.7,43807391
2023-02-02,002129,42.5,42.3,42.8,42.08,29725766
2023-02-03,002129,42.0,41.56,42.0,40.87,31693491
2023-02-06,002129,41.58,42.3,42.4,41.41,32415522
2023-02-07,002129,42.27,42.31,42.98,42.0,28387746
2023-02-08,002129,42.35,41.66,42.76,41.5,21699033
2023-02-09,002129,41.44,42.5,42.68,41.28,29222510
2023-02-10,002129,42.45,42.35,42.78,41.86,21986267
2023-02-13,002129,42.0,42.28,42.8,41.95,24288948
2023-02-14,002129,42.48,42.25,42.73,42.0,20053605
2023-02-15,002129,42.01,43.05,43.59,42.01,30144287
2023-02-16,002129,43.0,42.25,44.19,41.9,47518168
2023-02-17,002129,42.64,40.72,42.68,40.68,32437694
2023-02-20,002129,40.5,41.92,42.0,40.5,23563771
2023-02-21,002129,42.0,42.69,43.19,41.95,31944480
2023-02-22,002129,42.31,42.58,43.26,42.29,18178980
2023-02-23,002129,42.57,43.7,44.04,42.4,43246317
2023-02-24,002129,43.8,43.54,43.88,43.2,20380917
2023-02-27,002129,43.36,43.55,44.49,42.9,25562961
2023-02-28,002129,43.45,43.65,43.78,42.68,27317416
2023-03-01,002129,43.86,44.12,44.38,43.53,25827446
2023-03-02,002129,45.54,44.21,45.99,44.01,48231546
2023-03-03,002129,44.0,43.84,44.73,43.71,21973458
2023-03-06,002129,44.99,48.16,48.22,44.77,116636525
2023-03-07,002129,47.75,48.04,48.88,47.48,64944741
2023-03-08,002129,47.88,47.8,49.12,47.01,51797460
2023-03-09,002129,48.68,48.05,49.31,47.77,58355772
2023-03-10,002129,48.0,48.31,49.16,47.6,47538807
2023-03-13,002129,48.3,47.54,48.8,47.19,45578196
2023-03-14,002129,47.5,46.7,47.6,45.21,62276416
2023-03-15,002129,46.69,45.88,47.05,45.77,32404520
2023-03-16,002129,45.05,43.13,45.59,42.71,69097693
2023-03-17,002129,43.5,43.81,44.3,43.36,45617076
2023-03-20,002129,43.31,44.58,45.6,43.1,43341520
2023-03-21,002129,44.14,44.52,44.71,43.6,34214432
2023-03-22,002129,44.88,45.28,45.82,44.75,37014314
