date,code,open,close,high,low,volume
2022-11-23,002145,7.06,7.05,7.09,6.91,16241755
2022-11-24,002145,7.08,7.1,7.16,7.01,15980829
2022-11-25,002145,7.13,6.95,7.13,6.93,21147968
2022-11-28,002145,6.9,6.88,6.91,6.74,15084276
2022-11-29,002145,6.86,6.99,7.0,6.86,20555732
2022-11-30,002145,7.05,6.98,7.05,6.94,15838555
2022-12-01,002145,7.02,7.16,7.25,7.02,35760051
2022-12-02,002145,7.14,7.11,7.17,7.08,15756576
2022-12-05,002145,7.15,7.13,7.16,7.05,23628984
2022-12-06,002145,7.13,7.11,7.15,7.05,17367240
2022-12-07,002145,7.1,7.13,7.22,7.08,22476769
2022-12-08,002145,7.14,7.05,7.14,7.04,17244132
2022-12-09,002145,7.1,7.05,7.1,7.0,15039616
2022-12-12,002145,7.04,6.96,7.09,6.92,19985282
2022-12-13,002145,6.99,6.81,6.99,6.8,19515406
2022-12-14,002145,6.82,6.76,6.86,6.73,14067520
2022-12-15,002145,6.75,6.92,6.95,6.71,19450370
2022-12-16,002145,6.88,6.78,6.91,6.76,14203439
2022-12-19,002145,6.76,6.59,6.81,6.55,21274208
2022-12-20,002145,6.61,6.55,6.67,6.55,11717522
2022-12-21,002145,6.57,6.47,6.59,6.41,15912038
2022-12-22,002145,6.5,6.22,6.51,6.2,22875642
2022-12-23,002145,6.2,6.18,6.29,6.15,14637970
2022-12-26,002145,6.2,6.26,6.28,6.17,13324206
2022-12-27,002145,6.29,6.28,6.3,6.21,9893352
2022-12-28,002145,6.27,6.2,6.3,6.18,14180093
2022-12-29,002145,6.16,6.15,6.25,6.15,10650581
2022-12-30,002145,6.16,6.16,6.19,6.13,7467427
2023-01-03,002145,6.18,6.34,6.38,6.11,18876381
2023-01-04,002145,6.34,6.32,6.37,6.28,12239832
2023-01-05,002145,6.32,6.37,6.42,6.3,12993668
2023-01-06,002145,6.36,6.55,6.66,6.36,31720506
2023-01-09,002145,6.55,6.85,6.86,6.55,42900259
2023-01-10,002145,6.81,6.84,6.85,6.73,19767287
2023-01-11,002145,6.83,6.83,6.95,6.78,22608437
2023-01-12,002145,6.85,6.93,6.95,6.8,21945450
2023-01-13,002145,6.93,6.98,7.14,6.92,28741154
2023-01-16,002145,6.93,6.88,7.0,6.87,29508254
2023-01-17,002145,6.92,7.03,7.05,6.88,24321717
2023-01-18,002145,7.08,7.12,7.13,7.01,21089240
2023-01-19,002145,7.14,7.14,7.2,7.06,16505044
2023-01-20,002145,7.14,7.16,7.2,7.08,19865838
2023-01-30,002145,7.21,7.24,7.36,7.21,36713497
2023-01-31,002145,7.22,7.46,7.49,7.21,41660121
2023-02-01,002145,7.5,8.07,8.13,7.5,90114386
2023-02-02,002145,8.08,7.93,8.1,7.9,52101866
2023-02-03,002145,7.87,8.05,8.11,7.64,65008241
2023-02-06,002145,8.03,7.83,8.1,7.8,43976504
2023-02-07,002145,7.87,8.0,8.12,7.78,60143149
2023-02-08,002145,8.0,7.85,8.0,7.8,47981259
2023-02-09,002145,7.84,7.94,8.04,7.81,42725834
2023-02-10,002145,7.9,8.08,8.25,7.88,85958130
2023-02-13,002145,8.08,7.93,8.1,7.85,55756845
2023-02-14,002145,7.95,7.83,7.95,7.78,63293421
2023-02-15,002145,7.79,7.64,7.85,7.6,73379037
2023-02-16,002145,7.65,7.44,7.77,7.37,58031046
2023-02-17,002145,7.44,7.3,7.48,7.28,60303021
2023-02-20,002145,7.26,7.4,7.42,7.21,41911936
2023-02-21,002145,7.89,7.62,7.97,7.5,66032628
2023-02-22,002145,7.62,7.63,7.75,7.44,36669706
2023-02-23,002145,7.62,7.5,7.62,7.45,21571672
2023-02-24,002145,7.46,7.36,7.53,7.34,31213104
2023-02-27,002145,7.36,7.38,7.5,7.09,30988003
2023-02-28,002145,7.4,7.35,7.44,7.28,21730801
2023-03-01,002145,7.45,7.51,7.6,7.41,51181510
2023-03-02,002145,7.51,7.48,7.58,7.37,36159570
2023-03-03,002145,7.5,7.34,7.52,7.32,28163639
2023-03-06,002145,7.36,7.3,7.38,7.24,20644053
2023-03-07,002145,7.32,7.2,7.42,7.17,26193791
2023-03-08,002145,7.16,7.18,7.23,7.15,13239384
2023-03-09,002145,7.2,7.18,7.35,7.18,21010966
2023-03-10,002145,7.13,7.2,7.29,7.05,36616646
2023-03-13,002145,6.9,7.02,7.04,6.76,48905963
2023-03-14,002145,7.0,6.81,7.02,6.79,31175668
2023-03-15,002145,6.84,6.9,6.96,6.82,20224762
2023-03-16,002145,6.9,6.77,6.94,6.76,17229374
2023-03-17,002145,6.84,6.76,6.86,6.73,18301393
2023-03-20,002145,6.72,6.78,6.81,6.71,13398889
2023-03-21,002145,6.78,6.96,6.97,6.76,18641248
2023-03-22,002145,7.0,6.85,7.0,6.82,24521747
2023-03-23,002145,6.83,6.76,6.85,6.73,20408342
2023-03-24,002145,6.77,6.62,6.8,6.62,30954700
2023-03-27,002145,6.64,6.55,6.67,6.51,25563868
2023-03-28,002145,6.57,6.47,6.6,6.45,20936375
2023-03-29,002145,6.47,6.41,6.5,6.38,20667348
2023-03-30,002145,6.41,6.48,6.48,6.34,21202932
2023-03-31,002145,6.46,6.49,6.56,6.44,21656619
2023-04-03,002145,6.49,6.67,6.68,6.49,27024815
2023-04-04,002145,6.69,6.48,6.7,6.48,29391740
2023-04-06,002145,6.49,6.46,6.5,6.4,16830925
2023-04-07,002145,6.45,6.42,6.51,6.41,19254846
2023-04-10,002145,6.45,6.41,6.46,6.38,16361860
2023-04-11,002145,6.41,6.5,6.5,6.35,17525866
2023-04-12,002145,6.54,6.6,6.66,6.5,36713531
2023-04-13,002145,6.69,6.66,6.75,6.58,40142465
2023-04-14,002145,6.67,6.94,7.04,6.64,77704370
2023-04-17,002145,6.97,6.92,6.98,6.8,38249699
2023-04-18,002145,6.9,6.78,6.9,6.76,28667805
2023-04-19,002145,6.78,6.81,6.83,6.68,24781941
2023-04-20,002145,6.76,6.63,6.77,6.62,24337707
2023-04-21,002145,6.6,6.46,6.66,6.4,28959794
2023-04-24,002145,6.46,6.42,6.5,6.35,19377104
2023-04-25,002145,6.45,6.19,6.46,6.18,26992945
2023-04-26,002145,6.19,6.33,6.39,6.18,16783921
2023-04-27,002145,6.31,6.24,6.31,6.21,16086049
2023-04-28,002145,6.19,6.31,6.32,6.17,12566705
2023-05-04,002145,6.3,6.65,6.65,6.25,25261280
2023-05-05,002145,6.65,6.68,6.73,6.56,25131015
2023-05-08,002145,6.73,6.58,6.73,6.58,19714612
2023-05-09,002145,6.56,6.49,6.65,6.45,20497307
2023-05-10,002145,6.5,6.63,6.69,6.5,15618844
2023-05-11,002145,6.65,6.62,6.67,6.59,9805089
2023-05-12,002145,6.66,6.41,6.66,6.4,17084402
2023-05-15,002145,6.4,6.46,6.54,6.4,12004205
2023-05-16,002145,6.45,6.28,6.47,6.25,20998507
2023-05-17,002145,6.31,6.32,6.32,6.25,7466231
2023-05-18,002145,6.32,6.27,6.34,6.25,11258209
2023-05-19,002145,6.27,6.31,6.31,6.2,10253880
2023-05-22,002145,6.32,6.28,6.34,6.25,8650554
2023-05-23,002145,6.27,6.3,6.39,6.25,12327186
2023-05-24,002145,6.33,6.26,6.36,6.25,9465421
2023-05-25,002145,6.25,6.22,6.27,6.17,12880587
2023-05-26,002145,6.25,6.27,6.27,6.16,8958230
2023-05-29,002145,6.27,6.2,6.3,6.2,9327457
2023-05-30,002145,6.19,6.28,6.28,6.17,9666640
2023-05-31,002145,6.28,6.22,6.28,6.2,7108673
2023-06-01,002145,6.25,6.22,6.27,6.19,7563566
2023-06-02,002145,6.24,6.36,6.36,6.22,16616206
2023-06-05,002145,6.36,6.34,6.38,6.27,13397409
2023-06-06,002145,6.42,6.26,6.48,6.24,19145282
2023-06-07,002145,6.26,6.21,6.28,6.2,9642145
2023-06-08,002145,6.22,6.22,6.27,6.17,8510549
2023-06-09,002145,6.25,6.24,6.26,6.19,8802995
2023-06-12,002145,6.2,6.24,6.28,6.17,9480785
2023-06-13,002145,6.21,6.2,6.25,6.19,8864474
2023-06-14,002145,6.2,6.17,6.22,6.17,9960146
2023-06-15,002145,6.17,6.24,6.25,6.13,14047568
2023-06-16,002145,6.24,6.25,6.26,6.19,11118103
2023-06-19,002145,6.25,6.18,6.27,6.18,12599944
2023-06-20,002145,6.15,6.12,6.17,6.12,10047450
2023-06-21,002145,6.12,6.05,6.15,6.04,12677514
2023-06-26,002145,6.03,5.9,6.05,5.88,17053754
2023-06-27,002145,5.9,5.95,6.01,5.89,13229776
2023-06-28,002145,6.0,5.89,6.0,5.83,14507225
2023-06-29,002145,5.88,5.78,5.89,5.76,17644094
2023-06-30,002145,5.77,5.89,5.91,5.75,15670025
2023-07-03,002145,5.88,5.93,5.97,5.86,10578235
2023-07-04,002145,5.95,5.91,5.96,5.9,9219090
2023-07-05,002145,5.92,6.08,6.09,5.88,26763594
2023-07-06,002145,6.05,5.96,6.05,5.95,14359978
2023-07-07,002145,5.95,5.92,5.97,5.88,8343668
2023-07-10,002145,5.92,5.95,6.0,5.92,8708865
2023-07-11,002145,5.96,5.96,5.98,5.91,6357860
2023-07-12,002145,5.96,5.93,6.0,5.93,11134331
2023-07-13,002145,5.93,5.95,5.99,5.92,10092839
2023-07-14,002145,5.94,5.89,5.96,5.89,9419311
2023-07-17,002145,5.88,5.81,5.88,5.77,14064489
2023-07-18,002145,5.81,5.85,5.87,5.74,13356055
2023-07-19,002145,5.85,5.79,5.85,5.76,9959880
2023-07-20,002145,5.78,5.8,5.87,5.76,12313261
2023-07-21,002145,5.79,5.76,5.83,5.75,9785056
2023-07-24,002145,5.76,5.65,5.78,5.65,14652870
2023-07-25,002145,5.7,5.83,5.85,5.68,24000660
2023-07-26,002145,5.86,6.02,6.02,5.81,31469047
2023-07-27,002145,6.02,5.94,6.02,5.91,17430547
2023-07-28,002145,5.94,6.04,6.06,5.9,21417458
2023-07-31,002145,6.04,6.11,6.2,6.04,25448690
2023-08-01,002145,6.08,6.1,6.15,6.07,13179605
2023-08-02,002145,6.12,6.07,6.13,6.03,13124148
2023-08-03,002145,6.06,6.06,6.08,5.99,14402196
2023-08-04,002145,6.06,6.03,6.1,6.02,11823733
2023-08-07,002145,6.06,5.99,6.07,5.97,9579322
2023-08-08,002145,6.02,6.05,6.1,5.91,16465123
2023-08-09,002145,6.05,5.94,6.05,5.94,9287620
2023-08-10,002145,5.93,5.93,5.99,5.92,8869230
2023-08-11,002145,5.92,5.83,5.95,5.82,11867305
2023-08-14,002145,5.82,5.76,5.82,5.68,17025700
2023-08-15,002145,5.82,5.72,5.85,5.7,13267977
2023-08-16,002145,5.7,5.68,5.74,5.66,10776355
2023-08-17,002145,5.68,5.69,5.71,5.6,15134395
2023-08-18,002145,5.69,5.56,5.7,5.55,18824747
2023-08-21,002145,5.58,5.42,5.61,5.4,17578275
2023-08-22,002145,5.45,5.36,5.46,5.27,18609692
2023-08-23,002145,5.36,5.18,5.36,5.17,17356940
2023-08-24,002145,5.18,5.31,5.38,5.18,20009974
2023-08-25,002145,5.28,5.15,5.3,5.13,17458690
2023-08-28,002145,5.42,5.31,5.49,5.29,36329133
2023-08-29,002145,5.33,5.31,5.35,5.24,22079380
2023-08-30,002145,5.31,5.28,5.37,5.27,18253595
2023-08-31,002145,5.3,5.18,5.3,5.17,14134906
2023-09-01,002145,5.2,5.25,5.25,5.18,10183984
2023-09-04,002145,5.26,5.42,5.42,5.24,19970790
2023-09-05,002145,5.41,5.35,5.41,5.31,13812153
2023-09-06,002145,5.33,5.37,5.38,5.3,9870595
2023-09-07,002145,5.37,5.26,5.38,5.25,13433610
2023-09-08,002145,5.25,5.23,5.27,5.23,8655993
2023-09-11,002145,5.25,5.75,5.75,5.23,83848262
2023-09-12,002145,5.77,5.97,6.05,5.71,118874775
2023-09-13,002145,6.03,6.0,6.2,5.95,80291661
2023-09-14,002145,5.99,5.86,6.17,5.74,111387074
2023-09-15,002145,5.87,5.68,5.89,5.65,57175749
2023-09-18,002145,5.63,5.22,5.64,5.18,125751012
2023-09-19,002145,5.2,5.26,5.38,5.06,87429682
2023-09-20,002145,5.05,4.75,5.05,4.73,227600499
2023-09-21,002145,4.67,4.61,4.76,4.57,99330832
2023-09-22,002145,4.59,4.62,4.64,4.53,70897559
2023-09-25,002145,4.59,4.47,4.6,4.44,88362408
2023-09-26,002145,4.46,4.35,4.46,4.32,85814307
2023-09-27,002145,4.35,4.37,4.44,4.32,77257820
2023-09-28,002145,4.57,4.62,4.77,4.56,160932281
2023-10-09,002145,4.64,4.64,4.75,4.6,104216934
2023-10-10,002145,4.64,4.7,4.76,4.64,72549257
2023-10-11,002145,4.71,4.68,4.77,4.66,63819568
2023-10-12,002145,4.7,4.69,4.72,4.64,54241205
2023-10-13,002145,4.67,4.66,4.69,4.63,47320520
2023-10-16,002145,4.69,4.58,4.72,4.54,63497330
2023-10-17,002145,4.57,4.51,4.6,4.49,61377039
2023-10-18,002145,4.53,4.44,4.53,4.44,40586569
2023-10-19,002145,4.41,4.6,4.72,4.39,110045640
2023-10-20,002145,4.55,4.59,4.69,4.53,74253517
2023-10-23,002145,4.59,4.64,4.74,4.55,92013662
2023-10-24,002145,4.64,4.79,4.83,4.59,118220093
2023-10-25,002145,4.81,4.87,4.95,4.77,105096180
2023-10-26,002145,4.82,4.82,4.87,4.74,67057621
2023-10-27,002145,4.82,4.84,4.94,4.79,69712993
2023-10-30,002145,4.82,4.83,4.92,4.79,60428912
2023-10-31,002145,4.81,4.76,4.84,4.71,53670611
2023-11-01,002145,4.75,4.81,4.88,4.75,49839715
2023-11-02,002145,4.82,4.77,4.9,4.76,33784512
2023-11-03,002145,4.76,4.8,4.82,4.75,33276909
2023-11-06,002145,4.81,4.84,4.85,4.77,52541603
