date,code,open,close,high,low,volume
2022-11-09,002185,8.76,8.81,8.83,8.71,21102863
2022-11-10,002185,8.76,8.64,8.82,8.64,20858022
2022-11-11,002185,8.8,8.75,8.89,8.75,32416358
2022-11-14,002185,8.65,8.77,8.89,8.65,23234423
2022-11-15,002185,8.72,9.17,9.2,8.72,77585227
2022-11-16,002185,9.17,9.04,9.17,9.0,42047576
2022-11-17,002185,9.0,9.24,9.24,8.92,49846061
2022-11-18,002185,9.18,9.13,9.29,9.1,43504606
2022-11-21,002185,9.06,9.07,9.17,8.98,25149330
2022-11-22,002185,9.06,8.98,9.17,8.94,26981277
2022-11-23,002185,8.96,8.84,9.02,8.74,27251476
2022-11-24,002185,8.87,8.76,8.92,8.75,15228109
2022-11-25,002185,8.76,8.74,8.86,8.71,16102792
2022-11-28,002185,8.66,8.59,8.67,8.55,17861899
2022-11-29,002185,8.6,8.81,8.83,8.6,20347521
2022-11-30,002185,8.78,8.81,8.88,8.76,15162934
2022-12-01,002185,8.87,8.82,8.95,8.82,19116623
2022-12-02,002185,8.82,8.84,8.9,8.77,12981632
2022-12-05,002185,8.85,8.87,8.9,8.78,23377820
2022-12-06,002185,8.87,8.95,9.03,8.82,31288173
2022-12-07,002185,8.9,8.82,8.93,8.82,19283233
2022-12-08,002185,8.83,8.68,8.85,8.67,18210247
2022-12-09,002185,8.68,8.76,8.77,8.66,17151191
2022-12-12,002185,8.73,8.85,8.91,8.71,23129108
2022-12-13,002185,8.83,8.76,8.86,8.74,11998649
2022-12-14,002185,8.95,9.01,9.15,8.95,69932516
2022-12-15,002185,8.94,9.32,9.45,8.89,89405366
2022-12-16,002185,9.2,9.1,9.21,9.03,44314220
2022-12-19,002185,9.09,8.87,9.11,8.81,26730379
2022-12-20,002185,8.78,8.88,8.96,8.76,20660360
2022-12-21,002185,8.84,8.69,8.93,8.61,22977631
2022-12-22,002185,8.71,8.47,8.74,8.43,23249395
2022-12-23,002185,8.4,8.41,8.51,8.29,16039313
2022-12-26,002185,8.41,8.55,8.59,8.41,12379600
2022-12-27,002185,8.55,8.56,8.6,8.47,12411549
2022-12-28,002185,8.5,8.43,8.55,8.41,11101792
2022-12-29,002185,8.4,8.25,8.47,8.24,20457200
2022-12-30,002185,8.31,8.29,8.34,8.21,13886875
2023-01-03,002185,8.29,8.45,8.45,8.23,13328914
2023-01-04,002185,8.45,8.5,8.66,8.43,21128511
2023-01-05,002185,8.48,8.55,8.57,8.44,13138428
2023-01-06,002185,8.53,8.53,8.62,8.49,14713634
2023-01-09,002185,8.56,8.55,8.61,8.53,13261446
2023-01-10,002185,8.55,8.66,8.72,8.54,22835987
2023-01-11,002185,8.61,8.72,8.93,8.61,32458210
2023-01-12,002185,8.67,8.56,8.69,8.55,17607135
2023-01-13,002185,8.57,8.59,8.61,8.52,10260553
2023-01-16,002185,8.52,8.68,8.73,8.52,17358919
2023-01-17,002185,8.66,8.78,8.84,8.66,23434153
2023-01-18,002185,8.78,8.78,8.82,8.73,12836793
2023-01-19,002185,8.75,8.89,8.92,8.73,18825980
2023-01-20,002185,8.93,8.91,8.96,8.86,18982724
2023-01-30,002185,9.03,8.97,9.09,8.97,29924220
2023-01-31,002185,8.98,8.92,9.04,8.91,16721787
2023-02-01,002185,8.98,9.19,9.23,8.95,43662200
2023-02-02,002185,9.22,9.23,9.38,9.21,42340105
2023-02-03,002185,9.22,9.29,9.32,9.1,30114417
2023-02-06,002185,9.23,9.15,9.3,9.14,19353594
2023-02-07,002185,9.16,9.16,9.24,9.1,17109729
2023-02-08,002185,9.18,9.05,9.27,9.03,23923606
2023-02-09,002185,9.0,9.36,9.39,9.0,50466551
2023-02-10,002185,9.34,9.47,9.59,9.33,52598607
2023-02-13,002185,9.47,9.61,9.63,9.41,43950548
2023-02-14,002185,9.58,9.72,10.27,9.57,98211587
2023-02-15,002185,9.68,9.9,9.96,9.67,61061721
2023-02-16,002185,9.82,9.54,9.92,9.47,67485133
2023-02-17,002185,9.56,9.36,9.64,9.35,38009257
2023-02-20,002185,9.37,9.66,9.7,9.27,49966679
2023-02-21,002185,9.63,9.59,9.74,9.5,33492503
2023-02-22,002185,9.48,9.57,9.66,9.4,27769836
2023-02-23,002185,9.54,9.45,9.56,9.4,24268000
2023-02-24,002185,9.52,9.5,9.64,9.42,34893866
2023-02-27,002185,9.44,9.51,9.74,9.41,42066962
2023-02-28,002185,9.59,9.58,9.71,9.42,33379681
2023-03-01,002185,9.53,9.78,9.79,9.5,53647563
2023-03-02,002185,9.78,9.67,9.83,9.65,32575783
2023-03-03,002185,9.81,10.0,10.04,9.77,90362875
2023-03-06,002185,10.0,9.88,10.19,9.84,59679751
2023-03-07,002185,9.84,9.5,9.87,9.48,45082573
2023-03-08,002185,9.5,9.65,9.68,9.46,24577511
2023-03-09,002185,9.63,9.66,9.77,9.61,27759881
2023-03-10,002185,9.56,9.61,9.73,9.51,29149316
2023-03-13,002185,9.55,9.63,9.66,9.5,25005177
2023-03-14,002185,9.58,9.86,9.95,9.35,60221378
2023-03-15,002185,9.9,9.84,10.03,9.8,52123420
2023-03-16,002185,9.74,10.15,10.27,9.72,136152868
2023-03-17,002185,10.15,10.09,10.23,10.02,82307580
2023-03-20,002185,10.04,10.36,10.37,10.04,101862721
2023-03-21,002185,10.3,10.44,10.45,10.19,69373623
2023-03-22,002185,10.44,10.4,10.48,10.31,48774024
2023-03-23,002185,10.35,10.37,10.53,10.23,90322469
2023-03-24,002185,10.41,10.24,10.43,10.22,68137125
2023-03-27,002185,10.25,10.27,10.39,10.15,56017012
2023-03-28,002185,10.25,10.02,10.25,9.96,57492852
2023-03-29,002185,10.05,10.11,10.23,9.85,58589054
2023-03-30,002185,10.12,10.1,10.29,10.02,41405633
2023-03-31,002185,10.04,10.1,10.15,9.99,32592716
2023-04-03,002185,10.13,10.44,10.48,10.13,84403490
2023-04-04,002185,10.47,10.5,10.65,10.38,93645970
2023-04-06,002185,10.54,10.88,11.03,10.43,141187511
2023-04-07,002185,10.95,10.82,10.98,10.73,84288101
2023-04-10,002185,10.88,10.54,10.98,10.5,83991112
2023-04-11,002185,10.56,10.56,10.71,10.43,53539988
2023-04-12,002185,10.53,10.63,10.72,10.4,52224452
2023-04-13,002185,10.53,10.27,10.66,10.26,63091724
2023-04-14,002185,10.39,10.69,10.74,10.16,81319521
2023-04-17,002185,10.7,10.5,10.73,10.41,58521016
2023-04-18,002185,10.42,10.3,10.49,10.22,44839581
2023-04-19,002185,10.3,10.26,10.45,10.24,45465133
2023-04-20,002185,10.22,10.31,10.41,10.13,53758480
2023-04-21,002185,10.22,9.48,10.24,9.47,96934716
2023-04-24,002185,9.48,9.37,9.6,9.3,39958229
2023-04-25,002185,9.37,9.24,9.47,9.11,36842598
2023-04-26,002185,9.05,8.91,9.09,8.67,59733733
2023-04-27,002185,8.88,8.95,9.1,8.86,37185400
2023-04-28,002185,8.58,8.96,8.98,8.48,43089081
2023-05-04,002185,8.91,8.8,8.95,8.73,29235240
2023-05-05,002185,8.79,8.82,8.95,8.78,24962054
2023-05-08,002185,8.82,8.9,8.98,8.8,27938058
2023-05-09,002185,8.9,9.12,9.21,8.88,45846664
2023-05-10,002185,9.15,9.1,9.2,8.95,28598407
2023-05-11,002185,9.15,9.07,9.19,9.05,19542972
2023-05-12,002185,9.05,9.11,9.24,9.04,23690350
2023-05-15,002185,9.08,9.44,9.5,9.08,46395140
2023-05-16,002185,9.49,9.66,9.87,9.46,64313241
2023-05-17,002185,9.6,9.64,9.71,9.56,26418339
2023-05-18,002185,9.64,9.55,9.73,9.51,24531473
2023-05-19,002185,9.55,9.66,9.73,9.54,30113393
2023-05-22,002185,9.73,9.59,9.81,9.52,21483515
2023-05-23,002185,9.55,9.42,9.57,9.41,19463701
2023-05-24,002185,9.39,9.43,9.56,9.31,18652415
2023-05-25,002185,9.56,9.44,9.64,9.27,20645108
2023-05-26,002185,9.44,9.53,9.58,9.41,16794094
2023-05-29,002185,9.73,9.75,9.8,9.65,42238298
2023-05-30,002185,9.7,9.84,9.84,9.62,28196347
2023-05-31,002185,9.84,9.72,9.84,9.54,28562601
2023-06-01,002185,9.64,9.69,9.78,9.6,19487296
2023-06-02,002185,9.69,9.63,9.76,9.56,21297897
2023-06-05,002185,9.61,9.53,9.72,9.53,20776722
2023-06-06,002185,9.51,9.25,9.53,9.24,22084878
2023-06-07,002185,9.3,9.42,9.67,9.28,24675290
2023-06-08,002185,9.37,9.19,9.41,9.1,21771607
2023-06-09,002185,9.19,9.29,9.3,9.08,29510796
2023-06-12,002185,9.26,9.39,9.5,9.25,24189629
2023-06-13,002185,9.4,9.7,9.73,9.28,42569670
2023-06-14,002185,9.67,9.69,9.75,9.52,32291738
2023-06-15,002185,9.76,9.62,9.77,9.61,20217600
2023-06-16,002185,9.61,9.62,9.64,9.47,27968554
