date,code,open,close,high,low,volume
2022-11-23,2371,228.33,225.76,229.91,221.67,7883855.0
2022-11-24,2371,227.0,229.62,232.23,225.58,6158539.0
2022-11-25,2371,227.0,225.01,234.44,224.5,7938305.0
2022-11-28,2371,220.0,224.0,224.62,218.77,6013859.0
2022-11-29,2371,224.0,225.01,228.0,220.44,6951272.0
2022-11-30,2371,224.15,222.89,228.21,221.0,6711318.0
2022-12-01,2371,226.0,230.99,232.2,224.57,11450882.0
2022-12-02,2371,229.0,226.93,232.65,225.16,8411597.0
2022-12-05,2371,226.92,224.35,227.5,221.0,7428211.0
2022-12-06,2371,224.35,238.3,240.88,223.01,16907644.0
2022-12-07,2371,239.0,239.32,241.98,236.5,8732267.0
2022-12-08,2371,239.0,238.0,241.12,235.16,5537496.0
2022-12-09,2371,239.0,244.81,249.01,239.0,12213079.0
2022-12-12,2371,245.0,243.96,250.0,240.5,9483119.0
2022-12-13,2371,243.96,235.3,243.96,234.38,9611746.0
2022-12-14,2371,249.9,242.3,250.55,240.29,19798620.0
2022-12-15,2371,238.61,247.12,253.5,238.06,11837872.0
2022-12-16,2371,244.0,241.22,244.83,238.0,8077439.0
2022-12-19,2371,239.0,234.4,241.17,234.0,6166158.0
2022-12-20,2371,232.0,231.83,236.98,229.2,5214343.0
2022-12-21,2371,231.78,228.0,232.2,225.33,4882853.0
2022-12-22,2371,228.89,222.95,229.49,222.65,5239768.0
2022-12-23,2371,218.15,217.82,222.0,216.0,6205485.0
2022-12-26,2371,217.39,223.76,224.26,217.39,5582454.0
2022-12-27,2371,223.76,227.52,228.2,221.8,4961713.0
2022-12-28,2371,225.8,224.8,227.32,222.01,4379105.0
2022-12-29,2371,225.28,227.64,231.33,223.93,6216923.0
2022-12-30,2371,230.2,225.3,230.79,224.25,4369320.0
2023-01-03,2371,224.01,230.3,231.0,222.06,6217311.0
2023-01-04,2371,230.35,226.3,234.98,225.16,8166793.0
2023-01-05,2371,226.0,228.31,229.96,224.0,6207914.0
2023-01-06,2371,226.95,228.32,231.1,225.1,6298644.0
2023-01-09,2371,229.0,229.4,233.0,226.5,6965500.0
2023-01-10,2371,229.4,230.5,234.66,228.5,8716006.0
2023-01-11,2371,234.5,228.9,240.0,228.3,11612296.0
2023-01-12,2371,231.1,225.61,231.28,223.99,6019060.0
2023-01-13,2371,226.32,227.11,227.28,224.05,4362495.0
2023-01-16,2371,225.0,236.0,238.88,224.16,12386263.0
2023-01-17,2371,235.87,242.56,243.93,235.0,9480354.0
2023-01-18,2371,242.58,239.2,244.0,238.07,4930266.0
2023-01-19,2371,238.9,245.66,245.88,238.0,6496646.0
2023-01-20,2371,245.0,245.69,247.3,242.16,5825476.0
2023-01-30,2371,247.52,244.13,248.8,243.5,8301575.0
2023-01-31,2371,243.0,234.29,244.97,233.7,11579380.0
2023-02-01,2371,234.3,238.16,238.87,234.3,7443547.0
2023-02-02,2371,242.63,255.59,261.18,241.99,19722630.0
2023-02-03,2371,253.0,252.81,256.0,249.61,8156972.0
2023-02-06,2371,254.0,254.0,257.58,249.11,8146902.0
2023-02-07,2371,254.6,249.64,254.8,247.17,7359676.0
2023-02-08,2371,248.42,244.96,252.0,244.16,6444339.0
2023-02-09,2371,243.0,253.2,253.5,241.38,9549178.0
2023-02-10,2371,251.33,248.49,253.78,245.08,7275433.0
2023-02-13,2371,244.0,252.29,253.0,240.7,8116531.0
2023-02-14,2371,251.5,248.26,260.55,245.11,8961537.0
2023-02-15,2371,250.0,255.93,257.0,246.16,8512494.0
2023-02-16,2371,254.11,251.1,261.9,250.0,9113838.0
2023-02-17,2371,250.0,238.04,250.96,236.78,12483707.0
2023-02-20,2371,236.48,239.07,239.83,234.0,6625577.0
2023-02-21,2371,238.45,239.05,241.46,236.33,4427999.0
2023-02-22,2371,236.96,240.91,243.5,236.61,5364374.0
2023-02-23,2371,239.0,240.1,242.3,237.56,4022002.0
