date,code,open,close,high,low,volume
2022-11-23,002382,8.88,8.53,8.95,8.45,20601581
2022-11-24,002382,8.55,8.7,8.77,8.53,12471415
2022-11-25,002382,8.69,8.59,8.7,8.44,9407987
2022-11-28,002382,8.59,8.5,8.73,8.44,11945312
2022-11-29,002382,8.51,8.84,8.88,8.51,18333175
2022-11-30,002382,9.72,9.72,9.72,9.47,50159402
2022-12-01,002382,9.8,9.4,9.9,9.3,71414594
2022-12-02,002382,9.46,9.41,9.57,9.32,31366477
2022-12-05,002382,9.43,9.21,9.49,9.17,29172771
2022-12-06,002382,9.19,9.08,9.26,9.04,20011665
2022-12-07,002382,9.08,9.16,9.17,8.92,18950261
2022-12-08,002382,9.09,8.89,9.2,8.88,27686430
2022-12-09,002382,8.89,9.2,9.28,8.84,50050762
2022-12-12,002382,9.22,9.28,9.55,9.18,43764882
2022-12-13,002382,9.29,9.17,9.32,9.06,25589672
2022-12-14,002382,9.26,8.87,9.26,8.86,23926385
2022-12-15,002382,8.88,8.68,8.96,8.64,19225305
2022-12-16,002382,8.64,8.67,8.73,8.59,14481355
2022-12-19,002382,8.7,8.28,8.73,8.26,20406470
2022-12-20,002382,8.28,8.18,8.31,8.1,9641803
2022-12-21,002382,8.23,8.04,8.23,7.98,10488863
2022-12-22,002382,8.04,7.88,8.11,7.86,9525713
2022-12-23,002382,7.85,7.98,7.99,7.82,7287860
2022-12-26,002382,7.99,8.03,8.08,7.95,8166226
2022-12-27,002382,8.0,7.85,8.01,7.81,10960195
2022-12-28,002382,7.83,7.8,7.89,7.77,7793072
2022-12-29,002382,7.83,7.79,7.89,7.76,6322093
2022-12-30,002382,7.81,7.79,7.84,7.73,4758764
2023-01-03,002382,7.8,7.97,7.97,7.8,7562290
2023-01-04,002382,7.99,8.05,8.08,7.92,8214307
2023-01-05,002382,8.07,8.07,8.1,7.98,6726102
2023-01-06,002382,8.06,7.98,8.08,7.96,8271324
2023-01-09,002382,7.96,7.91,8.01,7.91,7243396
2023-01-10,002382,7.92,7.89,7.93,7.86,4440430
2023-01-11,002382,7.89,7.81,7.93,7.8,5605742
2023-01-12,002382,7.86,7.95,7.98,7.74,9652005
2023-01-13,002382,7.9,7.94,8.01,7.89,6262573
2023-01-16,002382,7.94,8.08,8.15,7.94,10759021
2023-01-17,002382,8.08,8.02,8.1,8.0,5401720
2023-01-18,002382,8.0,8.01,8.05,8.0,4128774
2023-01-19,002382,8.02,8.06,8.1,7.98,6000882
2023-01-20,002382,8.09,8.1,8.16,8.05,8497856
2023-01-30,002382,8.13,8.17,8.2,8.12,9537907
2023-01-31,002382,8.14,8.1,8.16,8.02,8985356
2023-02-01,002382,8.11,8.21,8.22,8.1,8607087
2023-02-02,002382,8.22,8.26,8.28,8.19,7883176
2023-02-03,002382,8.24,8.24,8.33,8.13,9679700
2023-02-06,002382,8.19,8.13,8.23,8.11,7353882
2023-02-07,002382,8.14,8.21,8.23,8.14,7692846
2023-02-08,002382,8.22,8.18,8.3,8.18,8144380
2023-02-09,002382,8.17,8.2,8.21,8.15,6585573
2023-02-10,002382,8.21,8.22,8.27,8.17,7487002
2023-02-13,002382,8.28,8.23,8.28,8.22,7719971
2023-02-14,002382,8.24,8.38,8.38,8.22,13954853
2023-02-15,002382,8.35,8.32,8.38,8.29,7964716
2023-02-16,002382,8.31,8.26,8.46,8.21,15487797
2023-02-17,002382,8.29,8.32,8.41,8.28,10494481
2023-02-20,002382,8.32,8.33,8.35,8.21,8803000
2023-02-21,002382,8.33,8.36,8.41,8.29,8389470
2023-02-22,002382,8.33,8.34,8.38,8.28,6483128
2023-02-23,002382,8.33,8.3,8.39,8.25,7431322
2023-02-24,002382,8.3,8.26,8.34,8.24,5481647
2023-02-27,002382,8.25,8.1,8.28,8.07,9532412
2023-02-28,002382,8.14,8.26,8.27,8.1,8606437
2023-03-01,002382,8.27,8.27,8.28,8.21,6314951
2023-03-02,002382,8.26,8.22,8.28,8.2,6780382
2023-03-03,002382,8.22,8.19,8.27,8.18,5972586
2023-03-06,002382,8.21,8.2,8.25,8.18,6123248
2023-03-07,002382,8.22,8.26,8.43,8.2,18300203
2023-03-08,002382,8.25,8.19,8.26,8.13,9908776
2023-03-09,002382,8.19,8.11,8.2,8.07,9259830
2023-03-10,002382,8.1,8.03,8.11,7.99,7464999
2023-03-13,002382,7.98,8.02,8.03,7.91,7890315
2023-03-14,002382,7.98,7.92,8.06,7.84,7561529
2023-03-15,002382,7.95,7.98,8.06,7.92,6781985
2023-03-16,002382,7.97,7.91,8.03,7.88,5805866
2023-03-17,002382,8.0,7.93,8.02,7.89,6175044
2023-03-20,002382,7.92,7.81,7.94,7.8,7491123
2023-03-21,002382,7.82,7.85,7.9,7.82,5190109
2023-03-22,002382,7.83,7.91,7.92,7.83,6439717
2023-03-23,002382,7.91,7.9,7.91,7.84,5382904
2023-03-24,002382,7.91,7.93,7.98,7.89,6671014
2023-03-27,002382,7.94,7.98,8.01,7.87,8091113
2023-03-28,002382,7.99,8.01,8.04,7.95,6544283
2023-03-29,002382,8.01,7.89,8.03,7.84,7243334
2023-03-30,002382,7.9,7.84,7.9,7.74,8386640
2023-03-31,002382,7.85,7.87,7.89,7.82,4689171
2023-04-03,002382,7.89,7.9,7.95,7.87,6024174
2023-04-04,002382,7.93,7.85,7.93,7.83,6144930
2023-04-06,002382,7.86,7.81,7.86,7.8,5006700
2023-04-07,002382,7.82,7.94,7.97,7.81,8889047
2023-04-10,002382,7.96,7.86,8.0,7.85,6118974
2023-04-11,002382,7.88,7.78,7.88,7.74,8138496
2023-04-12,002382,7.81,7.77,7.83,7.75,5385800
2023-04-13,002382,7.76,7.91,7.95,7.73,11188989
2023-04-14,002382,7.9,7.93,8.03,7.88,8545549
2023-04-17,002382,7.94,7.9,7.95,7.85,5162056
2023-04-18,002382,7.89,7.82,7.9,7.81,5375534
2023-04-19,002382,7.81,7.76,7.81,7.75,6773409
2023-04-20,002382,7.79,7.62,7.79,7.61,9486625
2023-04-21,002382,7.65,7.47,7.67,7.46,8266824
2023-04-24,002382,7.55,7.61,7.69,7.49,7497591
2023-04-25,002382,7.57,7.36,7.58,7.31,9446346
2023-04-26,002382,7.33,7.41,7.45,7.33,4677916
2023-04-27,002382,7.45,7.6,7.69,7.42,8367587
2023-04-28,002382,7.6,7.63,7.66,7.54,6689222
2023-05-04,002382,7.65,7.69,7.74,7.59,7229599
2023-05-05,002382,7.72,7.7,7.72,7.59,6828249
2023-05-08,002382,7.73,7.73,7.76,7.64,6838968
2023-05-09,002382,7.72,7.6,7.72,7.6,8260453
2023-05-10,002382,7.58,7.63,7.65,7.56,5294156
2023-05-11,002382,7.64,7.63,7.69,7.59,5184245
2023-05-12,002382,7.63,7.56,7.68,7.55,5758390
2023-05-15,002382,7.56,7.52,7.6,7.42,6630049
2023-05-16,002382,7.52,7.46,7.53,7.44,5040072
2023-05-17,002382,7.46,7.47,7.48,7.39,4509803
2023-05-18,002382,7.47,7.44,7.49,7.39,6487132
2023-05-19,002382,7.42,7.57,7.58,7.39,6999365
2023-05-22,002382,7.54,7.6,7.62,7.54,4924056
2023-05-23,002382,7.64,7.73,7.83,7.59,12903475
2023-05-24,002382,7.76,7.77,7.81,7.71,7541294
2023-05-25,002382,7.74,7.71,7.76,7.64,6416817
2023-05-26,002382,7.72,7.8,7.81,7.68,6436554
2023-05-29,002382,7.82,7.87,7.94,7.78,8863652
2023-05-30,002382,7.92,7.8,7.92,7.7,7822095
2023-05-31,002382,7.51,7.48,7.62,7.43,10233037
2023-06-01,002382,7.44,7.38,7.48,7.36,6505342
2023-06-02,002382,7.42,7.36,7.43,7.31,6582917
2023-06-05,002382,7.37,7.31,7.38,7.29,6709200
2023-06-06,002382,7.34,7.14,7.35,7.12,7552800
2023-06-07,002382,7.15,7.14,7.2,7.1,4493026
2023-06-08,002382,7.12,7.11,7.14,7.06,4205959
2023-06-09,002382,7.11,7.14,7.15,7.07,5215285
2023-06-12,002382,7.12,7.11,7.14,7.08,5334873
2023-06-13,002382,7.12,7.12,7.17,7.08,6009574
2023-06-14,002382,7.14,7.12,7.15,7.1,4758760
2023-06-15,002382,7.12,7.16,7.16,7.09,4625738
2023-06-16,002382,7.16,7.22,7.27,7.14,6361762
2023-06-19,002382,7.24,7.14,7.24,7.13,4254300
2023-06-20,002382,7.14,7.11,7.15,7.09,3376348
2023-06-21,002382,7.09,7.03,7.1,7.02,5583975
2023-06-26,002382,7.01,7.0,7.11,6.96,5019000
2023-06-27,002382,7.0,7.08,7.11,6.98,4071800
2023-06-28,002382,7.1,7.11,7.16,7.01,3820000
2023-06-29,002382,7.08,7.15,7.17,7.07,4382328
2023-06-30,002382,7.15,7.18,7.21,7.13,4728498
2023-07-03,002382,7.2,7.19,7.21,7.16,4598037
2023-07-04,002382,7.18,7.2,7.21,7.14,5289500
2023-07-05,002382,7.18,7.18,7.21,7.16,3557213
2023-07-06,002382,7.19,7.14,7.19,7.13,3228560
2023-07-07,002382,7.13,7.15,7.19,7.11,2481228
2023-07-10,002382,7.19,7.19,7.21,7.15,3377870
2023-07-11,002382,7.2,7.21,7.22,7.17,3476146
2023-07-12,002382,7.22,7.13,7.23,7.12,4808575
2023-07-13,002382,7.12,7.18,7.2,7.12,3116100
2023-07-14,002382,7.17,7.17,7.2,7.15,2866843
2023-07-17,002382,7.12,7.03,7.13,7.01,8316056
2023-07-18,002382,7.03,7.04,7.05,7.0,4631532
2023-07-19,002382,7.01,7.04,7.07,7.0,5623463
2023-07-20,002382,7.05,7.0,7.06,6.98,4295308
2023-07-21,002382,7.0,7.07,7.1,6.98,5461094
2023-07-24,002382,7.1,7.07,7.11,7.05,3526716
2023-07-25,002382,7.11,7.14,7.14,7.08,6768421
2023-07-26,002382,7.13,7.13,7.18,7.1,4762856
2023-07-27,002382,7.14,7.11,7.17,7.11,4862300
2023-07-28,002382,7.11,7.19,7.19,7.08,5325356
2023-07-31,002382,7.23,7.24,7.3,7.2,6908710
2023-08-01,002382,7.25,7.23,7.28,7.21,5342656
2023-08-02,002382,7.21,7.2,7.22,7.18,5049000
2023-08-03,002382,7.21,7.27,7.27,7.19,4474000
2023-08-04,002382,7.27,7.24,7.3,7.23,5956161
2023-08-07,002382,7.22,7.1,7.24,7.07,6639940
2023-08-08,002382,7.07,7.12,7.17,7.04,4578018
2023-08-09,002382,7.12,7.16,7.2,7.09,5318300
2023-08-10,002382,7.16,7.16,7.18,7.11,3999200
2023-08-11,002382,7.16,7.1,7.21,7.1,5415468
2023-08-14,002382,7.09,6.86,7.14,6.71,26863070
2023-08-15,002382,6.81,6.83,6.91,6.72,11684527
2023-08-16,002382,6.82,6.87,7.01,6.79,8728174
2023-08-17,002382,6.85,6.83,6.89,6.76,5791614
2023-08-18,002382,6.85,6.72,6.85,6.7,7202100
2023-08-21,002382,6.69,6.65,6.76,6.64,6234605
2023-08-22,002382,6.65,6.55,6.7,6.47,11012295
2023-08-23,002382,6.52,6.49,6.57,6.46,4274703
2023-08-24,002382,6.5,6.47,6.55,6.42,4921971
2023-08-25,002382,6.46,6.44,6.58,6.4,6931856
2023-08-28,002382,6.7,6.46,6.74,6.45,10827035
2023-08-29,002382,6.49,6.6,6.6,6.43,7651411
2023-08-30,002382,6.6,6.61,6.66,6.55,5529100
2023-08-31,002382,6.56,6.61,6.65,6.49,6653586
2023-09-01,002382,6.61,6.64,6.66,6.57,4546470
2023-09-04,002382,6.66,6.68,6.68,6.63,4297800
2023-09-05,002382,6.67,6.63,6.68,6.61,3386500
2023-09-06,002382,6.62,6.63,6.65,6.57,2794607
2023-09-07,002382,6.62,6.52,6.62,6.51,5111858
2023-09-08,002382,6.49,6.52,6.54,6.49,3078500
2023-09-11,002382,6.51,6.69,6.72,6.51,7886500
2023-09-12,002382,6.68,6.7,6.73,6.65,3914300
2023-09-13,002382,6.7,6.63,6.7,6.59,3525800
2023-09-14,002382,6.63,6.63,6.66,6.6,3790600
2023-09-15,002382,6.63,6.77,6.82,6.63,9869491
2023-09-18,002382,6.76,6.8,6.82,6.73,5113785
