date,code,open,close,high,low,volume
2022-11-23,002422,24.19,23.77,24.2,23.22,14533230
2022-11-24,002422,23.71,23.88,24.02,23.53,10751142
2022-11-25,002422,23.65,23.33,23.93,23.13,13073565
2022-11-28,002422,23.0,23.38,23.45,22.98,13681234
2022-11-29,002422,23.36,23.78,23.97,23.23,10900911
2022-11-30,002422,23.78,23.58,24.1,23.28,11568700
2022-12-01,002422,23.71,23.7,24.06,23.43,12747694
2022-12-02,002422,23.59,23.8,23.93,23.56,6195549
2022-12-05,002422,23.85,23.52,23.98,23.35,12336649
2022-12-06,002422,23.52,23.21,23.8,23.03,15474886
2022-12-07,002422,23.78,24.12,24.43,23.22,24544777
2022-12-08,002422,24.35,23.61,24.36,23.22,22518398
2022-12-09,002422,23.43,23.47,23.74,23.3,14031776
2022-12-12,002422,23.5,24.14,24.35,23.45,19590464
2022-12-13,002422,24.32,23.71,24.37,23.55,14057609
2022-12-14,002422,23.91,23.07,24.0,22.95,16586852
2022-12-15,002422,23.09,22.76,23.24,22.72,13445402
2022-12-16,002422,22.77,23.2,23.27,22.77,11962617
2022-12-19,002422,23.12,22.48,23.28,22.41,13646396
2022-12-20,002422,22.4,22.37,22.62,22.01,10105198
2022-12-21,002422,22.47,22.21,22.63,21.99,7236662
2022-12-22,002422,22.24,21.8,22.35,21.69,10162145
2022-12-23,002422,23.98,23.98,23.98,23.98,8283122
2022-12-26,002422,24.5,25.49,26.11,24.1,61615244
2022-12-27,002422,25.56,25.03,25.74,24.7,29601372
2022-12-28,002422,25.42,25.55,26.16,25.08,25574040
2022-12-29,002422,25.26,26.8,26.81,25.26,34528622
2022-12-30,002422,26.53,26.61,26.95,26.38,25870014
2023-01-03,002422,26.61,26.39,26.77,26.3,22968095
2023-01-04,002422,26.35,27.44,27.67,26.31,37046549
2023-01-05,002422,27.41,28.4,28.76,27.35,31323318
2023-01-06,002422,28.3,28.12,28.5,27.83,19141897
2023-01-09,002422,28.36,28.59,29.08,28.04,20600165
2023-01-10,002422,28.58,28.33,28.79,27.91,19813745
2023-01-11,002422,28.31,27.98,28.48,27.9,12386013
2023-01-12,002422,28.0,27.96,28.34,27.77,13547381
2023-01-13,002422,28.08,28.8,28.8,27.64,22765765
2023-01-16,002422,28.06,27.5,28.39,27.33,43445283
2023-01-17,002422,27.8,27.4,27.8,27.01,17348991
2023-01-18,002422,27.28,27.49,27.53,27.18,10217237
2023-01-19,002422,27.48,28.11,28.38,27.31,20307231
2023-01-20,002422,28.01,27.81,28.45,27.7,13166877
2023-01-30,002422,28.09,27.19,28.2,26.95,24288617
2023-01-31,002422,27.27,27.17,27.57,27.04,15313584
2023-02-01,002422,27.09,27.16,27.39,26.65,17000332
2023-02-02,002422,27.25,28.22,28.77,27.16,26923452
2023-02-03,002422,28.2,29.2,29.36,28.09,29426376
2023-02-06,002422,29.0,29.41,30.18,29.0,28958862
2023-02-07,002422,29.11,28.91,29.63,28.86,17991053
2023-02-08,002422,28.91,30.11,30.39,28.65,27094133
2023-02-09,002422,30.19,30.19,30.61,29.96,16852680
2023-02-10,002422,30.03,29.96,30.57,29.55,15939074
2023-02-13,002422,29.82,29.71,30.99,29.65,19885340
2023-02-14,002422,30.0,30.1,30.32,29.55,12843238
2023-02-15,002422,30.43,29.2,30.43,29.0,19283453
2023-02-16,002422,29.34,28.9,29.48,28.74,13074806
2023-02-17,002422,28.95,28.85,29.18,28.61,13055669
2023-02-20,002422,28.86,29.32,29.44,28.2,16892643
2023-02-21,002422,29.33,29.3,29.34,28.91,7870032
2023-02-22,002422,29.17,29.04,29.87,29.0,12005892
2023-02-23,002422,28.91,28.76,29.22,28.65,7053860
2023-02-24,002422,28.88,28.48,28.88,28.36,7926247
2023-02-27,002422,28.5,28.55,28.89,28.36,8832905
2023-02-28,002422,28.55,28.87,29.42,28.5,12510585
2023-03-01,002422,28.7,28.62,29.09,28.05,13161203
2023-03-02,002422,28.53,28.25,28.53,28.02,8976857
2023-03-03,002422,28.25,28.06,28.41,27.88,7852409
2023-03-06,002422,28.11,28.5,28.6,27.8,13861753
2023-03-07,002422,28.48,27.8,28.73,27.77,13023203
2023-03-08,002422,27.63,27.5,28.03,27.37,12745458
2023-03-09,002422,27.64,27.32,27.73,27.24,10241350
2023-03-10,002422,27.32,27.22,27.59,27.11,12161712
2023-03-13,002422,27.0,27.64,27.99,26.85,14608740
2023-03-14,002422,27.82,27.5,28.8,27.5,18063332
2023-03-15,002422,27.55,27.96,28.26,27.55,11352590
2023-03-16,002422,27.85,28.08,28.72,27.85,12487907
2023-03-17,002422,28.11,27.54,28.32,27.38,13810944
2023-03-20,002422,27.44,26.75,27.53,26.59,18413480
2023-03-21,002422,26.99,27.97,28.1,26.9,16784850
2023-03-22,002422,27.9,27.81,28.29,27.69,9143527
2023-03-23,002422,27.76,27.08,27.8,26.78,16401060
2023-03-24,002422,27.17,26.68,27.43,26.49,13110960
2023-03-27,002422,26.68,26.7,27.05,26.32,8616518
2023-03-28,002422,26.8,28.08,28.58,26.72,23878279
2023-03-29,002422,28.05,27.59,28.08,27.39,14004048
2023-03-30,002422,27.8,27.88,28.07,27.54,11585159
2023-03-31,002422,28.06,28.42,28.65,27.9,14617182
2023-04-03,002422,28.4,26.69,28.4,26.5,36443869
2023-04-04,002422,26.79,26.7,27.27,26.62,17010443
2023-04-06,002422,26.8,26.92,27.4,26.7,10772406
2023-04-07,002422,27.23,28.79,29.19,27.18,30194902
2023-04-10,002422,28.9,29.79,30.0,28.9,25021801
2023-04-11,002422,29.4,29.43,29.59,28.98,18098178
2023-04-12,002422,29.36,29.53,30.03,29.3,13944492
