date,code,open,close,high,low,volume
2022-11-16,002527,6.58,6.57,6.71,6.55,7187838
2022-11-17,002527,6.53,6.58,6.59,6.5,5600380
2022-11-18,002527,6.59,6.63,6.74,6.56,8211536
2022-11-21,002527,6.59,6.71,6.74,6.55,6471089
2022-11-22,002527,6.71,6.55,6.8,6.51,7695300
2022-11-23,002527,6.53,6.47,6.57,6.34,7770227
2022-11-24,002527,6.51,6.47,6.53,6.42,4189738
2022-11-25,002527,6.47,6.35,6.47,6.32,4883037
2022-11-28,002527,6.31,6.27,6.31,6.19,4344145
2022-11-29,002527,6.28,6.41,6.43,6.28,4083100
2022-11-30,002527,6.43,6.36,6.44,6.34,3659976
2022-12-01,002527,6.38,6.39,6.45,6.37,4001515
2022-12-02,002527,6.39,6.51,6.51,6.37,6480806
2022-12-05,002527,6.54,6.53,6.57,6.47,5159311
2022-12-06,002527,6.5,6.51,6.55,6.47,4581400
2022-12-07,002527,6.52,6.41,6.52,6.39,5053893
2022-12-08,002527,6.45,6.35,6.45,6.32,3946800
2022-12-09,002527,6.34,6.29,6.39,6.27,4276783
2022-12-12,002527,6.27,6.33,6.4,6.26,4948230
2022-12-13,002527,6.31,6.19,6.37,6.18,5529185
2022-12-14,002527,6.24,6.42,6.81,6.21,18035803
2022-12-15,002527,6.33,6.82,6.98,6.33,31192577
2022-12-16,002527,6.63,6.89,6.98,6.63,26156059
2022-12-19,002527,6.95,6.88,7.09,6.7,27825984
2022-12-20,002527,6.93,6.68,6.95,6.58,20840550
2022-12-21,002527,6.7,6.6,6.85,6.53,15116668
2022-12-22,002527,6.64,6.23,6.64,6.19,16902265
2022-12-23,002527,6.19,6.53,6.72,6.16,21154539
2022-12-26,002527,6.45,6.48,6.55,6.15,16639090
2022-12-27,002527,6.52,6.39,6.65,6.32,12426989
2022-12-28,002527,6.31,6.2,6.39,6.18,9581765
2022-12-29,002527,6.17,6.1,6.2,6.06,7028595
2022-12-30,002527,6.14,6.1,6.16,6.06,4723345
2023-01-03,002527,6.11,6.26,6.28,6.08,6217586
2023-01-04,002527,6.27,6.46,6.5,6.21,11652283
2023-01-05,002527,6.41,6.44,6.51,6.36,7603009
2023-01-06,002527,6.38,6.5,6.6,6.37,11407199
2023-01-09,002527,6.48,6.51,6.64,6.47,7141324
2023-01-10,002527,6.49,6.41,6.51,6.39,5220439
2023-01-11,002527,6.49,6.29,6.49,6.29,4929847
2023-01-12,002527,6.28,6.36,6.46,6.28,4076919
2023-01-13,002527,6.35,6.32,6.36,6.28,3617612
2023-01-16,002527,6.39,6.36,6.41,6.31,7630448
2023-01-17,002527,6.37,6.38,6.44,6.31,5174680
2023-01-18,002527,6.38,6.69,6.82,6.37,18051229
2023-01-19,002527,6.7,6.63,6.7,6.55,10671124
2023-01-20,002527,6.98,6.77,7.14,6.74,24757901
2023-01-30,002527,6.55,6.7,6.78,6.51,29358741
2023-01-31,002527,6.65,7.37,7.37,6.65,21993366
2023-02-01,002527,7.51,7.79,8.11,7.44,96912585
2023-02-02,002527,7.55,7.59,7.65,7.38,53848159
2023-02-03,002527,7.49,7.6,7.82,7.44,42197085
2023-02-06,002527,7.53,7.86,7.87,7.38,43519940
2023-02-07,002527,7.7,7.78,7.92,7.58,37673004
2023-02-08,002527,7.75,7.63,7.78,7.58,22070069
2023-02-09,002527,7.6,7.67,7.7,7.55,19327980
2023-02-10,002527,7.62,7.65,7.8,7.58,17861427
2023-02-13,002527,7.6,7.64,7.69,7.56,14839448
2023-02-14,002527,7.64,7.57,7.68,7.52,15598458
2023-02-15,002527,7.56,7.56,7.63,7.53,11389037
2023-02-16,002527,7.55,7.18,7.56,7.1,27328564
2023-02-17,002527,7.2,7.15,7.34,7.12,12977567
2023-02-20,002527,7.15,7.19,7.2,7.07,11217329
2023-02-21,002527,7.18,7.22,7.28,7.14,9550822
2023-02-22,002527,7.18,7.15,7.24,7.13,6387290
2023-02-23,002527,7.17,7.14,7.18,7.08,7555635
2023-02-24,002527,7.14,7.1,7.14,7.0,6440531
2023-02-27,002527,7.1,7.0,7.17,6.99,9891954
2023-02-28,002527,7.01,7.06,7.08,6.96,6664124
2023-03-01,002527,7.03,7.08,7.1,7.02,8238180
2023-03-02,002527,7.18,7.39,7.53,7.12,38612847
2023-03-03,002527,7.34,7.24,7.37,7.15,21574175
2023-03-06,002527,7.23,7.25,7.31,7.15,11778279
2023-03-07,002527,7.23,6.91,7.23,6.9,15115966
2023-03-08,002527,6.89,7.02,7.06,6.86,7645764
2023-03-09,002527,7.05,7.02,7.08,6.96,5789529
2023-03-10,002527,6.94,6.99,7.04,6.91,6390046
2023-03-13,002527,6.95,7.06,7.1,6.85,9556465
2023-03-14,002527,7.09,6.81,7.09,6.75,11356745
2023-03-15,002527,7.0,7.09,7.37,6.91,21111076
2023-03-16,002527,7.39,7.12,7.48,7.11,24483330
2023-03-17,002527,7.15,7.06,7.2,7.01,16771449
2023-03-20,002527,7.02,6.89,7.06,6.87,11257640
2023-03-21,002527,6.94,7.0,7.01,6.86,8174543
2023-03-22,002527,6.95,7.04,7.04,6.94,7570209
2023-03-23,002527,7.06,7.04,7.06,6.97,6074716
2023-03-24,002527,7.07,7.3,7.36,7.05,25561645
2023-03-27,002527,7.39,7.52,7.79,7.31,36015495
2023-03-28,002527,7.54,7.53,7.95,7.52,32569696
2023-03-29,002527,7.52,7.37,7.61,7.34,18306387
2023-03-30,002527,7.36,7.15,7.42,7.1,16377525
2023-03-31,002527,7.16,7.28,7.32,7.16,9707458
2023-04-03,002527,7.36,7.26,7.36,7.13,15060894
2023-04-04,002527,7.29,7.17,7.33,7.1,11817975
2023-04-06,002527,7.11,7.13,7.16,6.98,13993859
2023-04-07,002527,7.13,7.16,7.18,7.06,8168604
2023-04-10,002527,7.2,7.01,7.26,6.99,12241024
2023-04-11,002527,7.02,6.99,7.07,6.92,8093987
2023-04-12,002527,6.99,7.24,7.29,6.96,14477182
2023-04-13,002527,7.19,6.95,7.22,6.93,14807059
2023-04-14,002527,6.99,7.04,7.13,6.98,7562929
2023-04-17,002527,7.05,7.04,7.2,7.01,8656901
2023-04-18,002527,7.02,6.86,7.05,6.85,9452501
2023-04-19,002527,6.86,6.8,6.89,6.77,5664101
2023-04-20,002527,6.81,6.68,6.85,6.6,8429801
2023-04-21,002527,6.67,6.47,6.68,6.46,8275398
2023-04-24,002527,6.47,6.43,6.55,6.38,4352713
2023-04-25,002527,6.54,6.19,6.54,6.12,7878594
2023-04-26,002527,6.16,6.27,6.33,6.11,6202844
2023-04-27,002527,6.28,6.21,6.32,6.18,4445775
2023-04-28,002527,6.19,6.4,6.41,6.19,4885553
2023-05-04,002527,6.78,7.04,7.04,6.71,16073493
2023-05-05,002527,7.47,7.27,7.59,7.23,56461708
2023-05-08,002527,7.22,7.28,7.45,7.21,31267797
2023-05-09,002527,7.22,7.03,7.35,7.03,21884974
2023-05-10,002527,7.15,7.29,7.35,6.97,19661933
2023-05-11,002527,7.21,7.34,7.38,7.18,14850840
2023-05-12,002527,7.31,7.23,7.35,7.2,11473443
2023-05-15,002527,7.23,7.27,7.31,7.16,9288201
2023-05-16,002527,7.28,7.3,7.45,7.21,15009367
2023-05-17,002527,7.31,7.5,7.53,7.24,21047512
2023-05-18,002527,7.53,7.86,8.2,7.47,56516294
2023-05-19,002527,7.83,8.02,8.18,7.83,52329272
2023-05-22,002527,7.94,8.14,8.26,7.91,41703742
2023-05-23,002527,8.02,8.1,8.34,7.94,36740858
2023-05-24,002527,7.95,8.08,8.16,7.74,32852041
2023-05-25,002527,8.11,8.17,8.32,7.95,36581692
2023-05-26,002527,8.11,8.16,8.17,7.88,29499838
2023-05-29,002527,8.19,8.02,8.3,7.97,19811567
2023-05-30,002527,7.93,8.05,8.06,7.87,15750389
2023-05-31,002527,7.98,8.01,8.19,7.9,18466493
2023-06-01,002527,7.96,8.03,8.09,7.87,14885935
2023-06-02,002527,8.08,7.83,8.08,7.8,18407175
2023-06-05,002527,7.84,7.81,7.91,7.78,10214105
2023-06-06,002527,7.81,7.55,7.81,7.52,14599856
2023-06-07,002527,7.61,7.69,7.76,7.54,11273457
2023-06-08,002527,7.69,7.57,7.76,7.52,9743026
2023-06-09,002527,7.59,7.68,7.8,7.59,11151439
2023-06-12,002527,7.74,8.08,8.14,7.68,19462060
2023-06-13,002527,8.06,8.08,8.15,7.95,14803580
2023-06-14,002527,8.0,8.26,8.32,7.97,18118461
2023-06-15,002527,8.2,9.09,9.09,8.14,26267925
