date,code,open,close,high,low,volume
2022-11-23,002594,250.49,251.5,251.5,247.2,8846881
2022-11-24,002594,253.35,249.39,255.0,248.28,8531406
2022-11-25,002594,249.0,245.05,249.0,245.0,8782164
2022-11-28,002594,240.0,245.11,245.13,237.22,9910928
2022-11-29,002594,246.28,248.3,249.68,243.0,12358078
2022-11-30,002594,248.36,259.52,260.0,246.48,21287338
2022-12-01,002594,268.0,266.66,270.95,264.92,25798585
2022-12-02,002594,264.92,262.08,267.57,260.48,11607538
2022-12-05,002594,265.95,263.36,267.59,261.9,10523309
2022-12-06,002594,260.55,267.6,271.63,260.01,12300679
2022-12-07,002594,267.65,273.74,278.28,267.65,19266593
2022-12-08,002594,273.75,274.29,275.0,270.87,9458065
2022-12-09,002594,275.48,274.7,277.7,271.45,10099232
2022-12-12,002594,271.96,269.88,273.47,268.0,8012821
2022-12-13,002594,272.0,269.8,275.0,269.5,6138433
2022-12-14,002594,269.41,266.4,269.44,263.6,9436462
2022-12-15,002594,266.33,271.46,272.28,263.51,9712345
2022-12-16,002594,270.07,270.51,271.37,267.55,5619664
2022-12-19,002594,268.99,266.5,275.0,265.61,8403891
2022-12-20,002594,265.9,261.6,265.9,258.68,8490821
2022-12-21,002594,261.58,260.8,262.85,259.6,4196630
2022-12-22,002594,263.0,259.19,263.5,258.51,5920995
2022-12-23,002594,256.1,252.18,256.4,250.5,9081868
2022-12-26,002594,252.2,262.42,263.5,252.19,9354753
2022-12-27,002594,263.46,262.12,263.98,259.8,5553654
2022-12-28,002594,257.5,254.62,259.2,253.0,10256378
2022-12-29,002594,253.99,254.76,258.86,252.13,7225577
2022-12-30,002594,258.5,256.97,260.37,256.51,7488973
2023-01-03,002594,256.41,260.48,261.92,250.0,12137430
2023-01-04,002594,260.0,259.1,260.48,256.5,7267459
2023-01-05,002594,262.52,265.08,267.59,261.06,11893600
2023-01-06,002594,267.91,266.2,271.2,265.1,13885523
2023-01-09,002594,268.0,263.38,268.0,262.29,11416882
2023-01-10,002594,262.05,266.59,269.58,257.31,17351254
2023-01-11,002594,264.9,268.99,271.0,261.41,12836375
2023-01-12,002594,271.51,277.3,284.45,270.7,22347919
2023-01-13,002594,277.41,278.58,279.93,275.0,12841101
2023-01-16,002594,278.58,273.8,278.77,272.0,16499989
2023-01-17,002594,273.81,269.99,274.5,268.93,11166571
2023-01-18,002594,269.85,269.0,272.5,266.49,8610817
2023-01-19,002594,267.88,270.5,270.85,266.52,8123863
2023-01-20,002594,271.0,270.07,271.88,267.02,10464935
2023-01-30,002594,285.0,281.99,288.0,281.0,28185441
2023-01-31,002594,285.0,285.8,288.8,280.39,18711017
2023-02-01,002594,287.98,304.33,304.33,286.14,27298697
2023-02-02,002594,305.87,302.62,306.13,299.96,14802993
2023-02-03,002594,299.95,295.0,299.95,292.8,15294828
2023-02-06,002594,291.69,289.98,291.69,287.61,10044660
2023-02-07,002594,291.99,289.0,292.48,287.6,7683474
2023-02-08,002594,289.0,285.66,289.0,282.8,9290144
2023-02-09,002594,284.0,288.33,288.82,282.3,9064889
2023-02-10,002594,285.88,281.86,285.9,280.0,12970811
2023-02-13,002594,279.01,282.32,283.29,277.06,9346144
2023-02-14,002594,284.0,281.97,284.5,279.1,7364368
2023-02-15,002594,283.0,279.0,283.9,278.56,9083216
2023-02-16,002594,280.0,277.02,281.79,274.85,10334815
2023-02-17,002594,276.49,271.66,278.1,271.28,10099650
2023-02-20,002594,271.59,272.8,273.3,267.0,13070148
2023-02-21,002594,272.0,274.75,276.56,270.28,11369006
2023-02-22,002594,271.9,270.42,272.62,268.9,8508796
2023-02-23,002594,269.9,270.44,271.67,268.5,10035821
2023-02-24,002594,269.02,267.58,269.88,267.0,6686761
2023-02-27,002594,265.0,259.81,265.89,258.0,16970381
2023-02-28,002594,261.0,260.8,262.0,257.57,12033003
2023-03-01,002594,260.75,265.5,266.54,257.76,14365761
2023-03-02,002594,266.12,263.71,268.13,262.0,11490496
