date,code,open,close,high,low,volume
2022-11-23,002601,17.42,17.38,17.55,17.17,8031971
2022-11-24,002601,17.45,17.4,17.5,17.29,5673683
2022-11-25,002601,17.42,17.2,17.42,17.18,6730297
2022-11-28,002601,17.0,16.88,17.0,16.5,13411984
2022-11-29,002601,16.98,17.89,18.16,16.97,33348205
2022-11-30,002601,17.89,17.88,18.23,17.77,20382819
2022-12-01,002601,18.12,18.86,18.91,18.11,45412266
2022-12-02,002601,18.8,18.9,18.98,18.66,16616077
2022-12-05,002601,19.09,18.98,19.15,18.81,21299043
2022-12-06,002601,18.94,19.2,19.26,18.7,20141402
2022-12-07,002601,19.34,18.98,19.66,18.8,24748120
2022-12-08,002601,18.99,19.02,19.1,18.71,12038333
2022-12-09,002601,19.07,19.78,20.1,18.93,35669525
2022-12-12,002601,19.77,19.42,20.09,19.4,18746320
2022-12-13,002601,19.43,19.33,19.65,19.28,9579246
2022-12-14,002601,19.3,19.63,19.67,19.15,13299971
2022-12-15,002601,19.67,19.18,19.67,19.13,10013143
2022-12-16,002601,19.24,19.79,19.9,19.08,22092100
2022-12-19,002601,19.79,19.63,20.02,19.43,14437737
2022-12-20,002601,19.53,19.23,19.7,19.19,10054901
2022-12-21,002601,19.26,19.49,19.61,19.15,10775209
2022-12-22,002601,19.6,18.94,19.6,18.79,13191008
2022-12-23,002601,18.91,18.94,19.08,18.49,12026282
2022-12-26,002601,18.95,19.0,19.23,18.69,9657721
2022-12-27,002601,19.01,19.32,19.59,19.01,8527506
2022-12-28,002601,19.22,19.22,19.31,18.83,7085399
2022-12-29,002601,19.16,19.0,19.2,18.86,6264751
2022-12-30,002601,19.19,18.92,19.23,18.92,5569191
2023-01-03,002601,18.8,18.97,19.08,18.39,13889082
2023-01-04,002601,18.89,18.97,19.07,18.7,8450582
2023-01-05,002601,19.0,19.07,19.36,19.0,9358094
2023-01-06,002601,19.22,19.38,19.56,19.09,13274235
2023-01-09,002601,19.38,20.1,20.21,19.32,28627366
2023-01-10,002601,20.01,19.79,20.08,19.67,12843652
2023-01-11,002601,19.8,19.72,19.87,19.51,12602546
2023-01-12,002601,19.84,19.91,19.99,19.7,9024949
2023-01-13,002601,19.91,20.06,20.14,19.85,10533511
2023-01-16,002601,20.0,20.1,20.38,19.9,16409800
2023-01-17,002601,20.16,20.1,20.25,20.02,11099819
2023-01-18,002601,20.1,20.06,20.34,20.04,7146414
2023-01-19,002601,20.01,20.22,20.3,19.86,9972895
2023-01-20,002601,20.21,20.29,20.38,20.19,9789180
2023-01-30,002601,20.49,20.84,20.92,20.48,19591298
2023-01-31,002601,20.8,20.84,20.9,20.64,9678167
2023-02-01,002601,21.05,22.61,22.75,20.93,50222784
2023-02-02,002601,22.62,22.88,22.97,22.51,25243280
2023-02-03,002601,22.65,22.69,22.87,22.24,19938313
2023-02-06,002601,22.5,21.73,22.66,21.72,24727723
2023-02-07,002601,21.73,21.92,21.95,21.63,9228165
2023-02-08,002601,21.85,22.05,22.3,21.82,10847509
2023-02-09,002601,21.95,22.14,22.25,21.8,9955334
2023-02-10,002601,22.0,21.78,22.32,21.67,10618253
2023-02-13,002601,21.82,21.91,21.96,21.62,10147123
2023-02-14,002601,21.88,21.88,22.05,21.62,9627652
2023-02-15,002601,21.81,21.55,22.0,21.5,11784290
2023-02-16,002601,21.55,21.19,21.7,20.71,16209490
2023-02-17,002601,21.28,21.49,21.79,21.25,11258361
2023-02-20,002601,21.4,22.45,22.6,21.35,24246729
2023-02-21,002601,22.55,22.71,23.13,22.33,18368139
2023-02-22,002601,22.7,22.65,22.94,22.47,12278513
2023-02-23,002601,22.66,22.4,22.68,22.27,7342791
2023-02-24,002601,22.42,22.18,22.49,22.07,8221422
2023-02-27,002601,22.0,21.97,22.15,21.84,10022239
2023-02-28,002601,22.0,21.91,22.39,21.7,16956367
2023-03-01,002601,22.18,22.19,22.49,21.95,22158139
2023-03-02,002601,22.12,22.56,22.86,21.98,16994867
2023-03-03,002601,22.49,22.11,22.9,22.07,12061557
2023-03-06,002601,22.07,21.19,22.15,20.92,23663527
