date,code,open,close,high,low,volume
2022-11-23,002747,22.2,21.93,22.26,21.32,15688901
2022-11-24,002747,22.07,21.95,22.29,21.72,13592930
2022-11-25,002747,21.82,21.51,21.84,21.33,11982182
2022-11-28,002747,21.1,22.37,22.6,20.9,19529165
2022-11-29,002747,22.37,22.46,22.84,22.15,21027160
2022-11-30,002747,22.46,22.62,22.89,22.32,17946083
2022-12-01,002747,22.85,23.11,23.65,22.52,23775487
2022-12-02,002747,22.9,24.04,24.3,22.85,34134127
2022-12-05,002747,23.92,23.72,24.0,23.37,19057298
2022-12-06,002747,23.55,23.28,23.75,22.91,16864458
2022-12-07,002747,23.15,23.2,23.84,23.05,14110137
2022-12-08,002747,23.02,22.79,23.28,22.71,12796476
2022-12-09,002747,22.79,22.85,23.1,22.53,12751794
2022-12-12,002747,22.77,23.49,23.72,22.4,17569464
2022-12-13,002747,23.3,22.81,23.45,22.77,10228674
2022-12-14,002747,22.77,22.87,23.56,22.77,10481181
2022-12-15,002747,22.7,22.3,22.93,22.29,13695831
2022-12-16,002747,22.2,21.69,22.25,21.5,15468295
2022-12-19,002747,21.71,21.6,22.38,21.4,9778163
2022-12-20,002747,21.65,21.96,22.38,21.6,12749037
2022-12-21,002747,21.86,21.3,21.89,21.12,10489022
2022-12-22,002747,21.44,20.8,21.49,20.65,10449207
2022-12-23,002747,20.58,20.32,20.94,20.11,9447106
2022-12-26,002747,20.32,21.25,21.3,20.08,10578687
2022-12-27,002747,21.3,21.67,21.68,21.2,8510007
2022-12-28,002747,21.59,21.28,21.59,21.21,6538722
2022-12-29,002747,21.31,21.58,21.9,21.23,8471048
2022-12-30,002747,21.69,21.68,22.09,21.57,7485621
2023-01-03,002747,21.87,22.56,22.65,21.64,14868268
2023-01-04,002747,22.58,22.73,22.88,22.35,13066385
2023-01-05,002747,22.66,22.87,23.03,22.57,12678280
2023-01-06,002747,22.7,22.7,23.17,22.58,11920420
2023-01-09,002747,22.75,22.48,23.02,22.43,11321944
2023-01-10,002747,22.64,22.52,22.7,22.39,7934788
2023-01-11,002747,22.41,22.39,22.79,22.25,9039202
2023-01-12,002747,22.6,22.7,22.91,22.41,10373191
2023-01-13,002747,22.62,22.71,22.88,22.4,11080900
2023-01-16,002747,22.71,23.1,23.28,22.65,13786297
2023-01-17,002747,23.01,23.67,23.78,22.86,20128843
2023-01-18,002747,23.67,24.94,25.08,23.65,30013621
2023-01-19,002747,24.81,25.11,25.16,24.72,14848492
2023-01-20,002747,26.5,26.04,27.28,25.62,30528250
2023-01-30,002747,26.3,25.51,26.66,25.38,24480793
2023-01-31,002747,25.51,26.1,26.55,25.45,20358107
2023-02-01,002747,26.22,26.26,26.51,25.79,17240776
2023-02-02,002747,26.26,26.31,27.05,26.01,17424265
2023-02-03,002747,25.95,26.45,26.67,25.73,14035186
2023-02-06,002747,26.13,26.65,27.08,26.13,14409637
2023-02-07,002747,26.4,26.98,27.45,26.31,23322423
2023-02-08,002747,27.09,26.31,27.17,26.13,17198627
2023-02-09,002747,26.3,26.93,27.0,26.16,14134109
2023-02-10,002747,26.9,26.51,27.0,26.26,9070109
2023-02-13,002747,26.24,26.29,26.61,26.1,12205915
2023-02-14,002747,26.33,26.04,26.45,25.91,10636435
2023-02-15,002747,26.15,25.87,26.27,25.8,10939778
2023-02-16,002747,25.88,25.36,26.35,25.2,15201660
2023-02-17,002747,25.25,24.74,25.75,24.72,13991579
2023-02-20,002747,24.81,25.28,25.36,24.6,9479633
2023-02-21,002747,25.35,25.3,25.74,25.13,9592513
2023-02-22,002747,25.1,25.21,25.49,25.02,6037729
2023-02-23,002747,25.19,24.86,25.22,24.64,9460064
2023-02-24,002747,24.83,24.73,25.0,24.41,6280429
2023-02-27,002747,24.53,24.36,24.78,24.15,8975478
2023-02-28,002747,24.58,24.78,24.84,24.13,11682731
2023-03-01,002747,24.78,24.74,24.89,24.2,17351091
2023-03-02,002747,25.19,24.42,25.3,24.2,22574256
2023-03-03,002747,24.37,24.85,24.95,24.32,14565040
2023-03-06,002747,24.76,24.3,24.79,23.95,14581687
2023-03-07,002747,24.2,23.46,24.38,23.4,13193998
2023-03-08,002747,23.41,23.61,23.77,23.35,7088899
2023-03-09,002747,23.61,23.84,23.94,23.18,9182191
2023-03-10,002747,23.7,23.89,24.18,23.31,10047694
2023-03-13,002747,25.08,26.12,26.28,24.63,51530376
2023-03-14,002747,26.12,25.85,26.19,25.08,31818232
2023-03-15,002747,26.22,25.75,26.5,25.6,14857109
2023-03-16,002747,25.99,25.54,26.1,25.41,14002450
2023-03-17,002747,25.64,25.53,25.84,25.3,13971023
2023-03-20,002747,25.51,25.89,26.17,24.95,19527632
2023-03-21,002747,25.8,26.29,26.6,25.78,16245446
2023-03-22,002747,26.44,25.69,26.48,25.53,14089483
2023-03-23,002747,25.6,25.77,25.88,25.48,8066339
2023-03-24,002747,25.75,27.05,27.17,25.45,28413113
2023-03-27,002747,27.42,28.51,28.6,26.88,31863627
2023-03-28,002747,28.24,27.71,28.85,27.68,20289430
2023-03-29,002747,27.91,27.95,28.2,27.51,12884341
2023-03-30,002747,27.8,27.65,27.9,27.02,14419890
