date,code,open,close,high,low,volume
2022-11-23,002978,36.81,36.5,37.0,36.05,1064499
2022-11-24,002978,36.87,37.05,37.65,36.25,1353500
2022-11-25,002978,37.0,36.83,37.36,36.6,940758
2022-11-28,002978,36.25,36.05,36.5,35.68,1337452
2022-11-29,002978,36.01,36.45,36.9,35.82,1153548
2022-11-30,002978,36.21,36.05,36.65,35.91,1028974
2022-12-01,002978,36.3,37.36,37.44,36.12,2584748
2022-12-02,002978,37.06,37.0,37.36,36.85,1525036
2022-12-05,002978,37.4,37.43,37.66,36.91,1508529
2022-12-06,002978,37.24,37.55,37.56,37.0,1004385
2022-12-07,002978,37.25,37.22,37.54,37.18,1192526
2022-12-08,002978,36.9,36.82,37.18,36.45,1107574
2022-12-09,002978,36.82,37.0,37.25,36.66,1192740
2022-12-12,002978,37.0,36.0,37.35,35.9,1426681
2022-12-13,002978,35.9,35.68,36.1,35.58,890846
2022-12-14,002978,35.68,35.06,36.04,34.68,1283400
2022-12-15,002978,35.0,35.1,35.19,34.5,943183
2022-12-16,002978,34.75,34.8,35.26,34.67,923522
2022-12-19,002978,34.76,33.78,35.03,33.71,1185209
2022-12-20,002978,34.0,33.88,34.05,33.41,546363
2022-12-21,002978,34.2,33.53,34.2,33.44,597600
2022-12-22,002978,33.78,32.79,33.8,32.61,854700
2022-12-23,002978,32.79,32.96,33.09,32.61,499900
2022-12-26,002978,32.96,33.85,34.0,32.82,611200
2022-12-27,002978,33.85,33.72,33.96,33.61,459830
2022-12-28,002978,33.72,33.41,33.94,33.18,494171
2022-12-29,002978,33.48,33.33,33.7,33.27,409992
2022-12-30,002978,33.45,33.36,33.57,33.2,355089
2023-01-03,002978,34.0,34.1,34.16,33.31,675248
2023-01-04,002978,33.99,34.3,34.45,33.74,728681
2023-01-05,002978,34.49,34.34,34.98,34.12,659299
2023-01-06,002978,34.35,34.51,35.14,34.18,1231351
2023-01-09,002978,34.85,35.1,35.3,34.75,1183399
2023-01-10,002978,35.2,35.2,35.25,34.85,680285
2023-01-11,002978,35.14,34.8,35.25,34.65,557538
2023-01-12,002978,34.92,34.54,35.15,34.53,516100
2023-01-13,002978,34.9,34.8,34.99,34.42,508569
2023-01-16,002978,34.8,35.05,35.31,34.68,720981
2023-01-17,002978,35.05,35.0,35.18,34.75,419623
2023-01-18,002978,34.8,35.3,35.45,34.8,588956
2023-01-19,002978,35.5,35.78,35.86,35.06,1124346
2023-01-20,002978,35.84,36.22,36.28,35.81,1003703
2023-01-30,002978,36.5,36.31,36.78,36.2,1113627
2023-01-31,002978,36.2,36.77,36.77,36.07,989038
2023-02-01,002978,36.77,38.92,39.65,36.77,5030560
2023-02-02,002978,38.61,38.5,39.43,38.32,2377484
2023-02-03,002978,38.2,38.78,39.02,37.61,2767581
2023-02-06,002978,38.45,37.99,38.7,37.86,1734123
2023-02-07,002978,37.8,38.11,38.43,37.7,1156552
2023-02-08,002978,38.11,37.89,38.38,37.76,907809
2023-02-09,002978,37.79,38.69,39.26,37.7,2139376
2023-02-10,002978,38.59,38.33,39.28,38.19,1830400
2023-02-13,002978,38.89,39.51,39.86,38.65,3412468
2023-02-14,002978,39.5,39.11,39.6,39.0,1596050
2023-02-15,002978,39.0,38.77,39.3,38.66,1552911
2023-02-16,002978,38.72,37.72,38.8,37.42,1996437
2023-02-17,002978,37.8,37.58,38.1,37.48,901860
2023-02-20,002978,37.59,38.11,38.15,37.47,1092136
2023-02-21,002978,38.35,39.52,40.13,38.21,3425705
2023-02-22,002978,39.34,39.47,39.7,39.12,1285600
2023-02-23,002978,39.48,39.18,39.64,38.93,1084190
2023-02-24,002978,39.24,38.82,39.33,38.66,1080800
2023-02-27,002978,38.68,38.56,38.96,38.14,1080400
2023-02-28,002978,38.98,39.38,39.7,38.56,2019334
2023-03-01,002978,39.37,40.46,40.69,38.85,4629646
2023-03-02,002978,40.54,42.72,43.43,40.46,5651080
2023-03-03,002978,42.17,41.53,42.68,41.27,2334408
2023-03-06,002978,41.53,40.36,41.66,40.22,1854966
2023-03-07,002978,40.09,39.33,41.0,39.3,2017646
2023-03-08,002978,39.58,39.55,40.02,38.92,1499800
2023-03-09,002978,39.58,39.35,39.79,39.0,1058750
2023-03-10,002978,39.15,38.35,39.35,38.29,1176310
2023-03-13,002978,38.32,38.47,38.6,37.88,802300
2023-03-14,002978,38.47,38.2,38.8,37.54,1357534
2023-03-15,002978,38.2,38.33,38.6,38.01,1024400
2023-03-16,002978,38.37,37.05,38.37,36.89,1568835
2023-03-17,002978,37.35,37.19,37.57,37.01,1404398
2023-03-20,002978,37.21,37.3,37.51,36.81,724600
2023-03-21,002978,37.23,37.76,37.85,37.06,1048998
2023-03-22,002978,37.96,37.41,38.26,37.2,1085565
2023-03-23,002978,37.33,37.33,37.46,36.98,855100
2023-03-24,002978,37.7,37.45,37.7,36.96,912502
2023-03-27,002978,37.44,37.51,37.68,36.84,968111
2023-03-28,002978,37.4,36.18,37.48,36.18,1538901
2023-03-29,002978,36.44,36.47,36.94,36.2,857969
2023-03-30,002978,36.3,37.01,37.07,36.15,974000
2023-03-31,002978,36.89,37.29,37.39,36.89,947191
2023-04-03,002978,37.17,36.79,37.43,36.65,1695700
2023-04-04,002978,36.8,36.51,36.8,36.08,1063445
2023-04-06,002978,36.45,36.11,36.45,35.81,1020083
2023-04-07,002978,36.11,36.04,36.52,35.93,802522
2023-04-10,002978,35.91,36.3,36.61,35.8,926300
2023-04-11,002978,36.31,36.73,36.9,35.84,882600
2023-04-12,002978,36.79,38.05,38.33,36.75,2369858
2023-04-13,002978,38.08,37.78,38.82,37.61,1474191
2023-04-14,002978,38.17,38.24,38.44,37.88,1447389
2023-04-17,002978,38.14,38.43,38.83,37.9,1798765
2023-04-18,002978,38.43,38.42,39.0,38.31,1689284
2023-04-19,002978,38.44,37.92,38.63,37.83,1285663
2023-04-20,002978,38.0,37.55,38.05,37.1,1217639
2023-04-21,002978,37.55,36.37,37.77,36.35,961900
2023-04-24,002978,36.26,34.99,36.3,34.68,1558995
2023-04-25,002978,35.3,33.75,35.44,33.24,1884939
2023-04-26,002978,34.05,34.42,34.77,33.3,986480
2023-04-27,002978,33.82,33.55,34.06,33.3,1685336
2023-04-28,002978,33.55,33.77,34.18,33.3,1822785
2023-05-04,002978,33.91,32.93,33.91,32.68,2304023
2023-05-05,002978,32.68,32.27,32.93,32.15,1352687
2023-05-08,002978,32.2,32.75,32.8,32.15,1069681
2023-05-09,002978,32.49,32.42,33.34,32.28,1123500
2023-05-10,002978,32.28,32.9,33.01,32.28,1385353
2023-05-11,002978,32.7,32.45,32.8,32.36,1461000
2023-05-12,002978,32.51,31.74,32.57,31.73,1445441
2023-05-15,002978,31.75,32.69,32.74,31.75,1171684
2023-05-16,002978,32.61,32.69,32.89,32.51,693259
2023-05-17,002978,32.62,32.9,32.9,32.49,601049
2023-05-18,002978,32.89,33.13,33.33,32.84,1016662
2023-05-19,002978,33.13,33.34,33.74,33.0,1427228
2023-05-22,002978,33.3,33.42,33.48,33.1,620088
2023-05-23,002978,33.44,33.23,33.59,33.1,556407
2023-05-24,002978,33.13,33.31,33.7,32.89,860285
2023-05-25,002978,33.01,33.02,33.5,32.75,1044086
2023-05-26,002978,33.02,33.34,33.45,32.68,1021993
2023-05-29,002978,33.53,33.3,33.56,32.91,828879
2023-05-30,002978,33.47,33.03,33.47,32.5,1012300
2023-05-31,002978,33.03,32.91,33.16,32.69,1238600
2023-06-01,002978,32.98,32.31,33.06,32.23,1602205
2023-06-02,002978,32.07,32.68,32.71,31.45,1879399
2023-06-05,002978,32.68,32.49,32.68,32.27,835700
2023-06-06,002978,32.39,32.25,32.77,32.2,1264000
2023-06-07,002978,32.15,31.65,32.27,31.52,817968
2023-06-08,002978,31.79,31.66,31.88,31.46,669605
2023-06-09,002978,31.67,31.7,31.9,31.44,942864
2023-06-12,002978,31.74,32.23,32.3,31.33,897192
2023-06-13,002978,32.24,32.15,32.27,31.9,583220
2023-06-14,002978,32.33,32.37,32.61,32.0,770414
2023-06-15,002978,32.32,32.62,32.66,32.15,751833
2023-06-16,002978,32.68,32.39,32.68,32.25,844429
2023-06-19,002978,32.39,31.77,32.41,31.68,942396
2023-06-20,002978,31.77,31.73,31.96,31.6,544411
2023-06-21,002978,31.55,31.13,31.93,31.11,852266
2023-06-26,002978,31.0,30.16,31.0,30.03,1145441
2023-06-27,002978,30.16,31.49,31.63,30.16,1374182
2023-06-28,002978,31.48,31.55,31.73,30.94,694287
2023-06-29,002978,31.68,31.7,32.15,31.3,595700
2023-06-30,002978,31.75,32.11,32.28,31.7,713300
2023-07-03,002978,32.13,32.43,32.59,31.8,851600
2023-07-04,002978,32.7,32.47,32.74,32.31,669624
2023-07-05,002978,32.42,33.09,33.49,32.11,2030574
2023-07-06,002978,33.09,32.66,33.44,32.51,1054766
2023-07-07,002978,32.41,32.83,33.15,32.31,1412330
2023-07-10,002978,32.83,32.45,33.09,32.35,820005
2023-07-11,002978,32.63,32.83,32.89,32.44,653736
2023-07-12,002978,32.83,32.65,32.95,32.59,588808
2023-07-13,002978,32.56,32.97,33.14,32.56,825700
2023-07-14,002978,33.1,32.65,33.15,32.56,638256
2023-07-17,002978,32.52,32.87,33.08,32.01,968600
2023-07-18,002978,32.86,33.92,34.28,32.5,2491074
2023-07-19,002978,34.01,33.33,34.03,33.11,1359683
2023-07-20,002978,33.3,33.18,33.52,33.06,797400
2023-07-21,002978,33.13,32.96,33.27,32.79,615767
2023-07-24,002978,33.02,32.85,33.11,32.66,745359
2023-07-25,002978,33.01,33.22,33.33,32.82,1194376
2023-07-26,002978,33.22,33.45,33.45,33.05,790106
2023-07-27,002978,33.69,33.27,33.87,33.24,1054108
2023-07-28,002978,33.24,33.7,33.78,33.0,1054546
2023-07-31,002978,33.7,33.85,34.18,33.68,1019324
2023-08-01,002978,33.75,34.01,34.12,33.61,837677
2023-08-02,002978,34.1,33.93,34.27,33.65,851745
2023-08-03,002978,33.73,33.5,33.92,33.42,942328
2023-08-04,002978,33.53,33.47,33.87,33.38,607000
2023-08-07,002978,33.52,33.56,33.65,33.17,646300
2023-08-08,002978,33.48,33.39,33.6,33.16,548545
2023-08-09,002978,33.31,33.02,33.41,32.98,538000
2023-08-10,002978,33.0,33.25,33.35,32.91,436600
2023-08-11,002978,33.25,32.56,33.46,32.52,687900
2023-08-14,002978,32.5,32.26,32.5,31.88,828000
2023-08-15,002978,32.51,32.03,32.51,31.75,575600
2023-08-16,002978,31.98,31.67,32.06,31.62,470367
2023-08-17,002978,31.78,31.66,31.88,31.23,1022456
2023-08-18,002978,31.66,31.25,31.98,31.25,981877
2023-08-21,002978,31.23,30.76,31.48,30.75,937253
2023-08-22,002978,30.75,30.89,31.2,30.36,788076
2023-08-23,002978,31.11,30.36,31.15,30.36,759176
2023-08-24,002978,30.2,30.46,31.07,30.08,896400
2023-08-25,002978,30.47,30.17,30.87,30.1,858656
2023-08-28,002978,31.56,30.41,31.85,30.3,1304748
2023-08-29,002978,30.54,31.01,31.05,30.31,1325400
2023-08-30,002978,30.99,30.6,31.48,30.38,2260865
2023-08-31,002978,30.59,30.45,30.75,30.41,1024400
2023-09-01,002978,30.45,30.9,31.13,30.41,1749195
2023-09-04,002978,30.95,33.99,33.99,30.95,5417524
2023-09-05,002978,33.99,34.49,34.79,33.53,4788297
2023-09-06,002978,34.5,35.12,35.2,34.33,3385575
2023-09-07,002978,35.04,34.47,35.06,34.2,2709200
2023-09-08,002978,34.14,34.01,34.61,34.0,1555800
2023-09-11,002978,33.89,33.58,34.14,33.48,2120300
2023-09-12,002978,33.44,33.5,33.94,33.31,1319242
2023-09-13,002978,33.4,33.5,34.2,33.32,2180115
2023-09-14,002978,33.59,34.17,34.48,33.5,1868787
2023-09-15,002978,34.2,34.8,34.8,33.8,2409539
2023-09-18,002978,34.44,33.52,34.44,33.04,2952481
2023-09-19,002978,33.61,34.56,34.76,33.44,2707611
2023-09-20,002978,34.56,34.6,34.73,34.06,1646900
2023-09-21,002978,34.59,34.3,34.78,34.22,1246459
2023-09-22,002978,34.31,33.99,34.44,33.83,1019930
2023-09-25,002978,33.9,33.83,34.13,33.72,861266
2023-09-26,002978,33.86,33.6,34.15,33.5,766110
2023-09-27,002978,33.58,33.64,33.89,33.36,728358
2023-09-28,002978,33.19,33.93,34.19,33.03,1207322
2023-10-09,002978,34.0,33.33,34.0,33.04,986797
2023-10-10,002978,33.32,33.54,33.64,33.22,732400
2023-10-11,002978,33.58,33.47,33.94,33.27,783158
2023-10-12,002978,33.45,34.08,34.44,33.17,1517010
2023-10-13,002978,34.7,33.45,34.96,32.99,1712909
2023-10-16,002978,33.58,33.15,34.21,32.93,1287300
2023-10-17,002978,33.4,32.7,33.4,32.6,1014500
2023-10-18,002978,32.7,32.19,32.9,32.02,844479
2023-10-19,002978,32.0,31.71,32.19,31.61,832650
2023-10-20,002978,31.61,30.85,31.77,30.41,2723446
2023-10-23,002978,30.84,30.25,30.97,30.1,1356500
2023-10-24,002978,30.23,30.55,30.71,29.9,1705200
2023-10-25,002978,30.9,31.54,32.1,30.63,1698367
2023-10-26,002978,31.5,31.23,31.5,30.39,1717883
2023-10-27,002978,31.58,32.24,32.35,31.0,2400878
2023-10-30,002978,32.24,32.13,32.5,31.83,1420300
2023-10-31,002978,32.23,33.05,33.18,32.2,1663789
2023-11-01,002978,33.15,33.38,33.58,32.98,1355390
2023-11-02,002978,33.3,33.26,33.6,33.16,1056195
2023-11-03,002978,33.1,33.1,33.46,33.0,1022900
2023-11-06,002978,33.37,33.17,33.43,32.88,1161302
2023-11-07,002978,33.2,33.07,33.2,32.69,936372
2023-11-08,002978,33.09,33.12,33.34,32.86,1215102
2023-11-09,002978,33.12,33.36,33.49,32.92,1156000
2023-11-10,002978,33.15,33.14,33.29,32.77,725300
2023-11-13,002978,33.14,33.33,33.44,32.94,957300
2023-11-14,002978,33.46,33.08,33.46,32.94,770700
2023-11-15,002978,33.32,33.6,33.7,33.3,1072402
2023-11-16,002978,33.6,33.43,33.72,33.39,639346
2023-11-17,002978,33.47,33.89,34.11,33.37,1405100
2023-11-20,002978,34.11,34.09,34.18,33.5,900101
2023-11-21,002978,34.17,33.8,34.2,33.71,533000
2023-11-22,002978,33.69,33.56,33.97,33.55,564500
2023-11-23,002978,33.57,33.89,34.07,33.31,644600
2023-11-24,002978,33.91,33.63,34.0,33.5,633900
2023-11-27,002978,33.69,33.55,33.85,33.34,787690
2023-11-28,002978,33.53,33.82,33.9,33.4,591906
2023-11-29,002978,33.9,33.76,34.1,33.68,467006
2023-11-30,002978,33.83,32.49,33.85,32.41,3111565
2023-12-01,002978,32.5,32.58,32.86,32.24,1691200
2023-12-04,002978,32.77,32.65,33.06,32.58,1004400
2023-12-05,002978,32.52,32.22,32.64,32.18,906400
2023-12-06,002978,32.03,32.22,32.64,32.0,856900
2023-12-07,002978,32.22,32.0,32.27,31.73,980900
2023-12-08,002978,32.2,32.01,32.32,31.89,873352
2023-12-11,002978,32.12,32.35,32.5,31.46,1179706
2023-12-12,002978,32.46,32.15,32.46,31.92,692100
2023-12-13,002978,32.03,31.94,32.29,31.78,776956
2023-12-14,002978,31.97,31.8,32.2,31.79,681900
2023-12-15,002978,31.77,31.66,32.2,31.65,722760
2023-12-18,002978,31.6,31.27,31.81,31.13,1240200
2023-12-19,002978,31.31,31.25,31.35,30.98,638300
2023-12-20,002978,31.32,31.25,31.56,31.19,652100
2023-12-21,002978,31.2,31.23,31.42,30.73,970037
2023-12-22,002978,31.23,31.36,31.66,30.72,1060581
2023-12-25,002978,31.3,31.12,32.06,30.73,1651510
2023-12-26,002978,31.25,30.58,31.25,30.54,1307581
2023-12-27,002978,30.56,31.0,31.09,30.33,1142000
2023-12-28,002978,31.0,31.58,31.88,30.96,1571393
2023-12-29,002978,31.6,31.66,31.78,31.37,1677200
2024-01-02,002978,31.74,31.92,32.18,31.49,1435334
2024-01-03,002978,31.7,32.03,32.18,31.7,845400
2024-01-04,002978,32.0,32.07,32.22,31.75,1234700
2024-01-05,002978,32.0,31.87,32.38,31.82,971700
2024-01-08,002978,31.75,31.07,31.85,31.07,1010900
2024-01-09,002978,31.07,31.12,31.4,30.81,715307
2024-01-10,002978,31.02,30.91,31.48,30.75,749300
2024-01-11,002978,30.97,31.16,31.39,30.79,789900
2024-01-12,002978,31.33,31.3,31.65,31.02,566277
2024-01-15,002978,31.41,30.85,31.41,30.79,787362
2024-01-16,002978,30.9,30.78,31.03,30.48,773500
2024-01-17,002978,30.76,30.03,30.95,30.03,849168
2024-01-18,002978,29.73,29.43,29.89,28.66,1968499
2024-01-19,002978,29.38,29.1,29.71,29.02,1245724
2024-01-22,002978,29.0,27.23,29.0,26.92,2762504
2024-01-23,002978,27.24,27.4,27.52,26.62,1424000
2024-01-24,002978,27.55,27.67,27.89,26.7,1177800
2024-01-25,002978,27.85,28.95,28.99,27.65,1296912
2024-01-26,002978,29.0,28.83,29.41,28.71,1162696
2024-01-29,002978,29.24,28.47,29.24,28.44,1031600
2024-01-30,002978,28.6,27.79,28.67,27.75,1061100
2024-01-31,002978,27.58,26.81,27.85,26.52,1316287
2024-02-01,002978,26.08,26.49,26.98,25.75,1839300
2024-02-02,002978,26.4,25.55,27.07,24.5,1556393
2024-02-05,002978,25.04,24.26,25.55,23.39,2693269
2024-02-06,002978,24.01,26.2,26.26,23.61,2478188
2024-02-07,002978,26.33,27.7,28.2,26.23,2749203
2024-02-08,002978,27.66,29.13,29.65,27.54,2640148
2024-02-19,002978,29.14,29.63,30.58,28.92,2912012
2024-02-20,002978,29.73,29.06,29.87,28.55,1408800
2024-02-21,002978,28.75,29.23,29.95,28.66,1265616
2024-02-22,002978,29.23,29.28,29.51,28.95,1130890
2024-02-23,002978,29.34,29.46,29.48,28.86,1533400
2024-02-26,002978,29.44,29.4,29.88,29.16,1585657
2024-02-27,002978,29.27,29.68,29.68,28.9,1208900
2024-02-28,002978,29.5,28.66,30.28,28.66,1728863
2024-02-29,002978,28.6,29.4,29.46,28.41,1471507
2024-03-01,002978,29.39,29.23,29.48,28.91,1338900
2024-03-04,002978,29.02,29.32,29.55,29.02,1190637
2024-03-05,002978,29.4,29.01,29.65,28.9,1023400
2024-03-06,002978,28.84,29.09,29.41,28.56,1185500
2024-03-07,002978,29.1,29.35,30.11,29.04,1743060
2024-03-08,002978,29.4,29.41,29.75,29.06,1459900
2024-03-11,002978,29.4,29.91,29.91,29.28,1307810
2024-03-12,002978,29.94,29.8,30.03,29.5,1011600
2024-03-13,002978,29.85,30.08,30.25,29.52,1329067
2024-03-14,002978,30.27,29.88,30.64,29.65,1273800
2024-03-15,002978,29.86,30.82,30.82,29.6,1622287
2024-03-18,002978,30.78,31.14,31.18,30.58,1672500
2024-03-19,002978,30.87,31.8,32.07,30.73,2506403
2024-03-20,002978,31.68,32.25,32.45,31.64,2089500
2024-03-21,002978,32.39,32.12,32.62,31.83,1352525
2024-03-22,002978,32.13,31.81,32.13,31.12,2288387
2024-03-25,002978,31.39,31.12,31.89,31.12,1191900
2024-03-26,002978,31.12,31.24,31.38,30.8,1138100
2024-03-27,002978,31.25,30.95,31.86,30.95,1241700
2024-03-28,002978,30.62,31.19,31.48,30.62,862300
2024-03-29,002978,31.7,32.37,32.45,31.26,1360900
2024-04-01,002978,32.49,32.85,32.99,32.2,1512929
2024-04-02,002978,32.85,33.5,33.59,32.84,1829100
2024-04-03,002978,33.66,33.8,34.16,33.33,2258590
2024-04-08,002978,34.03,34.03,34.86,33.94,3290006
2024-04-09,002978,34.09,34.87,35.04,33.91,2224972
2024-04-10,002978,34.77,34.46,35.37,34.35,2223100
2024-04-11,002978,34.15,34.81,35.48,34.06,2010306
2024-04-12,002978,35.0,34.74,35.06,34.32,1465472
2024-04-15,002978,34.54,34.76,34.94,33.65,1873811
2024-04-16,002978,34.65,33.92,34.92,33.92,2005900
2024-04-17,002978,34.22,34.28,34.75,33.88,1549400
2024-04-18,002978,33.17,33.2,33.66,32.97,3020854
