date,code,open,close,high,low,volume
2022-11-23,300003,22.63,22.66,23.05,22.32,17137692
2022-11-24,300003,22.79,22.88,22.89,22.58,8888894
2022-11-25,300003,22.77,22.64,22.88,22.25,12398640
2022-11-28,300003,22.29,22.4,22.73,21.94,16287738
2022-11-29,300003,22.37,22.64,22.94,22.3,22670197
2022-11-30,300003,23.98,22.65,24.19,21.88,45356881
2022-12-01,300003,22.11,22.0,22.43,21.6,38823241
2022-12-02,300003,21.9,22.5,22.65,21.86,23304587
2022-12-05,300003,22.79,22.52,22.98,22.3,22506712
2022-12-06,300003,22.52,22.35,23.15,22.15,23751630
2022-12-07,300003,22.1,22.52,22.65,21.91,17265816
2022-12-08,300003,22.57,22.81,23.05,22.21,35278240
2022-12-09,300003,23.22,24.35,24.35,22.88,96095310
2022-12-12,300003,24.4,24.13,24.77,23.91,48209787
2022-12-13,300003,24.1,23.4,24.11,23.03,33298772
2022-12-14,300003,23.36,23.21,23.44,23.02,15246598
2022-12-15,300003,23.32,23.14,23.55,23.08,13747046
2022-12-16,300003,23.05,23.29,23.36,23.0,15325647
2022-12-19,300003,23.3,21.78,23.55,21.69,27340244
2022-12-20,300003,21.66,21.76,21.99,21.27,16365683
2022-12-21,300003,21.57,21.59,21.9,21.4,11496796
2022-12-22,300003,21.73,21.36,21.79,21.31,8310222
2022-12-23,300003,21.27,21.66,21.9,20.98,14923382
2022-12-26,300003,21.9,22.49,22.72,21.9,17957729
2022-12-27,300003,22.33,21.93,22.41,21.5,15458751
2022-12-28,300003,21.92,22.58,22.75,21.76,22565683
2022-12-29,300003,22.36,22.83,23.01,22.22,15533398
2022-12-30,300003,22.84,22.97,23.15,22.6,18198348
2023-01-03,300003,22.99,23.16,23.4,22.73,15849516
2023-01-04,300003,23.15,22.85,23.38,22.8,17783346
2023-01-05,300003,22.95,23.04,23.19,22.61,15987230
2023-01-06,300003,22.99,22.75,23.08,22.6,12297998
2023-01-09,300003,22.72,22.95,23.22,22.7,11885262
2023-01-10,300003,22.86,23.34,23.54,22.7,15101019
2023-01-11,300003,23.27,22.88,23.34,22.85,13295556
2023-01-12,300003,22.88,22.73,23.01,22.7,7807200
2023-01-13,300003,22.83,23.14,23.23,22.54,12570303
2023-01-16,300003,23.19,23.72,24.1,23.1,23115342
2023-01-17,300003,23.85,23.65,23.93,23.57,9462848
2023-01-18,300003,23.6,23.55,23.8,23.45,7903517
2023-01-19,300003,23.51,24.04,24.3,23.31,15708126
2023-01-20,300003,24.0,23.68,24.27,23.65,11543886
2023-01-30,300003,23.78,22.18,23.82,22.1,69952787
2023-01-31,300003,22.25,22.32,22.63,22.11,23594289
2023-02-01,300003,22.49,22.65,22.78,22.1,23703300
2023-02-02,300003,22.75,23.34,23.56,22.65,24830820
2023-02-03,300003,23.11,22.99,23.28,22.51,21235329
2023-02-06,300003,22.84,23.67,24.13,22.79,33150753
2023-02-07,300003,23.66,23.88,24.15,23.58,19701215
2023-02-08,300003,23.78,23.98,24.26,23.73,15551893
2023-02-09,300003,23.75,23.93,24.14,23.75,11681571
2023-02-10,300003,23.99,24.17,24.38,23.82,16717520
2023-02-13,300003,24.24,24.06,24.62,24.03,14031277
2023-02-14,300003,24.06,24.08,24.44,23.9,10716216
2023-02-15,300003,24.05,24.06,24.29,23.9,9521827
2023-02-16,300003,24.0,23.85,24.28,23.68,13627786
2023-02-17,300003,23.85,23.88,24.36,23.7,13491461
2023-02-20,300003,23.9,24.0,24.18,23.48,11260503
2023-02-21,300003,24.0,23.79,24.1,23.63,9687222
2023-02-22,300003,23.8,23.67,24.3,23.6,13650858
2023-02-23,300003,23.59,23.33,23.73,23.12,13456069
2023-02-24,300003,23.35,23.26,23.61,23.14,8594758
2023-02-27,300003,23.15,23.23,23.4,23.13,7189923
2023-02-28,300003,23.23,23.48,23.74,23.2,11034382
2023-03-01,300003,23.36,23.35,23.67,23.28,9180760
2023-03-02,300003,23.34,22.79,23.4,22.71,14757682
2023-03-03,300003,22.89,22.72,23.08,22.63,7241262
2023-03-06,300003,22.64,22.8,22.91,22.45,10506353
2023-03-07,300003,22.82,22.22,22.97,22.22,10976736
2023-03-08,300003,22.21,22.48,22.5,22.15,8904881
2023-03-09,300003,22.45,22.53,22.76,22.45,7178215
2023-03-10,300003,22.53,22.45,22.72,22.36,8001247
2023-03-13,300003,22.45,22.41,22.55,22.15,7248732
2023-03-14,300003,22.5,22.24,22.6,21.91,9411975
2023-03-15,300003,22.24,22.68,22.84,22.24,10052547
2023-03-16,300003,22.6,22.71,22.89,22.55,9632353
2023-03-17,300003,22.6,22.4,22.88,22.37,11380815
2023-03-20,300003,22.42,22.21,22.51,21.93,11470879
2023-03-21,300003,22.25,23.23,23.3,22.22,17921494
2023-03-22,300003,23.32,23.36,23.46,23.08,10205169
2023-03-23,300003,23.36,23.5,23.57,23.2,10732257
2023-03-24,300003,23.71,23.0,23.98,22.9,12609777
2023-03-27,300003,22.73,23.71,23.9,22.73,17372968
2023-03-28,300003,23.72,23.66,23.91,23.55,9391740
2023-03-29,300003,23.67,23.5,23.74,23.2,10756348
2023-03-30,300003,23.55,23.46,23.7,23.27,7199782
2023-03-31,300003,23.31,23.18,23.61,23.02,10785557
2023-04-03,300003,23.12,22.92,23.44,22.77,13729964
2023-04-04,300003,23.0,23.0,23.22,22.82,10872922
2023-04-06,300003,23.0,23.43,23.48,22.9,9309791
2023-04-07,300003,23.3,24.1,24.23,23.27,18868669
2023-04-10,300003,24.12,24.3,24.55,24.0,17017091
2023-04-11,300003,24.2,24.08,24.74,23.84,15524285
2023-04-12,300003,24.08,24.17,24.35,23.91,11984834
2023-04-13,300003,24.03,24.53,24.72,23.97,17840821
2023-04-14,300003,24.75,24.6,24.89,24.4,15234440
2023-04-17,300003,24.42,24.43,24.58,24.11,14423343
2023-04-18,300003,24.42,24.29,24.54,24.1,8753022
2023-04-19,300003,24.29,24.16,24.47,24.13,7884436
2023-04-20,300003,24.2,24.03,24.39,23.88,9571744
2023-04-21,300003,24.03,23.56,24.22,23.56,9378644
2023-04-24,300003,23.67,23.45,23.97,23.33,7741631
2023-04-25,300003,23.46,22.82,23.56,22.64,11261565
2023-04-26,300003,23.43,23.76,24.37,23.4,20708438
2023-04-27,300003,23.86,23.83,24.2,23.52,11362319
2023-04-28,300003,23.98,23.92,24.3,23.68,13600869
2023-05-04,300003,23.85,23.95,24.37,23.77,10380175
2023-05-05,300003,24.05,23.8,24.1,23.46,11134462
2023-05-08,300003,24.06,23.65,24.4,23.51,13374574
2023-05-09,300003,23.55,23.0,23.75,22.98,13489619
2023-05-10,300003,22.94,22.85,23.1,22.44,13784560
2023-05-11,300003,22.91,22.74,23.24,22.6,8853568
2023-05-12,300003,22.76,22.63,23.04,22.57,7846778
2023-05-15,300003,22.63,23.42,23.52,22.55,10759686
2023-05-16,300003,23.55,24.02,24.15,23.3,17323990
2023-05-17,300003,23.84,24.19,24.25,23.79,11830604
2023-05-18,300003,24.19,24.28,24.55,24.1,12487603
2023-05-19,300003,24.13,24.51,24.61,24.11,10674251
2023-05-22,300003,24.57,24.48,24.65,24.26,9555211
2023-05-23,300003,24.5,24.5,24.85,24.41,11022287
2023-05-24,300003,24.38,24.15,24.49,23.96,10028020
2023-05-25,300003,24.18,24.12,24.41,23.9,8548785
2023-05-26,300003,24.16,24.33,24.5,23.96,6629784
2023-05-29,300003,24.51,24.92,25.05,24.36,17057181
2023-05-30,300003,24.85,24.91,25.26,24.45,13713778
2023-05-31,300003,24.76,24.7,25.08,24.47,9902552
2023-06-01,300003,24.41,23.48,24.68,23.42,27966934
2023-06-02,300003,23.59,23.36,23.75,23.31,11878891
2023-06-05,300003,23.29,23.52,23.71,23.16,9932926
2023-06-06,300003,23.48,23.0,23.62,22.97,10001560
2023-06-07,300003,23.1,22.88,23.22,22.85,6323576
2023-06-08,300003,22.89,22.78,23.04,22.64,9503867
2023-06-09,300003,22.83,23.18,23.53,22.78,13646301
2023-06-12,300003,23.26,23.17,23.38,22.94,10473276
2023-06-13,300003,23.06,23.0,23.22,22.9,8745191
2023-06-14,300003,22.96,23.0,23.26,22.91,10899952
2023-06-15,300003,23.0,23.37,23.46,22.93,9608002
2023-06-16,300003,23.38,23.56,23.65,23.3,9611105
2023-06-19,300003,23.5,23.44,23.6,23.1,6984636
2023-06-20,300003,23.41,23.4,23.54,23.26,5960073
2023-06-21,300003,23.3,23.01,23.4,23.0,7485236
2023-06-26,300003,23.0,22.76,23.13,22.68,7193252
2023-06-27,300003,22.66,22.9,23.15,22.64,6574420
2023-06-28,300003,22.96,23.03,23.15,22.79,6996084
2023-06-29,300003,22.92,23.04,23.24,22.9,5676349
2023-06-30,300003,22.7,22.61,22.96,22.6,9616980
2023-07-03,300003,22.6,22.7,22.89,22.44,10326774
2023-07-04,300003,22.63,22.66,22.87,22.44,9390392
2023-07-05,300003,22.61,22.55,22.85,22.47,6555434
2023-07-06,300003,22.47,22.25,22.6,22.22,7879495
2023-07-07,300003,22.25,22.08,22.39,21.93,7689325
2023-07-10,300003,22.09,21.85,22.2,21.79,8184567
2023-07-11,300003,21.91,22.05,22.11,21.8,5504006
2023-07-12,300003,22.09,21.77,22.16,21.74,4882800
2023-07-13,300003,21.88,21.93,22.08,21.74,8374727
2023-07-14,300003,21.97,21.58,22.01,21.57,8115317
2023-07-17,300003,21.6,21.22,21.65,20.93,11982624
2023-07-18,300003,21.21,21.06,21.26,21.03,6605676
2023-07-19,300003,21.03,21.11,21.22,21.0,4579318
2023-07-20,300003,21.12,21.1,21.34,21.09,6785691
2023-07-21,300003,21.12,21.27,21.42,21.06,5907686
2023-07-24,300003,21.3,21.62,21.73,21.28,6096500
2023-07-25,300003,21.74,21.61,21.77,21.46,8476500
2023-07-26,300003,21.61,21.51,21.77,21.46,9211599
2023-07-27,300003,21.49,21.11,21.51,21.05,13370112
2023-07-28,300003,21.09,21.13,21.17,20.7,16425954
