date,code,open,close,high,low,volume
2022-11-23,300024,9.86,9.78,9.99,9.74,16949671
2022-11-24,300024,9.83,9.81,9.97,9.74,11802571
2022-11-25,300024,9.78,9.71,9.82,9.66,12195972
2022-11-28,300024,9.64,9.65,9.77,9.49,13150198
2022-11-29,300024,9.68,9.98,10.06,9.65,20484298
2022-11-30,300024,9.96,10.01,10.1,9.91,14697964
2022-12-01,300024,10.04,10.0,10.17,9.98,16006079
2022-12-02,300024,9.98,10.11,10.29,9.93,22209764
2022-12-05,300024,10.24,10.13,10.37,10.01,29607667
2022-12-06,300024,10.08,10.02,10.15,9.96,17071570
2022-12-07,300024,9.99,9.89,10.0,9.82,17011540
2022-12-08,300024,9.9,9.75,9.92,9.73,11813010
2022-12-09,300024,9.75,9.8,9.84,9.65,12107731
2022-12-12,300024,9.74,9.52,9.82,9.5,21540669
2022-12-13,300024,9.52,9.34,9.58,9.31,17807085
2022-12-14,300024,9.33,9.4,9.62,9.33,12875180
2022-12-15,300024,9.35,9.5,9.54,9.32,9298620
2022-12-16,300024,9.48,9.35,9.5,9.27,10186792
2022-12-19,300024,9.36,9.12,9.4,9.08,9742301
2022-12-20,300024,9.1,9.31,9.42,9.06,14290014
2022-12-21,300024,9.27,9.15,9.35,9.08,8974878
2022-12-22,300024,9.15,9.02,9.23,8.97,7906830
2022-12-23,300024,8.93,9.01,9.15,8.93,7037225
2022-12-26,300024,9.07,9.16,9.2,9.01,7264325
2022-12-27,300024,9.21,9.09,9.23,9.03,9392343
2022-12-28,300024,9.03,8.92,9.05,8.88,10043200
2022-12-29,300024,8.83,8.88,8.99,8.83,6652810
2022-12-30,300024,8.95,8.98,9.04,8.93,6835003
2023-01-03,300024,9.03,9.19,9.22,8.93,10019489
2023-01-04,300024,9.23,9.25,9.26,9.13,9393501
2023-01-05,300024,9.26,9.25,9.31,9.2,7727801
2023-01-06,300024,9.24,9.21,9.34,9.16,7576510
2023-01-09,300024,9.18,9.19,9.33,9.17,7688077
2023-01-10,300024,9.23,9.15,9.24,9.13,6074006
2023-01-11,300024,9.17,9.02,9.18,8.98,8753222
2023-01-12,300024,9.02,9.09,9.18,9.02,6445619
2023-01-13,300024,9.1,9.14,9.16,9.05,5747460
2023-01-16,300024,9.14,9.24,9.28,9.11,8131764
2023-01-17,300024,9.27,9.24,9.31,9.14,6896920
2023-01-18,300024,9.24,9.34,9.39,9.2,11066448
2023-01-19,300024,9.32,9.41,9.42,9.25,8722131
2023-01-20,300024,9.99,9.77,10.23,9.76,48702490
2023-01-30,300024,9.87,10.01,10.28,9.81,42370005
2023-01-31,300024,9.98,10.39,10.69,9.94,63682326
2023-02-01,300024,10.29,10.46,10.53,10.23,46813507
2023-02-02,300024,10.45,10.63,10.97,10.39,67032669
2023-02-03,300024,10.5,10.49,10.68,10.34,40099132
2023-02-06,300024,10.45,10.56,10.64,10.41,30097634
2023-02-07,300024,10.58,11.06,11.17,10.53,71473424
2023-02-08,300024,11.07,10.76,11.07,10.7,43237283
2023-02-09,300024,10.65,10.98,11.06,10.62,37292577
2023-02-10,300024,10.9,10.94,11.23,10.86,38828663
2023-02-13,300024,10.88,10.94,11.04,10.83,30599589
2023-02-14,300024,10.93,10.88,10.98,10.82,20777391
2023-02-15,300024,10.85,10.99,11.05,10.8,24932436
2023-02-16,300024,10.96,10.63,11.01,10.56,34592398
2023-02-17,300024,10.69,10.61,10.82,10.6,24809699
2023-02-20,300024,10.65,10.68,10.74,10.55,18378509
2023-02-21,300024,10.69,10.86,11.02,10.69,26250095
2023-02-22,300024,10.77,10.71,10.8,10.66,17158713
2023-02-23,300024,10.68,10.62,10.75,10.55,15114849
2023-02-24,300024,10.61,10.63,10.69,10.48,12867116
2023-02-27,300024,10.58,10.42,10.62,10.4,18062856
2023-02-28,300024,10.45,10.58,10.59,10.44,12667801
2023-03-01,300024,10.55,10.62,10.75,10.52,28149037
2023-03-02,300024,10.84,10.89,11.12,10.79,50743736
2023-03-03,300024,10.79,10.66,10.83,10.51,30035212
2023-03-06,300024,10.67,10.68,10.84,10.63,19601380
2023-03-07,300024,10.69,10.25,10.7,10.23,27583585
2023-03-08,300024,10.24,10.42,10.49,10.21,16951549
2023-03-09,300024,10.45,10.41,10.49,10.26,12479106
2023-03-10,300024,10.31,10.28,10.42,10.25,11735997
2023-03-13,300024,10.25,10.43,10.45,10.18,15440482
2023-03-14,300024,10.36,10.22,10.41,10.06,17232438
2023-03-15,300024,10.33,10.36,10.54,10.33,19829385
2023-03-16,300024,10.29,10.19,10.36,10.17,11963384
2023-03-17,300024,10.27,10.45,10.53,10.23,22380655
2023-03-20,300024,10.51,10.62,10.78,10.48,29063836
2023-03-21,300024,10.63,10.76,10.83,10.56,21191611
2023-03-22,300024,10.75,10.97,11.02,10.7,31646696
2023-03-23,300024,10.93,10.99,11.0,10.81,25426919
2023-03-24,300024,10.99,11.62,11.73,10.93,77869510
2023-03-27,300024,11.55,12.42,12.82,11.55,117858719
2023-03-28,300024,12.62,12.41,13.15,12.34,123553772
2023-03-29,300024,12.31,12.19,12.53,12.0,71497548
2023-03-30,300024,12.17,11.8,12.27,11.63,57728810
2023-03-31,300024,11.8,11.93,12.0,11.62,41324272
2023-04-03,300024,11.92,12.09,12.13,11.78,51396488
2023-04-04,300024,12.03,12.08,12.31,11.77,59077511
2023-04-06,300024,11.78,12.17,12.25,11.65,47483292
2023-04-07,300024,12.17,11.92,12.17,11.75,43561473
2023-04-10,300024,11.95,12.14,12.61,11.95,74742636
2023-04-11,300024,12.06,11.96,12.21,11.81,42804028
2023-04-12,300024,11.99,12.29,12.43,11.99,56509295
2023-04-13,300024,12.18,11.83,12.29,11.8,49328602
2023-04-14,300024,11.96,11.89,12.15,11.74,35304706
2023-04-17,300024,11.98,11.66,12.03,11.55,36107451
2023-04-18,300024,11.67,11.58,11.75,11.47,29121063
2023-04-19,300024,11.5,11.52,11.74,11.46,25344524
2023-04-20,300024,11.56,11.65,11.68,11.43,20867300
2023-04-21,300024,11.65,11.25,11.98,11.21,39765049
2023-04-24,300024,11.25,11.19,11.45,11.09,22821841
2023-04-25,300024,11.2,10.85,11.2,10.61,32176199
2023-04-26,300024,10.8,10.8,11.25,10.72,32881748
2023-04-27,300024,10.73,10.83,11.0,10.69,21438266
2023-04-28,300024,10.9,11.15,11.21,10.87,25056460
2023-05-04,300024,11.16,13.38,13.38,11.16,162213388
2023-05-05,300024,13.8,13.92,14.65,13.65,254036569
2023-05-08,300024,14.22,14.08,14.44,13.36,169565327
2023-05-09,300024,13.8,13.28,14.05,13.23,127362139
2023-05-10,300024,13.36,14.11,14.55,13.3,170564676
2023-05-11,300024,13.82,13.5,14.08,13.45,106731578
2023-05-12,300024,13.32,13.1,14.09,13.1,78484483
2023-05-15,300024,13.06,12.99,13.19,12.52,74921205
2023-05-16,300024,12.9,13.23,13.84,12.68,106452399
2023-05-17,300024,13.01,14.08,14.39,12.9,133621402
2023-05-18,300024,14.5,16.65,16.77,14.48,263120792
2023-05-19,300024,16.53,15.7,16.84,15.57,226655658
2023-05-22,300024,15.63,15.4,15.91,15.09,169387161
2023-05-23,300024,15.41,15.6,16.14,14.94,210980503
2023-05-24,300024,14.9,15.04,15.88,14.72,157930598
2023-05-25,300024,14.88,15.3,16.18,14.8,176740938
2023-05-26,300024,15.06,16.1,16.15,14.19,204088797
2023-05-29,300024,15.98,15.52,16.08,15.42,137362030
2023-05-30,300024,15.3,15.22,15.44,14.74,118177637
2023-05-31,300024,15.01,15.68,16.1,14.93,147666349
2023-06-01,300024,15.24,16.71,17.22,14.8,209101401
2023-06-02,300024,16.31,15.3,16.62,15.29,169597445
2023-06-05,300024,15.39,15.2,15.54,15.15,92128985
