date,code,open,close,high,low,volume
2022-11-23,300122,95.48,90.46,95.66,89.67,11664318
2022-11-24,300122,90.98,91.46,92.03,90.29,5717310
2022-11-25,300122,91.5,90.41,91.6,88.46,5835850
2022-11-28,300122,89.01,89.35,91.68,88.35,5622574
2022-11-29,300122,88.98,92.0,93.69,88.78,10873512
2022-11-30,300122,90.16,90.46,90.98,88.7,9601432
2022-12-01,300122,90.0,89.0,91.36,88.36,11328185
2022-12-02,300122,89.01,89.09,89.36,87.3,6334196
2022-12-05,300122,89.15,85.88,89.6,84.89,14052794
2022-12-06,300122,85.45,85.71,87.15,85.1,6709789
2022-12-07,300122,85.1,85.25,86.21,84.25,6902016
2022-12-08,300122,85.25,84.83,85.95,84.57,7063503
2022-12-09,300122,84.84,86.77,87.25,84.31,11425078
2022-12-12,300122,87.5,84.51,87.5,84.4,11119467
2022-12-13,300122,84.98,87.21,88.0,83.57,12495066
2022-12-14,300122,86.6,87.89,89.06,85.4,14055383
2022-12-15,300122,88.5,85.35,88.64,84.84,10034721
2022-12-16,300122,85.35,83.99,85.97,83.38,8400457
2022-12-19,300122,84.05,81.19,84.35,80.6,9839800
2022-12-20,300122,81.27,84.03,85.74,81.27,13517037
2022-12-21,300122,84.05,82.94,84.8,82.18,5348452
2022-12-22,300122,83.0,85.07,86.93,82.45,11805326
2022-12-23,300122,84.36,85.41,86.11,81.18,9673364
2022-12-26,300122,86.95,85.6,88.6,85.0,10948714
2022-12-27,300122,85.0,87.58,88.48,83.3,13562861
2022-12-28,300122,87.31,87.31,88.55,86.83,6148275
2022-12-29,300122,86.85,88.31,89.0,86.85,8793301
2022-12-30,300122,88.35,87.83,89.87,87.52,6717460
2023-01-03,300122,87.0,88.52,88.8,86.08,10415046
2023-01-04,300122,87.85,92.12,92.8,87.31,14129882
2023-01-05,300122,92.1,97.6,98.9,91.56,23404301
2023-01-06,300122,97.2,98.0,98.5,95.8,12654661
2023-01-09,300122,97.91,98.3,99.28,97.0,9319436
2023-01-10,300122,97.77,102.86,104.49,97.77,20092558
2023-01-11,300122,103.35,103.5,105.9,103.06,9883098
2023-01-12,300122,103.85,103.4,104.45,102.5,7414819
2023-01-13,300122,104.0,104.61,105.2,102.69,6934098
2023-01-16,300122,105.02,106.52,107.98,104.1,16739094
2023-01-17,300122,106.22,105.2,109.07,104.76,13288369
2023-01-18,300122,106.0,103.9,106.0,102.81,10088183
2023-01-19,300122,103.85,105.48,106.78,103.13,6667549
2023-01-20,300122,105.84,104.58,106.68,103.97,8203016
2023-01-30,300122,109.0,99.3,109.0,99.01,26765123
2023-01-31,300122,99.3,97.84,100.7,97.6,10683585
2023-02-01,300122,98.18,96.94,98.18,94.88,12782508
2023-02-02,300122,97.01,98.25,99.21,96.67,12544680
2023-02-03,300122,97.79,97.6,99.55,96.52,7577200
2023-02-06,300122,96.6,95.78,97.66,95.7,5538537
2023-02-07,300122,96.42,95.1,96.64,94.37,5300831
2023-02-08,300122,95.31,95.5,96.3,94.75,5282629
2023-02-09,300122,95.01,95.3,95.88,94.49,7132069
2023-02-10,300122,95.0,94.45,95.15,93.28,7090424
2023-02-13,300122,94.41,94.13,95.97,93.39,9194361
2023-02-14,300122,94.42,94.68,95.58,93.36,6693667
2023-02-15,300122,94.69,91.95,94.9,91.79,10955924
2023-02-16,300122,92.0,91.04,93.19,90.3,6554087
2023-02-17,300122,90.5,91.11,92.62,90.43,8857534
2023-02-20,300122,91.21,92.53,92.64,89.0,8276391
